hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
让,ràng,to let; to allow,"ให้, ปล่อยให้, ทำให้",115,2,ให้; ปล่อยให้,
别人,bié rén,other people; others,คนอื่น,112,3,คนอื่น,
时间,shí jiān,concept of time; duration of time,เวลา,112,2,เวลา,
过,guò,to pass; (experience marker),คำบอกประสบการณ์ (เคย); ผ่าน,105,2,คำบอกประสบการณ์ (เคย); ผ่าน,
大,dà,big; large,ใหญ่,102,1,ใหญ่,
最,zuì,most,ที่สุด,101,2,ที่สุด,
他们,tā men,they; them,พวกเขา,100,1,พวกเขา,
吗,ma,(question particle),คำถามใช่/ไม่ (ไหม),96,1,ไหม (คำลงท้ายคำถาม),
看,kàn,to look; to watch,"ดู, มอง, อ่าน",95,1,ดู; มอง,
后,hòu,after; behind,"หลัง, ข้างหลัง",94,1,หลัง; ข้างหลัง,
为,wèi,for; because of,เพื่อ; เป็น (ในฐานะ),91,2,เพื่อ; เพราะ,"EN ""for; because of"" is wei; current เป็น(ในฐานะ) fits the wei-as-""act as"" reading"
还,hái,still; also,ยัง; อีก,90,2,ยัง; อีก,
着,zhe,continuous-aspect particle,คำบอกอาการต่อเนื่อง (อยู่),89,2,อยู่ (คำบอกอาการต่อเนื่อง),
变,biàn,to change; to become different,"เปลี่ยน, กลายเป็น",88,3,เปลี่ยน; กลายเป็น,
个,gè,(general classifier),ลักษณนามทั่วไป (อัน/คน),86,1,ลักษณนามทั่วไป (อัน/คน),
又,yòu,once again; also,อีก; ทั้ง...,86,3,อีก; อีกทั้ง,"the ""also"" sense (又...又 = both...and) is hard to gloss concisely"
但,dàn,but; yet,แต่,83,2,แต่,
可,kě,can; but,ได้; แต่,83,4,ได้; แต่,
等,děng,to wait; etc.,รอ; ฯลฯ,83,2,รอ; ฯลฯ,
给,gěi,to give; for,"ให้; แก่, เพื่อ",83,2,ให้; แก่,
中国,zhōng guó,China,ประเทศจีน,82,1,ประเทศจีน,
现在,xiàn zài,now; at present,"ตอนนี้, ปัจจุบัน",82,1,"ตอนนี้, ปัจจุบัน",
里,lǐ,inside; in,"ข้างใน, ใน",82,1,"ข้างใน, ใน",
从,cóng,from,จาก,81,2,จาก,
工作,gōng zuò,to work; of a machine to operate,"งาน, ทำงาน",81,1,ทำงาน; งาน,
高,gāo,tall; high,สูง,79,2,สูง,
今天,jīn tiān,today; the present time,วันนี้,78,1,วันนี้,
就是,jiù shì,exactly; precisely,"ก็คือ, นั่นแหละ",77,3,"ก็คือ, นั่นแหละ",
那,nà,that; those,"นั่น, นั้น",77,1,"นั่น, นั้น",
吧,ba,(suggestion particle),คำชวน/คำลงท้ายอ่อนลง (เถอะ),76,1,เถอะ (คำชวน/เสนอแนะ),
文,wén,language; culture,ภาษา; ตัวอักษร; วัฒนธรรม,76,3,ภาษา; วัฒนธรรม,
用,yòng,to use,ใช้,76,3,ใช้,
所以,suǒ yǐ,therefore; as a result,"ดังนั้น, เพราะฉะนั้น",75,2,"ดังนั้น, เพราะฉะนั้น",
主要,zhǔ yào,main; principal,"หลัก, สำคัญ",73,3,"หลัก, สำคัญ",
小,xiǎo,small; tiny,เล็ก,73,1,เล็ก,
孩子,hái zi,child,"เด็ก, ลูก",72,2,เด็ก; ลูก,
历史,lì shǐ,history,ประวัติศาสตร์,70,3,ประวัติศาสตร์,
并,bìng,and; furthermore,อีกทั้ง; (เน้นปฏิเสธ) ...เลย,69,4,อีกทั้ง; และ,"EN gloss is only ""and; furthermore""; dropped the emphatic-negation (并不) sense"
应该,yīng gāi,ought to; should,"ควรจะ, ควร",69,3,"ควรจะ, ควร",
以,yǐ,with; in order to,ใช้; ด้วย; เพื่อ,68,4,ด้วย; เพื่อ,
之,zhī,literary possessive particle,คำแสดงความเป็นเจ้าของแบบภาษาเขียน,66,4,ของ (ภาษาเขียน),"literary possessive; led with ของ + register tag, but the descriptive gloss may be clearer for a learner"
不要,bú yào,don't!; must not,"อย่า, ไม่เอา",64,3,อย่า; ไม่เอา,
将,jiāng,will; shall,จะ; (คำชี้กรรมในภาษาเขียน),64,4,จะ (ในภาษาเขียน),"EN only ""will; shall""; dropped the literary object-marker sense"
出现,chū xiàn,to appear; to arise,"ปรากฏ, เกิดขึ้น",63,3,ปรากฏ; เกิดขึ้น,
所,suǒ,place; (measure word for buildings); (nominalizing particle),สถานที่; (คำเสริมในภาษาเขียน),63,4,สถานที่; (คำเสริมในภาษาเขียน),
才,cái,only then; talent,เพิ่งจะ; ถึงจะ,63,3,ถึงจะ; พรสวรรค์,"added พรสวรรค์ for the ""talent"" noun sense the EN gloss lists"
生活,shēng huó,to live; life,ชีวิต; ใช้ชีวิต,63,4,ชีวิต; ใช้ชีวิต,
根据,gēn jù,according to; based on,"ตาม, อ้างอิงจาก",62,3,"ตาม, อ้างอิงจาก",
觉得,jué de,to think that ...; to feel that ...,"รู้สึก, คิดว่า",62,2,รู้สึก; คิดว่า,
需要,xū yào,to need; to want,"ต้องการ, จำเป็น",61,3,ต้องการ; จำเป็น,
