hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
人类,rén lèi,humanity; human race,"มนุษยชาติ, มนุษย์",60,5,มนุษยชาติ; มนุษย์,
广告,guǎng gào,to advertise; a commercial,โฆษณา,60,4,โฆษณา,
朋友,péng yǒu,friend,เพื่อน,60,1,เพื่อน,
如果,rú guǒ,if; in case,"ถ้า, หาก",59,3,ถ้า; หาก,
发现,fā xiàn,to notice; to become aware of,"ค้นพบ, พบว่า",58,3,พบว่า; ค้นพบ,EN 'notice/become aware' is narrower than 发现 (also = discover); led with พบว่า
开始,kāi shǐ,to begin; beginning,"เริ่ม, เริ่มต้น",58,2,เริ่ม; เริ่มต้น,
您,nín,you,คุณ (สุภาพ),58,2,คุณ (สุภาพ),
时候,shí hòu,time; length of time,"เวลา, ตอน, ช่วง",58,1,ตอน; เวลา,
知道,zhī dào,to know; to become aware of,รู้,58,2,รู้,
这儿,zhè ér,here,ที่นี่,58,1,ที่นี่,
于,yú,at; in (literary),"ที่, ใน, ณ (บุพบทภาษาเขียน)",56,4,ณ (บุพบทภาษาเขียน); ที่,
吃,chī,to eat; to consume,กิน,56,1,กิน,
重要,zhòng yào,important; significant,สำคัญ,56,3,สำคัญ,
非常,fēi cháng,very; really,"อย่างยิ่ง, มากๆ",56,2,มากๆ; อย่างยิ่ง,
大家,dà jiā,everyone; influential family,ทุกคน,55,2,ทุกคน,
许多,xǔ duō,many; a lot of,มากมาย,55,4,มากมาย,
因为,yīn wèi,because; owing to,เพราะว่า,54,2,เพราะว่า,
当,dāng,to act as; when,"เป็น, ทำหน้าที่; เมื่อ; ควร",54,4,เป็น (ทำหน้าที่); เมื่อ,
买,mǎi,to buy; to purchase,ซื้อ,53,1,ซื้อ,
明天,míng tiān,tomorrow,พรุ่งนี้,53,1,พรุ่งนี้,
少,shǎo,few; less,น้อย,52,1,น้อย,
比,bǐ,to compare; than,กว่า; เปรียบเทียบ,52,2,กว่า; เปรียบเทียบ,
别,bié,don't; other,อย่า; อื่น,51,2,อย่า; อื่น,
年,nián,year,ปี,51,1,ปี,
这样,zhè yàng,this way; like this,"แบบนี้, เช่นนี้",51,2,แบบนี้; อย่างนี้,
银行,yín háng,bank,ธนาคาร,50,3,ธนาคาร,
却,què,but; yet,"แต่กลับ, ทว่า",49,4,แต่กลับ; ทว่า,
点,diǎn,o’clock; a little,โมง (นาฬิกา); จุด; นิดหน่อย,49,1,โมง (นาฬิกา); นิดหน่อย,
画,huà,to draw; to paint,วาด; ภาพวาด,49,3,วาด; ระบายสี,"Thai has no crisp draw/paint split; วาด=draw, ระบายสี=paint/apply color"
老板,lǎo bǎn,boss; shop owner,"เจ้านาย, เถ้าแก่",49,5,เจ้านาย; เถ้าแก่,
不管,bù guǎn,not to be concerned; regardless of,ไม่ว่า...ก็ตาม,48,4,ไม่ว่า...ก็ตาม,
会议,huì yì,meeting; conference,การประชุม,48,3,การประชุม,
下午,xià wǔ,afternoon; p.m.,ตอนบ่าย,47,1,ตอนบ่าย,
出,chū,to go out; to come out,ออก; ออกไป,47,2,ออก; ออกไป,
小时,xiǎo shí,hour,ชั่วโมง,47,2,ชั่วโมง,
影响,yǐng xiǎng,influence; effect,"อิทธิพล, ผลกระทบ; ส่งผลต่อ",47,3,อิทธิพล; ผลกระทบ,
成为,chéng wéi,to become; to turn into,กลายเป็น,47,4,กลายเป็น,
机场,jī chǎng,airport; airfield,สนามบิน,47,2,สนามบิน,
认为,rèn wéi,to believe; to think,"เห็นว่า, คิดว่า",46,3,คิดว่า; เห็นว่า,
问题,wèn tí,question; problem,"คำถาม, ปัญหา",46,2,คำถาม; ปัญหา,
再,zài,again; once more,อีกครั้ง; แล้วค่อย,45,2,อีกครั้ง; อีกที,
只,zhǐ,only; merely,"เพียง, แค่",45,3,เพียง; แค่,
向,xiàng,toward; direction,"ไปทาง, มุ่งสู่; ต่อ",45,2,ไปทาง; มุ่งสู่,
起,qǐ,to rise; to start,ลุก; เริ่ม,45,2,ลุก; เริ่ม,
一直,yì zhí,straight; continuously,"ตลอด, เรื่อยมา; ตรงไป",44,3,ตลอด; ตรงไป,
下,xià,down; downwards,"ลง, ข้างล่าง; ลง(รถ)",44,1,ลง; ข้างล่าง,
为什么,wèi shén me,why?; for what reason?,ทำไม,44,3,ทำไม,
冷,lěng,cold,"หนาว, เย็น",44,1,หนาว; เย็น,
公司,gōng sī,company; firm,บริษัท,43,2,บริษัท,
新,xīn,new,ใหม่,43,2,ใหม่,
