hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
水,shuǐ,water,น้ำ,43,1,น้ำ,
不同,bù tóng,different; distinct,แตกต่าง,42,3,แตกต่าง,
事情,shì qíng,affair; matter,"เรื่อง, ธุระ",42,2,เรื่อง; ธุระ,
作用,zuò yòng,to act on; to affect,"บทบาท, ผล, การออกฤทธิ์",42,3,ผล; บทบาท,作用 is a noun 'effect/function/role'; EN gloss reads verb-ish
写,xiě,to write,เขียน,42,1,เขียน,
快,kuài,rapid; quick,เร็ว; ไว; ใกล้จะ,42,2,เร็ว,
找,zhǎo,to try to find; to look for,หา,42,2,หา,
不错,bù cuò,correct; right,"ดีทีเดียว, ไม่เลว",41,2,ดีทีเดียว,不错 idiomatically means 'pretty good/not bad'; EN gloss 'correct; right' misses that common sense
像,xiàng,to resemble; to be like,"เหมือน, คล้าย",41,3,เหมือน,
听,tīng,to listen to; to hear,ฟัง,41,1,ฟัง,
呢,ne,(question particle),คำลงท้ายคำถาม (ล่ะ),41,1,คำลงท้ายคำถาม (ล่ะ),
坚持,jiān chí,to persevere with; to persist in,"ยืนหยัด, ยึดมั่น, ทำต่อเนื่อง",41,4,ยืนหยัด,
海,hǎi,sea; ocean,"ทะเล, มหาสมุทร",41,6,ทะเล,
可能,kě néng,might; possible,"อาจจะ, เป็นไปได้",40,2,อาจจะ; เป็นไปได้,
成功,chéng gōng,success; to succeed,"ความสำเร็จ, สำเร็จ",40,4,สำเร็จ; ความสำเร็จ,
月,yuè,moon; month,เดือน; พระจันทร์,40,1,เดือน; พระจันทร์,
身体,shēn tǐ,the body; one's health,"ร่างกาย, สุขภาพ",40,2,ร่างกาย; สุขภาพ,
钱,qián,money,เงิน,40,1,เงิน,
东西,dōng xi,thing; object,"สิ่งของ, ของ",39,1,ของ,
儿子,ér zi,son,ลูกชาย,39,1,ลูกชาย,
加油站,jiā yóu zhàn,gas station,ปั๊มน้ำมัน,39,4,ปั๊มน้ำมัน,
快乐,kuài lè,happy; joyful,มีความสุข,39,2,มีความสุข,
或,huò,or; maybe; perhaps,หรือ; อาจจะ,39,4,หรือ; อาจจะ,
由,yóu,from; by; due to,โดย; จาก; เนื่องจาก,39,4,โดย; จาก,
电视,diàn shì,television; TV,โทรทัศน์,39,1,โทรทัศน์,
越,yuè,to exceed; increasingly,"ยิ่ง...(ยิ่ง); ข้าม, เกิน",39,3,ยิ่ง...ยิ่ง; ข้าม,
这些,zhè xiē,these,เหล่านี้,39,1,เหล่านี้,
关于,guān yú,pertaining to; concerning,เกี่ยวกับ,38,3,เกี่ยวกับ,
其,qí,his; her,ของเขา/มัน; นั้น,38,4,ของเขา/มัน; นั้น,
带来,dài lái,to bring,"นำมา, ก่อให้เกิด",38,3,นำมา; ก่อให้เกิด,
座,zuò,seat; (measure word for large or solid objects),ที่นั่ง; ลักษณนาม(สิ่งใหญ่ตั้งอยู่),38,4,ที่นั่ง; ลักษณนาม(สิ่งใหญ่ตั้งอยู่),
生命,shēng mìng,life; living being,"ชีวิต, สิ่งมีชีวิต",38,4,ชีวิต; สิ่งมีชีวิต,
缺点,quē diǎn,weak point; fault,"ข้อเสีย, จุดด้อย",38,4,ข้อเสีย,
较,jiào,comparatively; to compare,ค่อนข้าง; เปรียบเทียบ,38,3,ค่อนข้าง; เปรียบเทียบ,
那么,nà me,like that; in that way,"เช่นนั้น, ขนาดนั้น; งั้น",38,3,แบบนั้น; ขนาดนั้น,
具有,jù yǒu,to have; to possess,"มี, ประกอบด้วย",37,4,มี,
告诉,gào su,to tell; to inform,บอก,37,2,บอก,
地球,dì qiú,the earth,โลก (ดาวเคราะห์),37,4,โลก (ดาวเคราะห์),
已经,yǐ jīng,already,"...แล้ว, เรียบร้อยแล้ว",37,2,แล้ว,
桥,qiáo,bridge,สะพาน,37,4,สะพาน,
点心,diǎn xīn,light refreshments; pastry,"ของว่าง, ขนม",37,6,ของว่าง; ขนม,
老人,lǎo rén,old man or woman; the elderly,"คนแก่, ผู้สูงอายุ",37,3,ผู้สูงอายุ,
长,zhǎng,to grow up; chief,ยาว; เติบโต,37,2,เติบโต; หัวหน้า,pinyin zhang3 = grow up/chief; current Thai 'ยาว' was the chang2 'long' reading. Translated the EN sense
马,mǎ,horse,ม้า,37,3,ม้า,
事,shì,matter; thing,"เรื่อง, ธุระ",36,2,เรื่อง; ธุระ,
发展,fā zhǎn,development; growth,พัฒนา; การพัฒนา,36,4,พัฒนา; การพัฒนา,
地方,dì fāng,region; regional,"สถานที่, ที่; ท้องถิ่น",36,3,สถานที่; ท้องถิ่น,
爱,ài,to love; to be fond of,รัก,36,1,รัก,
前,qián,front; forward,"หน้า, ข้างหน้า; ก่อน",35,1,ข้างหน้า; ก่อน,
提高,tí gāo,to raise; to increase,"ยกระดับ, เพิ่มขึ้น",35,3,ยกระดับ; เพิ่มขึ้น,
