hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
引入,yǐn rù,to draw into; to pull into,"ดึงเข้า, นำเข้า, นำมาใช้",2,6,ดึงเข้ามา; นำเข้า,
弯曲,wān qū,to bend; to curve around,"โค้ง, งอ, ไม่เป็นเส้นตรง",2,6,"โค้ง, งอ",
强化,qiáng huà,to strengthen; to intensify,"เสริมแรง, เข้มแข็งขึ้น, ทำให้แข็งแรง",2,6,เสริมความแข็งแกร่ง; ทำให้เข้มข้นขึ้น,
彼此,bǐ cǐ,each other; one another,ซึ่งกันและกัน,2,5,ซึ่งกันและกัน,
征服,zhēng fú,to conquer; to subdue,"พิชิต, ยึดครอง, ชนะเอา",2,5,"พิชิต, ยึดครอง",
得知,dé zhī,to find out; to learn of,"ทราบ, รู้ได้, เรียนรู้",2,5,"ทราบ, ได้รู้",
循序渐进,xún xù jiàn jìn,"in sequence, step by step","ทีละขั้น, ก้าวต่อก้าว, ค่อย ๆ ก้าวหน้า",2,6,"ทีละขั้นตอน, ค่อยเป็นค่อยไป",
循环,xún huán,to cycle; to circulate,"วนรอบ, หมุนเวียน, ซ้ำซ้อน",2,6,"หมุนเวียน, วนรอบ",
心目,xīn mù,mind,"จิตใจ, ใจ, ความคิด",2,6,ในใจ; มุมมอง,
心胸,xīn xiōng,heart; mind,ใจ,2,6,"จิตใจ, ใจคอ",
必不可少,bì bù kě shǎo,absolutely necessary; indispensable,"ขาดไม่ได้, ต้องมี, จำเป็นอย่างยิ่ง",2,4,"ขาดไม่ได้, จำเป็นอย่างยิ่ง",
必将,bì jiāng,inevitably,"ย่อมจะ, หลีกไม่พ้น, แน่นอน",2,6,"ย่อมจะ, แน่นอน",
必然,bì rán,inevitable; certain,"แน่นอน, หลีกเลี่ยงไม่ได้",2,5,"แน่นอน, หลีกเลี่ยงไม่ได้",
忘掉,wàng diào,to forget,ลืม,2,4,ลืม,
忙碌,máng lù,busy; bustling,"ยุ่งอย่างมาก, ไม่มีเวลาว่าง, ติดงาน",2,6,"ยุ่ง, วุ่นอยู่กับงาน",
忠实,zhōng shí,faithful,"จริงใจ, ซื่อสัตย์, เที่ยงธรรม",2,6,"ซื่อสัตย์, ภักดี",
忧虑,yōu lǜ,to worry; anxiety,"วิตกกังวล, เป็นห่วง, กังวลใจ",2,6,"วิตกกังวล, กังวลใจ",
快要,kuài yào,nearly at the point of; about to,เกือบจะ,2,4,"กำลังจะ, ใกล้จะ",
快速,kuài sù,fast; high-speed,"รวดเร็ว, เร็ว, ไปอย่างรวดเร็ว",2,4,"รวดเร็ว, ความเร็วสูง",
急忙,jí máng,hastily,โดยรีบเร่ง,2,5,"รีบเร่ง, รีบร้อน",
性命,xìng mìng,life,"ชีวิต, เนื้อชีวิต, ลมหายใจ",2,6,ชีวิต,
怪,guài,odd; strange,แปลกประหลาด,2,4,"แปลก, ประหลาด",
怪异,guài yì,monstrous; strange,"แปลกประหลาด, ประหลาด, แปลกใจ",2,6,"แปลกประหลาด, พิลึก",
总的来说,zǒng de lái shuō,generally speaking; to sum up,โดยทั่วไป,2,4,โดยรวมแล้ว; พูดโดยสรุป,
总裁,zǒng cái,chairman; director-general,ประธานบริษัท,2,5,ประธานบริษัท,
恐龙,kǒng lóng,dinosaur; old ugly person,"ไดโนเสาร์, สัตว์ยุคก่อน",2,6,ไดโนเสาร์,"EN-GLOSS-BUG: 'old ugly person' is internet slang, unsuitable as a learner gloss; core sense is dinosaur"
恶劣,è liè,vile; nasty,"ชั่ว, ร้ายแรง",2,5,"เลวร้าย, ย่ำแย่",
悠闲,yōu xián,leisurely,ใจเยื้อ,2,5,"สบายๆ, ผ่อนคลาย",thai_current 'ใจเยื้อ' is not a Thai word
悲哀,bēi āi,grieved; sorrowful,"เศร้า, อาลัย",2,5,"เศร้าโศก, เศร้าใจ",
悲痛,bēi tòng,grieved; sorrowful,เศร้าโศก,2,5,เศร้าโศก,
情不自禁,qíng bù zì jīn,idiom cannot refrain from,ไม่สามารถอดใจได้,2,6,อดใจไม่ได้; อดไม่อยู่,
情愿,qíng yuàn,willingness; would rather,"ยินดี, อยากหรือต้องการ, เต็มใจ",2,5,เต็มใจ; ยอมที่จะ,
想不到,xiǎng bú dào,unexpected; hard to imagine,ไม่คาดคิด,2,5,"คาดไม่ถึง, ไม่นึกว่า",
愈合,yù hé,of a wound to heal,"แผลหาย, สมานแผล",2,6,"แผลหาย, สมานแผล",
感人,gǎn rén,touching; moving,ยิ่งใจ,2,4,"ซึ้งใจ, กินใจ",thai_current 'ยิ่งใจ' is not a Thai word
感叹,gǎn tàn,to sigh; to lament,"ถอนหายใจ, ไว้อาลัย, เพ่นพ่อน",2,6,อุทานด้วยความรู้สึก; ถอนหายใจ,thai_current contained 'เพ่นพ่อน' (not a valid word)
感性,gǎn xìng,perception; perceptual,"การรับรู้, ความรู้สึก, ความเข้าใจ",2,6,เชิงอารมณ์ความรู้สึก; การรับรู้,
感想,gǎn xiǎng,impressions; reflections,"ความรู้สึก, ความคิดเห็น",2,5,"ความรู้สึก, ความคิดเห็น",
感触,gǎn chù,feelings; emotional response,"ความรู้สึก, ความเข้าใจ, การกระทบใจ",2,6,ความรู้สึกสะเทือนใจ,
成本,chéng běn,"manufacturing, production etc costs",ต้นทุน,2,5,ต้นทุน,
或许,huò xǔ,perhaps; maybe,"บางที, อาจจะ, หรือ",2,6,"บางที, อาจจะ",
