hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
翅膀,chì bǎng,wing,ปีก,4,5,ปีก,
老字号,lǎo zì hào,time-honored brand; old shop,ห้างค้าเก่าแก่,4,6,แบรนด์เก่าแก่; ร้านเก่าแก่,
聊,liáo,to chat,"คุย, พูดคุย",4,4,"คุย, พูดคุย",
联合,lián hé,to combine; to join,"รวมกัน, ร่วมกัน",4,6,"รวมกัน, ร่วมกัน",
背,bèi,back (of body); to memorize,"หลัง, ท่องจำ",4,5,หลัง; ท่องจำ,
背景,bèi jǐng,background; backdrop,"ภูมิหลัง, ฉากหลัง",4,5,ภูมิหลัง; ฉากหลัง,
胜利,shèng lì,victory,ชัยชนะ,4,5,ชัยชนะ,
航天,háng tiān,space flight,การสำรวจอวกาศ,4,6,การบินอวกาศ,
著作,zhù zuò,to write; literary work,"ผลงานเขียน, ประพันธ์",4,5,ผลงานเขียน; ประพันธ์,
葡萄酒,pú táo jiǔ,grape wine,"ไวน์, เหล้าองุ่น",4,4,"ไวน์, เหล้าองุ่น",
融入,róng rù,to blend into; to integrate,ผสมผสาน,4,6,ผสมผสาน,
融洽,róng qià,harmonious; friendly relations,"กลมเกลียว, เข้ากันได้ดี",4,5,"กลมเกลียว, เข้ากันได้ดี",
街,jiē,street,ถนน,4,3,ถนน,
街道,jiē dào,street; subdistrict,ถนน,4,3,ถนน,
衬衫,chèn shān,shirt; blouse,เสื้อเชิ้ต,4,3,เสื้อเชิ้ต,
西边,xī biān,west; west side,ทิศตะวันตก,4,3,ทิศตะวันตก,
见到,jiàn dào,to see,"ได้พบ, ได้เจอ",4,2,"ได้พบ, ได้เจอ",
观念,guān niàn,notion; thought,"แนวคิด, ทัศนคติ",4,5,"แนวคิด, ทัศนคติ",
观赏,guān shǎng,to view for pleasure; ornamental,ชมดู,4,6,"ชม, ชื่นชม",
规划,guī huà,to draw up a plan; to map out a program,วางแผน,4,6,วางแผน,
规则,guī zé,rule; regulation,กฎเกณฑ์,4,5,กฎเกณฑ์,
