hanzi,pinyin,english,thai_current,freq,level
鄙视,bǐ shì,to despise; to disdain,ดูถูก,1,6
配备,pèi bèi,to allocate; to provide,จัดเตรียม,1,6
配音,pèi yīn,dubbing,ดับบิ้ง,1,5
酗酒,xù jiǔ,heavy drinking; to get drunk,ดื่มสุรามาก,1,6
酝酿,yùn niàng,to ferment; to brew (plans),หมักเหล้า,1,6
酱油,jiàng yóu,soy sauce,ซีอิ๊ว,1,5
酸甜苦辣,suān tián kǔ là,joys and sorrows of life,เปรี้ยว หวาน ขม เผ็ด,1,4
酿造,niàng zào,to brew; to make by fermentation,"หมักขึ้น, คิดค้น",1,5
醉,zuì,intoxicated,"เมา, ชึ่มเชื่อ",1,5
醒目,xǐng mù,eye-grabbing; striking,โดดเด่น,1,6
采,cǎi,to pick; to pluck,เก็บ,1,6
采集,cǎi jí,to gather; to collect,รวบรวม,1,6
释放,shì fàng,to release; to set free,"ปล่อย, คลายตัว",1,5
里程碑,lǐ chéng bēi,milestone,"ก้าวสำคัญ, เหตุสำคัญ",1,5
里边,lǐ biān,inside,"ข้างใน, ด้านใน",1,5
野生,yě shēng,wild; undomesticated,ป่า,1,6
金,jīn,gold; metal,ทอง,1,6
金牌,jīn pái,gold medal,เหรียญทอง,1,5
金融,jīn róng,banking; finance,การเงิน,1,6
鉴于,jiàn yú,in view of; seeing that,เพราะ,1,6
鉴别,jiàn bié,to differentiate; to distinguish,"แยกแยะ, จำแนก",1,5
钉,dīng,nail; to follow closely,"ตะปู, ติดตาม",1,5
钩,gōu,hook; to hook,เบ็ด,1,6
钻,zuān,to drill; to bore,"เจาะ, ทะลุ",1,5
钻研,zuān yán,to study meticulously; to delve into,ศึกษาลึก,1,6
铁路,tiě lù,railroad; railway,ทางรถไฟ,1,4
铃声,líng shēng,ring; ringtone,"เสียงระฆัง, เสียงเรียก",1,5
铝,lǚ,aluminum,อะลูมิเนียม,1,6
铭记,míng jì,to engrave in one's memory,"จดจำลึก, ยึดมั่น",1,5
银行卡,yín háng kǎ,bank card,บัตรธนาคาร,1,4
