hanzi,pinyin,english,thai_current,freq,level
丝,sī,silk; thread-like thing,ไหม,2,5
丢失,diū shī,to lose; to misplace,"หาย, สูญหาย",2,5
严厉,yán lì,severe; strict,เข้มงวด,2,5
个性,gè xìng,individuality; personality,บุคลิกภาพ,2,5
中介,zhōng jiè,to act as intermediary; to link,ตัวกลาง,2,5
中华民族,zhōng huá mín zú,the Chinese nation; the Chinese people,ชาวจีน,2,5
中外,zhōng wài,Sino-foreign; Chinese-foreign,ระหว่างจีนและต่างประเทศ,2,6
中奖,zhòng jiǎng,to win a prize,ถูกรางวัล,2,5
中期,zhōng qī,middle; medium-term,ช่วงกลาง,2,6
中部,zhōng bù,middle part,ส่วนกลาง,2,5
丰收,fēng shōu,to reap a bumper harvest,เก็บเกี่ยวดี,2,5
主人公,zhǔ rén gōng,hero; main protagonist,ตัวประกอบสำคัญ,2,6
主张,zhǔ zhāng,to advocate; to stand for,เห็นชอบ,2,5
举世闻名,jǔ shì wén míng,world-famous,มีชื่อเสียงท่ั่วโลก,2,6
乃至,nǎi zhì,and even; to go so far as to,และแม้กระทั่ง,2,6
之中,zhī zhōng,inside; among,ท่ามกลาง,2,4
之内,zhī nèi,inside; within,"ข้างใน, ในระหว่าง",2,4
乘,chéng,to ride; to take (a vehicle),"ขี่, โดยสาร",2,5
乘车,chéng chē,to ride; to drive,โดยสารรถ,2,6
乡村,xiāng cūn,rustic; village,หมู่บ้าน,2,5
书包,shū bāo,schoolbag; satchel,กระเป๋านักเรียน,2,4
予以,yǔ yǐ,to give; to impose,ให้,2,6
争,zhēng,to strive for; to vie for,ชิงชัง,2,5
争吵,zhēng chǎo,to quarrel; dispute,ทะเลาะ,2,5
争执,zhēng zhí,to dispute; to disagree,โต้แย้ง,2,5
争论,zhēng lùn,to argue; to debate,ถกเถียง,2,5
事故,shì gù,accident,อุบัติเหตุ,2,6
云,yún,cloud,เมฆ,2,4
互联网,hù lián wǎng,Internet,อินเทอร์เน็ต,2,4
交换,jiāo huàn,to exchange; to swap,แลกเปลี่ยน,2,5
产业,chǎn yè,industry; estate,อุตสาหกรรม,2,6
产地,chǎn dì,source; place of origin,ต้นทาง,2,5
享有,xiǎng yǒu,to enjoy,ได้รับ,2,6
亲切,qīn qiè,amiable; cordial,เป็นกันเอง,2,5
亲密,qīn mì,intimate; close,สนิทสนม,2,5
亲眼,qīn yǎn,with one's own eyes; personally,ด้วยตาของเอง,2,6
人事,rén shì,personnel; human resources,บุคลากร,2,5
人手,rén shǒu,manpower; staff,กำลังคน,2,6
人格,rén gé,personality; integrity,บุคลิกภาพ,2,5
人民币,rén mín bì,"Renminbi, the official currency of the PRC",หยวน,2,4
人群,rén qún,crowd,ฝูงชน,2,5
今日,jīn rì,today,วันนี้,2,6
从中,cóng zhōng,from among them; from it,จากตรงนี้,2,6
仓库,cāng kù,depot; storehouse,คลังสินค้า,2,6
付,fù,to pay; to hand over,"จ่าย, มอบให้",2,5
付款,fù kuǎn,to pay a sum of money; payment,ชำระเงิน,2,4
代,dài,to be a substitute for; generation,แทน,2,4
价,jià,price; value,ราคา,2,5
价钱,jià qián,price,ราคา,2,6
任,rèn,to appoint; to assign (a post),มอบหมาย,2,6
任意,rèn yì,any; arbitrary,ตามต้องการ,2,5
众人,zhòng rén,everyone,ทุกคน,2,5
优雅,yōu yǎ,grace; graceful,สง่างาม,2,5
会见,huì jiàn,to meet with,พบปะ,2,5
传授,chuán shòu,to impart; to pass on,สอนให้,2,6
传染,chuán rǎn,to infect; contagious,"ติดเชื้อ, ติด",2,5
传真,chuán zhēn,to fax; a fax,แฟกซ์,2,4
伤口,shāng kǒu,wound; cut,บาดแผล,2,5
伴随,bàn suí,to accompany; to follow,ตามมาด้วย,2,6
住处,zhù chù,residence; dwelling,ที่อยู่,2,6
住院,zhù yuàn,to stay in hospital; to be hospitalized,อยู่ในโรงพยาบาล,2,4
体育馆,tǐ yù guǎn,gym; gymnasium,โรงยิม,2,3
体贴,tǐ tiē,considerate,ใจดี,2,6
体重,tǐ zhòng,body weight,น้ำหนัก,2,5
何况,hé kuàng,let alone; to say nothing of,นอกจากนี้,2,5
余,yú,I; me (literary),ข้าพเจ้า,2,5
作战,zuò zhàn,combat; to fight,ต่อสู้,2,5
供奉,gòng fèng,to consecrate; to enshrine and worship,บูชา,2,6
便利,biàn lì,convenient; easy,สะดวก,2,5
促使,cù shǐ,to prompt; to induce,"ผลักดันให้เกิดขึ้น, กระตุ้น",2,5
保暖,bǎo nuǎn,to keep warm,"รักษาความอบอุ่น, กันหนาว",2,4
保管,bǎo guǎn,to hold in safekeeping; to guarantee,เก็บรักษา,2,5
保险,bǎo xiǎn,insurance; to insure,ประกันภัย,2,5
保障,bǎo zhàng,to ensure; to guarantee,คุ้มครอง,2,6
信仰,xìn yǎng,to believe in; firm belief,ศรัทธา,2,6
信箱,xìn xiāng,mailbox; post office box,กล่องจดหมาย,2,4
信赖,xìn lài,to trust; to have confidence in,ไว้วางใจ,2,6
修理,xiū lǐ,to repair; to fix,ซ่อม,2,4
倒霉,dǎo méi,to have bad luck; to be out of luck,"โชคร้าย, ซวย",2,5
借鉴,jiè jiàn,to draw on; to learn from,อ้างอิง,2,6
倾诉,qīng sù,to say everything,บอกทั้งหมด,2,5
假使,jiǎ shǐ,if; in case,ถ้า,2,6
假装,jiǎ zhuāng,to feign; to pretend,แกล้ง,2,5
偏,piān,to lean; to slant,"เอียง, เอียงเข้า",2,5
偏僻,piān pì,remote; desolate,ห่างไกล,2,6
做客,zuò kè,to be a guest or visitor,มาเยือน,2,3
做饭,zuò fàn,to prepare a meal; to cook,ทำข้าว,2,3
停电,tíng diàn,to have a power failure; power cut,ไฟดับ,2,4
停车位,tíng chē wèi,parking space; parking spot,ที่จอดรถ,2,5
停顿,tíng dùn,to halt; to break off,หยุด,2,6
偷,tōu,to steal; to pilfer,ลักขโมย,2,5
傍晚,bàng wǎn,in the evening; when night falls,ตอนเย็น,2,5
储备,chǔ bèi,to store up; reserves,สำรองไว้,2,6
储蓄,chǔ xù,to save money; savings,เก็บสะสม,2,6
傲,ào,proud; arrogant,"หยิ่ง, ยโส",2,6
傻瓜,shǎ guā,idiot; fool,คนโง่,2,6
元宵节,yuán xiāo jié,Lantern Festival,เทศกาลโคมไฟ,2,6
元旦,yuán dàn,New Year's Day,วันปีใหม่,2,5
充电器,chōng diàn qì,battery charger,อุปกรณ์ชาร์จแบตเตอรี่,2,5
光芒,guāng máng,rays of light; brilliant rays,แสงส่องพรั่ง,2,6
免,miǎn,to excuse someone; to exempt,ยกเว้น,2,5
免疫,miǎn yì,immunity,ภูมิคุ้มกัน,2,6
全身,quán shēn,the whole body; typography em,ร่างกายทั้งหมด,2,5
全长,quán zhǎng,overall length; span,ความยาวทั้งหมด,2,4
八,bā,eight,แปด,2,2
公共,gōng gòng,public; common,สาธารณะ,2,4
公寓,gōng yù,apartment building; block of flats,"อพาร์ตเมนต์, อาคารชุด",2,5
公布,gōng bù,to announce; to make public,ประกาศ,2,5
公益,gōng yì,public good,สาธารณประโยชน์,2,6
公约,gōng yuē,convention,อนุสัญญา,2,6
公认,gōng rèn,publicly known; accepted,ยอมรับกันทั่ว,2,6
关联,guān lián,to be related; to be connected,เกี่ยวข้อง,2,6
兴高采烈,xìng gāo cǎi liè,happy and excited; in high spirits,มีความสุขสูง,2,6
兵,bīng,soldiers; a force,ทหาร,2,6
典型,diǎn xíng,model; typical case,ตัวแบบ,2,6
养生,yǎng shēng,to maintain good health; wellness,บำรุงสุขภาพ,2,6
内在,nèi zài,inner; internal,ภายใน,2,5
再说,zài shuō,besides; to deal with it later,พูดใหม่,2,3
冒,mào,to emit; to risk,ปล่อยออกมา,2,6
军事,jūn shì,military affairs; military,เรื่องทหาร,2,5
军队,jūn duì,armed forces; troops,กองทัพ,2,5
准,zhǔn,to allow; to grant,อนุญาต,2,4
减,jiǎn,to lower; to decrease,ลด,2,4
减弱,jiǎn ruò,to weaken; to diminish,อ่อนลง,2,6
凝聚,níng jù,to condense; to coagulate,รวมตัว,2,6
凭,píng,to lean against; to rely on,อาศัย,2,5
出售,chū shòu,to sell; to offer for sale,ขาย,2,4
出版,chū bǎn,to publish,พิมพ์,2,5
出示,chū shì,to show; to take out and show to others,แสดง,2,5
出院,chū yuàn,to be discharged from hospital,ออกจากโรงพยาบาล,2,2
分工,fēn gōng,to divide up the work; division of labor,แบ่งงาน,2,6
分开,fēn kāi,to separate; to part,แยกออกจากกัน,2,6
分担,fēn dān,to share,แบ่งภาระ,2,5
分类,fēn lèi,to classify,การจำแนก,2,5
分辨,fēn biàn,to distinguish; to differentiate,แยกแยะ,2,6
划,huà,to plan; to delimit,"วางแผน, กำหนดขอบเขต",2,5
划船,huá chuán,to row a boat; rowing,พายเรือ,2,5
创建,chuàng jiàn,to found; to establish,ก่อตั้ง,2,6
初中,chū zhōng,junior high school,มัธยมศึกษาตอนต้น,2,5
初衷,chū zhōng,original intention,จุดมุ่งหมายแรก,2,6
利润,lì rùn,profits,กำไร,2,5
利益,lì yì,benefit; in someone's interest,ผลประโยชน์,2,6
制订,zhì dìng,to work out; to formulate,กำหนด,2,6
前不久,qián bù jiǔ,not long ago; not long before,เมื่อไม่นานมานี้,2,6
前后,qián hòu,around; from beginning to end,"ประมาณ, จากต้นจนจบ",2,5
前往,qián wǎng,to leave for; to proceed towards,เดินทางไป,2,6
前提,qián tí,premise; precondition,เงื่อนไขเบื้องต้น,2,6
前景,qián jǐng,prospects; outlook,มุมมองล่วงหน้า,2,6
前期,qián qī,preceding period; early stage,ระยะแรก,2,5
前来,qián lái,to come; before,มาก่อน,2,3
前进,qián jìn,to go forward; to forge ahead,เดินหน้า,2,4
前途,qián tú,prospects; future outlook,อนาคต,2,5
剧,jù,theatrical work; dramatic,บทละคร,2,6
剧烈,jù liè,violent; acute,รุนแรง,2,6
劝,quàn,to advise; to urge,โน้มน้าว,2,5
办事,bàn shì,to handle; to work,ทำการ,2,5
办理,bàn lǐ,to handle; to transact,บริหารการ,2,5
功,gōng,meritorious deed or service; achievement,"ความดีความชอบ, ความสำเร็จ",2,4
加入,jiā rù,to become a member; to join,เข้าร่วม,2,4
加深,jiā shēn,to deepen,ทำให้ลึกขึ้น,2,4
加重,jiā zhòng,to make heavier; to emphasize,ทำให้หนักขึ้น,2,5
动听,dòng tīng,pleasant to listen to,ฟังพอใจ,2,6
劳动,láo dòng,work; toil,การงาน,2,5
勉强,miǎn qiǎng,reluctantly; to force,บังคับ,2,6
勿,wù,do not,อย่า,2,6
包子,bāo zi,baozi; bao,ซาลาเปา,2,4
包容,bāo róng,to pardon; to forgive,"อภัย, ยอม",2,5
包袱,bāo fú,wrapping cloth; a bundle wrapped in cloth,หีบห่อ,2,6
化妆,huà zhuāng,to put on makeup,แต่งหน้า,2,6
化肥,huà féi,chemical fertilizer,ปุ๋ยเคมี,2,6
北边,běi biān,north; north side,ทางเหนือ,2,4
升级,shēng jí,to go up by one grade; to be promoted,ขึ้นระดับ,2,5
午睡,wǔ shuì,to take a nap in the afternoon,นอนเที่ยงวัน,2,6
午餐,wǔ cān,lunch; luncheon,อาหารเที่ยง,2,5
半年,bàn nián,half a year,ครึ่งปี,2,3
华人,huá rén,ethnic Chinese person or people,ชาวจีน,2,6
卓越,zhuó yuè,outstanding; surpassing,เลิศเด่น,2,6
单位,dān wèi,unit; work unit,หน่วย,2,5
单独,dān dú,alone; by oneself,คนเดียว,2,5
单调,dān diào,monotonous,น่าเบื่อ,2,5
南瓜,nán guā,pumpkin,ฟักทอง,2,6
占用,zhàn yòng,to occupy,ยึดครอบ,2,5
卡,kǎ,to stop; to block,ติด,2,4
印,yìn,to print; seal,พิมพ์,2,4
印证,yìn zhèng,to confirm; to corroborate,ยืนยัน,2,6
即便,jí biàn,even if; even though,แม้ว่า,2,5
卷,juǎn,to roll up; to sweep up,ม้วน,2,5
历程,lì chéng,course; process,ขั้นตอน,2,6
压,yā,to press; to push down,กด,2,5
压抑,yā yì,to constrain or repress emotions; oppressive,"กดข่มความรู้สึก, กดดัน",2,6
厕所,cè suǒ,toilet; lavatory,ห้องน้ำ,2,5
厘米,lí mǐ,centimeter,เซนติเมตร,2,5
原先,yuán xiān,originally; original,ตั้งแต่เดิม,2,5
原地,yuán dì,in place; on the spot,สถานที่เดิม,2,5
双,shuāng,pair; both,คู่,2,3
双向,shuāng xiàng,bidirectional; two-way,สองทาง,2,6
双重,shuāng chóng,double,"สองชั้น, ทวิภาค",2,6
反,fǎn,contrary; in reverse,ตรงกันข้าม,2,4
反思,fǎn sī,to think back over something; to review,พิจารณาย้อนกลับ,2,6
反感,fǎn gǎn,to be disgusted with; to dislike,ไม่ชอบ,2,6
