hanzi,pinyin,english,thai_current,freq,level
亮,liàng,bright; light,"สว่าง, สดใส",5,3
亲自,qīn zì,personally; in person,"ด้วยตัวเอง, โดยตรง",5,5
人家,rén jiā,household; dwelling,ครัวเรือน; คนอื่น,5,5
仅,jǐn,barely; only,"เพียง, แค่",5,4
从事,cóng shì,to go for; to engage in,"ประกอบอาชีพ, ทำงานด้าน",5,5
付出,fù chū,to pay; to expend,"ทุ่มเท, เสียสละ(เวลา/แรง)",5,5
伙伴,huǒ bàn,companion; pal,"พันธมิตร, สหายสนิท",5,5
伞,sǎn,umbrella; parasol,ร่ม,5,3
传来,chuán lái,of a sound to come through; to be heard,ได้ยินเสียงมา,5,5
佩服,pèi fú,to admire,"นับถือ, ชื่นชม",5,5
依靠,yī kào,to rely on; to depend on,"พึ่งพา, ไว้วางใจ",5,5
保健,bǎo jiàn,health protection; health care,การดูแลสุขภาพ,5,6
修,xiū,to repair; to fix,"ซ่อม, ซ่อมแซม",5,4
修改,xiū gǎi,to amend; to alter,"แก้ไข, ปรับปรุง",5,5
做法,zuò fǎ,way of handling something; method for making,"วิธีทำ, วิธีการ",5,4
停,tíng,to stop; to halt,"หยุด, จอด",5,4
停留,tíng liú,to stay somewhere temporarily; to stop over,"หยุดพัก, ค้าง",5,4
健身,jiàn shēn,to exercise; to keep fit,ออกกำลังกาย,5,5
偶然,ǒu rán,incidentally; occasional,"บังเอิญ, เป็นครั้งคราว",5,5
兑换,duì huàn,to convert; to exchange,แลกเปลี่ยน,5,6
入口,rù kǒu,entrance; to import,ทางเข้า,5,4
全国,quán guó,whole nation; nationwide,ทั่วประเทศ,5,4
公斤,gōng jīn,kilogram,กิโลกรัม,5,3
冒险,mào xiǎn,to take risks; to take chances,"เสี่ยง, ผจญภัย",5,5
农作物,nóng zuò wù,farm crops,พืชการเกษตร,5,6
农村,nóng cūn,rural area; village,ชนบท,5,4
冲动,chōng dòng,to have an urge; to be impetuous,"หุนหันพลันแล่น, วูบวาบ",5,6
减轻,jiǎn qīng,to lighten; to ease,"บรรเทา, ทำให้เบาลง",5,4
出于,chū yú,due to; to stem from,"เนื่องมาจาก, ออกมาจาก",5,4
分为,fēn wéi,to divide something into; to subdivide,แบ่งออกเป็น,5,5
分别,fēn bié,to part; to leave each other,"แตกต่าง, ลาจาก",5,5
刚刚,gāng gāng,just recently; just a moment ago,"เพิ่งจะ, เมื่อกี้",5,4
制定,zhì dìng,to draw up; to formulate,"กำหนด, ร่าง (แผน/กฎ)",5,5
剑,jiàn,sword,"กระบี่, ดาบ",5,5
功效,gōng xiào,efficacy,"ประสิทธิ์, ผลประโยชน์",5,6
加上,jiā shàng,plus; to put in,"บวกกับ, รวมกับ; อีกทั้ง",5,4
动力,dòng lì,motive power,แรงผลักดัน,5,6
动画片,dòng huà piàn,animated film,ภาพยนตร์การ์ตูน,5,6
卧室,wò shì,bedroom,ห้องนอน,5,5
印刷术,yìn shuā shù,printing; printing technology,ศิลปะพิมพ์,5,6
危机,wēi jī,crisis,วิกฤตการณ์,5,5
原,yuán,original; former,"เดิม, ดั้งเดิม",5,4
反而,fǎn ér,on the contrary; instead,"ในทางกลับกัน, แต่กลับ",5,5
句,jù,sentence; clause,ประโยค; ลักษณนาม(ประโยค),5,3
可谓,kě wèi,it could even be said,อาจกล่าวได้ว่า,5,5
合同,hé tóng,contract; agreement,สัญญา,5,5
后人,hòu rén,later generation,"คนหลัง, รุ่นลูก",5,6
否定,fǒu dìng,to negate; to deny,ปฏิเสธ,5,5
吨,dūn,ton,ตัน,5,6
含义,hán yì,meaning; implied meaning,"ความหมาย, นัย",5,6
听说,tīng shuō,to hear; one hears,"ได้ยินว่า, ได้ข่าวว่า",5,2
命运,mìng yùn,fate; destiny,โชคชะตา,5,5
咱们,zán men,we or us spoken to); dialect I or me,พวกเรา,5,4
品尝,pǐn cháng,to have a taste of; to sample,"ลิ้มรส, ชิม",5,5
品种,pǐn zhǒng,breed; variety,"สายพันธุ์, ชนิด",5,5
哥,gē,elder brother,พี่ชาย,5,2
商人,shāng rén,merchant; businessman,"พ่อค้า, นายค้า",5,5
回去,huí qù,to return; to go back,กลับไป,5,1
团队,tuán duì,team,"ทีม, กลุ่มคน",5,5
困境,kùn jìng,predicament; plight,"สถานการณ์ลำบาก, ภาวะคับขัน",5,4
图案,tú àn,design; pattern,"ลวดลาย, แบบ",5,6
地点,dì diǎn,place; site,สถานที่,5,4
增,zēng,to increase,"เพิ่มขึ้น, ขยาย",5,6
壮,zhuàng,strong; robust; sturdy,"แข็งแรง, กำยำ",5,6
声,shēng,sound; voice,เสียง,5,5
外出,wài chū,to go out; to go away,"ออกนอก, เดินทาง",5,6
多数,duō shù,majority; most,ส่วนใหญ่,5,4
多次,duō cì,many times; repeatedly,หลายครั้ง,5,4
够,gòu,enough; quite,"พอ, เพียงพอ",5,4
大声,dà shēng,loud voice; in a loud voice,"เสียงดัง, พูดดัง",5,5
大多数,dà duō shù,great majority,"ส่วนใหญ่, ส่วนมาก",5,4
大小,dà xiǎo,large and small; size,ขนาด,5,4
大熊猫,dà xióng māo,giant panda,แพนด้ายักษ์,5,3
大米,dà mǐ,husked rice,ข้าว,5,2
天下,tiān xià,land under heaven; the whole world,"โลก, ทั่วไป",5,5
天然,tiān rán,natural,ตามธรรมชาติ,5,6
头,tóu,head,"หัว, ศีรษะ",5,4
头脑,tóu nǎo,brains; mind,"สมอง, หัวคิด",5,4
奇妙,qí miào,wonderful,"มหัศจรรย์, น่าอัศจรรย์",5,6
奥秘,ào mì,secret; mystery,"ความลี้ลับ, ความลับ",5,6
女士,nǚ shì,lady; madam,"สุภาพสตรี, คุณหญิง",5,5
女孩儿,nǚ hái ér,girl,เด็กผู้หญิง,5,2
她们,tā men,they; them,พวกเธอ (ผู้หญิง),5,1
好多,hǎo duō,many; quite a lot,มากมาย,5,1
好奇,hào qí,inquisitive; curious,"อยากรู้อยากเห็น, สงสัย",5,5
好奇心,hào qí xīn,interest in something; curiosity,ความอยากรู้อยากเห็น,5,5
妈,mā,ma; mom,แม่,5,3
威胁,wēi xié,to threaten; to menace,"คุกคาม, ข่มขู่",5,5
婚礼,hūn lǐ,wedding ceremony; wedding,งานแต่งงาน,5,5
字幕,zì mù,subtitles; captions,"คำบรรยาย, ซับไตเติล",5,5
完善,wán shàn,perfect; complete; to improve,"สมบูรณ์แบบ, ทำให้สมบูรณ์",5,5
定,dìng,to fix; to set,"กำหนด, ตั้ง; แน่นอน",5,4
实行,shí xíng,to implement; to carry out,"บังคับใช้, ดำเนิน",5,6
实践,shí jiàn,practice; to put into practice,"การปฏิบัติ, ลงมือทำ",5,5
宣传,xuān chuán,to disseminate; to give publicity to,"ประชาสัมพันธ์, โฆษณา",5,5
家人,jiā rén,family member; old servant,"คนในครอบครัว, สมาชิกครอบครัว",5,4
富,fù,rich; wealthy,"รวย, มั่งคั่ง; อุดม",5,4
富有,fù yǒu,rich; wealthy,"มั่งมี, เปี่ยมด้วย",5,4
寒冷,hán lěng,cold; frigid,หนาวเย็น,5,4
小心,xiǎo xīn,to be careful; to take care,ระวัง,5,3
就算,jiù suàn,even if,"ถึงแม้ว่า, ต่อให้",5,4
层,céng,to pile on top of one another; layer,ชั้น; ลักษณนาม(ชั้น),5,3
山,shān,mountain,ภูเขา,5,3
差异,chā yì,difference; discrepancy,ความแตกต่าง,5,5
帽子,mào zi,hat; cap,หมวก,5,3
年纪,nián jì,age,อายุ,5,5
庄稼,zhuāng jià,farm crop,พืชผล (การเกษตร),5,6
店,diàn,shop; hotel,"ร้าน, โรงแรม",5,2
建设,jiàn shè,to build,"ก่อสร้าง, พัฒนา",5,5
开发,kāi fā,to exploit; to open up,"พัฒนา, บุกเบิก",5,5
开心,kāi xīn,to feel happy; to rejoice,"ดีใจ, มีความสุข",5,4
弄,nòng,to do; to manage,"ทำ, จัดการ",5,4
强度,qiáng dù,strength; intensity,"ความเข้ม, ความแข็งแรง",5,5
强烈,qiáng liè,strong; intense,"รุนแรง, แรง",5,5
录取,lù qǔ,to admit (into school/job),รับเข้า (เรียน/ทำงาน),5,5
形容,xíng róng,to describe; literary countenance,"พรรณนา, บรรยาย",5,6
形象,xíng xiàng,image; form,"ภาพลักษณ์, รูปแบบ",5,5
心脏,xīn zàng,heart,หัวใจ,5,6
忍不住,rěn bú zhù,cannot help; unable to bear,"อดไม่ได้, กลั้นไม่อยู่",5,5
怎么办,zěn me bàn,what's to be done,จะทำอย่างไรดี,5,3
思想,sī xiǎng,thought; thinking,"ความคิด, แนวคิด",5,5
恐惧,kǒng jù,to be frightened; fear,"กลัว, สยอง",5,6
悲观,bēi guān,pessimistic,มองโลกในแง่ร้าย,5,5
情形,qíng xíng,circumstances; situation,"สถานการณ์, ภาวะ",5,5
情节,qíng jié,circumstances; plot,"โครงเรื่อง, เนื้อเรื่อง",5,6
意外,yì wài,unexpected; accident,"ไม่คาดคิด, เหตุอุบัติ",5,5
愿望,yuàn wàng,desire; wish,"ความปรารถนา, ความหวัง",5,5
慢慢,màn màn,slowly; gradually,"ช้าๆ, ค่อยๆ",5,3
成立,chéng lì,to establish; to set up,"ก่อตั้ง, จัดตั้ง",5,5
戴,dài,"to wear (hat, glasses, etc.)",สวม(แว่น/หมวก/ถุงมือ),5,4
手段,shǒu duàn,method; way,"วิธีการ, กลวิธี",5,5
打发,dǎ fā,to send away; to dismiss,"ส่งตัว, บังคับออก",5,6
扩展,kuò zhǎn,to extend; to expand,"ขยาย, แผ่ขยาย",5,6
批准,pī zhǔn,to approve; to ratify,อนุมัติ,5,5
承担,chéng dān,to undertake; to assume,"รับผิดชอบ, แบกรับ",5,5
抑制,yì zhì,to inhibit; to keep down,"กดดัน, ยับยั้ง",5,6
抓,zhuā,to grab; to catch,"คว้า, จับ",5,5
抬,tái,to lift; to raise,"ยก, หาม",5,4
持续,chí xù,to continue; to persist,"ต่อเนื่อง, ดำเนินต่อไป",5,5
指导,zhǐ dǎo,to guide; to direct,"แนะนำ, ชี้แนะ",5,5
挖,wā,to dig; to excavate,ขุด,5,5
捕,bǔ,to catch; to seize,จับ,5,5
损害,sǔn hài,harm; to damage,"ทำลาย, ก่อความเสียหาย",5,5
据说,jù shuō,it is said that; reportedly,"เล่าว่า, ว่ากันว่า",5,5
措施,cuò shī,measure; step,มาตรการ,5,5
撞,zhuàng,to knock against; to bump into,"ชน, กระแทก",5,5
播放,bō fàng,to broadcast; to transmit,ออกอากาศ,5,5
收益,shōu yì,earnings; profit,"รายได้, ผลกำไร",5,6
故,gù,happening; instance,"เหตุการณ์, ความ",5,5
效率,xiào lǜ,efficiency,ประสิทธิภาพ,5,5
教训,jiào xùn,to provide guidance; a talking-to,"บทเรียน, ข้อเตือน",5,5
数,shù,number; figure,"จำนวน, ตัวเลข",5,4
文明,wén míng,civilized; civilization,"วัฒนธรรม, อารยะ",5,5
无奈,wú nài,to have no alternative; frustrated,"จำใจ, ไม่มีทางเลือก",5,5
星星,xīng xīng,a star; the stars in the sky,ดาว,5,4
景色,jǐng sè,scenery; landscape,"ทิวทัศน์, ทัศนียภาพ",5,4
晴,qíng,clear; fine,(ท้องฟ้า)แจ่มใส,5,2
晴天,qíng tiān,clear sky; sunny day,วันที่อากาศแจ่มใส,5,2
智力,zhì lì,intelligence; intellect,สติปัญญา,5,6
替,tì,to substitute for; to take the place of,"แทน, ทดแทน",5,4
最初,zuì chū,first; primary,"เริ่มแรก, ตอนแรก",5,6
月底,yuè dǐ,end of the month,สิ้นเดือน,5,4
有害,yǒu hài,destructive; harmful,"เป็นอันตราย, มีโทษ",5,5
有意思,yǒu yì si,interesting; meaningful,น่าสนใจ,5,2
有所,yǒu suǒ,somewhat; to some extent,"ค่อนข้าง, บ้าง",5,5
朝着,cháo zhe,towards,"หันไป, มุ่งสู่",5,5
期,qī,period; cycle,"งวด, ช่วง",5,6
期间,qī jiān,period of time; time,"ช่วงเวลา, ระหว่าง",5,5
机制,jī zhì,mechanism,กลไก,5,6
机械,jī xiè,machine; machinery,"เครื่องจักร, เครื่องกล",5,6
杯,bēi,cup; trophy cup,ลักษณนาม(แก้ว/ถ้วย),5,2
某,mǒu,some; a certain,"บาง..., ...หนึ่ง",5,5
根,gēn,root; basis,"รากฐาน, ต้น",5,5
桥梁,qiáo liáng,bridge,สะพาน,5,6
检查,jiǎn chá,inspection; to examine,"ตรวจสอบ, ตรวจ",5,3
此外,cǐ wài,besides,นอกจากนี้,5,5
比例,bǐ lì,proportion; scale,"สัดส่วน, อัตราส่วน",5,5
比喻,bǐ yù,to compare; to liken to,"อุปมา, เปรียบเปรย",5,5
水利,shuǐ lì,water conservancy; irrigation works,วิศวกรรมน้ำ,5,6
水源,shuǐ yuán,water source; water supply,"แหล่งน้ำ, น้ำบาดาล",5,5
求学,qiú xué,to pursue one's studies; to attend school,เรียนหนังสือ,5,6
池塘,chí táng,pool; pond,"สระน้ำ, บ่อน้ำ",5,5
沉,chén,to sink; heavy,จม; หนัก,5,6
沙漠,shā mò,desert,ทะเลทราย,5,5
没什么,méi shén me,it doesn't matter; think nothing of it,"ไม่มีอะไร, ไม่เป็นไร",5,3
没关系,méi guān xì,it doesn't matter,ไม่เป็นไร,5,1
洞,dòng,cave; hole,"ถ้ำ, หลุม",5,5
派,pài,group; to send,"สถาบัน, นิกาย",5,5
流传,liú chuán,to spread; to circulate,"เผยแพร่, สืบทอดกันมา",5,5
海底,hǎi dǐ,seabed; seafloor,ก้นทะเล,5,4
深处,shēn chù,abyss; depths,"ที่ลึก, สระลึก",5,5
深深,shēn shēn,deep; profound,อย่างลึกซึ้ง,5,6
温室,wēn shì,greenhouse,เรือนกระจก,5,6
源泉,yuán quán,fountainhead; well-spring,"แหล่งกำเนิด, บ่อเกิด",5,6
灯,dēng,lamp; light,"โคม, ไฟ",5,4
灿烂,càn làn,to glitter; brilliant,สวยงามเจิดจ้า,5,6
烧,shāo,to burn; to set on fire,"เผา, ไหม้, ต้ม",5,5
热量,rè liàng,heat; quantity of heat,"ความร้อน, แคลอรี",5,4
牙,yá,tooth; ivory,ฟัน,5,3
状况,zhuàng kuàng,condition; state,"สภาพ, สถานการณ์",5,5
