hanzi,pinyin,english,thai_current,freq,level
到来,dào lái,to arrive; arrival,มาถึง,3,3
制度,zhì dù,system; institution,ระบบ,3,5
刻,kè,quarter; moment,นาที,3,5
前台,qián tái,front desk; reception,แผนกต้อนรับ; เคาน์เตอร์ต้อนรับ,3,5
前方,qián fāng,ahead; the front,ข้างหน้า,3,4
副作用,fù zuò yòng,side effect,ผลข้างเคียง,3,6
加工,jiā gōng,to process; processing,โปรเซส,3,6
加强,jiā qiáng,to reinforce; to strengthen,เสริมแข็งแกร่ง,3,5
加速,jiā sù,to accelerate; to speed up,เพิ่มความเร็ว,3,6
劳累,láo lèi,tired; exhausted,เหนื่อย,3,5
勇于,yǒng yú,to dare to; to be brave enough to,กล้าหาญ,3,5
勤奋,qín fèn,hardworking; diligent,ขยัน,3,5
北,běi,north,เหนือ,3,3
北极,běi jí,the North Pole; the north magnetic pole,ขั้วโลกเหนือ,3,6
区域,qū yù,area; region,เขต,3,6
升,shēng,to ascend; to rise,ขึ้น,3,5
升高,shēng gāo,to raise; to ascend,ยกสูง,3,5
南,nán,south,ทิศใต้,3,3
南部,nán bù,southern part,ภาคใต้,3,6
卫生间,wèi shēng jiān,bathroom; toilet,ห้องน้ำ,3,4
即将,jí jiāng,about to; on the point of,กำลัง,3,5
原则,yuán zé,principle; doctrine,หลักการ,3,5
原始,yuán shǐ,first; original,เดิม,3,6
去掉,qù diào,to get rid of; to exclude,ลบออก,3,5
参考,cān kǎo,consultation; reference,อ้างอิง,3,5
友情,yǒu qíng,friendly feelings; friendship,มิตรภาพ,3,5
反复,fǎn fù,repeatedly; over and over,ซ้ำแล้วซ้ำเล่า,3,5
反正,fǎn zhèng,anyway; in any case,อย่างไรก็ตาม,3,5
发射,fā shè,to shoot; to fire,ยิงปล่อย,3,6
发源地,fā yuán dì,place of origin; birthplace,สถานที่เกิด,3,6
发票,fā piào,invoice; receipt,ใบเสร็จ,3,5
发育,fā yù,to develop; to mature,เจริญเติบโต,3,6
取代,qǔ dài,to replace; to supersede,แทนที่,3,5
变为,biàn wèi,to change into,เปลี่ยนเป็น,3,5
古老,gǔ lǎo,ancient; old,เก่าแก่,3,5
句子,jù zi,sentence,ประโยค,3,3
另一方面,lìng yì fāng miàn,on the other hand; another aspect,ในด้านอื่น,3,4
只不过,zhǐ bù guò,only; merely,แค่เพียง,3,4
可口,kě kǒu,tasty; to taste good,อร่อย,3,5
可靠,kě kào,reliable,น่าเชื่อถือ,3,5
右,yòu,right; right-hand side,ขวา,3,3
各地,gè dì,in all parts of; various regions,ต่างแห่ง,3,6
各自,gè zì,each; respective,แต่ละคน,3,6
同一,tóng yī,identical; the same,เหมือนกัน,3,5
同类,tóng lèi,similar; same type,ประเภทเดียวกัน,3,5
名著,míng zhù,masterpiece,ผลงานชิ้นเอก,3,6
后果,hòu guǒ,consequences; aftermath,ผลกระทบ,3,5
含糊,hán hú,ambiguous; vague,คลุมเครือ,3,6
听取,tīng qǔ,to hear; to listen to,ฟัง,3,5
吵架,chǎo jià,to quarrel; to have a row,ทะเลาะกัน,3,5
呆,dāi,foolish; stupid,โง่,3,5
告,gào,to say; to tell,บอก,3,5
命,mìng,life; fate,"ชีวิต, โชคชะตา",3,5
咨询,zī xún,to inquire,ปรึกษา,3,5
品德,pǐn dé,moral character,จริยธรรม,3,6
品质,pǐn zhì,character; intrinsic quality,คุณภาพ,3,5
哪怕,nǎ pà,even; even if,แม้ว่า,3,5
唯一,wéi yī,only; sole,เพียงหนึ่งเดียว,3,5
善,shàn,good; benevolent,ดี,3,6
嗅觉,xiù jué,sense of smell,การดมกลิ่น,3,6
噪声,zào shēng,noise,เสียงรบกวน,3,6
