hanzi,pinyin,english,thai_current,freq,level
反馈,fǎn kuì,to send back information; feedback,ข้อมูลตอบกลับ,2,6
发愁,fā chóu,to worry; to fret,กังวล,2,5
发扬,fā yáng,to develop; to make full use of,เผยแพร่,2,6
发扬光大,fā yáng guāng dà,to develop and promote; to carry forward,สืบสานให้เจริญ,2,6
发觉,fā jué,to become aware; to detect,ค้นพบ,2,6
取而代之,qǔ ér dài zhī,idiom to replace,แทนที่แล้ว,2,5
受益,shòu yì,to benefit from; profit,ได้ประโยชน์,2,6
叙述,xù shù,to relate; to tell or talk about,เล่าเรื่อง,2,5
口味,kǒu wèi,a person's preferences; tastes,รสชาติ,2,5
口哨,kǒu shào,whistle,หวี่,2,6
口语,kǒu yǔ,colloquial speech; spoken language,ภาษาพูด,2,6
古,gǔ,ancient; old,เก่า,2,6
古人,gǔ rén,people of ancient times; the ancients,บรรพบุรุษ,2,6
古今中外,gǔ jīn zhōng wài,at all times and in all places,ทั้งเก่าใหม่ในและนอก,2,6
古典,gǔ diǎn,classical,คลาสสิก,2,6
只见,zhǐ jiàn,"and there, one saw",เพียงแต่เห็น,2,5
召开,zhào kāi,to convene; to convoke,จัดประชุม,2,5
可见,kě jiàn,it can clearly be seen; it is clear,เห็นได้ชัด,2,4
台球,tái qiú,billiards,บิลเลียร์ด,2,6
台阶,tái jiē,steps; flight of steps,บันได,2,5
吃力,chī lì,to entail strenuous effort; to toil at a task,เหนื่อย,2,6
合法,hé fǎ,lawful; legitimate,ถูกกฎหมาย,2,5
名副其实,míng fù qí shí,true to its name; aptly named,คุณค่าตรงกับชื่อ,2,6
名片,míng piàn,business card,นามบัตร,2,5
后天,hòu tiān,the day after tomorrow; life after birth,มะรืนนี้,2,2
后期,hòu qī,late stage; later period,ภาคหลัง,2,5
向上,xiàng shàng,upward; up,ขึ้นไป,2,2
吓,xià,to frighten; to scare,"กลัว, หลอก",2,5
吩咐,fēn fù,to tell; to instruct,สั่ง,2,5
吸,xī,to breathe; to suck in,ดูดเข้า,2,5
