hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
清洁,qīng jié,clean; to clean,สะอาด,1,6,สะอาด; ทำความสะอาด,
清洗,qīng xǐ,to wash; to rinse,"ล้าง,ทำความสะอาด",1,6,"ล้าง,ทำความสะอาด",
清醒,qīng xǐng,clear-headed; sober,ตื่นตัว,1,5,มีสติ,
渠道,qú dào,channel; avenue,"ช่องทาง,ท่อน้ำ",1,6,ช่องทาง,
渡过,dù guò,to cross over; to pass through,"ข้าม,ผ่านไป",1,6,ข้าม; ผ่านพ้น,
游人,yóu rén,a tourist,นักท่องเที่ยว,1,5,นักท่องเที่ยว,
湖泊,hú pō,lake,ทะเลสาบ,1,6,ทะเลสาบ,
湿,shī,moist; wet,ชื้น,1,5,เปียก; ชื้น,
滔滔不绝,tāo tāo bù jué,idiom to produce a torrent of words,พูดไม่หยุด,1,6,พูดไม่หยุด,
滚,gǔn,to boil; to roll,กลิ้ง,1,5,กลิ้ง; เดือด,
滚动,gǔn dòng,to roll; to do something in a loop,ม้วน,1,5,กลิ้ง; เลื่อน,
满怀,mǎn huái,to be filled with (emotion),หัวใจเต็มไปด้วย,1,5,เต็มเปี่ยมไปด้วย,
滴,dī,to drip; to let drip,หยดน้ำ,1,6,หยด,
漂,piāo,to float; to drift,ลอย,1,4,ลอย,
演习,yǎn xí,"military, firefighting etc drill","การฝึก,ท่องทำการ",1,6,การฝึกซ้อม,
演绎,yǎn yì,of a story etc to unfold; to play out,"บรรยาย,แสดง",1,6,ถ่ายทอด; แสดง,
漫长,màn cháng,very long; endless,ยาวนานเป็นอย่างมาก,1,6,ยาวนานเป็นอย่างมาก,
潇洒,xiāo sǎ,confident and at ease; free and easy,"ร่วมรื่น,สบาย",1,6,สบายๆ ไม่เคร่งเครียด,
激活,jī huó,to activate,เปิดใช้งาน,1,6,เปิดใช้งาน,
激起,jī qǐ,to arouse; to evoke,"กระตุ้น,ยุแหล",1,6,"กระตุ้น, ปลุกเร้า",
瀑布,pù bù,waterfall,น้ำตกใหญ่,1,6,น้ำตก,
灌溉,guàn gài,to irrigate,ชลประทาน,1,6,ชลประทาน,
火候,huǒ hòu,heat control,ความร้อน,1,5,การคุมไฟ,
火焰,huǒ yàn,blaze; flame,"ปะทัด,เปลวไฟ",1,6,เปลวไฟ,
火箭,huǒ jiàn,rocket,จรวด,1,6,จรวด,
火辣辣,huǒ là là,scorching hot; stinging,ร้อนทำให้เจ็บ,1,6,ร้อนแสบ,
灭绝,miè jué,to become extinct; to die out,สูญพันธุ์,1,6,สูญพันธุ์,
灯笼,dēng lóng,lantern,โคมไฟ,1,6,โคมไฟ,
灵巧,líng qiǎo,deft; nimble,"ชาญฉลาด,ว่องไว",1,6,"คล่องแคล่ว, ว่องไว",
灾区,zāi qū,disaster area; stricken region,"พื้นที่ประสบภัย, เขตภัยพิบัติ",1,5,"พื้นที่ประสบภัย, เขตภัยพิบัติ",
灾害,zāi hài,calamity; disaster,ความเสียหาย,1,5,ภัยพิบัติ,
炉子,lú zi,stove; oven,"เตา,เตาอบ",1,6,เตา; เตาอบ,
炒,chǎo,to sauté; to stir-fry,ผัด,1,5,ผัด,
点火,diǎn huǒ,to ignite; to light a fire,จุดไฟ,1,5,จุดไฟ,
点评,diǎn píng,to comment; a point by point commentary,"วิจารณ์,ให้ความเห็น",1,6,"วิจารณ์,ให้ความเห็น",
炼,liàn,to refine; to smelt,ชำระ,1,5,ถลุง; หลอม,
烂,làn,soft; mushy,"อ่อน,ละลาย",1,6,"เละ, เปื่อย",
烟花,yān huā,fireworks; prostitute,"พลุ,ดอกไม้ไฟ",1,6,"พลุ,ดอกไม้ไฟ",
烤鸭,kǎo yā,roast duck,เป็ดย่าง,1,4,เป็ดย่าง,
烦,fán,to feel vexed; to bother,"รำคาญ,หน่วยใจ",1,6,รำคาญใจ; รบกวน,
烦躁,fán zào,jittery; twitchy,อึดอัด,1,5,กระวนกระวาย; หงุดหงิด,
烫,tàng,to scald; to burn,ลวก,1,5,ลวก,
热带,rè dài,the tropics; tropical,เขตร้อน,1,5,เขตร้อน,
热水,rè shuǐ,hot water,น้ำอุ่น,1,3,น้ำร้อน,
热点,rè diǎn,hot spot; point of special interest,จุดสำคัญ,1,6,ประเด็นร้อน; จุดสนใจ,
焰火,yàn huǒ,fireworks,พลุ,1,6,พลุ,
煤炭,méi tàn,coal,ถ่านหิน,1,5,ถ่านหิน,
照料,zhào liào,to tend; to take care of someone,"ดูแล,บริหาร",1,6,"ดูแล, เอาใจใส่",
照耀,zhào yào,to shine; to illuminate,ส่องแสง,1,6,ส่องแสง,
熊,xióng,bear,หมี,1,6,หมี,
熏陶,xūn táo,to seep in; to influence,เป็นอิทธิพล,1,6,หล่อหลอม; ซึมซับ,
熟练,shú liàn,practiced; proficient,ชำนาญ,1,5,ชำนาญ,
爆,bào,to explode; to burst,"ระเบิด,ผัดไว",1,6,ระเบิด; ปะทุ,
爆发,bào fā,to break out,ระเบิด,1,5,ปะทุ,
