hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
惊慌,jīng huāng,to panic; to be alarmed,ตื่นตระหนก,1,5,ตื่นตระหนก,
惊慌失措,jīng huāng shī cuò,to lose one's head out of fear,ตื่นตระหนกจนทำอะไรไม่ถูก,1,5,ตื่นตระหนกจนทำอะไรไม่ถูก,
惊醒,jīng xǐng,to rouse; to be woken by something,สะดุ้งตื่น,1,5,สะดุ้งตื่น,
惯,guàn,accustomed to; used to,คุ้นเคย,1,6,เคยชิน,
惯性,guàn xìng,physics inertia,ความเฉื่อย,1,6,ความเฉื่อย,
想念,xiǎng niàn,to miss; to remember with longing,ขาดคน,1,5,คิดถึง,
想方设法,xiǎng fāng shè fǎ,to try every possible way,คิดหาวิธีทั้งสิ้น,1,6,พยายามทุกวิถีทาง,
愁眉苦脸,chóu méi kǔ liǎn,to look anxious; to look miserable,หน้านิ่วคิ้วขมวด,1,5,หน้านิ่วคิ้วขมวด,
意向,yì xiàng,intention; purpose,ความมุ่งหมาย,1,6,ความมุ่งหมาย,
意想不到,yì xiǎng bù dào,unexpected; previously unimagined,ไม่คาดคิด,1,6,ไม่คาดคิด,
意愿,yì yuàn,aspiration; wish,ความปรารถนา,1,6,ความปรารถนา,
愚蠢,yú chǔn,silly; stupid,โง่,1,5,โง่,
慌乱,huāng luàn,frenetic; hurried,ลนลาน,1,5,ลนลาน,
慢性,màn xìng,slow and patient; chronic,เรื้อรัง,1,6,เรื้อรัง,
慢慢来,màn màn lái,take your time; take it easy,ไปเรื่อยๆ,1,3,ค่อยๆ ทำ ไม่ต้องรีบ,
慷慨,kāng kǎi,generous; magnanimous,ใจกว้าง,1,5,ใจกว้าง,
戏曲,xì qǔ,Chinese opera,ละครจีน,1,6,งิ้ว,
成人,chéng rén,to reach adulthood; an adult,ผู้ใหญ่,1,6,ผู้ใหญ่,
成型,chéng xíng,to become shaped; to become formed,สร้างเป็นรูป,1,6,เป็นรูปเป็นร่าง,
成效,chéng xiào,effect; result,ผลลัพธ์,1,6,ผลลัพธ์,
战斗,zhàn dòu,to fight; to engage in combat,สู้รบ,1,6,สู้รบ,
截止,jié zhǐ,to end; to close,สิ้นสุด,1,6,สิ้นสุด,
戳,chuō,to jab; to poke,แทง,1,6,จิ้ม,
户,hù,a household; door,"ครัวเรือน, ประตู",1,5,ครัวเรือน; ประตู,
房价,fáng jià,house price; cost of housing,ราคาบ้าน,1,5,ราคาบ้าน,
房地产,fáng dì chǎn,real estate,อสังหาริมทรัพย์,1,6,อสังหาริมทรัพย์,
扁,biǎn,flat,แบน,1,6,แบน,
扇子,shàn zi,fan,พัดลม,1,5,พัด,
手势,shǒu shì,gesture; sign,"ท่าทางมือ, สัญญาณมือ",1,5,"ท่าทางมือ, สัญญาณมือ",
手臂,shǒu bì,arm; assistant,แขน,1,5,แขน,"EN-GLOSS-BUG: ""assistant"" is a questionable gloss for 手臂; the word means arm (only แขน translated)"
打交道,dǎ jiāo dào,to come into contact with; to have dealings,ติดต่อ,1,5,ติดต่อ,
打仗,dǎ zhàng,to fight a battle; to go to war,สู้รบ,1,5,สู้รบ,
打听,dǎ tīng,to ask about; to make some inquiries,"สอบถาม, สืบถาม",1,5,"สอบถาม, สืบถาม",
打工,dǎ gōng,to work a temporary or casual job,ทำงานพิเศษ,1,5,ทำงานพิเศษ,
打招呼,dǎ zhāo hū,to greet; to say hello,ทักทาย,1,4,ทักทาย,
打断,dǎ duàn,to interrupt; to break off,ขัดจังหวะ,1,4,ขัดจังหวะ,
打猎,dǎ liè,to go hunting,ล่าสัตว์,1,5,ล่าสัตว์,
打通,dǎ tōng,to open access; to establish contact,เปิดเส้นทาง,1,5,เปิดเส้นทาง,
打造,dǎ zào,to forge,สร้างสรรค์,1,5,สร้าง,
打雷,dǎ léi,to rumble with thunder; clap of thunder,ฟ้าร้อง,1,5,ฟ้าร้อง,
托,tuō,to entrust; to request a favor,"ฝากฝัง, ขอร้อง",1,6,"ฝากฝัง, ขอร้อง",
执照,zhí zhào,license; permit,ใบอนุญาต,1,5,ใบอนุญาต,
执着,zhí zhuó,dedicated; devoted,ติดยึด,1,6,มุ่งมั่น,
扩张,kuò zhāng,expansion; dilation,ขยาย,1,6,ขยาย,
扭,niǔ,to turn; to twist,บิด,1,6,บิด,
扭头,niǔ tóu,to turn one's head; to turn around,หันหัว,1,6,หันหน้า,
扶持,fú chí,to help; to assist,ช่วยเหลือ,1,6,ช่วยเหลือ,
批,pī,to criticize; to approve,"วิจารณ์, อนุมัติ",1,5,วิจารณ์; อนุมัติ,
找出,zhǎo chū,to find; to search out,หาออกมา,1,4,หาเจอ,
承包,chéng bāo,to contract; to undertake,รับจ้าง,1,6,รับเหมา,
承载,chéng zài,to bear the weight; to sustain,ยืน,1,6,รองรับน้ำหนัก,
抄写,chāo xiě,to copy; to transcribe,คัดลอก,1,6,คัดลอก,
把手,bǎ shǒu,handle; grip,มือจับ,1,5,มือจับ,
抑郁,yì yù,depressed; despondent,อารมณ์ชำรุด,1,6,หดหู่; ซึมเศร้า,
抑郁症,yì yù zhèng,clinical depression,ซึมเศร้า,1,6,โรคซึมเศร้า,
投,tóu,to throw; to cast,ส่ง,1,5,โยน; ขว้าง,
投机,tóu jī,congenial; agreeable,"ถูกคอ, เข้ากันได้",1,6,"ถูกคอ, เข้ากันได้",
投票,tóu piào,to vote; to cast a vote,ลงคะแนน,1,6,ลงคะแนน,
抚摸,fǔ mō,to gently caress and stroke; to pet,"ลูบไล้, ลูบคลำ",1,6,"ลูบไล้, ลูบคลำ",
护,hù,to protect,ปกป้อง,1,6,ปกป้อง,
报告,bào gào,to inform; to report,รายงาน,1,5,รายงาน,
抵御,dǐ yù,to resist; to withstand,ยับยั้ง,1,6,ต้านทาน; ป้องกัน,
抵达,dǐ dá,to arrive; to reach,เดินทางถึง,1,5,เดินทางถึง,
抹,mǒ,to smear; to wipe,เช็ด,1,5,ทา; เช็ด,
押,yā,to mortgage; to pawn,นำวามตั้ง,1,6,จำนอง; จำนำ,
押金,yā jīn,deposit; down payment,เงินประกัน,1,5,เงินมัดจำ; เงินประกัน,
抽屉,chōu tì,drawer,ลิ้นชัก,1,5,ลิ้นชัก,
拄,zhǔ,to lean on; to prop on,พิงพิงข้อม,1,6,ยัน (ด้วยไม้เท้า),
担保,dān bǎo,to guarantee; to vouch for,รับประกัน,1,6,ค้ำประกัน; รับรอง,
担忧,dān yōu,to worry; to be concerned,เป็นห่วง,1,6,เป็นห่วง,
担负,dān fù,to shoulder; to bear,แบกรับ,1,6,แบกรับ,
拍照,pāi zhào,to take a picture,ถ่ายรูป,1,6,ถ่ายรูป,
拖延,tuō yán,to delay; to put off,ชะลอ,1,6,ถ่วงเวลา; ผัดผ่อน,
拘束,jū shù,to restrict; to restrain,"จำกัด, ยับยั้ง",1,6,"จำกัด, ยับยั้ง",
招,zhāo,to recruit; to provoke,เรียก/ยั่วยุ,1,4,รับสมัคร; ยั่วยุ,
招收,zhāo shōu,to hire; to recruit,สรรหา,1,6,สรรหา,
招牌,zhāo pái,signboard; shop sign,ป้ายร้าน,1,5,ป้ายร้าน,
拜托,bài tuō,to request someone to do something; please!,ขอให้,1,6,ขอร้องล่ะ; รบกวนที,
拜见,bài jiàn,to pay a formal visit,เข้าเยี่ยม,1,6,เข้าพบ; เข้าคารวะ,
拥抱,yōng bào,to embrace; to hug,โอบกอด,1,5,โอบกอด,
拦,lán,to block someone's path; to obstruct,"ขวาง, กั้น",1,5,"ขวาง, กั้น",
拨通,bō tōng,to get through to someone on the phone,โทรออก,1,6,โทรติด,
拯救,zhěng jiù,to save; to rescue,ช่วยชีวิต,1,6,ช่วยชีวิต,
拼搏,pīn bó,to struggle; to wrestle,พยายามสู้,1,6,พยายามสู้,
拾,shí,to pick up; to collate or arrange,เก็บ,1,5,เก็บ,
拿手,ná shǒu,expert in; good at,เชี่ยวชาญ,1,5,เชี่ยวชาญ,
拿走,ná zǒu,to take away,พากว่นไป,1,5,เอาไป; หยิบไป,
持久,chí jiǔ,lasting; enduring,ยาวนาน,1,6,ยาวนาน,
指定,zhǐ dìng,to appoint; to assign,กำหนด,1,6,กำหนด,
指数,zhǐ shù,"numerical, statistical index; math. exponent","ดัชนี, เลขชี้กำลัง",1,5,ดัชนี; เลขชี้กำลัง,
指示,zhǐ shì,to point out; to indicate,บอกสั่ง,1,6,ชี้แนะ; สั่งการ,
指责,zhǐ zé,to criticize; to find fault with,ตำหนิ,1,6,ตำหนิ,
挡,dǎng,to resist; to obstruct,"กั้น, บัง",1,5,"กั้น, บัง",
挣钱,zhèng qián,to make money,หาเงิน,1,5,หาเงิน,
振兴,zhèn xīng,to revive,ฟื้นฟูพัฒนา,1,6,ฟื้นฟูพัฒนา,
振动,zhèn dòng,to vibrate; to shake,สั่น,1,6,สั่น,
挽回,wǎn huí,to retrieve; to redeem,กู้คืน,1,6,กู้คืน,
捂,wǔ,to enclose; to cover with the hand,ปิดความ,1,6,ปิดด้วยมือ; อุด,
捆,kǔn,a bunch; to tie together,มัด,1,6,มัด,
捉,zhuō,to clutch; to grab,จับได,1,6,จับ,
捐款,juān kuǎn,to donate money; to contribute funds,บริจาคเงิน,1,6,บริจาคเงิน,
损,sǔn,to diminish; to damage,เสีย,1,6,เสียหาย,
换取,huàn qǔ,to obtain in exchange; to exchange for,แลกเอา,1,5,แลกเอา,
换言之,huàn yán zhī,in other words,กล่าวอีกนัยหนึ่ง,1,5,กล่าวอีกนัยหนึ่ง,
捧,pěng,to hold up; to flatter,"ประคอง (ถือด้วยสองมือ), ยกยอ",1,5,ประคอง (ถือด้วยสองมือ); ยกยอ,
掀起,xiān qǐ,to lift; to raise,ยกขึ้น,1,6,ยกขึ้น,
掉队,diào duì,to fall behind; to drop out,ออกจากหมู่คณะ,1,6,ตามไม่ทัน; หลุดจากขบวน,
掌管,zhǎng guǎn,in charge of; to control,บริหาร,1,5,บริหาร,
掐,qiā,to pick; to pinch,บีบ,1,6,หยิก; บีบ,
排除,pái chú,to eliminate; to remove,เอาออก,1,6,ขจัด; กำจัด,
探,tàn,to explore; to search out,หาหาดู,1,6,สำรวจ; ค้นหา,
探望,tàn wàng,to visit; to call on someone,เยี่ยมเยือน,1,6,เยี่ยมเยือน,
探测,tàn cè,to probe; to survey,"สำรวจ, ตรวจหา",1,6,"สำรวจ, ตรวจหา",
探讨,tàn tǎo,to investigate; to probe,พูดคุยกัน,1,6,หารือ; ศึกษาค้นคว้า,
接听,jiē tīng,to answer the phone,รับสายโทรศัพท์,1,6,รับสายโทรศัพท์,
推开,tuī kāi,to push open; to push away,ผลักเปิด,1,4,ผลักออก; ผลักเปิด,
推断,tuī duàn,to infer; to deduce,"อนุมาน, สันนิษฐาน",1,6,"อนุมาน, สันนิษฐาน",
推行,tuī xíng,to implement; to carry out,ดำเนินการ,1,6,ดำเนินการ,
推进,tuī jìn,to impel; to carry forward,ส่งต่อ,1,6,ผลักดัน; ขับเคลื่อน,
推销,tuī xiāo,to market; to sell,ขาย,1,6,เสนอขาย; ส่งเสริมการขาย,
掩饰,yǎn shì,to cover up; to conceal,"ปกปิด, ปิดบัง",1,6,"ปกปิด, ปิดบัง",
掰,bāi,to break off (with hands),หักออก,1,5,หักออก,
揉,róu,to knead; to massage,นวด,1,6,นวด,
提倡,tí chàng,to promote; to advocate,เสนอแนะ,1,5,ส่งเสริม; สนับสนุน,
提到,tí dào,to mention; to raise,กล่าวถึง,1,4,กล่าวถึง,
提拔,tí bá,to promote (to a higher post),เลื่อนตำแหน่ง,1,6,เลื่อนตำแหน่ง,
提炼,tí liàn,to extract; to refine,กลั่น,1,6,กลั่น,
提示,tí shì,to point out; to remind,บอกเตือน,1,5,เตือน; บอกใบ้,
