hanzi,pinyin,english,thai_current,freq,level
移植,yí zhí,to transplant,"ปลูก, ยืดย้าย",1,5
移民,yí mín,to immigrate; to migrate,"อพยพ, ย้ายถิ่น",1,5
程序,chéng xù,procedures; sequence,"ขั้นตอน, ลำดับ",1,5
稍后,shāo hòu,in a little while; shortly after,หลังจากนั้นไม่นาน,1,4
稳,wěn,settled; steady,"มั่น, เสถียร",1,6
稳妥,wěn tuǒ,dependable,น่าเชื่อถือ,1,6
空地,kòng dì,vacant lot; open space,ที่ว่าง,1,5
空想,kōng xiǎng,daydream; fantasy,คิดฝันไป,1,5
穿越,chuān yuè,to pass through; to traverse,ผ่าน,1,6
突如其来,tū rú qí lái,to arise abruptly; to arrive suddenly,มาอย่างจู่โจม,1,5
窗子,chuāng zi,window,หน้าต่าง,1,6
窘迫,jiǒng pò,poverty-stricken; very poor,ยากจน,1,5
立方,lì fāng,cube; cubic,ลูกบาศก์,1,6
竖,shù,to erect; vertical,"ตั้ง, แนวตั้ง",1,6
竞技,jìng jì,competition of skill; athletics tournament,การแข่งขัน,1,6
竟敢,jìng gǎn,to have the impertinence,กล้า,1,5
章,zhāng,chapter; section,"บท, ส่วน",1,6
童年,tóng nián,childhood,วัยเด็ก,1,4
竹子,zhú zi,bamboo,ไม้ไผ่,1,6
笑声,xiào shēng,laughter,เสียงหัวเราะ,1,5
笔试,bǐ shì,written examination; paper test,การสอบเขียน,1,4
符号,fú hào,symbol; mark,สัญลักษณ์,1,5
笨蛋,bèn dàn,mild insult fool; idiot,คนโง่,1,6
筐,kuāng,basket,ตะกร้า,1,6
筹划,chóu huà,to plan and prepare,วางแผน,1,6
签,qiān,to sign; visa,"ลงนาม, วีซ่า",1,6
签字,qiān zì,to sign; signature,เซ็นลงนาม,1,5
简易,jiǎn yì,simple and easy; simplistic,ง่ายๆ,1,5
简短,jiǎn duǎn,brief; briefly,สั้น ๆ,1,4
简陋,jiǎn lòu,simple and crude,เรียบง่ายและหยาบ,1,5
算了,suàn le,let it be; let it pass,ลืมไปเสีย,1,4
管,guǎn,to manage; to control,ดูแล,1,4
管用,guǎn yòng,efficacious; useful,มีประโยชน์,1,5
粗,cū,thick; rough,"หยาบ, หนา",1,4
