hanzi,pinyin,english,thai_current,freq,level
独立,dú lì,independent; independence,"เป็นอิสระ, อิสระ",5,5
现实,xiàn shí,reality; actuality,"ความเป็นจริง, สภาพจริง",5,5
生存,shēng cún,to exist; to survive,"มีชีวิต, ดำรงชีวิต",5,5
生日,shēng rì,birthday,วันเกิด,5,2
由此,yóu cǐ,hereby; from this,"จากนี้, ดังนั้น",5,5
男朋友,nán péng yǒu,boyfriend,"แฟน(หนุ่ม), แฟนผู้ชาย",5,2
画儿,huà ér,picture; drawing,"ภาพวาด, ลายเส้น",5,3
盯,dīng,to stare at; to watch closely,"จ้อง, เพ่งมอง",5,5
相关,xiāng guān,related; relevant,"เกี่ยวข้อง, สัมพันธ์",5,5
真理,zhēn lǐ,truth,ความจริง,5,5
硬,yìng,hard; stiff,"แข็ง, เกร็ง",5,4
社交,shè jiāo,interaction; social contact,การเข้าสังคม,5,6
票价,piào jià,ticket price; fare,ราคาตั๋ว,5,4
秋天,qiū tiān,autumn,ฤดูใบไม้ร่วง,5,3
种类,zhǒng lèi,kind; genus,"ชนิด, ประเภท",5,5
秒,miǎo,second (time),วินาที,5,4
空中,kōng zhōng,in the sky; in the air,"ท้องฟ้า, อากาศ",5,6
突出,tū chū,prominent; outstanding,"โดดเด่น, เด่นชัด",5,5
突破,tū pò,to break through; to make a breakthrough,"ทะลุทะลวง, ก้าวข้าม",5,6
窄,zhǎi,narrow; narrow-minded,แคบ,5,4
竟,jìng,unexpectedly; actually,"กลับ, ถึงกับ",5,5
箱子,xiāng zi,suitcase; chest,"กระเป๋า, ลังขนของ",5,4
纷纷,fēn fēn,one after another; in succession,"กันเป็นทิวแถว, ทยอยกัน",5,5
组成,zǔ chéng,to form; to make up,ประกอบเป็น,5,4
细致,xì zhì,delicate; fine,"ละเอียดลออ, ประณีต",5,5
结实,jiē shi,sturdy; strong; solid,แข็งแรง; ทนทาน,5,5
美妙,měi miào,beautiful; wonderful,"งดงาม, ไพเราะ",5,5
聚会,jù huì,party; gathering,"งานสังสรรค์, การรวมตัว",5,4
肯,kěn,to agree; to consent,"ยินยอม, เต็มใจ",5,6
肺,fèi,lung,ปอด,5,5
腿,tuǐ,leg,ขา,5,3
自觉,zì jué,to realize; responsible,รู้สึกตัว,5,5
节日,jié rì,holiday; festival,"วันหยุด, เทศกาล",5,3
若,ruò,if; like,"ถ้าหาก, ดุจ",5,5
草原,cǎo yuán,grassland; prairie,"ทุ่งหญ้า, ทุ่งนา",5,5
菜单,cài dān,menu,เมนู,5,3
薄,báo,thin; cold in manner,"บาง, เย็นชา",5,6
虎,hǔ,tiger,เสือ,5,6
行业,háng yè,trade; profession,"อุตสาหกรรม, ธุรกิจ",5,5
行李,xíng lǐ,luggage,"สัมภาระ, กระเป๋าเดินทาง",5,3
表格,biǎo gé,form; table,"แบบฟอร์ม, ตาราง",5,4
裂,liè,to split; to crack,แตก,5,6
觉,jué,to feel; to find that,รู้สึก,5,4
认可,rèn kě,to approve; approval,"ยอมรับ, เห็นชอบ",5,5
证实,zhèng shí,to confirm; to verify,"ยืนยัน, พิสูจน์",5,6
诱饵,yòu ěr,bait,อาหารหลอก,5,6
调,diào,to transfer; to move,ย้าย,5,5
谦虚,qiān xū,modest; self-effacing,ถ่อมตน,5,5
负担,fù dān,to bear; burden,ภาระ,5,5
财富,cái fù,wealth; riches,"ความมั่งคั่ง, ทรัพย์สมบัติ",5,6
贷款,dài kuǎn,a loan; to provide a loan,"เงินกู้, สินเชื่อ",5,5
赏,shǎng,to reward; to appreciate,"มอบให้, ประทับใจ",5,6
赞成,zàn chéng,to approve; to endorse,"เห็นด้วย, สนับสนุน",5,5
身边,shēn biān,at one's side; on hand,"ข้างกาย, ติดตัว",5,4
车上,chē shàng,in the car,บนรถ,5,5
轨道,guǐ dào,track; orbit,รางเพื่อเดินทาง,5,6
转,zhuǎn,to turn; to change direction,"หมุน, เปลี่ยน, เลี้ยว",5,5
软,ruǎn,soft; flexible,"นุ่ม; อ่อน, ยืดหยุ่น",5,4
辉煌,huī huáng,splendid; glorious,"รุ่งโรจน์, เจิดจรัส",5,6
过敏,guò mǐn,medicine allergic; hypersensitive,"แพ้, ภูมิแพ้",5,5
运,yùn,to move; to transport,"ขนส่ง, เคลื่อนย้าย",5,4
运动员,yùn dòng yuán,athlete,นักกีฬา,5,4
进一步,jìn yí bù,further; to a greater extent,"ก้าวไปอีกขั้น, ยิ่งขึ้น",5,5
进去,jìn qù,to go in,เข้าไป,5,2
适当,shì dàng,suitable; appropriate,เหมาะสม,5,5
透明,tòu míng,transparent,โปร่งใส,5,5
郊区,jiāo qū,suburbs; outskirts,ชานเมือง,5,4
铁,tiě,iron,เหล็ก,5,5
铅笔,qiān bǐ,lead pencil,ดินสอ,5,2
长大,zhǎng dà,to grow up,"เติบโต, โตขึ้น",5,3
阴天,yīn tiān,cloudy day; overcast sky,"วันที่ฟ้าครึ้ม, วันมีเมฆมาก",5,2
阶段,jiē duàn,stage; section,"ระยะ, ขั้นตอน",5,5
随意,suí yì,as one wishes; according to one's wishes,"ตามใจ, ตามอัธยาศัย",5,5
随时,suí shí,at any time; at all times,"ทุกเมื่อ, ได้ตลอดเวลา",5,5
障碍,zhàng ài,barrier; obstruction,"อุปสรรค, สิ่งกีดขวาง",5,6
靠近,kào jìn,to be close to; to approach,"เข้าใกล้, ใกล้",5,5
预报,yù bào,forecast,"พยากรณ์, ประกาศ",5,6
领域,lǐng yù,domain; sphere,"แวดวง, สาขา, ขอบเขต",5,5
风雨,fēng yǔ,wind and rain; the elements,ลมฝน,5,4
魔术,mó shù,magic,"วิทยากล, ลวงตา",5,6
鸟,niǎo,bird,นก,5,3
黑板,hēi bǎn,blackboard,กระดานดำ,5,3
一时,yī shí,a period of time; a while,"ช่วงหนึ่ง, อยู่ครู่นึง",4,4
一致,yí zhì,consistent; unanimous,"เป็นเอกฉันท์, สอดคล้องกัน",4,5
上面,shàng miàn,on top of; above-mentioned,"ด้านบน, ข้างบน",4,2
下去,xià qù,to go down; to descend,ลงไป,4,3
下山,xià shān,to go down a hill; of the sun or moon to set,พระอาทิตย์ตกดิน,4,3
不久,bù jiǔ,not long; before too long,"ไม่นาน, ในไม่ช้า",4,3
不仅仅,bù jǐn jǐn,not only; not just,ไม่เพียงแค่,4,4
不便,bù biàn,inconvenient; inappropriate,ไม่สะดวก,4,6
不利于,bù lì yú,unfavorable to,ไม่เอื้ออำนวย,4,5
不安,bù ān,unpeaceful; unstable,"กระวนกระวาย, ไม่สงบ",4,5
不然,bù rán,otherwise; or else,"ไม่เช่นนั้น, มิฉะนั้น",4,5
不行,bù xíng,won't do; be out of the question,"ไม่ได้, ใช้ไม่ได้",4,4
不要紧,bú yào jǐn,unimportant; not serious,ไม่สำคัญ,4,5
专心,zhuān xīn,to focus one's attention,"ตั้งใจ, มีสมาธิ",4,5
东边,dōng biān,east; east side,ทิศตะวันออก,4,3
严肃,yán sù,serious; solemn,"เคร่งขรึม, จริงจัง",4,5
严谨,yán jǐn,rigorous; strict,เข้มงวด,4,6
中华,zhōng huá,China; the Chinese nation,จีน,4,5
