hanzi,pinyin,english,thai_current,freq,level
交通,jiāo tōng,to be connected; traffic,การจราจร; การคมนาคม,13,4
从而,cóng ér,thus; thereby,"ดังนั้น, จึง",13,5
仔细,zǐ xì,careful; attentive,"ละเอียด, รอบคอบ",13,4
他人,tā rén,another person; someone else,"คนอื่น, ผู้อื่น",13,4
任务,rèn wù,mission; assignment,"ภารกิจ, งานที่ได้รับมอบหมาย",13,4
优点,yōu diǎn,merit; benefit,"ข้อดี, จุดเด่น",13,4
伤心,shāng xīn,to grieve; to be broken-hearted,"เสียใจ, ช้ำใจ",13,4
促进,cù jìn,to promote; to advance,"ส่งเสริม, ผลักดัน",13,5
保,bǎo,to protect; to guarantee,"ปกป้อง, รับประกัน, รักษาไว้",13,5
先生,xiān shēng,teacher; gentleman,"คุณ(ผู้ชาย), นาย; สามี",13,1
关,guān,to close; to turn off; pass,ด่าน; ปิด; ปิด(เครื่อง),13,3
关系,guān xì,relation; relationship,ความสัมพันธ์,13,1
其他,qí tā,other; something or someone else,อื่นๆ,13,3
冷静,lěng jìng,calm; cool-headed,"ใจเย็น, สงบ",13,4
凉快,liáng kuài,pleasantly cool; to cool oneself,เย็นสบาย,13,4
制作,zhì zuò,to make; to manufacture,"ผลิต, จัดทำ",13,5
力,lì,strength; power,"พลัง, แรง",13,4
匹,pǐ,classifier for horses; to match,ลักษณนาม(ม้า/ผ้าเป็นพับ),13,6
及时,jí shí,timely; at the right time,"ทันเวลา, ทันท่วงที",13,4
反映,fǎn yìng,to mirror; to reflect,สะท้อน; รายงาน(สะท้อน),13,4
变成,biàn chéng,to change into; to turn into,กลายเป็น,13,3
只能,zhǐ néng,can only; obliged to do something,"ได้แต่, ทำได้เพียง",13,3
叶子,yè zi,leaf,ใบไม้,13,4
合,hé,to close; to join,"ปิด; รวม, ประกบ; เหมาะ",13,4
员工,yuán gōng,staff; personnel,พนักงาน,13,5
哪,nǎ,how; which,"ไหน, อันไหน",13,1
堵车,dǔ chē,traffic jam; of traffic to get congested,รถติด,13,4
塑料袋,sù liào dài,plastic bag,ถุงพลาสติก,13,4
大使馆,dà shǐ guǎn,embassy,สถานทูต,13,4
家具,jiā jù,furniture,เฟอร์นิเจอร์,13,4
导致,dǎo zhì,to lead to,"นำไปสู่, ทำให้เกิด",13,5
并且,bìng qiě,and,"อีกทั้ง, และ",13,4
忙,máng,busy; hurriedly,ยุ่ง,13,2
思维,sī wéi,line of thought; thinking,"ความคิด, การคิด",13,5
感谢,gǎn xiè,to thank; to be grateful,"ขอบคุณ, สำนึกในบุญคุณ",13,4
打扮,dǎ bàn,to decorate; to dress,"แต่งตัว, แต่งหน้าแต่งตา",13,4
护士,hù shì,nurse,พยาบาล,13,4
担心,dān xīn,anxious; worried,"เป็นห่วง, กังวล",13,3
收入,shōu rù,to take in; income,รายได้,13,4
改善,gǎi shàn,to make better; to improve,"ปรับปรุง, ทำให้ดีขึ้น",13,5
放,fàng,to put; to place,วาง; ใส่; ปล่อย,13,3
早上,zǎo shàng,early morning,ตอนเช้า,13,2
有助于,yǒu zhù yú,to contribute to; to promote,"ช่วยให้, มีส่วนช่วย",13,5
有名,yǒu míng,famous; well-known,"มีชื่อเสียง, โด่งดัง",13,3
树,shù,tree; to cultivate,ต้นไม้,13,3
毕业,bì yè,graduation; to graduate,"จบการศึกษา, สำเร็จการศึกษา",13,4
氧气,yǎng qì,oxygen,ออกซิเจน,13,5
海水,hǎi shuǐ,seawater,น้ำทะเล,13,4
激动,jī dòng,to move emotionally; to stir up,"ตื่นเต้น, ตื้นตันใจ",13,4
爱好,ài hào,to like; interest,"งานอดิเรก, ความชอบ",13,3
现象,xiàn xiàng,phenomenon; appearance,ปรากฏการณ์,13,5
生病,shēng bìng,to fall ill,"ป่วย, ล้มป่วย",13,2
电脑,diàn nǎo,computer,คอมพิวเตอร์,13,1
痛苦,tòng kǔ,pain; suffering,"ความเจ็บปวด, ความทุกข์ทรมาน",13,5
白色,bái sè,white,สีขาว,13,2
直接,zhí jiē,direct; immediate,"โดยตรง, ทันที",13,4
神,shén,god; deity; spirit,"พระเจ้า, เทพ; จิตใจ",13,5
离,lí,from; away from,"ห่างจาก, จาก",13,2
离开,lí kāi,to depart; to leave,"จากไป, ออกจาก",13,3
空间,kōng jiān,space; room,"พื้นที่, ที่ว่าง",13,5
窗户,chuāng hù,window,หน้าต่าง,13,4
竟然,jìng rán,unexpectedly; to one's surprise,กลับ...(อย่างคาดไม่ถึง),13,4
签证,qiān zhèng,visa; to issue a visa,วีซ่า,13,4
米,mǐ,rice; meter (unit),ข้าว(สาร); เมตร,13,3
缺乏,quē fá,to lack; to be short of,"ขาดแคลน, ขาด",13,5
羡慕,xiàn mù,to envy; to admire,"อิจฉา, ชื่นชม",13,4
考试,kǎo shì,to take an exam; exam,สอบ; การสอบ,13,2
舒服,shū fú,comfortable; feeling well,สบาย,13,3
设计,shè jì,to design; to plan,ออกแบบ; การออกแบบ,13,5
详细,xiáng xì,detailed; in detail,"ละเอียด, โดยละเอียด",13,4
读书,dú shū,to read a book; to study,"อ่านหนังสือ, เรียนหนังสือ",13,3
调查,diào chá,investigation; inquiry,"สำรวจ, สอบสวน; การสำรวจ",13,4
调节,tiáo jié,to adjust; to regulate,"ปรับ, ควบคุม(ให้พอเหมาะ)",13,5
购物,gòu wù,shopping,"ซื้อของ, ช้อปปิ้ง",13,4
起飞,qǐ fēi,to take off; to develop rapidly,"(เครื่องบิน) บินขึ้น, ทะยานขึ้น",13,3
超过,chāo guò,to surpass; to exceed,"เกินกว่า, แซง",13,4
距离,jù lí,distance; to be apart from,"ระยะทาง, ระยะห่าง",13,4
辛苦,xīn kǔ,exhausting; hard,"เหน็ดเหนื่อย, ลำบาก",13,4
辣,là,hot; pungent,เผ็ด,13,4
远,yuǎn,far; distant,ไกล,13,2
重点,zhòng diǎn,important point; main point,"จุดสำคัญ, จุดเน้น",13,4
除了,chú le,apart from,นอกจาก,13,3
面对,miàn duì,to face; to confront,"เผชิญหน้า, เผชิญกับ",13,5
饮料,yǐn liào,drink; beverage,เครื่องดื่ม,13,3
饿,è,hungry; to starve,หิว,13,3
首先,shǒu xiān,first of all; in the first place,"ก่อนอื่น, อันดับแรก",13,4
鸡蛋,jī dàn,chicken egg; hen's egg,ไข่ไก่,13,2
麻烦,má fán,trouble; inconvenience,"ยุ่งยาก, ลำบาก; รบกวน",13,4
黑色,hēi sè,black,สีดำ,13,2
严重,yán zhòng,grave; serious,"ร้ายแรง, รุนแรง",12,4
主任,zhǔ rèn,director; head,"ผู้อำนวยการ, หัวหน้า",12,5
人体,rén tǐ,human body,ร่างกายมนุษย์,12,4
人员,rén yuán,staff; crew,"เจ้าหน้าที่, บุคลากร",12,5
以为,yǐ wéi,to think; to believe,"คิดว่า (เข้าใจผิด), นึกว่า",12,3
以前,yǐ qián,before; formerly,"เมื่อก่อน, ก่อนหน้านี้",12,3
价格,jià gé,price,ราคา,12,4
企业,qǐ yè,company; firm,"องค์กร, บริษัท, วิสาหกิจ",12,5
优秀,yōu xiù,outstanding; excellent,"ยอดเยี่ยม, ดีเด่น",12,4
伤害,shāng hài,to injure; to harm,"ทำร้าย, ทำให้บาดเจ็บ",12,5
位,wèi,position; location,ลักษณนาม(ท่าน/คน สุภาพ); ตำแหน่ง,12,3
你们,nǐ men,you,พวกคุณ,12,1
俩,liǎ,two; both,"สองคน, ทั้งคู่",12,4
做生意,zuò shēng yì,to do business,"ทำธุรกิจ, ค้าขาย",12,4
允许,yǔn xǔ,to permit; to allow,"อนุญาต, ยอมให้",12,4
光,guāng,light; ray,แสง; (หมด)เกลี้ยง,12,4
关心,guān xīn,to be concerned about; to care about,"ใส่ใจ, ห่วงใย",12,3
出差,chū chāi,to go on an official or business trip,"ไปทำงานต่างถิ่น, ไปธุระงาน",12,4
制,zhì,system; to control,ทำ; ระบบ; ควบคุม,12,6
力气,lì qì,physical strength,"แรง, กำลังวังชา",12,4
动作,dòng zuò,movement; motion,"ท่าทาง, การเคลื่อนไหว",12,4
危险,wēi xiǎn,danger; dangerous,อันตราย,12,4
发烧,fā shāo,to have a fever; to be a fan (of),"เป็นไข้, ตัวร้อน",12,3
各种,gè zhǒng,every kind of; all kinds of,"ต่างๆ นานา, ทุกชนิด",12,4
