hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
奇迹,qí jì,miracle; wonder,"ปาฏิหาริย์, สิ่งมหัศจรรย์",6,5,"ปาฏิหาริย์, สิ่งมหัศจรรย์",
女子,nǚ zǐ,woman; female,"ผู้หญิง, หญิง",6,6,"ผู้หญิง, หญิง",
妹妹,mèi mèi,younger sister; young woman,น้องสาว,6,2,น้องสาว,"EN-GLOSS-BUG: 妹妹 = younger sister; 'young woman' is a colloquial extension, not a core sense. Thai keeps the real sense."
委屈,wěi qū,to feel wronged; hard done by,รู้สึกน้อยใจ,6,5,รู้สึกน้อยใจ,
客气,kè qì,polite; courteous,เกรงใจ; สุภาพ; ไม่เป็นไร,6,1,สุภาพ; เกรงใจ,"Trimmed to lead+one per style guide; dropped ไม่เป็นไร (the 别客气 'you're welcome' usage, out of the polite/courteous gloss)."
客观,kè guān,objective; impartial,"ภววิสัย, เป็นกลาง",6,5,"ภววิสัย, เป็นกลาง",
寒假,hán jià,winter vacation,ปิดเทอมฤดูหนาว,6,4,ปิดเทอมฤดูหนาว,
对待,duì dài,to treat; treatment,"ปฏิบัติต่อ, การรักษา",6,5,ปฏิบัติต่อ; การปฏิบัติ,Current การรักษา wrongly implies medical treatment; 对待 = treat/behave toward (verb) + manner of treatment (noun).
寿命,shòu mìng,life span; life expectancy,"อายุขัย, อายุการใช้งาน",6,5,"อายุขัย, อายุการใช้งาน",
尝试,cháng shì,to try,"ลอง, พยายาม",6,5,"ลอง, พยายาม",
居然,jū rán,unexpectedly; to one's surprise,กลับ (อย่างคาดไม่ถึง),6,5,กลับ (อย่างคาดไม่ถึง),
工具,gōng jù,tool; instrument,"เครื่องมือ, อุปกรณ์",6,4,"เครื่องมือ, อุปกรณ์",
常用,cháng yòng,in common usage,"ใช้บ่อย, ใช้กันทั่วไป",6,5,"ใช้บ่อย, ใช้กันทั่วไป",
平静,píng jìng,calm; tranquil,"สงบ, เงียบสงบ",6,5,"สงบ, เงียบสงบ",
年代,nián dài,a decade of a century; age,"ยุค, ช่วงเวลา",6,5,"ยุค, ช่วงเวลา",
度过,dù guò,to pass; to spend,"ผ่านไป, ใช้เวลา",6,5,"ผ่านไป, ใช้เวลา",
建议,jiàn yì,to propose; to suggest,เสนอแนะ; ข้อเสนอแนะ,6,4,เสนอแนะ; ข้อเสนอแนะ,
开阔,kāi kuò,wide; open,"กว้างขวาง, เปิดกว้าง",6,6,"กว้างขวาง, เปิดกว้าง",
强壮,qiáng zhuàng,strong; sturdy,แข็งแรง,6,5,แข็งแรง,
待遇,dài yù,treatment; pay,"ค่าตอบแทน, การปฏิบัติ",6,5,การปฏิบัติ; ค่าตอบแทน,Two distinct senses (treatment; pay) -> '; '; reordered to match EN.
必,bì,certainly; must,"ต้อง, แน่นอน",6,4,"ต้อง, แน่นอน",
忽视,hū shì,to neglect,"มองข้าม, ละเลย",6,5,"มองข้าม, ละเลย",
急,jí,urgent; pressing,"รีบ, ด่วน; ร้อนใจ",6,4,"รีบ, ด่วน; ร้อนใจ",
患,huàn,to suffer; to contract,"ป่วยเป็น, เป็น (โรค)",6,6,"ป่วยเป็น, เป็น (โรค)",
想到,xiǎng dào,to think of; to call to mind,"นึกถึง, คิดถึง(ได้)",6,2,"นึกถึง, นึกออก",Replaced คิดถึง (=miss someone) with นึกออก (recall/come to mind).
想象,xiǎng xiàng,to imagine; to envision,"จินตนาการ, นึกภาพ",6,5,"จินตนาการ, นึกภาพ",
感激,gǎn jī,to be grateful; to appreciate,"ซาบซึ้ง, สำนึกในบุญคุณ",6,5,"ซาบซึ้ง, สำนึกในบุญคุณ",
成分,chéng fèn,composition; one's social status,"ส่วนประกอบ, องค์ประกอบ",6,5,ส่วนประกอบ; ภูมิหลังทางชนชั้น,"Added the distinct 'social status' sense the EN lists (社会成分, dated/political = class background)."
成语,chéng yǔ,Chinese set expression,"สำนวนจีน (เฉิงอวี่, มักสี่พยางค์)",6,5,"สำนวนจีน (เฉิงอวี่, มักสี่พยางค์)",
房屋,fáng wū,house; building,"บ้าน, อาคาร",6,5,"บ้าน, อาคาร",
房租,fáng zū,rent for a room or house,ค่าเช่าบ้าน,6,4,ค่าเช่าบ้าน,
手里,shǒu lǐ,in hand; a situation is in someone's hands,"ในมือ, อยู่ในมือ",6,4,"ในมือ, อยู่ในมือ",
扩散,kuò sàn,to spread; to proliferate,"แพร่กระจาย, แพร่ขยาย",6,5,"แพร่กระจาย, แพร่ขยาย",
扫,sǎo,to sweep; to sweep away,ทำความสะอาด,6,5,"กวาด, กวาดล้าง",Current ทำความสะอาด too general; 扫 = sweep (กวาด) / sweep away (กวาดล้าง).
承认,chéng rèn,to admit; to concede,ยอมรับ,6,5,ยอมรับ,
招聘,zhāo pìn,to invite applications for a job; to recruit,"รับสมัคร(งาน), จ้างงาน",6,4,"รับสมัคร(งาน), จ้างงาน",
拿出,ná chū,to take out; to put out,"หยิบออกมา, นำออกมา",6,3,"หยิบออกมา, นำออกมา",
挤,jǐ,to crowd in; to cram in,"แหน่บ, ยัด",6,5,"เบียด, ยัด","Replaced non-standard 'แหน่บ'; 挤 = crowd/squeeze in (เบียด), cram (ยัด)."
推出,tuī chū,to push out; to release,"เปิดตัว, นำออกสู่ตลาด",6,4,"เปิดตัว, นำออกสู่ตลาด",
推荐,tuī jiàn,to recommend,"แนะนำ, เสนอชื่อ",6,5,"แนะนำ, เสนอชื่อ",
提,tí,to carry; to lift,"หิ้ว, ถือ; ยก(ขึ้นมา); เอ่ยถึง",6,4,"หิ้ว, ถือ; ยก(ขึ้นมา)","Trimmed third sense เอ่ยถึง (to mention), out of the carry/lift gloss."
摇,yáo,to shake; to wave,"เขย่า, โบก, ส่าย",6,5,"เขย่า, โบก, ส่าย",
收获,shōu huò,to harvest; to reap,"เก็บเกี่ยว; ผลที่ได้รับ, ผลเก็บเกี่ยว",6,5,"เก็บเกี่ยว; ผลที่ได้รับ, ผลเก็บเกี่ยว",
放到,fàng dào,to place at,"วาง, ใส่",6,3,"วาง, ใส่",
故乡,gù xiāng,home; homeland,บ้านเกิด,6,5,บ้านเกิด,
救,jiù,to save; to assist,"ช่วย, ช่วยเหลือ, ช่วยชีวิต",6,5,"ช่วย, ช่วยเหลือ, ช่วยชีวิต",
教练,jiào liàn,coach; trainer; to coach,"โค้ช, ผู้ฝึกสอน",6,5,"โค้ช, ผู้ฝึกสอน",
断,duàn,to break; to snap,"ขาด, แตก",6,5,"ขาด, หัก",断 = snap/sever (ขาด/หัก); current แตก is shatter (破/碎).
方案,fāng àn,plan; program,"แผนงาน, แผนการ",6,5,"แผนงาน, แผนการ",
无关,wú guān,unrelated; having nothing to do,ไม่เกี่ยวข้อง,6,4,ไม่เกี่ยวข้อง,
无论,wú lùn,no matter what; regardless,ไม่ว่า...ก็ตาม,6,4,ไม่ว่า...ก็ตาม,
时代,shí dài,era; age; times,ยุคสมัย; ยุค,6,5,"ยุคสมัย, ยุค","Variants of one sense -> comma, not '; '."
春天,chūn tiān,spring,ฤดูใบไม้ผลิ,6,3,ฤดูใบไม้ผลิ,
显然,xiǎn rán,clearly; evidently,"เห็นได้ชัด, ชัดเจน",6,5,"เห็นได้ชัด, ชัดเจน",
景,jǐng,scenery; view,"ทิวทัศน์, วิว",6,5,"ทิวทัศน์, วิว",
最佳,zuì jiā,optimum; optimal,"ดีที่สุด, เหมาะสมที่สุด",6,6,"ดีที่สุด, เหมาะสมที่สุด",
最终,zuì zhōng,final; ultimate,"สุดท้าย, ในที่สุด",6,4,"สุดท้าย, ในที่สุด",
有利于,yǒu lì yú,to be advantageous to,"เป็นประโยชน์ต่อ, เอื้อต่อ",6,5,"เป็นประโยชน์ต่อ, เอื้อต่อ",
有益,yǒu yì,useful; beneficial,มีประโยชน์,6,5,มีประโยชน์,
有限,yǒu xiàn,limited; finite,จำกัด,6,4,จำกัด,
本来,běn lái,original; originally,"เดิมที, แต่แรก",6,4,"เดิมที, แต่แรก",
机构,jī gòu,mechanism; structure,"องค์กร, กลไก",6,6,"องค์กร, กลไก","EN-GLOSS-BUG: 机构 most often = 'organization/institution/agency' (องค์กร), which the EN gloss ('mechanism; structure') omits. Thai already carries it."
来自,lái zì,to come from; From,มาจาก,6,4,มาจาก,
极其,jí qí,extremely,"อย่างยิ่ง, สุดๆ",6,4,"อย่างยิ่ง, สุดๆ",
构成,gòu chéng,to constitute; to form,"ประกอบเป็น, ก่อให้เกิด",6,5,"ประกอบเป็น, ก่อให้เกิด",
梅花,méi huā,plum blossom; clubs ♣,ดอกเหมย (บ๊วย),6,6,ดอกเหมย (บ๊วย); ดอกจิก (ไพ่),Added the distinct card-suit sense the EN lists (clubs).
模糊,mó hú,vague; indistinct,"พร่ามัว, คลุมเครือ",6,5,"พร่ามัว, คลุมเครือ",
正好,zhèng hǎo,just; just right,"พอดี, เหมาะเจาะ",6,4,"พอดี, เหมาะเจาะ",
正是,zhèng shì,is precisely,"คือ...นี่แหละ, เป็นเช่นนั้นพอดี",6,4,"คือ...นี่แหละ, เป็นเช่นนั้นพอดี",
治疗,zhì liáo,to treat; medical treatment,รักษา (โรค),6,5,รักษา (โรค),
治病,zhì bìng,to treat an illness,รักษาโรค,6,5,รักษาโรค,
法,fǎ,law; method,กฎหมาย; วิธี; (ย่อ) ฝรั่งเศส,6,4,กฎหมาย; วิธี,"Trimmed third sense (ย่อ ฝรั่งเศส / France abbrev), out of the law;method gloss."
法官,fǎ guān,judge,ผู้พิพากษา,6,5,ผู้พิพากษา,
洗衣机,xǐ yī jī,washing machine; washer,เครื่องซักผ้า,6,4,เครื่องซักผ้า,
流利,liú lì,fluent,คล่องแคล่ว,6,4,คล่องแคล่ว,
浇,jiāo,to pour liquid; to irrigate,"ราดน้ำ, รดน้ำ",6,5,"ราดน้ำ, รดน้ำ",
消费者,xiāo fèi zhě,consumer,ผู้บริโภค,6,5,ผู้บริโภค,
深刻,shēn kè,profound; deep,ลึกซึ้ง,6,5,ลึกซึ้ง,
