hanzi,pinyin,english,thai_current,freq,level
国家,guó jiā,country; nation,"ประเทศ, ชาติ",22,3
国王,guó wáng,king,กษัตริย์,22,5
复印,fù yìn,to photocopy; to duplicate a document,ถ่ายเอกสาร,22,4
女儿,nǚ ér,daughter,ลูกสาว,22,1
好处,hǎo chù,benefit; advantage,"ข้อดี, ประโยชน์",22,4
如,rú,as; as if,เช่น; ราวกับ,22,4
密码,mì mǎ,cipher; secret code,"รหัสผ่าน, รหัสลับ",22,4
张,zhāng,classifier for sheets/tickets,แซ่จาง; ลักษณนามแผ่น,22,1
技术,jì shù,technology; technique,"เทคโนโลยี, เทคนิค, ทักษะ",22,4
拒绝,jù jué,to refuse; to decline,ปฏิเสธ,22,4
无,wú,not to have; no,"ไม่มี, ปราศจาก",22,4
无法,wú fǎ,unable to; incapable of,"ไม่สามารถ, ...ไม่ได้",22,4
有人,yǒu rén,someone; people,"มีคน, บางคน",22,3
气,qì,air; angry,"ก๊าซ, อากาศ; โกรธ",22,5
白天,bái tiān,daytime; during the day,"กลางวัน, ตอนกลางวัน",22,3
篇,piān,piece of writing; classifier,ลักษณนาม(บทความ/เรื่อง),22,4
红色,hóng sè,red; revolutionary,สีแดง,22,2
经过,jīng guò,to pass; to go through,ผ่าน; ผ่านพ้น,22,3
羊,yáng,sheep; goat,"แกะ, แพะ",22,3
耐心,nài xīn,to be patient; patience,ความอดทน; อดทน,22,4
能够,néng gòu,to be capable of; to be able to,สามารถ,22,4
表现,biǎo xiàn,to show; to show off,"แสดงออก; ผลงาน, การแสดงออก",22,5
语言,yǔ yán,language,ภาษา,22,4
读,dú,to read,อ่าน,22,1
送,sòng,to send; to deliver,ส่ง; มอบ(ของขวัญ); ไปส่ง,22,2
速度,sù dù,speed; rate,ความเร็ว,22,4
那些,nà xiē,those,เหล่านั้น,22,2
重视,zhòng shì,to attach importance to something,ให้ความสำคัญ,22,4
鼓励,gǔ lì,to encourage,"ให้กำลังใจ, สนับสนุน",22,4
之间,zhī jiān,after a noun between; among,ระหว่าง,21,4
价值,jià zhí,value; worth,"คุณค่า, มูลค่า",21,5
作品,zuò pǐn,work; opus,ผลงาน (ศิลปะ/วรรณกรรม),21,5
利用,lì yòng,to exploit; to make use of,"ใช้ประโยชน์, ใช้",21,5
十分,shí fēn,very; completely,"อย่างยิ่ง, มาก",21,4
如何,rú hé,how; what way,"อย่างไร, เช่นไร",21,5
学生,xué shēng,student; schoolchild,"นักเรียน, นักศึกษา",21,1
广,guǎng,wide; broad,"กว้าง, แพร่หลาย",21,5
找到,zhǎo dào,to find,"หาเจอ, พบ",21,2
方便,fāng biàn,convenient; suitable,สะดวก,21,3
材料,cái liào,raw material; data,วัสดุ; ข้อมูล,21,4
杯子,bēi zi,cup; glass,"แก้ว, ถ้วย",21,1
森林,sēn lín,forest,ป่า,21,4
正在,zhèng zài,to be in the process of,กำลัง...อยู่,21,2
母亲,mǔ qīn,mother,"แม่, มารดา",21,4
牛,niú,cow; ox,"วัว, โค",21,4
理想,lǐ xiǎng,an ideal; a dream,"อุดมคติ, ความใฝ่ฝัน; ในอุดมคติ",21,4
病人,bìng rén,sick person; patient,"ผู้ป่วย, คนไข้",21,5
看法,kàn fǎ,way of looking at a thing; view,"มุมมอง, ความคิดเห็น",21,4
结果,jié guǒ,result; outcome,ผลลัพธ์; ผลที่ตามมา,21,4
而且,ér qiě,not only ... but also; moreover,"อีกทั้ง, ยิ่งไปกว่านั้น",21,3
走路,zǒu lù,to walk; to go on foot,"เดิน, เดินเท้า",21,2
越来越,yuè lái yuè,more and more,"ยิ่ง...ยิ่งขึ้น, มากขึ้นเรื่อยๆ",21,3
适应,shì yìng,to adapt; to fit,"ปรับตัว, เข้ากับ",21,4
顾客,gù kè,customer; client,ลูกค้า,21,4
乒乓球,pīng pāng qiú,table tennis; ping-pong,"ปิงปอง, เทเบิลเทนนิส",20,4
京剧,jīng jù,Beijing opera,งิ้วปักกิ่ง,20,4
便宜,pián yi,cheap; inexpensive,ถูก (ราคา),20,2
元,yuán,yuan (unit of currency),หยวน (สกุลเงิน),20,2
只是,zhǐ shì,merely; only,"เพียงแต่, แค่",20,3
太阳,tài yáng,sun; sunlight,ดวงอาทิตย์,20,3
字,zì,letter; symbol,"ตัวอักษร, คำ",20,1
年轻,nián qīng,young,"หนุ่มสาว, อายุน้อย",20,3
当时,dāng shí,then; at that time,"ตอนนั้น, ในขณะนั้น",20,4
文件,wén jiàn,document; file,"เอกสาร, ไฟล์",20,4
机会,jī huì,opportunity; chance,โอกาส,20,3
椅子,yǐ zi,chair,เก้าอี้,20,1
浪漫,làng màn,romantic,โรแมนติก,20,4
火,huǒ,fire; urgent,ไฟ; เร่งด่วน,20,3
男孩儿,nán hái er,boy,เด็กผู้ชาย,20,5
病,bìng,illness; disease,ป่วย; โรค,20,2
