hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
国家,guó jiā,country; nation,"ประเทศ, ชาติ",22,3,"ประเทศ, ชาติ",
国王,guó wáng,king,กษัตริย์,22,5,กษัตริย์,
复印,fù yìn,to photocopy; to duplicate a document,ถ่ายเอกสาร,22,4,ถ่ายเอกสาร,
女儿,nǚ ér,daughter,ลูกสาว,22,1,ลูกสาว,
好处,hǎo chù,benefit; advantage,"ข้อดี, ประโยชน์",22,4,"ข้อดี, ประโยชน์",
如,rú,as; as if,เช่น; ราวกับ,22,4,เช่น; ราวกับ,
密码,mì mǎ,cipher; secret code,"รหัสผ่าน, รหัสลับ",22,4,"รหัสผ่าน, รหัสลับ",
张,zhāng,classifier for sheets/tickets,แซ่จาง; ลักษณนามแผ่น,22,1,ลักษณนาม (แผ่น/ใบ),
技术,jì shù,technology; technique,"เทคโนโลยี, เทคนิค, ทักษะ",22,4,เทคโนโลยี; เทคนิค,
拒绝,jù jué,to refuse; to decline,ปฏิเสธ,22,4,ปฏิเสธ,
无,wú,not to have; no,"ไม่มี, ปราศจาก",22,4,"ไม่มี, ปราศจาก",
无法,wú fǎ,unable to; incapable of,"ไม่สามารถ, ...ไม่ได้",22,4,"ไม่สามารถ, ...ไม่ได้",
有人,yǒu rén,someone; people,"มีคน, บางคน",22,3,"มีคน, บางคน",
气,qì,air; angry,"ก๊าซ, อากาศ; โกรธ",22,5,อากาศ; โกรธ,
白天,bái tiān,daytime; during the day,"กลางวัน, ตอนกลางวัน",22,3,"กลางวัน, ตอนกลางวัน",
篇,piān,piece of writing; classifier,ลักษณนาม(บทความ/เรื่อง),22,4,ลักษณนาม(บทความ/เรื่อง),
红色,hóng sè,red; revolutionary,สีแดง,22,2,สีแดง,
经过,jīng guò,to pass; to go through,ผ่าน; ผ่านพ้น,22,3,ผ่าน; ผ่านพ้น,
羊,yáng,sheep; goat,"แกะ, แพะ",22,3,"แกะ, แพะ",
耐心,nài xīn,to be patient; patience,ความอดทน; อดทน,22,4,ความอดทน; อดทน,
能够,néng gòu,to be capable of; to be able to,สามารถ,22,4,สามารถ,
表现,biǎo xiàn,to show; to show off,"แสดงออก; ผลงาน, การแสดงออก",22,5,แสดงออก; ผลงาน,
语言,yǔ yán,language,ภาษา,22,4,ภาษา,
读,dú,to read,อ่าน,22,1,อ่าน,
送,sòng,to send; to deliver,ส่ง; มอบ(ของขวัญ); ไปส่ง,22,2,ส่ง; มอบ (ของขวัญ),
速度,sù dù,speed; rate,ความเร็ว,22,4,ความเร็ว,
那些,nà xiē,those,เหล่านั้น,22,2,เหล่านั้น,
重视,zhòng shì,to attach importance to something,ให้ความสำคัญ,22,4,ให้ความสำคัญ,
鼓励,gǔ lì,to encourage,"ให้กำลังใจ, สนับสนุน",22,4,"ให้กำลังใจ, สนับสนุน",
之间,zhī jiān,after a noun between; among,ระหว่าง,21,4,ระหว่าง,
价值,jià zhí,value; worth,"คุณค่า, มูลค่า",21,5,คุณค่า; มูลค่า,
作品,zuò pǐn,work; opus,ผลงาน (ศิลปะ/วรรณกรรม),21,5,ผลงาน (ศิลปะ/วรรณกรรม),
利用,lì yòng,to exploit; to make use of,"ใช้ประโยชน์, ใช้",21,5,"ใช้ประโยชน์, ใช้",
十分,shí fēn,very; completely,"อย่างยิ่ง, มาก",21,4,"อย่างยิ่ง, มาก",
如何,rú hé,how; what way,"อย่างไร, เช่นไร",21,5,"อย่างไร, เช่นไร",
学生,xué shēng,student; schoolchild,"นักเรียน, นักศึกษา",21,1,"นักเรียน, นักศึกษา",
广,guǎng,wide; broad,"กว้าง, แพร่หลาย",21,5,"กว้าง, แพร่หลาย",
找到,zhǎo dào,to find,"หาเจอ, พบ",21,2,"หาเจอ, พบ",
方便,fāng biàn,convenient; suitable,สะดวก,21,3,สะดวก,
材料,cái liào,raw material; data,วัสดุ; ข้อมูล,21,4,วัสดุ; ข้อมูล,
杯子,bēi zi,cup; glass,"แก้ว, ถ้วย",21,1,"แก้ว, ถ้วย",
森林,sēn lín,forest,ป่า,21,4,ป่า,
正在,zhèng zài,to be in the process of,กำลัง...อยู่,21,2,กำลัง...อยู่,
母亲,mǔ qīn,mother,"แม่, มารดา",21,4,"แม่, มารดา",
牛,niú,cow; ox,"วัว, โค",21,4,"วัว, โค",
理想,lǐ xiǎng,an ideal; a dream,"อุดมคติ, ความใฝ่ฝัน; ในอุดมคติ",21,4,อุดมคติ; ความใฝ่ฝัน,
病人,bìng rén,sick person; patient,"ผู้ป่วย, คนไข้",21,5,"ผู้ป่วย, คนไข้",
看法,kàn fǎ,way of looking at a thing; view,"มุมมอง, ความคิดเห็น",21,4,"มุมมอง, ความคิดเห็น",
结果,jié guǒ,result; outcome,ผลลัพธ์; ผลที่ตามมา,21,4,ผลลัพธ์; ผลที่ตามมา,
而且,ér qiě,not only ... but also; moreover,"อีกทั้ง, ยิ่งไปกว่านั้น",21,3,"อีกทั้ง, ยิ่งไปกว่านั้น",
走路,zǒu lù,to walk; to go on foot,"เดิน, เดินเท้า",21,2,"เดิน, เดินเท้า",
越来越,yuè lái yuè,more and more,"ยิ่ง...ยิ่งขึ้น, มากขึ้นเรื่อยๆ",21,3,"ยิ่ง...ยิ่งขึ้น, มากขึ้นเรื่อยๆ",
适应,shì yìng,to adapt; to fit,"ปรับตัว, เข้ากับ",21,4,"ปรับตัว, เข้ากับ",
顾客,gù kè,customer; client,ลูกค้า,21,4,ลูกค้า,
乒乓球,pīng pāng qiú,table tennis; ping-pong,"ปิงปอง, เทเบิลเทนนิส",20,4,"ปิงปอง, เทเบิลเทนนิส",
京剧,jīng jù,Beijing opera,งิ้วปักกิ่ง,20,4,งิ้วปักกิ่ง,
便宜,pián yi,cheap; inexpensive,ถูก (ราคา),20,2,ถูก (ราคา),
元,yuán,yuan (unit of currency),หยวน (สกุลเงิน),20,2,หยวน (สกุลเงิน),
只是,zhǐ shì,merely; only,"เพียงแต่, แค่",20,3,"เพียงแต่, แค่",
太阳,tài yáng,sun; sunlight,ดวงอาทิตย์,20,3,ดวงอาทิตย์,
字,zì,letter; symbol,"ตัวอักษร, คำ",20,1,"ตัวอักษร, คำ",
年轻,nián qīng,young,"หนุ่มสาว, อายุน้อย",20,3,"หนุ่มสาว, อายุน้อย",
当时,dāng shí,then; at that time,"ตอนนั้น, ในขณะนั้น",20,4,"ตอนนั้น, ในขณะนั้น",
文件,wén jiàn,document; file,"เอกสาร, ไฟล์",20,4,เอกสาร; ไฟล์,
机会,jī huì,opportunity; chance,โอกาส,20,3,โอกาส,
椅子,yǐ zi,chair,เก้าอี้,20,1,เก้าอี้,
浪漫,làng màn,romantic,โรแมนติก,20,4,โรแมนติก,
火,huǒ,fire; urgent,ไฟ; เร่งด่วน,20,3,ไฟ; เร่งด่วน,
男孩儿,nán hái er,boy,เด็กผู้ชาย,20,5,เด็กผู้ชาย,
病,bìng,illness; disease,ป่วย; โรค,20,2,ป่วย; โรค,
称为,chēng wéi,to be called,เรียกว่า,20,5,เรียกว่า,
简单,jiǎn dān,simple; not complicated,"ง่าย, เรียบง่าย",20,3,"ง่าย, เรียบง่าย",
精神,jīng shén,spirit; mind,"จิตใจ, จิตวิญญาณ; กระปรี้กระเปร่า",20,4,จิตใจ; จิตวิญญาณ,
经济,jīng jì,economy; economic,เศรษฐกิจ; เชิงเศรษฐกิจ,20,4,เศรษฐกิจ; เชิงเศรษฐกิจ,
而是,ér shì,rather,"แต่เป็น, หากแต่",20,4,"แต่เป็น, หากแต่",
航空,háng kōng,aviation,การบิน,20,6,การบิน,
船,chuán,boat; vessel,เรือ,20,2,เรือ,
训练,xùn liàn,to train; to drill,"ฝึก, ฝึกอบรม",20,5,"ฝึก, ฝึกอบรม",
谢谢,xiè xiè,to thank; thanks,ขอบคุณ,20,1,ขอบคุณ,
质量,zhì liàng,physics mass; quality,คุณภาพ; (ฟิสิกส์) มวล,20,4,คุณภาพ; (ฟิสิกส์) มวล,
跳,tiào,to jump; to hop,กระโดด; เต้น,20,2,กระโดด; เต้น,
这里,zhè lǐ,here,ที่นี่,20,1,ที่นี่,
遇到,yù dào,to meet; to run into,"พบเจอ, เจอ",20,3,"พบเจอ, เจอ",
飞机,fēi jī,airplane,เครื่องบิน,20,1,เครื่องบิน,
食物,shí wù,food,อาหาร,20,5,อาหาร,
骑,qí,to sit astride; to ride,ขี่ (จักรยาน/ม้า),20,3,ขี่ (จักรยาน/ม้า),
不断,bù duàn,unceasing; uninterrupted,"ไม่ขาดสาย, อย่างต่อเนื่อง",19,5,"ไม่ขาดสาย, อย่างต่อเนื่อง",
丢,diū,to lose; to put aside,ทำหาย; ทิ้ง,19,4,ทำหาย; ทิ้ง,
了解,liǎo jiě,to understand; to realize,"เข้าใจ, รู้จักดี",19,3,"เข้าใจ, รู้จักดี",
低,dī,low; beneath,ต่ำ,19,3,ต่ำ,
依,yī,to rely on; according to,พึ่งพา; ทำตาม,19,5,พึ่งพา; ทำตาม,
加油,jiā yóu,to add oil; to top up with gas,เติมน้ำมัน; สู้ๆ,19,4,เติมน้ำมัน; สู้ๆ,EN-GLOSS-BUG: gloss is only the literal 'add oil/top up gas'; 加油 is far more commonly the idiomatic 'go!/cheer on' — Thai keeps สู้ๆ for that sense
动物,dòng wù,animal,สัตว์,19,3,สัตว์,
友谊,yǒu yì,companionship; fellowship,มิตรภาพ,19,4,มิตรภาพ,EN-GLOSS-BUG: 'companionship; fellowship' is loose — 友谊 = friendship (มิตรภาพ)
叫,jiào,to shout; to call,เรียก; ชื่อว่า,19,1,เรียก; ชื่อว่า,
后悔,hòu huǐ,to regret; to feel remorse,"เสียใจ, สำนึกผิด",19,4,"เสียใจ, สำนึกผิด",
商店,shāng diàn,store; shop,ร้านค้า,19,1,ร้านค้า,
喝,hē,to drink,ดื่ม,19,1,ดื่ม,
增加,zēng jiā,to raise; to increase,"เพิ่มขึ้น, เพิ่ม",19,4,"เพิ่มขึ้น, เพิ่ม",
多年,duō nián,many years; for many years,หลายปี,19,3,หลายปี,
完,wán,to finish; to be over,"เสร็จ, จบ",19,2,"เสร็จ, จบ",
心,xīn,heart; mind,หัวใจ; จิตใจ,19,4,หัวใจ; จิตใจ,
情况,qíng kuàng,circumstances; state of affairs,"สถานการณ์, สภาพ",19,4,"สถานการณ์, สภาพ",
感情,gǎn qíng,emotion; sentiment,"ความรู้สึก, อารมณ์, ความผูกพัน",19,4,ความรู้สึก; ความผูกพัน,
成熟,chéng shú,mature; ripe,"สุก; เป็นผู้ใหญ่, สุกงอม",19,4,เป็นผู้ใหญ่; สุก,
或者,huò zhě,or; possibly,หรือ; อาจจะ,19,3,หรือ; อาจจะ,
所有,suǒ yǒu,all; to have,ทั้งหมด,19,4,ทั้งหมด,
打开,dǎ kāi,to open; to show,เปิด,19,4,เปิด,
按时,àn shí,on time; before deadline,ตรงเวลา,19,4,ตรงเวลา,
支持,zhī chí,to be in favor of; to support,สนับสนุน,19,4,สนับสนุน,
收拾,shōu shí,to put in order; to tidy up,"เก็บกวาด, จัดให้เรียบร้อย",19,4,"เก็บกวาด, จัดให้เรียบร้อย",
教室,jiào shì,classroom,ห้องเรียน,19,2,ห้องเรียน,
教育,jiào yù,to educate; to teach,"การศึกษา; ให้การศึกษา, อบรม",19,4,"การศึกษา; ให้การศึกษา, อบรม",
有着,yǒu zhe,to have; to possess,"มี, ประกอบด้วย",19,4,"มี, ประกอบด้วย",
标准,biāo zhǔn,standard; norm,"มาตรฐาน, เกณฑ์",19,4,"มาตรฐาน, เกณฑ์",
次,cì,times (measure word),ครั้ง (ลักษณนาม),19,2,ครั้ง (ลักษณนาม),
然而,rán ér,however; but,"แต่ทว่า, อย่างไรก็ตาม",19,4,"แต่ทว่า, อย่างไรก็ตาม",
盘,pán,tray; plate,จาน; ลักษณนาม(จาน),19,5,จาน; ลักษณนาม(จาน),
知识,zhī shí,knowledge; intellectual,ความรู้,19,4,ความรู้,
网,wǎng,net; web,"ตาข่าย; เครือข่าย, เน็ต",19,4,"ตาข่าย; เครือข่าย, เน็ต",
美丽,měi lì,beautiful,สวยงาม,19,4,สวยงาม,
聪明,cōng míng,intelligent; clever,ฉลาด,19,3,ฉลาด,
肌肉,jī ròu,muscle; flesh,กล้ามเนื้อ,19,5,กล้ามเนื้อ,
警察,jǐng chá,police; police officer,ตำรวจ,19,4,ตำรวจ,
讲,jiǎng,to speak; to explain,"พูด, อธิบาย, เล่า",19,3,พูด; อธิบาย,
车,chē,car; vehicle,"รถ, ยานพาหนะ",19,1,"รถ, ยานพาหนะ",
这么,zhè me,so much; this much,"อย่างนี้, ขนาดนี้",19,1,"อย่างนี้, ขนาดนี้",
迟到,chí dào,to arrive late,มาสาย,19,3,มาสาย,
逐渐,zhú jiàn,gradually,"ค่อยๆ, ทีละน้อย",19,4,"ค่อยๆ, ทีละน้อย",
颜色,yán sè,color; countenance,สี,19,2,สี,
一点儿,yì diǎn ér,"a little, a bit","นิดหน่อย, เล็กน้อย",18,1,"นิดหน่อย, เล็กน้อย",
乐,lè,happy; joyful,"สุข, ยินดี; (yuè) ดนตรี",18,3,"สุข, ยินดี",
任何,rèn hé,any; whatever,"ใดๆ, ไม่ว่าอะไร",18,4,"ใดๆ, ไม่ว่าอะไร",
份,fèn,"(classifier for copies, sets)",ลักษณนาม(ฉบับ/ชุด/ส่วน),18,4,ลักษณนาม(ฉบับ/ชุด/ส่วน),
办法,bàn fǎ,way of handling something,"วิธี, หนทาง",18,3,"วิธี, หนทาง",
动画,dòng huà,animation; cartoon,"แอนิเมชัน, การ์ตูน",18,6,"แอนิเมชัน, การ์ตูน",
吃惊,chī jīng,to be startled; to be shocked,"ตกใจ, ประหลาดใจ",18,4,"ตกใจ, ประหลาดใจ",
同时,tóng shí,at the same time; simultaneously,"ในเวลาเดียวกัน, พร้อมกัน",18,5,"ในเวลาเดียวกัน, พร้อมกัน",
吸引,xī yǐn,to attract; to appeal to,ดึงดูด,18,4,ดึงดูด,
大量,dà liàng,great amount; large quantity,"จำนวนมาก, ปริมาณมาก",18,4,"จำนวนมาก, ปริมาณมาก",
失望,shī wàng,disappointed; to lose hope,ผิดหวัง,18,4,ผิดหวัง,
完全,wán quán,complete; whole,"ทั้งหมด, อย่างสมบูรณ์, โดยสิ้นเชิง",18,4,"ทั้งหมด, โดยสิ้นเชิง",
帮,bāng,to help; to assist,ช่วย,18,2,ช่วย,
形成,xíng chéng,to form; to take shape,"ก่อตัว, ก่อให้เกิด, เกิดเป็น",18,5,"ก่อตัว, เกิดเป็น",
往,wǎng,to go; toward,"ไปทาง, มุ่งสู่",18,2,"ไปทาง, มุ่งสู่",
怎么样,zěn me yàng,how?; how about?,"เป็นอย่างไรบ้าง, เป็นไง",18,1,"เป็นอย่างไรบ้าง, เป็นไง",
总结,zǒng jié,to sum up; to conclude,สรุป; การสรุป,18,4,สรุป; การสรุป,
意见,yì jiàn,idea; opinion,"ความคิดเห็น, ข้อเสนอแนะ",18,4,"ความคิดเห็น, ข้อเสนอแนะ",
懂,dǒng,to understand; to comprehend,เข้าใจ,18,2,เข้าใจ,
手,shǒu,hand; formal to hold,มือ,18,3,มือ,EN-GLOSS-BUG: second sense 'formal to hold' is spurious; 手 = hand
手机,shǒu jī,cell phone; mobile phone,โทรศัพท์มือถือ,18,2,โทรศัพท์มือถือ,
打车,dǎ chē,to take a taxi; to hitch a lift,"เรียกแท็กซี่, โดยสารแท็กซี่",18,3,"เรียกแท็กซี่, โดยสารแท็กซี่",
指,zhǐ,finger; to point at or to,นิ้ว; ชี้,18,4,นิ้ว; ชี้,
河,hé,river,แม่น้ำ,18,3,แม่น้ำ,
油,yóu,oil; fat,น้ำมัน,18,4,น้ำมัน,
流行,liú xíng,popular; to spread,"เป็นที่นิยม, ฮิต; แพร่หลาย",18,4,"เป็นที่นิยม, ฮิต; แพร่หลาย",
特点,tè diǎn,characteristic; trait,"จุดเด่น, ลักษณะเฉพาะ",18,4,"จุดเด่น, ลักษณะเฉพาะ",
甚至,shèn zhì,even; so much so that,"กระทั่ง, ถึงขนาด",18,4,"กระทั่ง, ถึงขนาด",
生,shēng,to be born; raw,เกิด; คลอด; ดิบ,18,4,เกิด; ดิบ,
生气,shēng qì,to get angry; to be furious,โกรธ,18,3,โกรธ,
站,zhàn,station; to stand,สถานี; ยืน,18,3,สถานี; ยืน,
经历,jīng lì,to experience; to go through,"ประสบการณ์; ประสบ, ผ่าน",18,4,"ประสบการณ์; ประสบ, ผ่าน",
缺少,quē shǎo,lack; shortage of,"ขาด, ขาดแคลน",18,4,"ขาด, ขาดแคลน",
花,huā,flower; to spend (money),ดอกไม้; ใช้จ่าย,18,3,ดอกไม้; ใช้จ่าย,
衣服,yī fú,clothes,เสื้อผ้า,18,1,เสื้อผ้า,
观众,guān zhòng,spectators; audience,ผู้ชม,18,4,ผู้ชม,
计划,jì huà,plan; project,แผนการ; วางแผน,18,4,แผนการ; วางแผน,
认识,rèn shí,to know; to recognize,รู้จัก,18,1,รู้จัก,
误会,wù huì,to misunderstand; to mistake,เข้าใจผิด; ความเข้าใจผิด,18,4,เข้าใจผิด; ความเข้าใจผิด,
谁,shuí,who,ใคร,18,1,ใคร,
贵,guì,expensive; noble,แพง,18,2,แพง,
赢,yíng,to beat; to win,ชนะ,18,4,ชนะ,
跟,gēn,with; to follow,กับ; ตามไป; ส้น(เท้า),18,3,กับ; ตามไป,
不仅,bù jǐn,not just; not limited to,ไม่เพียงแต่,17,4,ไม่เพียงแต่,
主动,zhǔ dòng,take the initiative; proactive,"ทำด้วยตัวเอง, เป็นฝ่ายริเริ่ม",17,4,"ทำด้วยตัวเอง, เป็นฝ่ายริเริ่ม",
休息,xiū xī,rest; to rest,"พักผ่อน, พัก",17,2,"พักผ่อน, พัก",
养成,yǎng chéng,to cultivate; to raise,"สร้าง(นิสัย), บ่มเพาะ",17,4,"สร้าง(นิสัย), บ่มเพาะ",
内容,nèi róng,content; substance,เนื้อหา,17,4,เนื้อหา,
出发,chū fā,to set off; to start,ออกเดินทาง,17,4,ออกเดินทาง,
发生,fā shēng,to happen,เกิดขึ้น,17,4,เกิดขึ้น,
取,qǔ,to take; to get,"เอา, รับ, ถอน",17,4,"เอา, รับ",
另外,lìng wài,additional; in addition,"นอกจากนี้, อีกอย่าง",17,4,"นอกจากนี้, อีกอย่าง",
同事,tóng shì,colleague; co-worker,เพื่อนร่วมงาน,17,3,เพื่อนร่วมงาน,
回来,huí lái,to return; to come back,กลับมา,17,1,กลับมา,
处,chù,place; location,"สถานที่, จุด; (chǔ) จัดการ",17,4,"สถานที่, จุด",
外,wài,outside; in addition,ข้างนอก; นอกจากนี้,17,3,ข้างนอก; นอกจากนี้,
大脑,dà nǎo,brain; cerebrum,สมอง,17,5,สมอง,
安全,ān quán,safe; secure,ปลอดภัย; ความปลอดภัย,17,4,ปลอดภัย; ความปลอดภัย,
完成,wán chéng,to complete; to accomplish,"ทำสำเร็จ, ทำเสร็จ",17,3,"ทำสำเร็จ, ทำเสร็จ",
导游,dǎo yóu,tour guide; guidebook,"มัคคุเทศก์, ไกด์",17,4,"มัคคุเทศก์, ไกด์",
小说,xiǎo shuō,novel; fiction,นวนิยาย,17,4,นวนิยาย,
情绪,qíng xù,mood; state of mind,"อารมณ์, สภาพจิตใจ",17,5,"อารมณ์, สภาพจิตใจ",
房间,fáng jiān,room,ห้อง,17,2,ห้อง,
打折,dǎ zhé,to give a discount,ลดราคา,17,4,ลดราคา,
拥有,yōng yǒu,to have; to possess,"มี, ครอบครอง",17,5,"มี, ครอบครอง",
教授,jiào shòu,professor; to instruct,ศาสตราจารย์,17,4,ศาสตราจารย์,
梦,mèng,dream; to dream,ความฝัน; ฝัน,17,4,ความฝัน; ฝัน,
演员,yǎn yuán,actor; actress,นักแสดง,17,4,นักแสดง,
然后,rán hòu,then; after that,"จากนั้น, แล้วก็",17,3,"จากนั้น, แล้วก็",
熟悉,shú xī,to be familiar with; to know well,"คุ้นเคย, รู้จักดี",17,4,"คุ้นเคย, รู้จักดี",
