hanzi,pinyin,english,thai_current,freq,level
奇迹,qí jì,miracle; wonder,"ปาฏิหาริย์, สิ่งมหัศจรรย์",6,5
女子,nǚ zǐ,woman; female,"ผู้หญิง, หญิง",6,6
妹妹,mèi mèi,younger sister; young woman,น้องสาว,6,2
委屈,wěi qū,to feel wronged; hard done by,รู้สึกน้อยใจ,6,5
客气,kè qì,polite; courteous,เกรงใจ; สุภาพ; ไม่เป็นไร,6,1
客观,kè guān,objective; impartial,"ภววิสัย, เป็นกลาง",6,5
寒假,hán jià,winter vacation,ปิดเทอมฤดูหนาว,6,4
对待,duì dài,to treat; treatment,"ปฏิบัติต่อ, การรักษา",6,5
寿命,shòu mìng,life span; life expectancy,"อายุขัย, อายุการใช้งาน",6,5
尝试,cháng shì,to try,"ลอง, พยายาม",6,5
居然,jū rán,unexpectedly; to one's surprise,กลับ (อย่างคาดไม่ถึง),6,5
工具,gōng jù,tool; instrument,"เครื่องมือ, อุปกรณ์",6,4
常用,cháng yòng,in common usage,"ใช้บ่อย, ใช้กันทั่วไป",6,5
平静,píng jìng,calm; tranquil,"สงบ, เงียบสงบ",6,5
年代,nián dài,a decade of a century; age,"ยุค, ช่วงเวลา",6,5
度过,dù guò,to pass; to spend,"ผ่านไป, ใช้เวลา",6,5
建议,jiàn yì,to propose; to suggest,เสนอแนะ; ข้อเสนอแนะ,6,4
开阔,kāi kuò,wide; open,"กว้างขวาง, เปิดกว้าง",6,6
强壮,qiáng zhuàng,strong; sturdy,แข็งแรง,6,5
待遇,dài yù,treatment; pay,"ค่าตอบแทน, การปฏิบัติ",6,5
必,bì,certainly; must,"ต้อง, แน่นอน",6,4
忽视,hū shì,to neglect,"มองข้าม, ละเลย",6,5
急,jí,urgent; pressing,"รีบ, ด่วน; ร้อนใจ",6,4
患,huàn,to suffer; to contract,"ป่วยเป็น, เป็น (โรค)",6,6
想到,xiǎng dào,to think of; to call to mind,"นึกถึง, คิดถึง(ได้)",6,2
想象,xiǎng xiàng,to imagine; to envision,"จินตนาการ, นึกภาพ",6,5
感激,gǎn jī,to be grateful; to appreciate,"ซาบซึ้ง, สำนึกในบุญคุณ",6,5
成分,chéng fèn,composition; one's social status,"ส่วนประกอบ, องค์ประกอบ",6,5
成语,chéng yǔ,Chinese set expression,"สำนวนจีน (เฉิงอวี่, มักสี่พยางค์)",6,5
房屋,fáng wū,house; building,"บ้าน, อาคาร",6,5
房租,fáng zū,rent for a room or house,ค่าเช่าบ้าน,6,4
手里,shǒu lǐ,in hand; a situation is in someone's hands,"ในมือ, อยู่ในมือ",6,4
扩散,kuò sàn,to spread; to proliferate,"แพร่กระจาย, แพร่ขยาย",6,5
扫,sǎo,to sweep; to sweep away,ทำความสะอาด,6,5
承认,chéng rèn,to admit; to concede,ยอมรับ,6,5
招聘,zhāo pìn,to invite applications for a job; to recruit,"รับสมัคร(งาน), จ้างงาน",6,4
拿出,ná chū,to take out; to put out,"หยิบออกมา, นำออกมา",6,3
挤,jǐ,to crowd in; to cram in,"แหน่บ, ยัด",6,5
推出,tuī chū,to push out; to release,"เปิดตัว, นำออกสู่ตลาด",6,4
推荐,tuī jiàn,to recommend,"แนะนำ, เสนอชื่อ",6,5
提,tí,to carry; to lift,"หิ้ว, ถือ; ยก(ขึ้นมา); เอ่ยถึง",6,4
摇,yáo,to shake; to wave,"เขย่า, โบก, ส่าย",6,5
收获,shōu huò,to harvest; to reap,"เก็บเกี่ยว; ผลที่ได้รับ, ผลเก็บเกี่ยว",6,5
放到,fàng dào,to place at,"วาง, ใส่",6,3
故乡,gù xiāng,home; homeland,บ้านเกิด,6,5
救,jiù,to save; to assist,"ช่วย, ช่วยเหลือ, ช่วยชีวิต",6,5
教练,jiào liàn,coach; trainer; to coach,"โค้ช, ผู้ฝึกสอน",6,5
断,duàn,to break; to snap,"ขาด, แตก",6,5
方案,fāng àn,plan; program,"แผนงาน, แผนการ",6,5
无关,wú guān,unrelated; having nothing to do,ไม่เกี่ยวข้อง,6,4
无论,wú lùn,no matter what; regardless,ไม่ว่า...ก็ตาม,6,4
时代,shí dài,era; age; times,ยุคสมัย; ยุค,6,5
春天,chūn tiān,spring,ฤดูใบไม้ผลิ,6,3
显然,xiǎn rán,clearly; evidently,"เห็นได้ชัด, ชัดเจน",6,5
景,jǐng,scenery; view,"ทิวทัศน์, วิว",6,5
最佳,zuì jiā,optimum; optimal,"ดีที่สุด, เหมาะสมที่สุด",6,6
最终,zuì zhōng,final; ultimate,"สุดท้าย, ในที่สุด",6,4
有利于,yǒu lì yú,to be advantageous to,"เป็นประโยชน์ต่อ, เอื้อต่อ",6,5
有益,yǒu yì,useful; beneficial,มีประโยชน์,6,5
有限,yǒu xiàn,limited; finite,จำกัด,6,4
本来,běn lái,original; originally,"เดิมที, แต่แรก",6,4
机构,jī gòu,mechanism; structure,"องค์กร, กลไก",6,6
来自,lái zì,to come from; From,มาจาก,6,4
极其,jí qí,extremely,"อย่างยิ่ง, สุดๆ",6,4
构成,gòu chéng,to constitute; to form,"ประกอบเป็น, ก่อให้เกิด",6,5
梅花,méi huā,plum blossom; clubs ♣,ดอกเหมย (บ๊วย),6,6
模糊,mó hú,vague; indistinct,"พร่ามัว, คลุมเครือ",6,5
正好,zhèng hǎo,just; just right,"พอดี, เหมาะเจาะ",6,4
正是,zhèng shì,is precisely,"คือ...นี่แหละ, เป็นเช่นนั้นพอดี",6,4
治疗,zhì liáo,to treat; medical treatment,รักษา (โรค),6,5
治病,zhì bìng,to treat an illness,รักษาโรค,6,5
法,fǎ,law; method,กฎหมาย; วิธี; (ย่อ) ฝรั่งเศส,6,4
法官,fǎ guān,judge,ผู้พิพากษา,6,5
洗衣机,xǐ yī jī,washing machine; washer,เครื่องซักผ้า,6,4
流利,liú lì,fluent,คล่องแคล่ว,6,4
浇,jiāo,to pour liquid; to irrigate,"ราดน้ำ, รดน้ำ",6,5
消费者,xiāo fèi zhě,consumer,ผู้บริโภค,6,5
深刻,shēn kè,profound; deep,ลึกซึ้ง,6,5
漫画,màn huà,caricature; cartoon,"การ์ตูน, ลายเส้น",6,6
激发,jī fā,to arouse; to stimulate,"กระตุ้น, ปลุกให้ตื่น",6,5
灵敏,líng mǐn,smart; clever,"ว่องไว, ไว",6,6
热心,rè xīn,enthusiastic; ardent,"กระตือรือร้น, ใจดี",6,5
热爱,rè ài,to love ardently; to adore,รักอย่างแรงกล้า,6,5
燃烧,rán shāo,to ignite; to combust,"เผาไหม้, ลุกไหม้",6,6
爸,bà,father; dad,พ่อ,6,3
独,dú,alone; independent,"ลำพัง, เป็นอิสระ",6,6
独特,dú tè,unique; distinctive,"มีเอกลักษณ์, โดดเด่นเฉพาะตัว",6,5
玉米,yù mǐ,corn; maize,ข้าวโพด,6,5
现代,xiàn dài,modern; contemporary,ทันสมัย; สมัยใหม่,6,4
理,lǐ,reason; to manage,เหตุผล; จัดการ; ลายเนื้อ(ไม้),6,4
瓶子,píng zi,bottle,ขวด,6,4
生理,shēng lǐ,physiology,สรีรวิทยา,6,6
用于,yòng yú,to use in; to use on,ใช้สำหรับ,6,5
用力,yòng lì,to exert oneself physically,ออกแรง,6,4
电,diàn,electricity,ไฟฟ้า,6,2
留,liú,to leave; to retain,"เก็บไว้, ทิ้งไว้",6,4
疲劳,pí láo,fatigue; wearily,"เหนื่อยล้า, อ่อนเพลีย",6,5
疼,téng,it hurts; sore,"เจ็บ, ปวด",6,3
疼痛,téng tòng,pain; of a body part to be painful,"ปวด, เจ็บ",6,6
病毒,bìng dú,virus,ไวรัส,6,5
白,bái,white; in vain,"สีขาว; เปล่าๆ, ฟรี",6,2
眼前,yǎn qián,before one's eyes; now,ตรงหน้า; ขณะนี้,6,4
着急,zháo jí,to worry; to feel anxious,"ร้อนใจ, กังวล, รีบร้อน",6,3
矛盾,máo dùn,contradiction; conflicting views,ความขัดแย้ง; ขัดแย้งกัน,6,5
短,duǎn,short; brief,สั้น,6,3
破坏,pò huài,destruction; damage,ทำลาย; การทำลาย,6,5
硬盘,yìng pán,hard disk,ฮาร์ดดิสก์,6,5
确定,què dìng,definite; certain,"กำหนดแน่นอน, ยืนยัน; แน่ใจ",6,5
碎,suì,broken; to break into pieces,"แตกสลาย, ชิ้นส่วน",6,5
种植,zhòng zhí,to plant; to grow,"ปลูก, เพาะปลูก",6,5
科技,kē jì,science and technology,วิทยาศาสตร์และเทคโนโลยี,6,4
稍微,shāo wēi,a little bit,"เล็กน้อย, นิดหน่อย",6,4
立,lì,to stand; to establish,"ยืน, ตั้ง",6,6
笨,bèn,stupid; foolish,"โง่, เซ่อ",6,4
策略,cè lüè,strategy; tactics,"ยุทธศาสตร์, กลวิธี",6,6
米饭,mǐ fàn,cooked rice,ข้าวสวย,6,1
粮食,liáng shí,foodstuff; cereals,"ธัญพืช, เสบียงอาหาร",6,5
精美,jīng měi,exquisite; elegant,ประณีตงดงาม,6,5
精通,jīng tōng,to be proficient in; to master,"เชี่ยวชาญ, ชำนาญ",6,6
素,sù,plain; element,เรียบง่าย; ธาตุ,6,6
素质,sù zhì,inner quality; basic essence,"คุณภาพ, ธรรมชาติ",6,5
绝望,jué wàng,to despair; to give up all hope,สิ้นหวัง,6,5
统一,tǒng yī,to unify; to integrate,"รวมเป็นหนึ่ง, รวมชาติ; เป็นเอกภาพ",6,5
网上,wǎng shàng,online,"บนอินเทอร์เน็ต, ออนไลน์",6,3
自动,zì dòng,automatic; voluntarily,อัตโนมัติ; โดยสมัครใจ,6,5
至今,zhì jīn,so far; to this day,จนถึงปัจจุบัน,6,5
至少,zhì shǎo,at least; to say the least,อย่างน้อย,6,4
艰难,jiān nán,difficult; hard,ยากลำบาก,6,5
花卉,huā huì,flowers and plants,"ดอกไม้, พืชดอก",6,6
苦,kǔ,bitter; hardship,ขม; ลำบาก,6,4
草,cǎo,grass; straw,"หญ้า, ฟาง",6,3
萝卜,luó bo,"radish, esp. daikon",หัวไชเท้า,6,6
虚心,xū xīn,open-minded; humble,"ถ่อมตน, เปิดใจรับฟัง",6,5
虽,suī,although; even though,ถึงแม้ว่า,6,5
血液,xuè yè,blood,เลือด,6,6
装修,zhuāng xiū,to decorate; interior decoration,"ตกแต่งภายใน, รีโนเวท",6,5
观点,guān diǎn,point of view; viewpoint,"มุมมอง, ความคิดเห็น",6,5
规范,guī fàn,norm; standard,"มาตรฐาน, บรรทัดฐาน",6,6
解,jiě,to divide; to break up,"แตก, แยก",6,3
记住,jì zhù,to remember; to bear in mind,"จำไว้, จดจำ",6,3
记载,jì zǎi,to write down; to record,"บันทึก, จดบันทึก",6,5
评价,píng jià,to evaluate; to assess,"ประเมิน, การประเมินค่า",6,5
询问,xún wèn,to inquire,สอบถาม,6,5
说法,shuō fa,way of saying something; statement,"วิธีการพูด, ความเห็น",6,4
课,kè,subject; course,"วิชา, บทเรียน, คาบเรียน",6,2
象征,xiàng zhēng,symbol; emblem,"สัญลักษณ์, เป็นสัญลักษณ์ของ",6,6
购买,gòu mǎi,to purchase; to buy,"ซื้อ, จัดซื้อ",6,4
资金,zī jīn,funds; capital,เงินทุน,6,5
赚钱,zhuàn qián,to earn money; moneymaking,หาเงิน,6,4
走进,zǒu jìn,to enter; to step into,เดินเข้าไป,6,5
足够,zú gòu,enough; sufficient,เพียงพอ,6,5
足迹,zú jì,footprint; track,"รอยเท้า, ร่องรอย",6,6
躺,tǎng,to recline; to lie down,"นอนลง, เอนตัว",6,4
轻,qīng,light; easy,เบา; ง่าย,6,4
过于,guò yú,excessively; too,มากเกินไป,6,5
过来,guò lái,to come over; to manage,"เข้ามา, ผ่านมา(ทางนี้)",6,3
运气,yùn qì,luck,โชค,6,5
运河,yùn hé,canal,คลองขนส่ง,6,6
运用,yùn yòng,to use; to put to use,"นำมาใช้, ประยุกต์ใช้",6,6
迷路,mí lù,to lose the way; lost,หลงทาง,6,4
退休,tuì xiū,to retire; to go into retirement,เกษียณ,6,5
逃避,táo bì,to escape; to evade,"หลบหนี, หลีกเลี่ยง",6,5
道德,dào dé,virtue; morality,"ศีลธรรม, จริยธรรม",6,6
道路,dào lù,road; path,"ถนนหนทาง, เส้นทาง",6,4
部,bù,ministry; department,"กระทรวง, แผนก",6,4
重,zhòng,heavy; serious,"หนัก; สำคัญ; (chóng) ซ้ำ, อีกครั้ง",6,4
钢琴,gāng qín,piano,เปียโน,6,4
阻止,zǔ zhǐ,to prevent; to block,"ขัดขวาง, ยับยั้ง",6,5
阿姨,ā yí,maternal aunt; step-mother,"ป้า, น้า(หญิง); พี่เลี้ยงเด็ก",6,3
非,fēi,not; non-,"ไม่ใช่, มิ",6,5
鞋,xié,shoe,รองเท้า,6,3
预习,yù xí,to prepare a lesson,เตรียมบทเรียนล่วงหน้า,6,4
餐厅,cān tīng,dining hall; dining room,"ห้องอาหาร, ภัตตาคาร",6,4
饼干,bǐng gān,biscuit; cracker,"ขนมปังกรอบ, คุกกี้",6,4
高级,gāo jí,high level; high grade,"ระดับสูง, ชั้นสูง",6,4
黄色,huáng sè,yellow; vulgar,สีเหลือง,6,2
鼻子,bí zi,nose,จมูก,6,3
一道,yī dào,together,"ด้วยกัน, พร้อมกัน",5,5
万,wàn,ten thousand,หมื่น,5,3
上次,shàng cì,last time,"คราวที่แล้ว, ครั้งก่อน",5,3
上涨,shàng zhǎng,to rise; to go up,"เพิ่มขึ้น, สูงขึ้น",5,5
下属,xià shǔ,subordinate; underling,ผู้ใต้บังคับบัญชา,5,6
下面,xià miàn,below; under,"ข้างล่าง, ด้านล่าง",5,1
不如,bù rú,not equal to; not as good as,"สู้...ไม่ได้, ไม่เท่า",5,5
不宜,bù yí,not suitable; inadvisable,"ไม่เหมาะที่จะ, ไม่ควร",5,5
不解,bù jiě,to not understand; to be puzzled by,"ไม่เข้าใจ, งง",5,5
不论,bù lùn,whatever; no matter what,ไม่ว่าจะ...,5,5
中心,zhōng xīn,center; heart,"ศูนย์กลาง, ใจกลาง",5,5
中间,zhōng jiān,the middle; the inside,ตรงกลาง; ระหว่าง,5,3
临时,lín shí,as the time draws near; at the last moment,"ชั่วคราว, กะทันหัน",5,5
举,jǔ,to lift; to hold up,"ยก, ชู",5,5
举行,jǔ xíng,to hold,"จัด(งาน/พิธี), จัดขึ้น",5,3
之外,zhī wài,outside; excluding,"นอกจาก, ภายนอก",5,4
乘客,chéng kè,passenger,ผู้โดยสาร,5,4
乙,yǐ,second in order (like grade B),ลำดับที่สอง (ในระบบสิบก้านฟ้า),5,6
书法,shū fǎ,calligraphy; handwriting,ศิลปะตัวอักษร,5,6
二氧化碳,èr yǎng huà tàn,carbon dioxide CO2,คาร์บอนไดออกไซด์,5,6
交,jiāo,to hand over; to make friends,"ส่งมอบ, ยื่น; คบหา",5,4
交朋友,jiāo péng yǒu,to make friends,คบเพื่อน,5,4
交际,jiāo jì,communication; social intercourse,"การสื่อสาร, ความสัมพันธ์ระหว่างคน",5,5
