hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
肯定,kěn dìng,to be certain; to be positive,แน่นอน; ยืนยัน,10,4,แน่นอน; ยืนยัน,
胖,pàng,fat; plump,อ้วน,10,3,อ้วน,
能源,néng yuán,energy sources; energy,"พลังงาน, แหล่งพลังงาน",10,5,"พลังงาน, แหล่งพลังงาน",
脚,jiǎo,foot; leg,"เท้า, ขา",10,3,เท้า; ขา,
脸,liǎn,face,ใบหน้า,10,3,ใบหน้า,
脾气,pí qì,character; temperament,"อารมณ์, นิสัย(โกรธง่าย)",10,4,"อารมณ์, นิสัย(โกรธง่าย)",
自由,zì yóu,freedom; liberty,"อิสรภาพ, เสรีภาพ; อิสระ",10,5,"อิสรภาพ, เสรีภาพ; อิสระ",
节,jié,festival; section,เทศกาล; ตอน; ลักษณนาม(คาบเรียน),10,5,เทศกาล; ตอน; ลักษณนาม(คาบเรียน),
蔬菜,shū cài,vegetables,ผัก,10,5,ผัก,
袜子,wà zi,socks; stockings,ถุงเท้า,10,4,ถุงเท้า,
诊断,zhěn duàn,to diagnose,วินิจฉัย(โรค); การวินิจฉัย,10,5,วินิจฉัย(โรค); การวินิจฉัย,
说明,shuō míng,to explain; to illustrate,"อธิบาย, ชี้แจง",10,4,"อธิบาย, ชี้แจง",
读者,dú zhě,reader,ผู้อ่าน,10,4,ผู้อ่าน,
跑,pǎo,to run,วิ่ง,10,2,วิ่ง,
通常,tōng cháng,regular; usual,"โดยปกติ, ตามปกติ",10,5,"โดยปกติ, ตามปกติ",
部分,bù fèn,part; portion,"ส่วน, ส่วนหนึ่ง",10,4,"ส่วน, ส่วนหนึ่ง",
酒店,jiǔ diàn,hotel,โรงแรม,10,5,โรงแรม,
采用,cǎi yòng,to adopt; to employ,"นำมาใช้, เลือกใช้",10,5,"นำมาใช้, เลือกใช้",
镜子,jìng zi,mirror,กระจก,10,4,กระจก,
长期,cháng qī,long-term; for a protracted period,ระยะยาว,10,5,ระยะยาว,
防止,fáng zhǐ,to prevent; to guard against,ป้องกัน,10,5,ป้องกัน,
集中,jí zhōng,to concentrate; to centralize,"รวมศูนย์, มุ่งเน้น, จดจ่อ",10,5,"รวมศูนย์, มุ่งเน้น, จดจ่อ",
顺利,shùn lì,smoothly; without a hitch,"ราบรื่น, ไปได้ด้วยดี",10,4,"ราบรื่น, ไปได้ด้วยดี",
题材,tí cái,subject matter,"เนื้อหา, หัวข้อ(เรื่อง)",10,5,"เนื้อหา, หัวข้อ(เรื่อง)",
饭,fàn,cooked rice; meal,"อาหาร, ข้าว",10,1,"อาหาร, ข้าว",
马车,mǎ chē,cart; chariot,รถม้า,10,4,รถม้า,
上班,shàng bān,to go to work; to be on duty,"ไปทำงาน, เข้างาน",9,2,"ไปทำงาน, เข้างาน",
不但,bù dàn,not only,ไม่เพียงแต่,9,3,ไม่เพียงแต่,
主人,zhǔ rén,master; host,เจ้าของ; เจ้าภาพ,9,5,เจ้าของ; เจ้าภาพ,
之前,zhī qián,before; prior to,"ก่อนหน้า, ก่อน",9,4,"ก่อนหน้า, ก่อน",
习俗,xí sú,custom; tradition,"ขนบธรรมเนียม, ประเพณี",9,5,"ขนบธรรมเนียม, ประเพณี",
乱,luàn,chaotic; confused,"ยุ่งเหยิง, วุ่นวาย; สับสน",9,4,"ยุ่งเหยิง, วุ่นวาย; สับสน",
产品,chǎn pǐn,goods; merchandise,"ผลิตภัณฑ์, สินค้า",9,5,"ผลิตภัณฑ์, สินค้า",
人数,rén shù,number of people,จำนวนคน,9,4,จำนวนคน,
件,jiàn,item; component,ลักษณนาม(ชิ้น/เรื่อง),9,2,ลักษณนาม(ชิ้น/เรื่อง),
传播,chuán bō,to disseminate; to propagate,"เผยแพร่, แพร่กระจาย",9,5,"เผยแพร่, แพร่กระจาย",
伤痕,shāng hén,scar; bruise,แผลเป็น,9,6,แผลเป็น,
住,zhù,to live; to reside,"อยู่, พักอาศัย",9,1,"อยู่, พักอาศัย",
体检,tǐ jiǎn,physical checkup,การตรวจสุขภาพ,9,6,การตรวจสุขภาพ,
作,zuò,to do; to make,"ทำ, สร้าง, ประพันธ์",9,4,"ทำ, สร้าง, ประพันธ์",
供应,gōng yìng,to supply; to provide,"จัดหา, ป้อน (สินค้า)",9,6,"จัดหา, ป้อน (สินค้า)",
保存,bǎo cún,to conserve,"เก็บรักษา, สงวนไว้",9,5,"เก็บรักษา, สงวนไว้",
倒,dào,to fall; to collapse,"ล้ม; เท, ริน; (dào) กลับด้าน",9,4,"ล้ม; เท, ริน; (dào) กลับด้าน",
充足,chōng zú,adequate; sufficient,"เพียงพอ, อุดมสมบูรณ์",9,5,"เพียงพอ, อุดมสมบูรณ์",
入,rù,to enter; to go into,"เข้า, เข้าสู่",9,5,"เข้า, เข้าสู่",
全部,quán bù,whole; all,ทั้งหมด,9,4,ทั้งหมด,
公园,gōng yuán,park,สวนสาธารณะ,9,3,สวนสาธารณะ,
公里,gōng lǐ,kilometer,กิโลเมตร,9,4,กิโลเมตร,
共同,gòng tóng,common; joint,ร่วมกัน,9,4,ร่วมกัน,
准时,zhǔn shí,on time; punctual,ตรงเวลา,9,4,ตรงเวลา,
出生,chū shēng,to be born,เกิด,9,4,เกิด,
出租车,chū zū chē,taxi,แท็กซี่,9,1,แท็กซี่,
分布,fēn bù,to scatter; to distribute,"กระจายตัว, แพร่กระจาย",9,5,"กระจายตัว, แพร่กระจาย",
列,liè,to arrange; to line up,"จัดแถว, เรียง",9,5,"จัดแถว, เรียง",
加快,jiā kuài,to accelerate; to speed up,"เร่ง, เพิ่มความเร็ว",9,4,"เร่ง, เพิ่มความเร็ว",
包,bāo,bag; to wrap,"ห่อ, หุ้ม; กระเป๋า; เหมา",9,3,"ห่อ, หุ้ม; กระเป๋า; เหมา",
包括,bāo kuò,to comprise; to include,"รวมถึง, ประกอบด้วย",9,5,"รวมถึง, ประกอบด้วย",
厚,hòu,thick; deep or profound,หนา; ลึกซึ้ง,9,4,หนา; ลึกซึ้ง,
原料,yuán liào,raw material,วัตถุดิบ,9,6,วัตถุดิบ,
厨房,chú fáng,kitchen,ห้องครัว,9,3,ห้องครัว,
反应,fǎn yìng,to react; to respond,ตอบสนอง; ปฏิกิริยา,9,5,ตอบสนอง; ปฏิกิริยา,
可爱,kě ài,adorable; cute,น่ารัก,9,3,น่ารัก,
同,tóng,like; same,"เหมือนกัน, ร่วมกัน; กับ",9,4,"เหมือนกัน, ร่วมกัน; กับ",
同伴,tóng bàn,companion; comrade,"เพื่อน, สหาย",9,5,"เพื่อน, สหาย",
同意,tóng yì,to agree; to consent,"เห็นด้วย, ยินยอม",9,3,"เห็นด้วย, ยินยอม",
同样,tóng yàng,same; equal,"เหมือนกัน, เช่นเดียวกัน",9,4,"เหมือนกัน, เช่นเดียวกัน",
否则,fǒu zé,otherwise; if not,"มิฉะนั้น, ไม่เช่นนั้น",9,4,"มิฉะนั้น, ไม่เช่นนั้น",
哪里,nǎ lǐ,where?; somewhere,ที่ไหน,9,1,ที่ไหน,
善于,shàn yú,to be good at; to be adept at,"เก่งในด้าน, ถนัด",9,5,"เก่งในด้าน, ถนัด",
回,huí,to return; time(s),กลับ; ครั้ง,9,1,กลับ; ครั้ง,
