hanzi,pinyin,english,thai_current,freq,level
孙子,sūn zi,grandson,หลานชาย,7,4
季节,jì jié,time; season,ฤดูกาล,7,3
学者,xué zhě,scholar,"นักวิชาการ, ปราชญ์",7,6
实际上,shí jì shàng,in fact; in reality,"ที่จริงแล้ว, ในความเป็นจริง",7,4
家喻户晓,jiā yù hù xiǎo,understood by everyone; well known,รู้จักกันทั่วบ้านทั่วเมือง,7,5
对不起,duì bù qǐ,I'm sorry; excuse me,ขอโทษ,7,1
对手,duì shǒu,opponent; rival,คู่แข่ง,7,5
对面,duì miàn,sitting opposite; across,ฝั่งตรงข้าม,7,4
寻找,xún zhǎo,to seek; to look for,"ค้นหา, มองหา",7,5
小姐,xiǎo jiě,young lady; miss,"คุณผู้หญิง, นางสาว",7,1
干燥,gān zào,"of weather, climate, soil etc dry; arid","แห้ง, แห้งแล้ง",7,4
建立,jiàn lì,to establish; to set up,"ก่อตั้ง, สร้างขึ้น",7,5
开放,kāi fàng,to bloom; to open,"บาน, ปลดล็อก",7,6
影像,yǐng xiàng,image,"ภาพ, ภาพจำ",7,6
彻底,chè dǐ,thorough; thoroughly,"อย่างถึงที่สุด, อย่างทั่วถึง",7,5
微笑,wēi xiào,smile; to smile,ยิ้ม; รอยยิ้ม,7,5
心里,xīn lǐ,in one's heart; in one's mind,ในใจ,7,4
性别,xìng bié,sex; gender,เพศ,7,4
总,zǒng,general; overall,"เสมอ, มักจะ; รวม",7,3
恐怕,kǒng pà,fear; to dread,"เกรงว่า, คงจะ",7,4
恢复,huī fù,to reinstate; to resume,"ฟื้นฟู, กลับคืนสู่สภาพเดิม",7,5
惊讶,jīng yà,amazed; astonished,"ประหลาดใจ, ตกใจ",7,5
成长,chéng zhǎng,to mature; to grow,"เติบโต, เจริญเติบโต",7,5
所谓,suǒ wèi,so-called; what is called,"ที่เรียกว่า, ที่เรียกขานกัน",7,5
手法,shǒu fǎ,technique; trick,"เทคนิค, กลวิธี",7,6
扩大,kuò dà,to expand; to enlarge,"ขยาย, เพิ่มขนาด",7,4
折扣,zhé kòu,discount,"ส่วนลด, ราคาพิเศษ",7,6
按,àn,to press; to push,กด; ตาม,7,4
挫折,cuò zhé,setback; reverse,"อุปสรรค, ความผิดหวัง",7,5
据,jù,according to; based on,"ตาม, อ้างอิงจาก",7,4
接,jiē,to receive; to answer,รับ; รับ(สาย); ต่อ,7,3
接着,jiē zhe,to catch and hold on; to continue,"ต่อจากนั้น, ตามด้วย; รับไว้",7,3
撒谎,sā huǎng,to tell lies,โกหก,7,5
收到,shōu dào,to receive,ได้รับ,7,4
收缩,shōu suō,to pull back; to shrink,"หดตัว, หดเล็กลง",7,6
数据,shù jù,data,"ข้อมูล, ดาต้า",7,5
旅行,lǚ xíng,to travel; journey,เดินทางท่องเที่ยว; การเดินทาง,7,4
日子,rì zi,day; a date,"วัน, ช่วงเวลา; วันที่",7,5
有效,yǒu xiào,effective; in effect,"มีผล, ได้ผล, ใช้การได้",7,4
服务,fú wù,to serve; service,บริการ,7,4
服装,fú zhuāng,dress; clothing,"เครื่องแต่งกาย, เสื้อผ้า",7,5
朝,cháo,dynasty; toward,ราชวงศ์; ราชสำนัก; มุ่งสู่; (zhāo) เช้า,7,5
未,wèi,not yet; did not,ยังไม่,7,5
未来,wèi lái,future; tomorrow,อนาคต,7,5
来源,lái yuán,source; origin,"แหล่งที่มา, ต้นตอ",7,5
果汁,guǒ zhī,fruit juice,น้ำผลไม้,7,3
梦见,mèng jiàn,to dream about; to see in a dream,"ฝันเห็น, ฝันว่า",7,4
楼上,lóu shàng,upstairs,ชั้นบน,7,5
橡皮,xiàng pí,rubber; an eraser,ยางลบดินสอ,7,4
毛巾,máo jīn,towel,ผ้าเช็ดตัว,7,4
气氛,qì fēn,atmosphere; mood,บรรยากาศ,7,5
水分,shuǐ fèn,moisture content,ความชื้น,7,5
洗手间,xǐ shǒu jiān,toilet; lavatory,ห้องน้ำ,7,3
深,shēn,deep; profound,ลึก; เข้ม,7,4
清,qīng,clear; pure; Qing dynasty,"ใส, สะอาด; (ราชวงศ์)ชิง",7,4
温暖,wēn nuǎn,warm,อบอุ่น,7,5
满意,mǎn yì,satisfied; pleased,พอใจ,7,3
演变,yǎn biàn,to develop; to evolve,"วิวัฒนาการ, เปลี่ยนแปลงไป",7,6
潜水,qián shuǐ,to dive; to go under water,ดำน้ำ,7,5
火车,huǒ chē,train,รถไฟ,7,1
灵活,líng huó,flexible; nimble,"ยืดหยุ่น, คล่องแคล่ว",7,5
片,piàn,disk; sheet,"แผ่น, ชิ้น",7,4
狮子,shī zi,lion,สิงโต,7,4
珍惜,zhēn xī,to treasure; to value,"ทะนุถนอม, เห็นคุณค่า",7,5
病情,bìng qíng,state of an illness; patient's condition,อาการป่วย,7,5
皇帝,huáng dì,emperor,"จักรพรรดิ, ฮ่องเต้",7,5
盘子,pán zi,tray; plate,"จาน, ถาด",7,3
相同,xiāng tóng,identical; same,"เหมือนกัน, อย่างเดียวกัน",7,3
相处,xiāng chǔ,to be in contact; to associate,"อยู่ร่วมกัน, คบหากัน",7,5
看来,kàn lái,apparently; it seems that,"ดูเหมือนว่า, ดูท่าทาง",7,3
真的,zhēn de,really; truly,จริงๆ,7,2
眼镜,yǎn jìng,spectacles; eyeglasses,แว่นตา,7,3
种子,zhǒng zi,seed,เมล็ด,7,5
程度,chéng dù,degree; level,"ระดับ, ขั้น",7,5
立刻,lì kè,immediately; at once,"ทันที, เดี๋ยวนั้น",7,5
类似,lèi sì,similar; analogous,"คล้ายกับ, คล้ายคลึง",7,6
精力,jīng lì,energy,"พละกำลัง, เรี่ยวแรง",7,5
系统,xì tǒng,system,ระบบ,7,5
约,yuē,appointment; approximately,นัด; ประมาณ; ตกลง,7,4
线,xiàn,thread; string,"เส้น, ด้าย",7,4
练习,liàn xí,to practice; exercise,ฝึกฝน; แบบฝึกหัด,7,3
经,jīng,to pass through; classic (text),"ผ่าน; คัมภีร์, ตำราคลาสสิก",7,3
缸,gāng,jar; vat,"หม้อ, โอ่ง",7,6
网络,wǎng luò,network; internet,"อินเทอร์เน็ต, เครือข่าย",7,5
羽毛球,yǔ máo qiú,badminton; shuttlecock,แบดมินตัน,7,4
考察,kǎo chá,to inspect; to observe and study,"สำรวจ, ศึกษา",7,5
聚,jù,to assemble; to gather,"รวมตัว, ชุมนุม",7,6
舞蹈,wǔ dǎo,dance; dancing,"การเต้นรำ, นาฏศิลป์",7,6
蓝色,lán sè,blue,สีน้ำเงิน,7,3
表情,biǎo qíng,facial expression; to express one's feelings,"สีหน้า, การแสดงสีหน้า",7,5
裤子,kù zi,pants,กางเกง,7,3
西,xī,west,ทิศตะวันตก,7,3
西瓜,xī guā,watermelon,แตงโม,7,2
见面,jiàn miàn,to meet; to see each other,"พบกัน, เจอกัน",7,3
角,jiǎo,angle; corner,มุม; เขา(สัตว์); (jué) บทบาท,7,3
认,rèn,to recognize; to know,"จำได้, รู้จัก",7,3
认知,rèn zhī,cognition; cognitive,"การรับรู้, ปัญญา",7,6
话,huà,words; speech,"คำพูด, ถ้อยคำ",7,2
误区,wù qū,mistaken ideas,ความเข้าใจผิด,7,6
调整,tiáo zhěng,to adjust; to revise,"ปรับ, ปรับเปลี่ยน",7,5
责备,zé bèi,to blame; to criticize,"ตำหนิ, ต่อว่า",7,5
资料,zī liào,material; resources,เอกสาร,7,5
赞美,zàn měi,to admire; to praise,"ชื่นชม, สรรเสริญ",7,5
起床,qǐ chuáng,to get out of bed; to get up,"ตื่นนอน, ลุกจากเตียง",7,2
跑步,pǎo bù,to run; to jog,"วิ่ง, จ๊อกกิ้ง",7,2
软件,ruǎn jiàn,software,ซอฟต์แวร์,7,5
边,biān,side; edge,"ด้าน, ข้าง, ขอบ",7,3
