hanzi,pinyin,english,thai_current,freq,level
冬季,dōng jì,winter,ฤดูหนาว,8,4
出去,chū qù,to go out,ออกไป,8,2
分泌,fēn mì,to secrete; secretion,"หลั่ง, การหลั่ง (สาร)",8,6
判断,pàn duàn,to judge; to determine,"ตัดสิน, วินิจฉัย",8,4
制造,zhì zào,to manufacture; to make,"ผลิต, สร้าง",8,4
剩下,shèng xià,to remain; to be left over,เหลือ,8,4
动,dòng,of something to move; to set in movement,"เคลื่อนไหว, ขยับ",8,4
千万,qiān wàn,ten million; countless,สิบล้าน; อย่าได้เป็นอันขาด (ย้ำเตือน),8,4
南极,nán jí,the South Pole; the south magnetic pole,ขั้วโลกใต้,8,6
博物馆,bó wù guǎn,museum,พิพิธภัณฑ์,8,5
去年,qù nián,last year,ปีที่แล้ว,8,2
发脾气,fā pí qì,to lose one's temper,"โมโห, อารมณ์เสีย",8,4
另,lìng,other; another,"อื่น, อีก(อันหนึ่ง)",8,4
只好,zhǐ hǎo,to have no other option but to,"จำต้อง, จำใจต้อง",8,4
可惜,kě xī,it is a pity; what a pity,น่าเสียดาย,8,4
合作,hé zuò,to cooperate,ร่วมมือ,8,5
周,zhōu,week; cycle,สัปดาห์; รอบ; (ราชวงศ์โจว),8,3
周末,zhōu mò,weekend,สุดสัปดาห์,8,3
咳嗽,ké sòu,to cough,ไอ,8,4
哥哥,gē gē,older brother,พี่ชาย,8,2
唱,chàng,to sing; to call loudly,ร้อง(เพลง); ร้องเรียก,8,3
唱歌,chàng gē,to sing a song,ร้องเพลง,8,2
商量,shāng liáng,to consult; to talk over,"ปรึกษา, หารือ",8,4
喜爱,xǐ ài,to like; to love,"ชื่นชอบ, รักใคร่",8,4
因而,yīn ér,therefore; as a result,"ดังนั้น, จึง",8,5
国画,guó huà,traditional Chinese painting,ภาพวาดจีน,8,5
图,tú,diagram; picture,"ภาพ, แผนผัง",8,5
坚强,jiān qiáng,staunch; strong,เข้มแข็ง,8,5
基础,jī chǔ,base; foundation,"พื้นฐาน, รากฐาน",8,4
处于,chǔ yú,to be in,อยู่ในสภาพ/สถานะ,8,5
复习,fù xí,to review; revision,ทบทวน,8,3
夏天,xià tiān,summer,ฤดูร้อน,8,3
大学,dà xué,university; college,มหาวิทยาลัย,8,1
大概,dà gài,roughly; probably,"ประมาณ, คงจะ",8,4
大臣,dà chén,chancellor; cabinet minister,"เสนาบดี, ขุนนางชั้นผู้ใหญ่",8,5
天生,tiān shēng,nature; disposition,"โดยกำเนิด, ตามธรรมชาติ",8,6
失眠,shī mián,to suffer from insomnia,นอนไม่หลับ,8,5
奇怪,qí guài,strange; odd,"แปลก, ประหลาด",8,3
好听,hǎo tīng,pleasant to hear,"เพราะ, ไพเราะ",8,3
姐姐,jiě jiě,older sister,พี่สาว,8,2
娱乐,yú lè,to entertain; to amuse,ความบันเทิง; สร้างความบันเทิง,8,5
实在,shí zài,really; actually,"จริงๆ, แท้จริง",8,4
就要,jiù yào,will; shall,"จะ...(เร็วๆ นี้), ใกล้จะ",8,3
尽管,jǐn guǎn,despite; although,"ถึงแม้ว่า, แม้ว่า",8,4
工程,gōng chéng,engineering; an engineering project,"วิศวกรรม, โครงการ",8,6
差,chà,poor; short of,"แย่, ไม่ดี; ต่าง, ขาด",8,3
干,gàn,to do; to work,"ทำ, ทำงาน; (gān) แห้ง",8,4
并非,bìng fēi,really isn't,"ไม่ใช่...เลย, หาใช่...ไม่",8,5
幸运,xìng yùn,fortunate; lucky,โชคดี,8,5
弹性,tán xìng,flexibility; elasticity,ความยืดหยุ่น,8,6
心中,xīn zhōng,central point; in one's thoughts,ในใจ,8,4
怕,pà,to fear; to be afraid,กลัว,8,3
情,qíng,feelings; situation,"ความรู้สึก, อารมณ์; ความรัก",8,4
意志,yì zhì,will; willpower,"เจตจำนง, ความมุ่งมั่น",8,5
慢,màn,slow,ช้า,8,2
投资,tóu zī,investment; to invest,ลงทุน; การลงทุน,8,5
报纸,bào zhǐ,newspaper; newsprint,หนังสือพิมพ์,8,2
抱怨,bào yuàn,to complain; to grumble,"บ่น, ต่อว่า",8,5
挺,tǐng,quite; rather,"ค่อนข้าง, ...ทีเดียว; ยืดตรง",8,4
接近,jiē jìn,to approach; to get close to,"เข้าใกล้, ใกล้เคียง",8,5
描绘,miáo huì,to describe; to depict,"บรรยาย, วาดภาพ",8,6
放松,fàng sōng,to relax; to slacken,ผ่อนคลาย,8,4
文物,wén wù,cultural relic; historical relic,"สิ่งโบราณ, มรดกวัฒนธรรม",8,5
春节,chūn jié,Spring Festival,เทศกาลตรุษจีน,8,4
是否,shì fǒu,whether; if,...หรือไม่,8,4
普通话,pǔ tōng huà,Putonghua; standard Mandarin,ภาษาจีนกลาง,8,3
月亮,yuè liàng,the moon,ดวงจันทร์,8,3
本质,běn zhì,essence; nature,"สาระสำคัญ, ธรรมชาติ",8,5
根本,gēn běn,fundamental; basic,"พื้นฐาน; โดยสิ้นเชิง, เลย(ในประโยคปฏิเสธ)",8,5
格,gé,standard; pattern,"มาตรฐาน, แบบแผน",8,6
欢迎,huān yíng,to welcome; welcome,"ต้อนรับ, ยินดีต้อนรับ",8,2
汤,tāng,soup; broth,"ซุป, น้ำแกง",8,4
汽车,qì chē,car; automobile,รถยนต์,8,4
注重,zhù zhòng,to pay attention to; to emphasize,"ให้ความสำคัญกับ, ใส่ใจ",8,6
洋,yáng,ocean; foreign,มหาสมุทร; ต่างชาติ,8,4
洗澡,xǐ zǎo,to bathe; to take a shower,อาบน้ำ,8,3
消除,xiāo chú,to eliminate; to remove,"ขจัด, กำจัด",8,5
游客,yóu kè,traveler; tourist,นักท่องเที่ยว,8,3
