hanzi,pinyin,english,thai_current,freq,level
有趣,yǒu qù,interesting; fascinating,"น่าสนใจ, น่าสนุก",35,4
正确,zhèng què,correct; sound,ถูกต้อง,35,4
说话,shuō huà,to speak; to say,"พูด, พูดคุย",35,1
世界,shì jiè,world,โลก,34,3
产生,chǎn shēng,to arise; to give rise to,"เกิดขึ้น, ก่อให้เกิด",34,4
传统,chuán tǒng,tradition; traditional,ประเพณี; ดั้งเดิม,34,5
坐,zuò,to sit; to travel by (vehicle),นั่ง; โดยสาร(รถ),34,1
天,tiān,day; sky,วัน; ท้องฟ้า,34,1
意思,yì si,idea; opinion,ความหมาย; น้ำใจ,34,2
看到,kàn dào,to see,"เห็น, มองเห็น",34,3
真,zhēn,really; truly,"จริง, จริงๆ",34,2
丰富,fēng fù,to enrich; rich,"อุดมสมบูรณ์, มากมาย; เพิ่มพูน",33,4
医生,yī shēng,doctor; medical practitioner,"หมอ, แพทย์",33,1
只要,zhǐ yào,so long as; provided,"ขอเพียง, ตราบใดที่",33,3
它们,tā men,they; them,พวกมัน (สิ่งของ/สัตว์),33,3
成,chéng,to become; to succeed,สำเร็จ; กลายเป็น,33,4
植物,zhí wù,plant; vegetation,"พืช, พรรณไม้",33,4
瓷,cí,chinaware; porcelain,"เครื่องเคลือบ, กระเบื้องเคลือบ",33,6
男,nán,male,ชาย,33,2
选择,xuǎn zé,to select; to pick,เลือก; ตัวเลือก,33,3
难,nán,difficult; problem,ยาก,33,3
一样,yī yàng,same; like,เหมือนกัน,32,3
交流,jiāo liú,to exchange; exchange,"แลกเปลี่ยน, สื่อสาร",32,4
先,xiān,beforehand; first,ก่อน,32,2
冰,bīng,ice; to chill something,น้ำแข็ง,32,5
感冒,gǎn mào,to catch cold; common cold,เป็นหวัด; ไข้หวัด,32,3
推迟,tuī chí,to postpone; to put off,"เลื่อนออกไป, ผัดเวลา",32,4
段,duàn,section; paragraph,"ตอน, ช่วง, ท่อน",32,5
比较,bǐ jiào,to compare; to contrast,ค่อนข้าง; เปรียบเทียบ,32,3
注意,zhù yì,to take note of; to pay attention to,"ใส่ใจ, ระวัง, สังเกต",32,3
研究,yán jiū,research; a study,"วิจัย, ศึกษาค้นคว้า",32,4
穷人,qióng rén,poor people; the poor,คนจน,32,4
经验,jīng yàn,experience; to go through,ประสบการณ์,32,4
自,zì,oneself; from,ตัวเอง; จาก,32,4
请,qǐng,to ask; to invite,"กรุณา, เชิญ",32,1
起来,qǐ lái,to stand up; to get up,ลุกขึ้น; ...ขึ้นมา,32,2
风,fēng,wind; news,ลม,32,3
一些,yī xiē,some; a few,"บ้าง, บางส่วน, จำนวนหนึ่ง",31,1
书,shū,book,หนังสือ,31,1
人生,rén shēng,life,ชีวิต (ของคน),31,5
便,biàn,convenient; then,"ก็, จึง; สะดวก",31,5
办,bàn,to take care of; to deal with,"ทำ, จัดการ",31,3
压力,yā lì,pressure,"ความกดดัน, แรงกดดัน",31,4
原因,yuán yīn,cause; origin,"สาเหตุ, เหตุผล",31,4
只有,zhǐ yǒu,only have ...; there is only ...,"มีเพียง, เฉพาะ...เท่านั้น",31,3
尊重,zūn zhòng,to esteem; to respect,"เคารพ, ให้เกียรติ",31,4
得到,dé dào,to get; to obtain,ได้รับ,31,4
王,wáng,king,กษัตริย์; แซ่หวัง,31,1
种,zhǒng,kind; type,เมล็ดพันธุ์; ชนิด; ปลูก,31,3
老,lǎo,old; venerable,"แก่, เก่า; (คำนำหน้าแสดงความคุ้นเคย)",31,3
一般,yì bān,same; ordinary,"ทั่วไป, ธรรมดา",30,3
习惯,xí guàn,habit; custom,"นิสัย, ความเคยชิน",30,3
内,nèi,inside; inner,"ข้างใน, ภายใน",30,4
减少,jiǎn shǎo,to lessen,"ลดลง, ลดน้อยลง",30,4
因,yīn,because; cause; reason,"สาเหตุ, เหตุผล; เนื่องจาก",30,4
