hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
介绍,jiè shào,to introduce; to give a presentation,แนะนำ,11,2,แนะนำ,
位置,wèi zhì,position; place,"ตำแหน่ง, ที่ตั้ง",11,5,"ตำแหน่ง, ที่ตั้ง",
信任,xìn rèn,to trust; to have confidence in,"ไว้วางใจ, เชื่อใจ",11,4,"ไว้วางใจ, เชื่อใจ",
全,quán,whole; entire; all,"ทั้งหมด, ครบถ้วน",11,4,"ทั้งหมด, ครบถ้วน",
养,yǎng,to raise; to bring up,เลี้ยง(สัตว์/ลูก); บำรุง,11,5,เลี้ยง(สัตว์/ลูก); บำรุง,
删除,shān chú,to delete; to cancel,"ลบ, ลบทิ้ง",11,5,"ลบ, ลบทิ้ง",
博士,bó shì,PhD; doctor (degree),"ปริญญาเอก, ดอกเตอร์",11,4,"ปริญญาเอก, ดอกเตอร์",
即,jí,namely; that is,"คือ, ก็คือ; ทันที",11,4,"คือ, ก็คือ; ทันที",
参观,cān guān,to visit; to tour,"เยี่ยมชม, ทัศนศึกษา",11,4,"เยี่ยมชม, ทัศนศึกษา",
合格,hé gé,to meet the standard required; qualified,"ได้มาตรฐาน, ผ่านเกณฑ์, มีคุณสมบัติ",11,4,"ได้มาตรฐาน, ผ่านเกณฑ์, มีคุณสมบัติ",
合适,hé shì,suitable; fitting,"เหมาะสม, พอเหมาะ",11,4,"เหมาะสม, พอเหมาะ",
同情,tóng qíng,to sympathize with; sympathy,เห็นอกเห็นใจ; ความเห็นใจ,11,4,เห็นอกเห็นใจ; ความเห็นใจ,
含,hán,to keep in the mouth; to contain,"อม; มี, ประกอบด้วย",11,6,"อม; มี, ประกอบด้วย",
含有,hán yǒu,to contain; including,"มี(ส่วนประกอบ), ประกอบด้วย",11,5,"มี(ส่วนประกอบ), ประกอบด้วย",
周围,zhōu wéi,environs; surroundings,"รอบๆ, โดยรอบ",11,4,"รอบๆ, โดยรอบ",
味道,wèi dào,flavor; taste,รสชาติ; กลิ่น,11,4,รสชาติ; กลิ่น,
品牌,pǐn pái,brand; brand name,"แบรนด์, ยี่ห้อ",11,5,"แบรนด์, ยี่ห้อ",
喂,wèi,hello,ฮัลโหล (รับโทรศัพท์); เฮ้,11,1,ฮัลโหล (รับโทรศัพท์); เฮ้,
园,yuán,garden; park,"สวน, อุทยาน",11,6,"สวน, อุทยาน",
图书馆,tú shū guǎn,library,ห้องสมุด,11,3,ห้องสมุด,
地址,dì zhǐ,address,ที่อยู่,11,4,ที่อยู่,
地铁,dì tiě,underground railway; subway,รถไฟใต้ดิน,11,3,รถไฟใต้ดิน,
垃圾,lā jī,trash; refuse,ขยะ,11,4,ขยะ,
士兵,shì bīng,soldier,"ทหาร, พลทหาร",11,5,"ทหาร, พลทหาร",
处理,chǔ lǐ,to handle; to deal with,"จัดการ, ดำเนินการ",11,5,"จัดการ, ดำเนินการ",
太空,tài kōng,outer space,อวกาศ,11,6,อวกาศ,
女性,nǚ xìng,woman; the female sex,"เพศหญิง, ผู้หญิง",11,4,"เพศหญิง, ผู้หญิง",
孤单,gū dān,lone; lonely,"เดียวดาย, เหงา",11,4,"เดียวดาย, เหงา",
完美,wán měi,perfect,สมบูรณ์แบบ,11,5,สมบูรณ์แบบ,
客人,kè rén,visitor; guest,"แขก, ผู้มาเยือน",11,3,"แขก, ผู้มาเยือน",
富人,fù rén,rich person; the rich,คนรวย,11,4,คนรวย,
差不多,chà bu duō,almost; nearly,"เกือบจะ, พอๆ กัน",11,4,"เกือบจะ, พอๆ กัน",
幅,fú,width; (measure word for paintings and cloth),ลักษณนาม(ภาพ/ผ้า); ความกว้าง,11,5,ลักษณนาม(ภาพ/ผ้า); ความกว้าง,
干净,gān jìng,clean; neat,สะอาด,11,3,สะอาด,
广播,guǎng bō,broadcast; broadcasting,"กระจายเสียง, ออกอากาศ",11,4,"กระจายเสียง, ออกอากาศ",
形状,xíng zhuàng,form; shape,"รูปร่าง, รูปทรง",11,5,"รูปร่าง, รูปทรง",
心灵,xīn líng,bright; smart,"หัวไว, ฉลาด, เฉลียวฉลาด",11,6,"จิตใจ, จิตวิญญาณ","EN-GLOSS-BUG: 心灵 = soul/spirit/inner-heart, not 'bright; smart' (clever sense only in 心灵手巧); retranslated to real sense."
愉快,yú kuài,cheerful; happy,"เบิกบาน, มีความสุข",11,4,"เบิกบาน, มีความสุข",
懒,lǎn,lazy,ขี้เกียจ,11,4,ขี้เกียจ,
打扫,dǎ sǎo,to clean; to sweep,"ทำความสะอาด, กวาด",11,3,"ทำความสะอาด, กวาด",
打针,dǎ zhēn,to give or get an injection,ฉีดยา,11,4,ฉีดยา,
报,bào,to report; to inform,รายงาน; หนังสือพิมพ์; ตอบแทน,11,4,"รายงาน, แจ้ง",Trimmed 3 distinct senses to EN report/inform; dropped newspaper/repay.
报名,bào míng,to sign up; to enter one's name,"สมัคร, ลงชื่อ",11,4,"สมัคร, ลงชื่อ",
拍,pāi,to pat; to clap,ตบ; ปรบ; ถ่าย(รูป),11,5,ตบ; ปรบมือ,Trimmed to EN pat/clap; dropped extra 'take photo' sense.
挂,guà,to hang; to suspend,แขวน; วาง(สาย)โทรศัพท์,11,4,แขวน; วาง(สาย)โทรศัพท์,
擦,cā,to rub; to scratch,"เช็ด, ถู; ลบ",11,4,"เช็ด, ถู; ลบ",
支撑,zhī chēng,to prop up; to support,"ค้ำยัน, รองรับ, ประคอง",11,6,"ค้ำยัน, รองรับ, ประคอง",
散步,sàn bù,to take a walk; to go for a walk,เดินเล่น,11,4,เดินเล่น,
整理,zhěng lǐ,to arrange; to tidy up,"จัดระเบียบ, จัดให้เรียบร้อย",11,4,"จัดระเบียบ, จัดให้เรียบร้อย",
新鲜,xīn xiān,fresh; freshness,"สด, สดใหม่",11,3,"สด, สดใหม่",
旁边,páng biān,side; adjacent place,"ข้างๆ, ด้านข้าง",11,2,"ข้างๆ, ด้านข้าง",
普遍,pǔ biàn,universal; general,"ทั่วไป, แพร่หลาย",11,4,"ทั่วไป, แพร่หลาย",
暖和,nuǎn huo,warm; nice and warm,อบอุ่น,11,4,อบอุ่น,
更加,gèng jiā,more; even more,"ยิ่งขึ้น, มากขึ้น",11,5,"ยิ่งขึ้น, มากขึ้น",
本,běn,classifier for books; origin,ลักษณนาม(เล่ม สำหรับหนังสือ),11,1,ลักษณนาม(เล่ม สำหรับหนังสือ),
样,yàng,kind; type; manner; appearance,"แบบ, ชนิด, ลักษณะ",11,5,"แบบ, ชนิด, ลักษณะ",
正式,zhèng shì,formal; official,เป็นทางการ,11,4,เป็นทางการ,
气温,qì wēn,air temperature,อุณหภูมิอากาศ,11,4,อุณหภูมิอากาศ,
水库,shuǐ kù,reservoir,"อ่างเก็บน้ำ, เขื่อน",11,6,"อ่างเก็บน้ำ, เขื่อน",
汉语,hàn yǔ,Chinese language,ภาษาจีน,11,1,ภาษาจีน,
法律,fǎ lǜ,law,กฎหมาย,11,4,กฎหมาย,
洗,xǐ,to wash; to bathe,"ล้าง, ซัก",11,2,"ล้าง, ซัก",
