hanzi,pinyin,english,thai_current,freq,level
肯定,kěn dìng,to be certain; to be positive,แน่นอน; ยืนยัน,10,4
胖,pàng,fat; plump,อ้วน,10,3
能源,néng yuán,energy sources; energy,"พลังงาน, แหล่งพลังงาน",10,5
脚,jiǎo,foot; leg,"เท้า, ขา",10,3
脸,liǎn,face,ใบหน้า,10,3
脾气,pí qì,character; temperament,"อารมณ์, นิสัย(โกรธง่าย)",10,4
自由,zì yóu,freedom; liberty,"อิสรภาพ, เสรีภาพ; อิสระ",10,5
节,jié,festival; section,เทศกาล; ตอน; ลักษณนาม(คาบเรียน),10,5
蔬菜,shū cài,vegetables,ผัก,10,5
袜子,wà zi,socks; stockings,ถุงเท้า,10,4
诊断,zhěn duàn,to diagnose,วินิจฉัย(โรค); การวินิจฉัย,10,5
说明,shuō míng,to explain; to illustrate,"อธิบาย, ชี้แจง",10,4
读者,dú zhě,reader,ผู้อ่าน,10,4
跑,pǎo,to run,วิ่ง,10,2
通常,tōng cháng,regular; usual,"โดยปกติ, ตามปกติ",10,5
部分,bù fèn,part; portion,"ส่วน, ส่วนหนึ่ง",10,4
酒店,jiǔ diàn,hotel,โรงแรม,10,5
采用,cǎi yòng,to adopt; to employ,"นำมาใช้, เลือกใช้",10,5
镜子,jìng zi,mirror,กระจก,10,4
长期,cháng qī,long-term; for a protracted period,ระยะยาว,10,5
防止,fáng zhǐ,to prevent; to guard against,ป้องกัน,10,5
集中,jí zhōng,to concentrate; to centralize,"รวมศูนย์, มุ่งเน้น, จดจ่อ",10,5
顺利,shùn lì,smoothly; without a hitch,"ราบรื่น, ไปได้ด้วยดี",10,4
题材,tí cái,subject matter,"เนื้อหา, หัวข้อ(เรื่อง)",10,5
饭,fàn,cooked rice; meal,"อาหาร, ข้าว",10,1
马车,mǎ chē,cart; chariot,รถม้า,10,4
上班,shàng bān,to go to work; to be on duty,"ไปทำงาน, เข้างาน",9,2
不但,bù dàn,not only,ไม่เพียงแต่,9,3
主人,zhǔ rén,master; host,เจ้าของ; เจ้าภาพ,9,5
之前,zhī qián,before; prior to,"ก่อนหน้า, ก่อน",9,4
习俗,xí sú,custom; tradition,"ขนบธรรมเนียม, ประเพณี",9,5
乱,luàn,chaotic; confused,"ยุ่งเหยิง, วุ่นวาย; สับสน",9,4
产品,chǎn pǐn,goods; merchandise,"ผลิตภัณฑ์, สินค้า",9,5
人数,rén shù,number of people,จำนวนคน,9,4
件,jiàn,item; component,ลักษณนาม(ชิ้น/เรื่อง),9,2
传播,chuán bō,to disseminate; to propagate,"เผยแพร่, แพร่กระจาย",9,5
伤痕,shāng hén,scar; bruise,แผลเป็น,9,6
住,zhù,to live; to reside,"อยู่, พักอาศัย",9,1
体检,tǐ jiǎn,physical checkup,การตรวจสุขภาพ,9,6
作,zuò,to do; to make,"ทำ, สร้าง, ประพันธ์",9,4
供应,gōng yìng,to supply; to provide,"จัดหา, ป้อน (สินค้า)",9,6
保存,bǎo cún,to conserve,"เก็บรักษา, สงวนไว้",9,5
倒,dào,to fall; to collapse,"ล้ม; เท, ริน; (dào) กลับด้าน",9,4
充足,chōng zú,adequate; sufficient,"เพียงพอ, อุดมสมบูรณ์",9,5
