key,english,thai_current,thai_proposed
street.title,Lucky Cat Street,ถนนนำโชค,ถนนนำโชค
street.captionEmpty,Lucky Cat Street — grows as you learn · {next},ถนนนำโชค — เติบโตไปพร้อมการเรียนรู้ของคุณ · {next},ถนนนำโชค — เติบโตไปพร้อมการเรียนรู้ของคุณ · {next}
street.captionProgress,{unlocked}/{total} buildings · {next},{unlocked}/{total} อาคาร · {next},{unlocked}/{total} อาคาร · {next}
street.captionNew,New on your street: {name}!,ของใหม่บนถนนของคุณ: {name}!,ของใหม่บนถนนของคุณ: {name}!
street.next,Next: Lv {lv} — {name},ถัดไป: Lv {lv} — {name},ถัดไป: Lv {lv} — {name}
street.allUnlocked,All buildings unlocked!,ปลดล็อกอาคารครบทุกหลังแล้ว!,ปลดล็อกอาคารครบทุกหลังแล้ว!
street.questsBtn,Quests,เควสต์,ภารกิจ
street.sceneLabel,Your panoramic Lucky Cat Street,ถนนนำโชคแบบพาโนรามาของคุณ,ถนนนำโชคแบบพาโนรามาของคุณ
street.previous,Previous street section,ส่วนก่อนหน้าของถนน,ส่วนก่อนหน้าของถนน
street.nextSection,Next street section,ส่วนถัดไปของถนน,ส่วนถัดไปของถนน
street.decorate,Decorate,ตกแต่ง,ตกแต่ง
street.shop,Street Shop,ร้านค้าถนน,ร้านค้าถนน
street.undo,Undo,ย้อนกลับ,ย้อนกลับ
street.storeItem,Store,เก็บ,เก็บ
street.autoArrange,Auto,จัดอัตโนมัติ,จัดอัตโนมัติ
street.inventory,Inventory,คลังของ,คลังของ
street.filterAll,All,ทั้งหมด,ทั้งหมด
street.filterStored,Stored,เก็บไว้,เก็บไว้
street.filterPlaced,Placed,วางแล้ว,วางแล้ว
street.backToShop,Back to shop,กลับร้านค้า,กลับร้านค้า
street.welcomeRibbon,WELCOME,ยินดีต้อนรับ,ยินดีต้อนรับ
street.welcomeLantern,Welcome Lantern,โคมต้อนรับ,โคมต้อนรับ
street.welcomeDesc,Your first-session gift — choose a home for it.,ของขวัญจากเซสชันแรก — เลือกที่วางให้โคมนี้,ของขวัญจากการเล่นครั้งแรก — เลือกที่วางให้โคมนี้
street.meta,{size} · {set} set · {behavior},{size} · เซ็ต{set} · {behavior},{size} · ชุด{set} · {behavior}
street.size.small,Small,เล็ก,เล็ก
street.size.medium,Medium,กลาง,กลาง
street.size.large,Large,ใหญ่,ใหญ่
street.size.gateway,Gateway,ซุ้มประตู,ซุ้มประตู
street.set.market,Night Market,ตลาดกลางคืน,ตลาดกลางคืน
street.set.garden,Garden,สวน,สวน
street.set.festival,Festival,เทศกาล,เทศกาล
street.set.welcome,Welcome,ต้อนรับ,ต้อนรับ
street.behavior.light,glows when tapped,แตะแล้วเปล่งแสง,แตะแล้วเปล่งแสง
street.behavior.food,serves a warm treat,เสิร์ฟของอร่อยอุ่น ๆ,เสิร์ฟของอร่อยอุ่น ๆ
street.behavior.water,ripples when tapped,แตะแล้วเกิดระลอกน้ำ,แตะแล้วเกิดระลอกน้ำ
street.behavior.flutter,flutters in the breeze,พลิ้วไหวตามลม,พลิ้วไหวตามลม
street.behavior.celebrate,celebrates when tapped,แตะแล้วฉลอง,แตะแล้วฉลอง
street.plotLabel,{size} plot. {item},พื้นที่{size} {item},พื้นที่{size} {item}
street.emptyPlot,Empty,ว่าง,ว่าง
street.itemLabel,"{name}, {stars}, placed on your street",{name} {stars} วางอยู่บนถนนของคุณ,{name} {stars} วางอยู่บนถนนของคุณ
street.previewCaption,Previewing on your street — try another highlighted plot or star tier.,กำลังลองบนถนน — เลือกพื้นที่เรืองแสงหรือระดับดาวอื่นได้,กำลังลองบนถนน — เลือกพื้นที่เรืองแสงหรือระดับดาวอื่นได้
street.editCaption,{placed} placed · {stored} stored,วางแล้ว {placed} · เก็บไว้ {stored},วางแล้ว {placed} · เก็บไว้ {stored}
