key,english,thai_current
street.title,Lucky Cat Street,ถนนนำโชค
street.captionEmpty,Lucky Cat Street — grows as you learn · {next},ถนนนำโชค — เติบโตไปพร้อมการเรียนรู้ของคุณ · {next}
street.captionProgress,{unlocked}/{total} buildings · {next},{unlocked}/{total} อาคาร · {next}
street.captionNew,New on your street: {name}!,ของใหม่บนถนนของคุณ: {name}!
street.next,Next: Lv {lv} — {name},ถัดไป: Lv {lv} — {name}
street.allUnlocked,All buildings unlocked!,ปลดล็อกอาคารครบทุกหลังแล้ว!
street.questsBtn,Quests,เควสต์
street.sceneLabel,Your panoramic Lucky Cat Street,ถนนนำโชคแบบพาโนรามาของคุณ
street.previous,Previous street section,ส่วนก่อนหน้าของถนน
street.nextSection,Next street section,ส่วนถัดไปของถนน
street.decorate,Decorate,ตกแต่ง
street.shop,Street Shop,ร้านค้าถนน
street.undo,Undo,ย้อนกลับ
street.storeItem,Store,เก็บ
street.autoArrange,Auto,จัดอัตโนมัติ
street.inventory,Inventory,คลังของ
street.filterAll,All,ทั้งหมด
street.filterStored,Stored,เก็บไว้
street.filterPlaced,Placed,วางแล้ว
street.backToShop,Back to shop,กลับร้านค้า
street.welcomeRibbon,WELCOME,ยินดีต้อนรับ
street.welcomeLantern,Welcome Lantern,โคมต้อนรับ
street.welcomeDesc,Your first-session gift — choose a home for it.,ของขวัญจากเซสชันแรก — เลือกที่วางให้โคมนี้
street.meta,{size} · {set} set · {behavior},{size} · เซ็ต{set} · {behavior}
street.size.small,Small,เล็ก
street.size.medium,Medium,กลาง
street.size.large,Large,ใหญ่
street.size.gateway,Gateway,ซุ้มประตู
street.set.market,Night Market,ตลาดกลางคืน
street.set.garden,Garden,สวน
street.set.festival,Festival,เทศกาล
street.set.welcome,Welcome,ต้อนรับ
street.behavior.light,glows when tapped,แตะแล้วเปล่งแสง
street.behavior.food,serves a warm treat,เสิร์ฟของอร่อยอุ่น ๆ
street.behavior.water,ripples when tapped,แตะแล้วเกิดระลอกน้ำ
street.behavior.flutter,flutters in the breeze,พลิ้วไหวตามลม
street.behavior.celebrate,celebrates when tapped,แตะแล้วฉลอง
street.plotLabel,{size} plot. {item},พื้นที่{size} {item}
street.emptyPlot,Empty,ว่าง
street.itemLabel,"{name}, {stars}, placed on your street",{name} {stars} วางอยู่บนถนนของคุณ
street.previewCaption,Previewing on your street — try another highlighted plot or star tier.,กำลังลองบนถนน — เลือกพื้นที่เรืองแสงหรือระดับดาวอื่นได้
street.editCaption,{placed} placed · {stored} stored,วางแล้ว {placed} · เก็บไว้ {stored}
street.captionReady,{buildings} landmarks unlocked. Decorate the street to make it yours.,ปลดล็อกจุดเด่นแล้ว {buildings} จุด ตกแต่งถนนในแบบของคุณ
street.captionSummary,{placed} decorations · {stored} stored · {buildings} landmarks,ของตกแต่ง {placed} · เก็บไว้ {stored} · จุดเด่น {buildings}
street.nameEdit,Name your street,ตั้งชื่อถนนของคุณ
street.namePlaceholder,e.g. Sunny Lane,เช่น ถนนแสงตะวัน
street.namedCaption,{name},{name}
street.coachPlace,"You earned the {name}! Select a glowing plot to place it, or Skip for an automatic home.",คุณได้รับ{name}! เลือกพื้นที่เรืองแสงเพื่อวาง หรือกดข้ามให้จัดอัตโนมัติ
street.coachSelect,"Choose your Welcome Lantern, then select a glowing plot.",เลือกโคมต้อนรับ แล้วเลือกพื้นที่เรืองแสง
street.skip,Skip,ข้าม
street.placed,Placed,วางแล้ว
street.stored,Stored,เก็บไว้
street.inventoryEmpty,No decorations match this filter.,ไม่มีของตกแต่งในตัวกรองนี้
street.noMove,That decoration needs a compatible empty plot.,ของชิ้นนี้ต้องใช้พื้นที่ว่างที่มีขนาดเหมาะสม
street.placedAnnouncement,Placed {name}.,วาง{name}แล้ว
street.storedAnnouncement,Moved {name} to storage.,ย้าย{name}ไปเก็บแล้ว
street.undoAnnouncement,Undid the last street change.,ย้อนกลับการแก้ไขล่าสุดแล้ว
street.autoAnnouncement,Stored decorations were arranged.,จัดของที่เก็บไว้ลงถนนแล้ว
street.selectedAnnouncement,Selected {name}. {count} compatible plots available.,เลือก{name}แล้ว มีพื้นที่ที่ใช้ได้ {count} จุด
