key,english,thai_current,thai_proposed
streak.restUsed,🍵 Rest day used — your {n}-day streak is safe.,🍵 ใช้วันพักแล้ว — สตรีค {n} วันของคุณยังปลอดภัย,🍵 ใช้วันพักแล้ว — สถิติเรียนต่อเนื่อง {n} วันของคุณยังปลอดภัย
scope.title,Choose your words,เลือกคำศัพท์,เลือกคำศัพท์
scope.levels,Levels,ระดับ,ระดับ
scope.filters,Filters,ตัวกรอง,ตัวกรอง
scope.highYield,High-yield only,เฉพาะคำออกบ่อย,เฉพาะคำออกบ่อย
scope.newOnly,New words only,เฉพาะคำใหม่,เฉพาะคำใหม่
scope.topN,Top-N by frequency,จัดอันดับตามความถี่,จัดอันดับตามความถี่
scope.all,All,ทั้งหมด,ทั้งหมด
scope.meaningLang,Meaning language,ภาษาที่ใช้แสดงความหมาย,ภาษาที่ใช้แสดงความหมาย
scope.english,English,ภาษาอังกฤษ,ภาษาอังกฤษ
scope.both,Both,ทั้งสอง,ทั้งสอง
scope.sessionLen,Session length,จำนวนคำต่อรอบ,จำนวนคำต่อรอบ
scope.custom,Custom,กำหนดเอง,กำหนดเอง
scope.customPh,5–500,5–500,5–500
scope.endless,Endless,ไม่จำกัด,ไม่จำกัด
scope.cards,Cards,บัตรคำ,บัตรคำ
scope.cardsResume,Resume Cards · {n},เล่นบัตรคำต่อ · {n},เล่นบัตรคำต่อ · {n}
scope.wordQuest,Word Quest · {n},เควสต์คำศัพท์ · {n},เควสต์คำศัพท์ · {n}
scope.smartReview,Smart Review,ทบทวนอัจฉริยะ,ทบทวนอัจฉริยะ
scope.smartReviewProgress,Smart Review · {have}/{min},ทบทวนอัจฉริยะ · {have}/{min},ทบทวนอัจฉริยะ · {have}/{min}
scope.smartReviewReady,Smart Review · {n},ทบทวนอัจฉริยะ · {n},ทบทวนอัจฉริยะ · {n}
scope.smartReviewLocked,Play a session first — Smart Review learns your weak words,เล่นสักรอบก่อน — ทบทวนอัจฉริยะจะเรียนรู้คำที่คุณยังไม่แม่น,เล่นสักรอบก่อน — ทบทวนอัจฉริยะจะเรียนรู้คำที่คุณยังไม่แม่น
scope.readout,Pool: <b>{count}</b> words · ~<b>{pct}%</b> of exam text,คลังคำ: <b>{count}</b> คำ · ~<b>{pct}%</b> ของข้อสอบ,คลังคำ: <b>{count}</b> คำ · ~<b>{pct}%</b> ของข้อสอบ
scope.readoutNoThai,* {n} long-tail words have no Thai yet — English shown instead.,* มี {n} คำที่ยังไม่มีภาษาไทย — แสดงภาษาอังกฤษแทน,* มี {n} คำที่ยังไม่มีภาษาไทย — แสดงภาษาอังกฤษแทน
scope.tabPicker,Picker,เลือกเอง,เลือกเอง
scope.tabJourney,Journey,เส้นทาง,เส้นทาง
scores.title,Best Sessions,สถิติดีที่สุด,สถิติดีที่สุด
scores.empty,No sessions yet — complete a Word Quest.,ยังไม่มีสถิติ — เล่นเควสต์คำศัพท์ก่อน,ยังไม่มีสถิติ — เล่นเควสต์คำศัพท์ก่อน
profile.defaultName,Lucky Learner,นักเรียนแมวนำโชค,นักเรียนแมวนำโชค
profile.avatar,Profile picture for {name},รูปโปรไฟล์ของ {name},รูปโปรไฟล์ของ {name}
profile.editName,Edit,แก้ไข,แก้ไข
profile.namePh,Player name,ชื่อผู้เล่น,ชื่อผู้เล่น
profile.saveName,Save,บันทึก,บันทึก
profile.cancelName,Cancel,ยกเลิก,ยกเลิก
profile.level,Lucky Cat · Lv {lv},แมวนำโชค · Lv {lv},แมวนำโชค · Lv {lv}
profile.xp,{into}/{need} XP toward the next level,{into}/{need} XP สู่เลเวลถัดไป,{into}/{need} XP สู่เลเวลถัดไป
profile.streak,{n}-day streak,สตรีค {n} วัน,เรียนต่อเนื่อง {n} วัน
profile.coins,{n} coins,{n} เหรียญ,{n} เหรียญ
profile.mastered,Words mastered,คำที่เชี่ยวชาญ,คำที่เชี่ยวชาญ
profile.seen,Words seen,คำที่เคยเรียน,คำที่เคยเรียน
profile.stickers,Stickers earned,สติกเกอร์ที่ได้รับ,สติกเกอร์ที่ได้รับ
profile.bestSession,Best session,คะแนนรอบดีที่สุด,คะแนนรอบดีที่สุด
profile.collectionTitle,Your collection,คอลเลกชันของคุณ,คอลเลกชันของคุณ
profile.collectionCount,{owned}/{total} cosmetics,ของตกแต่ง {owned}/{total},ของตกแต่ง {owned}/{total}
profile.stickerCount,{earned}/{total} stickers,สติกเกอร์ {earned}/{total},สติกเกอร์ {earned}/{total}
profile.skin,Cat: {name},แมว: {name},แมว: {name}
profile.backdrop,Backdrop: {name},ฉากหลัง: {name},ฉากหลัง: {name}
profile.defaultCat,Default Cat,แมวเริ่มต้น,แมวเริ่มต้น
profile.defaultBackdrop,Default,ค่าเริ่มต้น,ค่าเริ่มต้น
profile.viewCollection,View Collection,ดูคอลเลกชัน,ดูคอลเลกชัน
profile.viewAlbum,Sticker Album,อัลบั้มสติกเกอร์,อัลบั้มสติกเกอร์
friend.compareCta,Compare with a friend,เทียบกับเพื่อน,เทียบกับเพื่อน
friend.title,Compare with a friend,เทียบกับเพื่อน,เทียบกับเพื่อน
friend.yourCode,Your code — share it,รหัสของคุณ — แชร์เลย,รหัสของคุณ — แชร์เลย
friend.share,Share my code,แชร์รหัสของฉัน,แชร์รหัสของฉัน
friend.shareText,Compare our Lucky Cat HSK progress!,มาเทียบความคืบหน้า Lucky Cat HSK กัน!,มาเทียบความคืบหน้า Lucky Cat HSK กัน!
