key,english,thai_current,thai_proposed
battle.critical,BRILLIANT!,ยอดเยี่ยม!,ยอดเยี่ยม!
toast.freeze-used,Streak Freeze used — your {n}-day streak is safe,ใช้น้ำแข็งพิทักษ์สตรีคแล้ว — สตรีค {n} วันของคุณยังอยู่,ใช้น้ำแข็งรักษาการเรียนต่อเนื่องแล้ว — สถิติ {n} วันของคุณยังอยู่
fc.noThai,no Thai yet,ยังไม่มีภาษาไทย,ยังไม่มีภาษาไทย
fc.inSentence,In a sentence,ในประโยค,ในประโยค
battle.round,Round {label},รอบ {label},รอบ {label}
battle.wordQuest,Word Quest,ภารกิจคำศัพท์,ภารกิจคำศัพท์
battle.routeName,Lantern Trail,เส้นทางโคมไฟ,เส้นทางโคมไฟ
battle.reviewPouch,Review Pouch {n},ถุงทบทวน {n},ถุงทบทวน {n}
battle.learnedProgress,Learned {label},เรียนแล้ว {label},เรียนแล้ว {label}
battle.luckyFlow,Lucky Flow,จังหวะโชคดี,จังหวะโชคดี
battle.promptChoose,Choose the correct meaning.,เลือกความหมายที่ถูกต้อง,เลือกความหมายที่ถูกต้อง
battle.promptMeaning,Choose the correct meaning.,เลือกความหมายที่ถูกต้อง,เลือกความหมายที่ถูกต้อง
battle.promptListen,"Listen, then choose the meaning you heard.",ฟังเสียง แล้วเลือกความหมายที่ได้ยิน,ฟังเสียง แล้วเลือกความหมายที่ได้ยิน
battle.promptReverse,Choose the hanzi that matches the meaning.,เลือกอักษรจีนที่ตรงกับความหมาย,เลือกตัวอักษรจีนที่ตรงกับความหมาย
battle.promptTone,Choose the correct pinyin and tone.,เลือกพินอินและวรรณยุกต์ที่ถูกต้อง,เลือกพินอินและวรรณยุกต์ที่ถูกต้อง
battle.promptCloze,Choose the word that completes the sentence.,เลือกคำที่เติมประโยคให้สมบูรณ์,เลือกคำที่เติมประโยคให้สมบูรณ์
battle.promptTyped,"Type the pinyin letters, then choose any tones shown.",พิมพ์ตัวอักษรพินอิน แล้วเลือกวรรณยุกต์ที่แสดง,พิมพ์ตัวอักษรพินอิน แล้วเลือกวรรณยุกต์ที่แสดง
battle.reviewChallengeIntro,Review Challenge · recall this word in two steps.,ด่านทบทวน · ทบทวนคำนี้ให้ครบสองขั้น,ด่านทบทวน · ทบทวนคำนี้ให้ครบสองขั้น
battle.feedbackLearned,Got it — this word is growing stronger.,เก่งมาก — คุณจำคำนี้ได้ดีขึ้นอีกขั้น,เก่งมาก — คุณจำคำนี้ได้ดีขึ้นอีกขั้น
battle.feedbackReview,Added to your Review Pouch — you will see it again soon.,เพิ่มลงถุงทบทวนแล้ว — คุณจะได้พบคำนี้อีกในไม่ช้า,เพิ่มลงถุงทบทวนแล้ว — คุณจะได้พบคำนี้อีกในไม่ช้า
battle.pause,Pause,หยุดชั่วคราว,หยุดชั่วคราว
battle.paused,Paused,หยุดชั่วคราว,หยุดชั่วคราว
battle.resume,Resume,เล่นต่อ,เล่นต่อ
battle.quit,Quit,ออก,ออก
battle.wordAudio,Word audio,เสียงคำศัพท์,เสียงคำศัพท์
battle.pinyin,Pinyin,พินอิน,พินอิน
battle.on,On,เปิด,เปิด
battle.off,Off,ปิด,ปิด
battle.canvasLabel,Word Quest scene. Press Enter or Space to replay the word's audio (when available).,ฉากภารกิจคำศัพท์ กด Enter หรือ Space เพื่อฟังเสียงคำศัพท์อีกครั้ง (เมื่อเปิดให้ฟัง),ฉากภารกิจคำศัพท์ กด Enter หรือ Space เพื่อฟังเสียงคำศัพท์อีกครั้ง (เมื่อเปิดให้ฟัง)
battle.canvasWord,"Current word: {h}, pinyin {p}. Press Enter or Space to replay its audio.",คำปัจจุบัน: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง,คำปัจจุบัน: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง
battle.canvasHanzi,Current hanzi: {h}. Use the task below to recall its pinyin.,อักษรจีนปัจจุบัน: {h} ทำโจทย์ด้านล่างเพื่อนึกพินอิน,ตัวอักษรจีนปัจจุบัน: {h} ทำโจทย์ด้านล่างเพื่อนึกพินอิน
battle.canvasListen,"Listen-only word. Press Enter or Space to replay the audio, then choose its meaning.",โจทย์ฟังเสียง กด Enter หรือ Space เพื่อฟังซ้ำ แล้วเลือกความหมาย,โจทย์ฟังเสียง กด Enter หรือ Space เพื่อฟังซ้ำ แล้วเลือกความหมาย
battle.canvasHidden,The answer is hidden for this recall task. Read the prompt and choices below.,โจทย์นี้ซ่อนคำตอบไว้ อ่านคำสั่งและตัวเลือกด้านล่าง,โจทย์นี้ซ่อนคำตอบไว้ อ่านคำสั่งและตัวเลือกด้านล่าง
battle.canvasRevealed,"Answer revealed: {h}, pinyin {p}. Press Enter or Space to replay its audio.",เฉลย: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง,เฉลย: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง
battle.bossPrompt,Review Challenge · pick the hanzi for: {meaning},ด่านทบทวน · เลือกตัวอักษรจีนของคำว่า: {meaning},ด่านทบทวน · เลือกตัวอักษรจีนของคำว่า: {meaning}
battle.replay,Play it again,ฟังอีกครั้ง,ฟังอีกครั้ง
battle.reversePrompt,Pick the hanzi for: {meaning},เลือกตัวอักษรจีนของคำว่า: {meaning},เลือกตัวอักษรจีนของคำว่า: {meaning}
battle.introOk,Got it!,เข้าใจแล้ว!,เข้าใจแล้ว!
battle.introListen,New: listen first! Play the sound and tap the meaning you hear.,ใหม่: ฟังก่อนนะ! กดฟังเสียงแล้วแตะความหมายที่ได้ยิน,ใหม่: ฟังก่อนนะ! กดฟังเสียงแล้วแตะความหมายที่ได้ยิน
battle.introReverse,New: you know this word — now pick its hanzi from the meaning!,ใหม่: คำนี้คุ้นแล้ว — เลือกตัวอักษรจีนจากความหมายเลย!,ใหม่: คำนี้คุ้นแล้ว — เลือกตัวอักษรจีนจากความหมายเลย!
battle.introTone,New: tone check! Tap the pinyin with the right tone marks.,ใหม่: เช็ควรรณยุกต์! แตะพินอินที่มีวรรณยุกต์ถูกต้อง,ใหม่: เช็ควรรณยุกต์! แตะพินอินที่มีวรรณยุกต์ถูกต้อง
battle.introCloze,New: fill the blank! Pick the word that completes the sentence.,ใหม่: เติมคำในช่องว่าง! เลือกคำที่ทำให้ประโยคสมบูรณ์,ใหม่: เติมคำในช่องว่าง! เลือกคำที่ทำให้ประโยคสมบูรณ์
