hanzi,sentence,en
政策,新政策鼓励年轻人创业。,The new policy encourages young people to start businesses.
效应,这个决定产生了连锁效应。,This decision triggered a chain reaction.
效益,公司今年经济效益很好。,The company had good economic returns this year.
敏捷,猴子的动作十分敏捷。,The monkey's movements are very agile.
敏锐,他有一双敏锐的眼睛。,He has a pair of sharp eyes.
救援,消防队及时进行救援。,The fire brigade carried out the rescue in time.
教养,这个孩子很有教养。,This child is very well-mannered.
教练,教练教我们打篮球。,The coach teaches us to play basketball.
散,花瓣散落在地上。,The flower petals scattered on the ground.
散布,有人在网上散布谣言。,Someone spread rumors online.
散文,这本书收录了他的散文。,This book collects his prose writings.
敬,我们应该敬老爱幼。,We should respect the old and cherish the young.
敬业,她工作起来非常敬业。,She is very dedicated when she works.
敬礼,士兵向国旗敬礼。,The soldier saluted the flag.
敬而远之,大家对他敬而远之。,Everyone keeps a respectful distance from him.
敬请,敬请各位准时到场。,Please kindly arrive on time.
敬酒,新郎向客人敬酒。,The groom toasted the guests.
敬重,学生们都很敬重老师。,The students deeply respect their teacher.
数目,参加人数的数目不小。,The number of participants isn't small.
敲门,有人在敲门。,Someone is knocking on the door.
整,他整整等了一个小时。,He waited for a whole hour.
整体,这个方案整体上不错。,This plan is pretty good overall.
整合,公司决定整合各部门资源。,The company decided to integrate resources across departments.
整天,他整天坐在电脑前。,He sits in front of the computer all day.
整洁,她的房间总是很整洁。,Her room is always very tidy.
整顿,学校决定整顿纪律。,The school decided to tighten up discipline.
整齐,桌上的书摆放得很整齐。,The books on the desk are arranged neatly.
文人,古代文人喜欢写诗。,Ancient scholars loved writing poetry.
文献,他查阅了很多文献。,He consulted a lot of reference materials.
斗,两只公鸡在斗架。,The two roosters are fighting.
断定,医生断定他得了感冒。,The doctor concluded that he had a cold.
断断续续,雨断断续续下了一天。,It rained on and off all day.
断裂,这根绳子突然断裂了。,This rope suddenly snapped.
新人,公司来了新人。,A newcomer joined the company.
新型,公司推出了新型手机。,The company launched a new type of phone.
新房,他们搬进了新房。,They moved into their new house.
新款,这是今年的新款手机。,This is this year's new model phone.
新生,新生们正在报到。,The new students are registering.
新陈代谢,运动能加快新陈代谢。,Exercise can speed up metabolism.
方,你知道正确的方向吗？,Do you know the correct direction?
方向盘,司机紧握着方向盘。,The driver gripped the steering wheel tightly.
施行,新法律下个月起施行。,The new law will be put into practice next month.
旁,他坐在我的旁边。,He sat down beside me.
旅客,机场里挤满了旅客。,The airport was packed with travelers.
旅程,这次旅程让我难忘。,This journey was unforgettable for me.
旅行社,我们通过旅行社订票。,We booked tickets through a travel agency.
旋律,这首歌的旋律很动听。,This song's melody is very pleasant.
