hanzi,sentence,en
定位,手机可以帮你自动定位。,Your phone can automatically determine your location.
定居,他们决定在国外定居。,They decided to settle abroad.
定期,他定期去医院检查。,He goes to the hospital for regular check-ups.
定论,这件事目前还没有定论。,There is no final conclusion on this matter yet.
定金,他交了两千元定金。,He paid a two-thousand-yuan deposit.
宝,这块玉是无价之宝。,This piece of jade is a priceless treasure.
宝宝,妈妈正在给宝宝喂奶。,The mother is feeding her baby.
宝藏,岛上藏着一批宝藏。,A batch of treasure is hidden on the island.
宝贵,时间是最宝贵的。,Time is the most precious thing.
实习,她正在医院实习。,She is doing an internship at a hospital.
实事求是,我们做事要实事求是。,We should be practical and realistic in our work.
实力,这支球队实力很强。,This team has strong strength.
实地,专家去实地考察了情况。,Experts went to conduct an on-site investigation.
实惠,这家店的东西又实惠又好。,This shop's goods are both affordable and good.
实施,新政策将开始实施。,The new policy will begin to be implemented.
实物,展览会上展出了不少实物。,Many actual objects were displayed at the exhibition.
实用,这个方法很实用。,This method is very practical.
实话,请你跟我说实话。,Please tell me the truth.
实验室,学生们在实验室做实验。,The students are doing an experiment in the laboratory.
宠,她家养了一只宠物狗。,Her family keeps a pet dog.
客机,这架客机飞往北京。,This passenger plane is flying to Beijing.
宣泄,他通过运动宣泄压力。,He relieves stress through exercise.
宣称,该公司宣称产品无害。,The company claims its products are harmless.
宫,他们参观了故宫。,They visited the Forbidden Palace.
宫廷,这是古代宫廷的服饰。,This is ancient palace-style clothing.
宫殿,这座宫殿非常古老。,This palace is very ancient.
害虫,农民正在田里消灭害虫。,Farmers are eliminating pests in the fields.
宴会,他们参加了一场宴会。,They attended a banquet.
家乡,我很想念我的家乡。,I miss my hometown a lot.
家园,战争摧毁了他们的家园。,The war destroyed their homeland.
家长,家长会明天下午举行。,The parent-teacher meeting is tomorrow afternoon.
宽厚,他为人宽厚。,He is generous and tolerant.
宽广,大海显得十分宽广。,The sea appears extremely wide and vast.
宽敞,他们的新房子非常宽敞。,Their new house is very spacious.
宽阔,这条马路十分宽阔。,This road is very wide.
寂静,深夜的街道十分寂静。,The street is very quiet late at night.
寄托,这幅画寄托了他的思念。,This painting embodies his longing.
密,这是一份密件。,This is a confidential document.
密度,这个城市人口密度很高。,This city has a high population density.
密集,这里的人口十分密集。,The population here is very dense.
富含,鸡蛋富含蛋白质。,Eggs are rich in protein.
富裕,他们家生活很富裕。,Their family lives a prosperous life.
寓意,这个故事寓意深刻。,This story has a profound moral.
寓言,这是一则有名的寓言。,This is a famous fable.
察看,警察下车察看事故现场。,The police got out to examine the accident scene.
对准,请把镜头对准目标。,Please aim the lens at the target.
对外,公司对外发布了消息。,The company released the news to the public.
对应,每个问题都有对应的答案。,Every question has a corresponding answer.
对比,两张照片形成鲜明对比。,The two photos form a striking contrast.
对白,这部电影的对白很精彩。,This movie's dialogue is wonderful.
对称,这幅图案左右对称。,This pattern is symmetrical left and right.
对联,春节家家户户都贴对联。,During Spring Festival every household puts up couplets.
寻求,他决定寻求律师的帮助。,He decided to seek a lawyer's help.
导向,广告往往导向消费。,Advertising often steers people towards spending.
导师,他是我读研究生的导师。,He is my mentor during my graduate studies.
封闭,这条山路已经封闭了。,This mountain road has already been closed off.
射,阳光射进了房间。,Sunlight streamed into the room.
射击,士兵在靶场练习射击。,Soldiers practice shooting at the firing range.
将要,我们将要出发了。,We are about to set off.
将近,这本书将近五百页。,This book is nearly five hundred pages long.
尊严,每个人都应该有尊严。,Everyone should have dignity.
尊贵,客人受到了尊贵的礼遇。,The guest received honored treatment.
小品,晚会上有一个精彩的小品。,There was a wonderful comic sketch at the party.
小心翼翼,他小心翼翼地端着汤碗。,He carried the soup bowl very carefully.
小提琴,她每天练习拉小提琴。,She practices playing the violin every day.
小气,他对朋友很小气。,He is stingy with his friends.
小看,别小看这个问题。,Don't underestimate this problem.
小贩,街边的小贩在叫卖水果。,A street peddler is hawking fruit.
小路,这条小路通往山顶。,This narrow path leads to the mountaintop.
小麦,这片田里种的是小麦。,Wheat is grown in this field.
少女,那位少女爱唱歌跳舞。,That young girl loves singing and dancing.
少有,这种情况十分少有。,This kind of situation is very rare.
少量,汤里只需加少量的盐。,Only a small amount of salt needs to be added to the soup.
尖,这把刀非常尖。,This knife is very sharp.
尖端,这是一项尖端科技。,This is a cutting-edge technology.
尚,这项计划尚未完成。,This plan has not yet been completed.
尚未,这个问题尚未解决。,This problem has not yet been resolved.
尤为,这个问题尤为重要。,This issue is especially important.
就医,他因病去医院就医。,He went to the hospital for medical treatment because of illness.
就是说,"也就是说,他不会来了。","In other words, he won't be coming."
尴尬,他的问题让我很尴尬。,His question made me very embarrassed.
尺,他用尺量了桌子的长度。,He used a ruler to measure the table's length.
尺子,请把尺子借我用一下。,Please lend me the ruler for a moment.
尽力,我们一定尽力帮忙。,We will do our best to help.
尽可能,请尽可能早点到达。,Please arrive as early as possible.
尽头,他们走到了小路的尽头。,They walked to the end of the path.
尽情,大家在派对上尽情跳舞。,Everyone danced to their heart's content at the party.
尽早,请大家尽早提交报告。,Please submit the report as early as possible.
局限,他的想法局限于经验。,His thinking is limited by his experience.
局面,目前局面十分复杂。,The current situation is very complicated.
层出不穷,新的科技产品层出不穷。,New tech products keep emerging one after another.
屋子,这间屋子很干净。,This room is very clean.
屏幕,他的手机屏幕碎了。,His phone screen is cracked.
展出,这些作品正在展出。,These works are currently on display.
展开,他把地图展开看。,He unfolded the map to look at it.
展现,美丽的风景展现在眼前。,A beautiful scene unfolded before our eyes.
展示,他向大家展示了作品。,He showed his work to everyone.
展览会,这次展览会吸引了很多人。,This exhibition attracted many people.
属,老虎属于猫科动物。,Tigers belong to the cat family.
屡次,他屡次提醒我注意安全。,He repeatedly reminded me to be safe.
山区,他出生在山区。,He was born in a mountainous area.
山峰,远处矗立着一座山峰。,A mountain peak stands in the distance.
山谷,河流穿过这片山谷。,The river flows through this valley.
山顶,我们终于爬到山顶。,We finally climbed to the mountaintop.
岁月,岁月改变了这座城市。,Time has changed this city.
岗位,他坚守在工作岗位上。,He stays firmly at his work post.
岛屿,这片海域有许多岛屿。,There are many islands in this sea area.
岩石,山上到处都是岩石。,There are rocks everywhere on the mountain.
岸,船慢慢靠近岸边。,The boat slowly approached the shore.
峡谷,这条峡谷十分壮观。,This canyon is truly spectacular.
崇尚,这个民族崇尚勇敢。,This people esteem bravery.
崇拜,孩子们崇拜自己的父母。,Children admire their own parents.
崛起,这座城市近年迅速崛起。,This city has risen rapidly in recent years.
崭新,他穿着一身崭新的西装。,He is wearing a brand-new suit.
巅峰,他的事业正处于巅峰。,His career is currently at its peak.
川流不息,街上的车辆川流不息。,The traffic on the street flows without stopping.
工业,这座城市工业发达。,This city's industry is highly developed.
工作日,明天是工作日。,Tomorrow is a workday.
工序,这道工序十分复杂。,This working procedure is very complicated.
工整,他的字写得十分工整。,His handwriting is very neat.
工艺,这件工艺品做得很精细。,This piece of craftwork is made very finely.
巧,我们俩今天真巧遇见了。,What a coincidence that we ran into each other today.
巨星,他是国际知名的巨星。,He is an internationally renowned superstar.
巩固,我们要巩固学习成果。,We should consolidate our learning achievements.
差别,两者之间差别不大。,There is not much difference between the two.
差距,城乡之间差距很大。,The gap between urban and rural areas is large.
巴士,我们坐巴士去机场。,We're taking the bus to the airport.
市民,市民纷纷参与活动。,City residents actively took part in the event.
布,政府对外公布了消息。,The government announced the news publicly.
布满,天空中布满了乌云。,The sky is covered with dark clouds.
布置,她把房间布置得很温馨。,She decorated the room to be very cozy.
师傅,这位师傅手艺很好。,This craftsman has excellent skills.
师父,徒弟每天向师父学艺。,The apprentice learns skills from the master every day.
帐篷,我们在山上搭了帐篷。,We set up a tent on the mountain.
带动,新政策带动了经济发展。,The new policy has spurred economic development.
带有,他的话带有讽刺意味。,His words carried a hint of sarcasm.
常人,他的力气超过常人。,His strength exceeds that of an ordinary person.
常年,他常年在外地工作。,He has worked away from home for years.
常理,这件事完全不合常理。,This matter completely defies common sense.
常识,这是基本的生活常识。,This is basic common sense for daily life.
幅度,价格上涨的幅度很大。,The extent of the price increase is large.
幢,山坡上有一幢别墅。,There is a villa on the hillside.
干扰,手机信号受到干扰。,The phone signal was interfered with.
干旱,今年这里发生了干旱。,There was a drought here this year.
干活儿,工人正在地里干活儿。,The workers are working in the field.
平,这条路很平。,This road is very flat.
平凡,他过着平凡的生活。,He lives an ordinary life.
平和,他说话的语气很平和。,His tone of voice is very gentle.
平均,他每天平均睡八小时。,He sleeps an average of eight hours a day.
平坦,这条路很平坦好走。,This road is flat and easy to walk on.
平常,今天他表现得很平常。,Today he seemed quite ordinary.
平常心,比赛时要保持平常心。,One should stay calm during a competition.
平方米,这套房子九十平方米。,This apartment is ninety square meters.
平民,战争让许多平民受苦。,War made many ordinary people suffer.
平稳,飞机平稳地降落了。,The plane landed smoothly.
平等,人人都应享有平等权利。,Everyone should enjoy equal rights.
年度,这是公司的年度报告。,This is the company's annual report.
年画,奶奶家墙上贴着年画。,New Year pictures are pasted on grandma's wall.
幸亏,幸亏你及时提醒了我。,"Fortunately, you reminded me in time."
幸好,幸好雨没有下大。,"Fortunately, the rain wasn't heavy."
幻觉,他产生了一种奇怪的幻觉。,He experienced a strange hallucination.
幼儿园,妹妹在幼儿园上学。,My younger sister attends kindergarten.
幼稚,这种想法未免太幼稚。,This idea is really too childish.
广场,很多人在广场上跳舞。,Many people are dancing in the square.
广阔,未来的发展前景广阔。,The prospects for future development are vast.
庆幸,他庆幸自己没有迟到。,He is glad that he did not arrive late.
庆祝,大家一起庆祝生日。,Everyone celebrated the birthday together.
序,请按顺序排好队。,Please line up in order.
应对,我们要冷静应对困难。,We need to calmly deal with the difficulty.
应当,学生应当尊敬老师。,Students should respect their teachers.
应有尽有,超市里的商品应有尽有。,The supermarket has everything one could need.
应邀,歌手应邀参加了晚会。,The singer attended the evening party by invitation.
应酬,他晚上常常出去应酬。,He often goes out for social engagements at night.
底,钥匙掉在箱子底下了。,The key fell to the bottom of the box.
底下,猫躲在桌子底下。,The cat is hiding under the table.
庙,村子附近有一座庙。,There is a temple near the village.
庙会,春节期间村里有庙会。,There's a temple fair in the village during Spring Festival.
庞大,这是一支庞大的军队。,This is a huge army.
废墟,地震过后只剩下废墟。,"After the earthquake, only ruins remained."
废物,别把废物乱扔在路边。,Don't throw waste around by the roadside.
度假,他们去海边度假一周。,They went to the seaside for a week's vacation.
庸俗,这部电影的情节很庸俗。,The plot of this movie is very vulgar.
延伸,这条路一直延伸到海边。,This road extends all the way to the seaside.
延缓,这种药能延缓衰老。,This medicine can slow down aging.
延长,会议延长了半小时。,The meeting was extended by half an hour.
建成,这座桥去年建成。,This bridge was completed last year.
建筑师,他梦想成为建筑师。,He dreams of becoming an architect.
建筑物,这座建筑物历史悠久。,This building has a long history.
开业,这家餐厅下周开业。,This restaurant opens for business next week.
开创,他为公司开创了新局面。,He opened up a new situation for the company.
开口,他半天没开口说话。,He didn't open his mouth to speak for a long time.
开启,这把钥匙能开启大门。,This key can open the gate.
开头,故事的开头十分吸引人。,The beginning of the story is very engaging.
开学,下周就要开学了。,School starts next week.
开展,学校开展了阅读活动。,The school launched a reading activity.
开张,新店今天正式开张。,The new store officially opened today.
开拓,公司正在开拓新市场。,The company is opening up a new market.
开支,这个月家里开支很大。,The household expenses this month are very large.
开朗,她性格非常开朗。,She has a very cheerful personality.
开水,请给我一杯开水。,Please give me a cup of boiled water.
