hanzi,sentence,en,th_final
定位,手机可以帮你自动定位。,Your phone can automatically determine your location.,มือถือหาตำแหน่งของคุณได้เองอัตโนมัติ
定居,他们决定在国外定居。,They decided to settle abroad.,พวกเขาตัดสินใจไปตั้งรกรากที่ต่างประเทศ
定期,他定期去医院检查。,He goes to the hospital for regular check-ups.,เขาไปตรวจที่โรงพยาบาลเป็นประจำตามกำหนด
定论,这件事目前还没有定论。,There is no final conclusion on this matter yet.,เรื่องนี้ตอนนี้ยังไม่มีข้อสรุปที่แน่นอน
定金,他交了两千元定金。,He paid a two-thousand-yuan deposit.,เขาจ่ายเงินมัดจำไปสองพันหยวน
宝,这块玉是无价之宝。,This piece of jade is a priceless treasure.,หยกชิ้นนี้เป็นสมบัติล้ำค่า
宝宝,妈妈正在给宝宝喂奶。,The mother is feeding her baby.,แม่กำลังให้นมลูกน้อยอยู่
宝藏,岛上藏着一批宝藏。,A batch of treasure is hidden on the island.,บนเกาะมีขุมทรัพย์ซ่อนอยู่
宝贵,时间是最宝贵的。,Time is the most precious thing.,เวลาเป็นสิ่งที่มีค่าที่สุด
实习,她正在医院实习。,She is doing an internship at a hospital.,เธอกำลังฝึกงานอยู่ที่โรงพยาบาล
实事求是,我们做事要实事求是。,We should be practical and realistic in our work.,เราทำอะไรต้องยึดความจริงเป็นหลัก
实力,这支球队实力很强。,This team has strong strength.,ทีมนี้มีความสามารถแข็งแกร่งมาก
实地,专家去实地考察了情况。,Experts went to conduct an on-site investigation.,ผู้เชี่ยวชาญไปสำรวจสถานการณ์ถึงพื้นที่จริง
实惠,这家店的东西又实惠又好。,This shop's goods are both affordable and good.,ของร้านนี้ทั้งคุ้มค่าทั้งดี
实施,新政策将开始实施。,The new policy will begin to be implemented.,นโยบายใหม่กำลังจะเริ่มบังคับใช้
实物,展览会上展出了不少实物。,Many actual objects were displayed at the exhibition.,ในงานนิทรรศการมีของจริงจัดแสดงอยู่หลายชิ้น
实用,这个方法很实用。,This method is very practical.,วิธีนี้ใช้งานได้จริงมาก
实话,请你跟我说实话。,Please tell me the truth.,ช่วยบอกความจริงกับฉันหน่อย
实验室,学生们在实验室做实验。,The students are doing an experiment in the laboratory.,นักเรียนกำลังทดลองกันอยู่ในห้องแล็บ
宠,她家养了一只宠物狗。,Her family keeps a pet dog.,บ้านเธอเลี้ยงสุนัขไว้เป็นสัตว์เลี้ยงตัวหนึ่ง
客机,这架客机飞往北京。,This passenger plane is flying to Beijing.,เครื่องบินโดยสารลำนี้บินไปปักกิ่ง
宣泄,他通过运动宣泄压力。,He relieves stress through exercise.,เขาระบายความเครียดด้วยการออกกำลังกาย
宣称,该公司宣称产品无害。,The company claims its products are harmless.,บริษัทนี้ประกาศว่าผลิตภัณฑ์ไม่มีอันตราย
宫,他们参观了故宫。,They visited the Forbidden Palace.,พวกเขาไปเที่ยวชมพระราชวังต้องห้าม
宫廷,这是古代宫廷的服饰。,This is ancient palace-style clothing.,นี่คือเครื่องแต่งกายของราชสำนักสมัยโบราณ
