hanzi,sentence,en,th_final
渔夫,渔夫每天出海打鱼。,The fisherman goes out to sea to fish every day.,ชาวประมงออกทะเลไปจับปลาทุกวัน
利用,我们要好好利用时间。,We should make good use of time.,เราควรใช้เวลาให้เป็นประโยชน์
思考,请你好好思考一下。,Please think it over carefully.,ลองคิดดูดีๆ นะ
不断,他不断努力学习。,He keeps working hard at his studies.,เขาพยายามเรียนอย่างต่อเนื่อง
行为,他的行为很奇怪。,His behavior is very strange.,พฤติกรรมของเขาแปลกมาก
伤害,吸烟会伤害身体。,Smoking harms the body.,การสูบบุหรี่ทำร้ายร่างกาย
意义,这份工作很有意义。,This job is very meaningful.,งานนี้มีความหมายมาก
智慧,他的话充满智慧。,His words are full of wisdom.,คำพูดของเขาเต็มไปด้วยปัญญา
主任,他是公司的主任。,He is the director of the company.,เขาเป็นผู้อำนวยการของบริษัท
画家,她是一位有名的画家。,She is a famous painter.,เธอเป็นจิตรกรที่มีชื่อเสียง
富翁,他是这个城市的富翁。,He is a rich man in this city.,เขาเป็นเศรษฐีของเมืองนี้
重量,这箱子的重量是十公斤。,This box weighs ten kilograms.,น้ำหนักของกล่องนี้คือสิบกิโลกรัม
玩耍,孩子们在公园玩耍。,The children are playing in the park.,เด็กๆ กำลังเล่นกันอยู่ในสวน
甲骨文,甲骨文是最早的汉字。,Oracle bone script is the earliest Chinese writing.,อักษรกระดูกเสี่ยงทายเป็นตัวอักษรจีนที่เก่าแก่ที่สุด
大雁,天上飞着一群大雁。,A flock of wild geese is flying in the sky.,มีฝูงห่านป่าบินอยู่บนท้องฟ้า
汽水,他喜欢喝冰汽水。,He likes to drink cold soda.,เขาชอบดื่มน้ำอัดลมเย็นๆ
蛇,花园里有一条蛇。,There is a snake in the garden.,ในสวนมีงูอยู่ตัวหนึ่ง
养,她在家养了三只猫。,She raises three cats at home.,เธอเลี้ยงแมวสามตัวที่บ้าน
同时,我们同时到达了机场。,We arrived at the airport at the same time.,เราไปถึงสนามบินพร้อมกัน
处理,他很会处理问题。,He is very good at handling problems.,เขาเก่งเรื่องจัดการปัญหา
乐观,她对未来很乐观。,She is optimistic about the future.,เธอมองอนาคตในแง่ดี
价值,这幅画很有价值。,This painting is very valuable.,ภาพวาดนี้มีคุณค่ามาก
位置,请坐在你的位置上。,Please sit in your seat.,ช่วยนั่งที่ของคุณด้วย
地区,这个地区很少下雨。,It rarely rains in this region.,เขตนี้ฝนตกน้อยมาก
形状,这块石头的形状很奇怪。,The shape of this stone is very strange.,รูปร่างของหินก้อนนี้แปลกมาก
心理,她学的是心理专业。,She majors in psychology.,เธอเรียนเอกจิตวิทยา
士兵,士兵们在训练。,The soldiers are training.,เหล่าทหารกำลังฝึกซ้อม
拍,他拍了拍我的肩膀。,He patted me on the shoulder.,เขาตบไหล่ฉันเบาๆ
理论,这只是一个理论。,This is only a theory.,นี่เป็นแค่ทฤษฎีเท่านั้น
稳定,他的工作很稳定。,His job is very stable.,งานของเขามั่นคงมาก
装,你不用再装了。,You don't need to pretend anymore.,เธอไม่ต้องเสแสร้งอีกแล้ว
实验,老师做了一个实验。,The teacher did an experiment.,คุณครูทำการทดลองหนึ่งครั้ง
删除,我删除了这张照片。,I deleted this photo.,ฉันลบรูปนี้ทิ้งไปแล้ว
柴,爷爷去山上砍柴。,Grandpa went up the mountain to chop firewood.,คุณปู่ขึ้นเขาไปตัดฟืน
碎片,地上有玻璃碎片。,There are glass fragments on the ground.,บนพื้นมีเศษแก้ว
标题,这篇文章的标题很有趣。,The title of this article is very interesting.,หัวข้อของบทความนี้น่าสนใจมาก
保持,请保持安静。,Please keep quiet.,ช่วยอยู่เงียบๆ หน่อยนะ
受伤,他在比赛中受伤了。,He got injured during the competition.,เขาบาดเจ็บระหว่างการแข่งขัน
欣赏,我很欣赏他的才华。,I really admire his talent.,ฉันชื่นชมพรสวรรค์ของเขามาก
享受,他很享受这段时间。,He really enjoys this time.,เขาเพลิดเพลินกับช่วงเวลานี้มาก
失去,他失去了信心。,He lost his confidence.,เขาสูญเสียความมั่นใจไป
对方,你要理解对方的想法。,You need to understand the other person's thoughts.,เธอต้องเข้าใจความคิดของอีกฝ่าย
曾,他曾去过北京。,He has been to Beijing before.,เขาเคยไปปักกิ่งมาก่อน
形成,习惯是慢慢形成的。,Habits are formed gradually.,นิสัยค่อยๆ ก่อตัวขึ้นทีละน้อย
控制,他很难控制自己的情绪。,He finds it hard to control his emotions.,เขาควบคุมอารมณ์ตัวเองได้ยาก
企业,这是一家大企业。,This is a large company.,นี่เป็นองค์กรขนาดใหญ่
