hanzi,sentence,en,th
发烧,孩子昨天发烧了。,The child had a fever yesterday.,เมื่อวานเด็กมีไข้
发现,我发现了一个问题。,I discovered a problem.,ฉันพบปัญหาอย่างหนึ่ง
方便,坐地铁很方便。,Taking the subway is very convenient.,การนั่งรถไฟฟ้าใต้ดินสะดวกมาก
房卡,请给我房卡。,Please give me the room card.,กรุณาให้บัตรห้องฉันด้วย
放,请把书放在桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
放到,请把书放到桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
放进去,把钱放进去。,Put the money in.,ใส่เงินเข้าไปข้างใน
放开,请放开我的手。,Please let go of my hand.,กรุณาปล่อยมือฉัน
放心,你放心吧，没问题。,"Don't worry, there's no problem.",คุณวางใจได้ ไม่มีปัญหา
放在,请把书放在桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
飞,小鸟飞走了。,The little bird flew away.,นกตัวน้อยบินหนีไปแล้ว
分钱,这个东西才五分钱。,This thing only costs five cents.,ของชิ้นนี้ราคาแค่ห้าเฟิน
风,外面风很大。,The wind is strong outside.,ข้างนอกลมแรงมาก
夫妻,他们是一对夫妻。,They are a married couple.,พวกเขาเป็นสามีภรรยากัน
附近,附近有一个公园。,There's a park nearby.,แถวนี้มีสวนสาธารณะอยู่แห่งหนึ่ง
复习,我在复习汉语。,I'm reviewing Chinese.,ฉันกำลังทบทวนภาษาจีน
该,你该回家了。,You should go home now.,คุณควรกลับบ้านได้แล้ว
该换,这双鞋该换了。,These shoes should be replaced.,รองเท้าคู่นี้ควรเปลี่ยนได้แล้ว
敢,我不敢一个人去。,I don't dare to go alone.,ฉันไม่กล้าไปคนเดียว
感冒,我今天感冒了。,I caught a cold today.,วันนี้ฉันเป็นหวัด
感兴趣,我对汉语感兴趣。,I'm interested in Chinese.,ฉันสนใจภาษาจีน
干干净净,房间打扫得干干净净。,The room was cleaned spotlessly.,ห้องถูกทำความสะอาดจนสะอาดเอี่ยม
干净,房间很干净。,The room is very clean.,ห้องสะอาดมาก
刚,他刚才出门了。,He just went out a moment ago.,เขาเพิ่งออกจากบ้านไปเมื่อสักครู่
刚才,刚才谁在打电话？,Who was calling just now?,เมื่อกี้ใครโทรศัพท์อยู่
高高的,他长得高高的。,He is quite tall.,เขาตัวสูงโปร่ง
歌舞,他们在表演歌舞。,They are performing songs and dances.,พวกเขากำลังแสดงร้องเพลงและเต้นรำ
个子,他的个子很高。,He is tall.,เขาตัวสูงมาก
给我发,请给我发短信。,Please send me a text message.,กรุณาส่งข้อความหาฉันด้วย
根据,根据规定不能抽烟。,"According to the rules, smoking isn't allowed.",ตามกฎแล้วห้ามสูบบุหรี่
跟,我跟他一起去。,I'm going with him.,ฉันไปกับเขาด้วยกัน
更,今天比昨天更热。,Today is even hotter than yesterday.,วันนี้ร้อนกว่าเมื่อวานอีก
更好,这个办法更好。,This method is better.,วิธีนี้ดีกว่า
更是,这个季节更是漂亮。,This season is even more beautiful.,ฤดูนี้สวยงามยิ่งขึ้นไปอีก
公斤,这个包三公斤重。,This bag weighs three kilograms.,กระเป๋าใบนี้หนักสามกิโลกรัม
公园,我们在公园散步。,We're taking a walk in the park.,เราเดินเล่นในสวนสาธารณะ
共有,我们班共有三十人。,Our class has thirty people in total.,ห้องเรียนของเรามีทั้งหมดสามสิบคน
刮,外面刮风了。,It's windy outside.,ข้างนอกลมพัดแล้ว
刮风,外面刮风了。,It's windy outside.,ข้างนอกลมพัดแล้ว
关,请关上窗户。,Please close the window.,กรุณาปิดหน้าต่าง
关灯,睡觉前要关灯。,You should turn off the light before sleeping.,ก่อนนอนต้องปิดไฟ
关上,请把门关上。,Please close the door.,กรุณาปิดประตู
关心,老师很关心学生。,The teacher cares a lot about the students.,ครูเอาใจใส่นักเรียนมาก
关于,这是一本关于中国的书。,This is a book about China.,นี่คือหนังสือเกี่ยวกับประเทศจีน
广州市,他住在广州市。,He lives in Guangzhou.,เขาอาศัยอยู่ในเมืองกว่างโจว
国家,中国是一个大国家。,China is a big country.,จีนเป็นประเทศใหญ่
国家图书馆,我常去国家图书馆看书。,I often go to the national library to read.,ฉันมักไปอ่านหนังสือที่หอสมุดแห่งชาติ
国外,他在国外工作。,He works abroad.,เขาทำงานอยู่ต่างประเทศ
果,考试结果很好。,The exam result was good.,ผลสอบออกมาดีมาก
果汁,我喜欢喝果汁。,I like to drink fruit juice.,ฉันชอบดื่มน้ำผลไม้
过节,我们回家过节。,We go home for the festival.,เรากลับบ้านไปฉลองเทศกาล
过来,你过来看看。,Come over and take a look.,คุณมาดูหน่อยสิ
过去,过去他很瘦。,In the past he was thin.,เมื่อก่อนเขาผอมมาก
过生日,今天我过生日。,Today is my birthday.,วันนี้เป็นวันเกิดของฉัน
还给,我把书还给他了。,I returned the book to him.,ฉันคืนหนังสือให้เขาแล้ว
