hanzi,sentence,en,th_final
较大,这个房间较大。,This room is comparatively large.,ห้องนี้ค่อนข้างใหญ่
过于,你过于紧张了。,You're too nervous.,เธอตื่นเต้นเกินไป
进一步,我们需要进一步讨论。,We need to discuss this further.,เราต้องคุยกันต่อให้ละเอียดกว่านี้
连忙,他连忙道歉。,He promptly apologized.,เขารีบขอโทษทันที
重量级,他是重量级的选手。,He is a heavyweight contender.,เขาเป็นนักกีฬารุ่นเฮฟวีเวท
集体,我们要有集体意识。,We should have a sense of collective awareness.,เราต้องมีจิตสำนึกส่วนรวม
雾天,雾天开车要小心。,You need to drive carefully on a foggy day.,วันที่มีหมอกต้องขับรถระวังๆ
需求,市场需求越来越大。,Market demand keeps growing.,ความต้องการของตลาดเพิ่มขึ้นเรื่อยๆ
领带,他今天没戴领带。,He didn't wear a necktie today.,วันนี้เขาไม่ได้ผูกเนคไท
齐,队伍站得很齐。,"The line stood in neat, even rows.",แถวยืนกันเป็นระเบียบเรียบร้อย
一点点,我只吃了一点点。,I only ate a little bit.,ฉันกินไปแค่นิดเดียว
七月,七月的天气很热。,The weather in July is very hot.,อากาศเดือนกรกฎาคมร้อนมาก
伸出,他伸出手打招呼。,He extended his hand to say hello.,เขายื่นมือออกมาทักทาย
兵书,他常读古代兵书。,He often reads ancient books on the art of war.,เขาชอบอ่านตำราพิชัยสงครามโบราณ
凳子,请坐这个凳子。,Please sit on this stool.,เชิญนั่งม้านั่งตัวนี้
出海,渔民明天出海打鱼。,The fishermen will go out to sea to fish tomorrow.,พรุ่งนี้ชาวประมงจะออกทะเลไปจับปลา
刺破,钉子刺破了轮胎。,A nail punctured the tire.,ตะปูตำยางรถจนแตก
吝啬,他对钱很吝啬。,He is very stingy with money.,เขาขี้เหนียวเรื่องเงินมาก
哈尔滨人,他是地道的哈尔滨人。,He is a true native of Harbin.,เขาเป็นคนฮาร์บินแท้ๆ
地域,中国地域辽阔。,China's territory is vast.,จีนมีอาณาเขตกว้างใหญ่
地面,地面很湿滑。,The ground is wet and slippery.,พื้นเปียกลื่น
大将,他是军队的大将。,He is a general in the army.,เขาเป็นนายพลของกองทัพ
大师,他是武术大师。,He is a martial arts master.,เขาเป็นปรมาจารย์ศิลปะการต่อสู้
太太,王太太在厨房做饭。,Mrs. Wang is cooking in the kitchen.,คุณนายหวังกำลังทำกับข้าวอยู่ในครัว
安全帽,工人都戴着安全帽。,The workers are all wearing safety helmets.,คนงานทุกคนสวมหมวกนิรภัย
寿命,这种植物寿命很长。,This kind of plant has a long lifespan.,พืชชนิดนี้มีอายุยืนยาว
小女孩,那个小女孩在唱歌。,That little girl is singing.,เด็กผู้หญิงคนนั้นกำลังร้องเพลง
尽力而为,我一定会尽力而为。,I will definitely do my best.,ฉันจะทำเต็มที่แน่นอน
层次,这篇文章层次很清楚。,This essay's structure is very clear.,บทความนี้มีลำดับชั้นชัดเจน
屋,屋里很安静。,It is very quiet inside the room.,ในห้องเงียบมาก
展品,博物馆的展品很多。,The museum has many exhibits.,พิพิธภัณฑ์มีของจัดแสดงเยอะมาก
开花,樱花树开花了。,The cherry tree has bloomed.,ต้นซากุระออกดอกแล้ว
强度,这次运动强度很大。,The intensity of this workout is very high.,การออกกำลังกายรอบนี้เข้มข้นมาก
悲观者,他是个悲观者。,He is a pessimist.,เขาเป็นคนมองโลกในแง่ร้าย
房屋,这里的房屋很旧。,The houses here are very old.,บ้านเรือนแถวนี้เก่ามาก
手指,他的手指很长。,His fingers are long.,นิ้วมือของเขายาว
打碎,他不小心打碎了杯子。,He accidentally broke the cup.,เขาทำแก้วแตกโดยไม่ตั้งใจ
摄影家,他是有名的摄影家。,He is a famous photographer.,เขาเป็นช่างภาพชื่อดัง
教材,这本书是英语教材。,This book is an English textbook.,หนังสือเล่มนี้เป็นตำราเรียนภาษาอังกฤษ
数据恢复,他需要专业的数据恢复。,He needs professional data recovery.,เขาต้องการกู้ข้อมูลแบบมืออาชีพ
曲调,这首歌的曲调很优美。,This song's melody is beautiful.,ทำนองเพลงนี้ไพเราะมาก
武士,他扮演一位武士。,He played the role of a warrior.,เขาแสดงเป็นนักรบ
民族融合,这是民族融合的结果。,This is the result of ethnic integration.,นี่คือผลของการหลอมรวมชนชาติ
水温,请检查一下水温。,Please check the water temperature.,ช่วยเช็กอุณหภูมิน้ำหน่อย
求职者,很多求职者来面试。,Many job applicants came for interviews.,ผู้สมัครงานหลายคนมาสัมภาษณ์
液体,这种液体是无色的。,This liquid is colorless.,ของเหลวชนิดนี้ไม่มีสี
渴望,他渴望成功。,He longs for success.,เขาโหยหาความสำเร็จ
湖,湖水非常清澈。,The lake water is very clear.,น้ำในทะเลสาบใสมาก
潜能,每个人都有潜能。,Everyone has potential.,ทุกคนมีศักยภาพซ่อนอยู่
烧,火烧了整片森林。,The fire burned the whole forest.,ไฟเผาป่าทั้งผืน
猩猩,动物园里有猩猩。,There are orangutans in the zoo.,ในสวนสัตว์มีลิงอุรังอุตัง
理念,这是公司的经营理念。,This is the company's business philosophy.,นี่คือแนวคิดในการบริหารของบริษัท
电子秤,他用电子秤称重。,He used an electronic scale to weigh things.,เขาใช้เครื่องชั่งดิจิทัลชั่งน้ำหนัก
男主人,男主人热情地招待客人。,The male host warmly welcomed the guests.,เจ้าบ้านผู้ชายต้อนรับแขกอย่างอบอุ่น
画龙点睛,这句话真是画龙点睛。,This sentence is truly the finishing touch.,ประโยคนี้เป็นจุดที่เติมเต็มให้สมบูรณ์แบบจริงๆ
登上,他终于登上山顶。,He finally reached the summit.,ในที่สุดเขาก็ปีนขึ้นถึงยอดเขา
碎块,地上都是玻璃碎块。,There are glass fragments all over the ground.,บนพื้นเต็มไปด้วยเศษแก้ว
社会学,她大学学的是社会学。,She studied sociology in college.,ตอนเรียนมหาลัยเธอเรียนสังคมวิทยา
离婚率,这个城市离婚率很高。,This city's divorce rate is very high.,เมืองนี้มีอัตราการหย่าร้างสูงมาก
种植,农民种植了很多水稻。,The farmers planted a lot of rice.,ชาวนาปลูกข้าวไว้เยอะมาก
第三位,他排在第三位。,He is ranked in third place.,เขาอยู่อันดับที่สาม
第二组,我们分在第二组。,We were assigned to the second group.,เราถูกจัดอยู่กลุ่มที่สอง
综合征,医生诊断出一种综合征。,The doctor diagnosed a syndrome.,หมอวินิจฉัยว่าเป็นกลุ่มอาการชนิดหนึ่ง
耳光,他打了他一耳光。,He slapped him in the face.,เขาตบหน้าอีกฝ่ายไปหนึ่งที
肉类,他不喜欢吃肉类。,He doesn't like eating meat.,เขาไม่ชอบกินเนื้อสัตว์
背景,这张照片背景很美。,This photo's background is beautiful.,ฉากหลังของรูปนี้สวยมาก
背着,他背着书包上学。,He goes to school carrying his backpack.,เขาสะพายเป้ไปโรงเรียน
艰难,这段时间很艰难。,This period has been very difficult.,ช่วงนี้ลำบากมาก
菌,空气中有很多菌。,There are a lot of germs in the air.,ในอากาศมีเชื้อโรคเยอะ
装进去,快把行李装进去！,Hurry and put the luggage inside!,รีบเอากระเป๋าใส่เข้าไปเร็ว!
解梦,她请人帮她解梦。,She asked someone to interpret her dream.,เธอให้คนช่วยทำนายฝัน
讲课,老师正在教室讲课。,The teacher is giving a lecture in the classroom.,คุณครูกำลังสอนอยู่ในห้องเรียน
货币,人民币是中国的货币。,The renminbi is China's currency.,เงินหยวนเป็นสกุลเงินของจีน
辞退,公司辞退了他。,The company dismissed him.,บริษัทไล่เขาออก
遗忘,往事渐渐被遗忘。,The past was gradually forgotten.,เรื่องราวในอดีตค่อยๆ ถูกลืมเลือน
铁树,院子里种着一棵铁树。,There is a sago palm planted in the yard.,ในสวนปลูกต้นปรงไว้ต้นหนึ่ง
长凳,公园里有一条长凳。,There is a bench in the park.,ในสวนสาธารณะมีม้านั่งยาวตัวหนึ่ง
闲置,这台机器长期闲置。,This machine has been idle for a long time.,เครื่องจักรเครื่องนี้ถูกทิ้งไว้เฉยๆ มานาน
项目,这个项目很重要。,This project is very important.,โปรเจกต์นี้สำคัญมาก
饭菜,妈妈做的饭菜很香。,The food mom made smells delicious.,กับข้าวที่แม่ทำหอมมาก
馍,他吃了一个馍。,He ate a piece of steamed bread.,เขากินหมั่นโถวไปหนึ่งลูก
驾驶者,驾驶者必须系安全带。,Drivers must wear seatbelts.,ผู้ขับขี่ต้องคาดเข็มขัดนิรภัย
骂,妈妈骂了他一顿。,Mom scolded him.,แม่ดุเขาไปยกใหญ่
所,这所大学很有名。,This university is very famous.,มหาวิทยาลัยแห่งนี้มีชื่อเสียงมาก
海,他喜欢在海里游泳。,He likes swimming in the sea.,เขาชอบว่ายน้ำในทะเล
或,你要茶或咖啡？,Would you like tea or coffee?,เธอเอาชาหรือกาแฟ?
由,这件事由他负责。,This matter is handled by him.,เรื่องนี้เขาเป็นคนรับผิดชอบ
第,这是第一名。,This is the first place.,นี่คือที่หนึ่ง
具有,这种药具有疗效。,This medicine has a therapeutic effect.,ยาชนิดนี้มีสรรพคุณในการรักษา
点心,妈妈做了点心。,Mom made some pastries.,แม่ทำขนมไว้
产生,这件事产生了误会。,This matter gave rise to a misunderstanding.,เรื่องนี้ทำให้เกิดความเข้าใจผิด
瓷,这个瓷碗很漂亮。,This porcelain bowl is very pretty.,ชามเซรามิกใบนี้สวยมาก
冰,河面上结了冰。,The river surface froze into ice.,ผิวน้ำในแม่น้ำจับตัวเป็นน้ำแข็ง
因,他因病请假了。,He took leave because of illness.,เขาลางานเพราะป่วย
存在,这个问题依然存在。,This problem still exists.,ปัญหานี้ยังคงมีอยู่
窗,请把窗关上。,Please close the window.,ช่วยปิดหน้าต่างหน่อย
里程,这辆车里程很高。,This car has high mileage.,รถคันนี้เลขไมล์เยอะ
花盘,向日葵花盘很大。,The sunflower's flower head is very large.,จานดอกของดอกทานตะวันใหญ่มาก
