hanzi,sentence,en,th
然后,先吃饭然后睡觉。,"Eat first, then go to sleep.",กินข้าวก่อนแล้วค่อยไปนอน
热茶,冬天喝热茶很舒服。,Drinking hot tea in winter feels great.,ดื่มชาร้อนในหน้าหนาวสบายมาก
热情,服务员对客人很热情。,The waiter is very warm to guests.,พนักงานเสิร์ฟใจดีกับลูกค้ามาก
热水,请给我一杯热水。,Please give me a cup of hot water.,กรุณาให้น้ำร้อนฉันหนึ่งแก้ว
认,我认识他很多年了。,I've known him for many years.,ฉันรู้จักเขามาหลายปีแล้ว
认出来,我一眼就认出来了。,I recognized him at a glance.,ฉันจำเขาได้ทันทีที่เห็น
认为,我认为这个办法很好。,I think this method is good.,ฉันคิดว่าวิธีนี้ดี
认真,他学习很认真。,He studies very diligently.,เขาเรียนอย่างตั้งใจมาก
认真完成,他认真完成了作业。,He carefully finished his homework.,เขาทำการบ้านเสร็จอย่างตั้งใจ
认真做事,他认真做事。,He works conscientiously.,เขาทำงานอย่างตั้งใจ
容易,这个问题很容易。,This problem is easy.,คำถามนี้ง่ายมาก
如果,如果下雨我们就不去。,"If it rains, we won't go.",ถ้าฝนตกเราจะไม่ไป
三点,现在是三点。,It's three o'clock now.,ตอนนี้สามโมงแล้ว
三分钟,请等我三分钟。,Please wait three minutes for me.,กรุณารอฉันสามนาที
三个,我买了三个苹果。,I bought three apples.,ฉันซื้อแอปเปิลมาสามลูก
伞,下雨了，请带伞。,"It's raining, please bring an umbrella.",ฝนตกแล้ว กรุณาพกร่มไปด้วย
色,我喜欢红色。,I like the color red.,ฉันชอบสีแดง
山,那座山很高。,That mountain is very tall.,ภูเขาลูกนั้นสูงมาก
山路,这条山路很难走。,This mountain road is hard to walk.,ทางขึ้นเขาสายนี้เดินยากมาก
山上,山上有很多树。,There are many trees on the mountain.,บนภูเขามีต้นไม้เยอะมาก
商场,我们去商场买衣服。,We went to the mall to buy clothes.,เราไปห้างสรรพสินค้าเพื่อซื้อเสื้อผ้า
上边,书在桌子上边。,The book is on top of the table.,หนังสืออยู่บนโต๊ะ
上次,上次我们去了公园。,Last time we went to the park.,ครั้งก่อนเราไปสวนสาธารณะ
上个星期,上个星期我很忙。,Last week I was very busy.,สัปดาห์ที่แล้วฉันยุ่งมาก
上个月,上个月我去了上海。,Last month I went to Shanghai.,เดือนที่แล้วฉันไปเซี่ยงไฮ้
上楼,请跟我上楼吧。,Please come upstairs with me.,กรุณาขึ้นชั้นบนไปกับฉัน
上网,我每天上网学习。,I go online to study every day.,ฉันเข้าอินเทอร์เน็ตเรียนหนังสือทุกวัน
上下,他五十岁上下。,He is about fifty years old.,เขาอายุประมาณห้าสิบปี
上一年,上一年他去了美国。,Last year he went to America.,ปีที่แล้วเขาไปอเมริกา
上周末,上周末我在家休息。,Last weekend I rested at home.,สุดสัปดาห์ที่แล้วฉันพักผ่อนอยู่บ้าน
少见,这种情况很少见。,This kind of situation is rare.,สถานการณ์แบบนี้พบได้น้อยมาก
身,他身体很好。,He is in good health.,เขาสุขภาพดีมาก
什么样,你想要什么样的手机？,What kind of phone do you want?,คุณอยากได้โทรศัพท์แบบไหน
生气,你别再生气了。,Don't be angry anymore.,คุณอย่าโกรธอีกเลย
