hanzi,sentence,en
以往,他比以往更加努力了。,He is working harder than ever before.
以至于,他太紧张，以至于说不出话。,He was so nervous that he couldn't speak.
以致,他没复习，以致考试不及格。,He didn't review
仪器,实验室里有精密仪器。,The lab has precision instruments.
价,这个价我可以接受。,I can accept this price.
价钱,这件衣服的价钱不贵。,The price of this piece of clothing isn't expensive.
任,他被任为项目经理。,He was appointed as the project manager.
任意,你可以任意选择座位。,You may choose any seat you like.
仿佛,她仿佛没听见。,It seemed as if she hadn't heard.
休想,你休想骗过我的眼睛。,Don't even think about fooling me.
休眠,这座火山已经休眠很久。,This volcano has been dormant for a long time.
休闲,周末适合休闲放松。,Weekends are good for leisure and relaxation.
众人,众人纷纷点头同意。,Everyone nodded in agreement.
优质,这家工厂生产优质产品。,This factory produces high-quality products.
优越,他家的经济条件十分优越。,His family's financial situation is very advantageous.
优雅,她的动作十分优雅。,Her movements are very graceful.
会场,会场里坐满了代表。,The meeting hall was filled with delegates.
会见,校长今天会见客人。,The principal is meeting guests today.
会诊,几位专家为病人会诊。,Several experts held a consultation for the patient.
传奇,他的一生充满传奇色彩。,His life was full of legendary color.
传承,这门手艺代代传承。,This craft has been passed down through generations.
传授,老师向学生传授知识。,The teacher imparts knowledge to the students.
传染,这种病会传染给别人。,This disease can be transmitted to others.
传染病,医院正在预防传染病。,The hospital is preventing infectious disease.
传记,她读了一本名人传记。,She read a biography of a famous person.
传达,他向大家传达了消息。,He conveyed the news to everyone.
伤口,医生正在处理伤口。,The doctor is treating the wound.
伪装,他伪装成一名医生。,He disguised himself as a doctor.
伯父,我伯父住在上海。,My uncle lives in Shanghai.
伴,老人希望有个伴。,The old man wishes for a companion.
伴随,成功往往伴随着汗水。,Success is often accompanied by hard work.
位子,请帮我占一个位子。,Please save a seat for me.
低下,他出身低下但很努力。,His background is humble but he works hard.
低价,商店正在低价出售。,The store is selling at a low price.
低估,不要低估对手的实力。,Don't underestimate your opponent's strength.
低温,冰箱要保持低温状态。,The fridge needs to stay at a low temperature.
住处,他终于找到了住处。,He finally found a place to live.
住宅,这一带都是高档住宅。,This area is all upscale residences.
住房,政府增加了住房供应。,The government increased housing supply.
体操,她从小练习体操。,She has practiced gymnastics since childhood.
体温,护士给病人量体温。,The nurse takes the patient's temperature.
体能,运动员每天训练体能。,Athletes train their physical fitness every day.
体谅,请你多体谅他的难处。,Please be more understanding of his difficulties.
体贴,丈夫对她很体贴。,Her husband is very considerate towards her.
体重,他最近体重下降了。,His weight has dropped recently.
体面,他希望工作体面一点。,He hopes for a job with more dignity.
何况,大人都累，何况小孩。,"Even adults get tired, let alone kids."
何必,你何必这么生气呢。,Why must you be so angry?
余,余今日甚感欣慰。,I feel quite gratified today.
作战,士兵们勇敢地作战。,The soldiers fought bravely.
作文,老师让我们写一篇作文。,The teacher asked us to write an essay.
作风,他工作作风很严谨。,His work style is very rigorous.
佳节,中秋佳节全家团圆。,"During the Mid-Autumn festive day, the whole family reunites."
使劲,他使劲推开了大门。,He pushed the door open with all his strength.
使者,他被派去当和平使者。,He was sent as an envoy of peace.
例外,这次考试没有一个例外。,This exam had no exceptions at all.
供不应求,这种产品供不应求。,This product is in short supply.
供奉,村民在庙里供奉神像。,The villagers enshrine and worship a statue in the temple.
供求,价格由供求关系决定。,Price is determined by the relationship between supply and demand.
