hanzi,sentence,en,th_final
钻,工人用机器钻孔。,The worker drills a hole with a machine.,คนงานใช้เครื่องเจาะรู
钻研,他刻苦钻研技术。,He studies the technology diligently.,เขาตั้งใจศึกษาค้นคว้าเทคนิคอย่างหนัก
铁路,这条铁路连接两座城市。,This railway connects two cities.,ทางรถไฟสายนี้เชื่อมสองเมืองเข้าด้วยกัน
铃声,手机铃声突然响了。,The phone's ringtone suddenly rang.,เสียงเรียกเข้าโทรศัพท์ดังขึ้นมาทันที
铝,这个水壶是铝做的。,This kettle is made of aluminum.,กาน้ำใบนี้ทำจากอะลูมิเนียม
铭记,我会永远铭记这份恩情。,I will always remember this kindness.,ฉันจะจดจำบุญคุณนี้ไว้ตลอดไป
银行卡,他用银行卡付款。,He paid with his bank card.,เขาจ่ายเงินด้วยบัตรธนาคาร
铺,街角有一家小铺子。,There's a small shop on the corner.,ตรงหัวมุมถนนมีร้านเล็กๆ ร้านหนึ่ง
销,这款产品十分畅销。,This product sells very well.,สินค้ารุ่นนี้ขายดีมาก
错觉,这只是一种错觉。,This is just an illusion.,นี่เป็นแค่ภาพลวงตา
键,请按下这个键。,Please press this key.,กรุณากดปุ่มนี้
镇定,面对危险他很镇定。,He remained calm in the face of danger.,เขาใจเย็นมากเมื่อเจอกับอันตราย
镜头,摄影师调整了镜头。,The photographer adjusted the lens.,ช่างภาพปรับเลนส์
长处,每个人都有自己的长处。,Everyone has their own strengths.,ทุกคนต่างมีจุดเด่นของตัวเอง
长度,请测量绳子长度。,Please measure the length of the rope.,ช่วยวัดความยาวของเชือกหน่อย
长期以来,长期以来他一直坚持锻炼。,"For a long time, he has kept exercising.",เขาออกกำลังกายมาอย่างต่อเนื่องเป็นเวลานาน
长跑,他擅长长跑比赛。,He excels at long-distance races.,เขาถนัดการแข่งวิ่งระยะไกล
长远,我们要考虑长远利益。,We must consider long-term interests.,เราต้องคำนึงถึงผลประโยชน์ระยะยาว
门槛,他不小心绊到门槛。,He accidentally tripped over the threshold.,เขาสะดุดธรณีประตูโดยไม่ตั้งใจ
门诊,医院今天不设门诊。,The hospital has no outpatient service today.,วันนี้โรงพยาบาลไม่เปิดแผนกผู้ป่วยนอก
