hanzi,sentence,en,th_final
疲惫,长途旅行让她很疲惫。,The long trip left her exhausted.,การเดินทางไกลทำให้เธอเหนื่อยมาก
疲惫不堪,工作一天他疲惫不堪。,After a day of work he was utterly exhausted.,ทำงานทั้งวันเขาเหนื่อยจนแทบขาดใจ
病症,医生检查出了病症。,The doctor diagnosed the illness.,หมอตรวจเจออาการป่วยแล้ว
痒,我的手臂被蚊子咬痒了。,My arm itches from a mosquito bite.,แขนฉันคันเพราะโดนยุงกัด
痕迹,墙上留下了雨水痕迹。,The wall was left with rainwater marks.,บนผนังมีร่องรอยคราบน้ำฝนทิ้งไว้
痛,他的胃突然一阵剧痛。,His stomach suddenly had a sharp pain.,จู่ๆ ท้องเขาก็ปวดขึ้นมาอย่างรุนแรง
痛快,大家玩得非常痛快。,Everyone had a really great time.,ทุกคนเล่นกันอย่างสนุกสุดเหวี่ยง
痰,请不要随地吐痰。,Please don't spit phlegm on the ground.,กรุณาอย่าบ้วนเสมหะลงพื้น
癌,他被诊断出患癌。,He was diagnosed with cancer.,เขาถูกวินิจฉัยว่าเป็นมะเร็ง
登,我们计划登上山顶。,We plan to climb to the mountain top.,เราวางแผนจะปีนขึ้นไปถึงยอดเขา
登机,乘客正在登机。,Passengers are boarding the plane.,ผู้โดยสารกำลังขึ้นเครื่อง
登记,请在这里登记姓名。,Please register your name here.,กรุณาลงทะเบียนชื่อตรงนี้
皆,大家皆知这个消息。,Everyone knows this news.,ทุกคนต่างรู้ข่าวนี้กันหมด
皇后,皇后住在这座宫殿。,The empress lives in this palace.,พระราชินีประทับอยู่ในวังแห่งนี้
皇室,他出身皇室家庭。,He was born into a royal family.,เขาเกิดในครอบครัวราชวงศ์
皇宫,游客们排队参观皇宫。,Tourists lined up to visit the imperial palace.,นักท่องเที่ยวเข้าแถวรอชมพระราชวัง
皱,她的衣服皱了。,Her clothes are wrinkled.,เสื้อผ้าของเธอยับ
盆,她端来一盆水洗脸。,She brought a basin of water to wash her face.,เธอยกน้ำมาหนึ่งกะละมังเพื่อล้างหน้า
益处,运动对身体有益处。,Exercise has benefits for the body.,การออกกำลังกายมีประโยชน์ต่อร่างกาย
盏,桌上点着一盏灯。,A lamp is lit on the table.,บนโต๊ะมีตะเกียงจุดอยู่ดวงหนึ่ง
监督,工程需要严格监督。,The project needs strict supervision.,งานก่อสร้างต้องมีการควบคุมดูแลอย่างเข้มงวด
监视,摄像头正在监视大门。,The camera is monitoring the gate.,กล้องกำลังเฝ้าจับตาดูประตูอยู่
盒,桌上有一个盒子。,There is a box on the table.,บนโต๊ะมีกล่องอยู่ใบหนึ่ง
盛,春天花开得很盛。,The flowers bloom abundantly in spring.,ฤดูใบไม้ผลิดอกไม้บานสะพรั่ง
盛开,春天花朵到处盛开。,"In spring, flowers bloom everywhere.",ฤดูใบไม้ผลิดอกไม้บานไปทั่วทุกที่
盛行,这种风格曾经盛行。,This style was once popular.,สไตล์แบบนี้เคยได้รับความนิยมมาก่อน
目光,她的目光十分坚定。,Her gaze was very firm.,สายตาของเธอมุ่งมั่นมาก
盲目,不要盲目相信广告。,Don't blindly trust advertisements.,อย่าเชื่อโฆษณาอย่างงมงาย
直,这条路很直。,This road is very straight.,ถนนเส้นนี้ตรงมาก
直奔,他下车后直奔机场。,"After getting off, he headed straight to the airport.",พอลงจากรถเขาก็ตรงดิ่งไปสนามบิน
直径,这个圆的直径是十米。,The diameter of this circle is ten meters.,วงกลมนี้มีเส้นผ่านศูนย์กลางสิบเมตร
直至,他工作直至深夜。,He worked until late at night.,เขาทำงานจนถึงดึกดื่น
直观,这张图表非常直观。,This chart is very intuitive.,แผนภูมินี้เข้าใจง่ายมาก
相传,相传这座桥有百年历史。,Legend has it that this bridge is a hundred years old.,เล่าสืบต่อกันมาว่าสะพานนี้มีอายุร้อยปี
相伴,他们一生相伴。,They accompanied each other for a lifetime.,พวกเขาอยู่เคียงข้างกันตลอดชีวิต
相声,他从小就喜欢听相声。,He has loved listening to comic dialogue since childhood.,เขาชอบฟังการแสดงตลกโต้ตอบมาตั้งแต่เด็ก
相差,两人的年龄相差不大。,The two of them are close in age.,อายุของสองคนต่างกันไม่มาก
相应,请采取相应的措施。,Please take corresponding measures.,กรุณาใช้มาตรการที่สอดคล้องกัน
相当,这道题相当难。,This question is quite difficult.,ข้อนี้ยากพอสมควร
相当于,一公里相当于两里。,One kilometer is equivalent to two li.,หนึ่งกิโลเมตรเท่ากับสองลี้
相比之下,相比之下这个更便宜。,"By comparison, this one is cheaper.",เมื่อเทียบกันแล้วอันนี้ถูกกว่า
相等,两条边的长度相等。,The two sides are equal in length.,ด้านทั้งสองยาวเท่ากัน
相约,我们相约明天见面。,We agreed to meet tomorrow.,เรานัดกันว่าจะเจอกันพรุ่งนี้
相识,我们在大学相识。,We got to know each other in college.,เรารู้จักกันตอนเรียนมหาวิทยาลัย
相连,两座城市由铁路相连。,The two cities are connected by railway.,สองเมืองเชื่อมต่อกันด้วยทางรถไฟ
相通,这两条河相通。,These two rivers are connected.,แม่น้ำสองสายนี้เชื่อมถึงกัน
