hanzi,sentence,en,th_final
南风,今天刮南风。,There's a south wind blowing today.,วันนี้ลมใต้พัด
海底,海底有很多鱼。,There are many fish at the bottom of the sea.,ใต้ทะเลมีปลาเยอะ
一份,我要一份炒饭。,I'd like one order of fried rice.,ฉันขอข้าวผัดหนึ่งที่
不仅仅,他不仅仅是老师。,He isn't just a teacher.,เขาไม่ใช่แค่ครู
互相理解,夫妻要互相理解。,Husband and wife need to understand each other.,สามีภรรยาต้องเข้าใจกัน
借钱,我想跟你借钱。,I want to borrow money from you.,ฉันอยากขอยืมเงินเธอ
停车,这里不能停车。,You can't park here.,ที่นี่จอดรถไม่ได้
停车场,商场旁边有停车场。,There's a parking lot next to the mall.,ข้างห้างมีที่จอดรถ
全世界,他去过全世界。,He has traveled all over the world.,เขาไปมาทั่วโลกแล้ว
其他人,别管其他人怎么想。,Don't worry about what other people think.,อย่าไปสนว่าคนอื่นคิดยังไง
其次,"首先洗菜,其次切肉。","First wash the vegetables, then cut the meat.",ก่อนอื่นล้างผัก จากนั้นค่อยหั่นเนื้อ
冷静下来,请大家冷静下来。,Please everyone calm down.,ทุกคนใจเย็นๆ ก่อนนะ
动,"风一吹,树叶动了。",The wind blew and the leaves moved.,พอลมพัด ใบไม้ก็ไหว
半小时,我等了半小时。,I waited for half an hour.,ฉันรอมาครึ่งชั่วโมงแล้ว
发传真,请帮我发传真。,Please send a fax for me.,ช่วยส่งแฟกซ์ให้ฉันหน่อย
受不了,这个味道我受不了。,I can't stand this smell.,กลิ่นนี้ฉันทนไม่ไหว
各位,各位请注意安全。,Everyone please pay attention to safety.,ทุกท่านระวังความปลอดภัยด้วย
垃圾桶,垃圾桶在门口。,The trash can is by the door.,ถังขยะอยู่ตรงประตู
复印机,复印机坏了。,The photocopier is broken.,เครื่องถ่ายเอกสารเสีย
多喝水,感冒了要多喝水。,"When you have a cold, drink more water.",เป็นหวัดต้องดื่มน้ำเยอะๆ
天黑,"天黑了,快回家。","It's getting dark, hurry home.",ฟ้ามืดแล้ว รีบกลับบ้านเถอะ
姓名,请写下你的姓名。,Please write down your full name.,ช่วยเขียนชื่อ-นามสกุลของเธอด้วย
我会,我会说汉语。,I can speak Chinese.,ฉันพูดภาษาจีนได้
戴,她戴着一顶帽子。,She is wearing a hat.,เธอสวมหมวกอยู่
房东,我的房东人很好。,My landlord is very nice.,เจ้าของบ้านฉันใจดีมาก
所有人,所有人都到了。,Everyone has arrived.,ทุกคนมากันครบแล้ว
排队,大家都在排队。,Everyone is lining up.,ทุกคนกำลังต่อแถวอยู่
接受批评,他不能接受批评。,He can't accept criticism.,เขารับคำวิจารณ์ไม่ได้
散散步,吃完饭去散散步。,Let's go for a stroll after eating.,กินข้าวเสร็จไปเดินเล่นกัน
日记,我每天写日记。,I write in my diary every day.,ฉันเขียนไดอารี่ทุกวัน
照相,我们在这里照相。,Let's take a photo here.,เราถ่ายรูปกันตรงนี้
环境保护,环境保护很重要。,Environmental protection is very important.,การรักษาสิ่งแวดล้อมสำคัญมาก
环境污染,环境污染很严重。,Environmental pollution is very serious.,มลพิษทางสิ่งแวดล้อมรุนแรงมาก
现代人,现代人压力很大。,Modern people have a lot of stress.,คนสมัยนี้เครียดกันมาก
相比,跟以前相比，现在更好。,"Compared to before, things are better now.",เทียบกับเมื่อก่อน ตอนนี้ดีกว่าเยอะ
笔记,我上课认真做笔记。,I take notes carefully in class.,ฉันตั้งใจจดโน้ตตอนเรียน
第一印象,他给我的第一印象很好。,He gave me a very good first impression.,ความประทับใจแรกที่เขาให้ฉันดีมาก
算,你帮我算一下多少钱。,Please help me calculate how much money it is.,ช่วยคิดเงินให้หน่อยว่าเท่าไหร่
篇文章,他写了一篇文章。,He wrote an article.,เขาเขียนบทความมาหนึ่งชิ้น
组成,这些字组成一个词。,These characters form a word.,ตัวอักษรพวกนี้ประกอบกันเป็นคำ
组织,学校组织了一次旅行。,The school organized a trip.,โรงเรียนจัดทริปหนึ่งครั้ง
考虑一下,这个问题我要考虑一下。,I need to think this problem over.,เรื่องนี้ฉันขอคิดดูก่อน
自信,他说话很自信。,He speaks very confidently.,เขาพูดจาอย่างมั่นใจ
说明书,请你看一下说明书。,Please take a look at the instruction manual.,ช่วยดูคู่มือการใช้งานหน่อย
调查结果,调查结果让大家很意外。,The survey results surprised everyone.,ผลสำรวจทำให้ทุกคนประหลาดใจ
责任,这是我的责任。,This is my responsibility.,นี่คือความรับผิดชอบของฉัน
身上,他身上没有钱。,He has no money on him.,เขาไม่มีเงินติดตัว
身边,她一直在我身边。,She has always been by my side.,เธออยู่ข้างๆ ฉันมาตลอด
速度快,这辆车速度快。,This car is fast.,รถคันนี้วิ่งเร็ว
邮局,邮局在银行旁边。,The post office is next to the bank.,ไปรษณีย์อยู่ข้างธนาคาร
顺便,你出去时顺便买牛奶。,"When you go out, buy some milk on the way.",ตอนออกไปแวะซื้อนมมาด้วยนะ
鼓掌,大家都为他鼓掌。,Everyone applauded for him.,ทุกคนปรบมือให้เขา
一生,他一生都很努力。,He worked hard his whole life.,เขาขยันมาทั้งชีวิต
一门,汉语是一门有趣的课。,Chinese is an interesting course.,ภาษาจีนเป็นวิชาที่น่าสนใจ
交给,请把作业交给老师。,Please hand the homework to the teacher.,ช่วยส่งการบ้านให้ครูด้วย
假,这是一个假消息。,This is a fake piece of news.,นี่คือข่าวปลอม
