hanzi,sentence,en
疲惫,长途旅行让她很疲惫。,The long trip left her exhausted.
疲惫不堪,工作一天他疲惫不堪。,After a day of work he was utterly exhausted.
病症,医生检查出了病症。,The doctor diagnosed the illness.
痒,我的手臂被蚊子咬痒了。,My arm itches from a mosquito bite.
痕迹,墙上留下了雨水痕迹。,The wall was left with rainwater marks.
痛,他的胃突然一阵剧痛。,His stomach suddenly had a sharp pain.
痛快,大家玩得非常痛快。,Everyone had a really great time.
痰,请不要随地吐痰。,Please don't spit phlegm on the ground.
癌,他被诊断出患癌。,He was diagnosed with cancer.
登,我们计划登上山顶。,We plan to climb to the mountain top.
登机,乘客正在登机。,Passengers are boarding the plane.
登记,请在这里登记姓名。,Please register your name here.
皆,大家皆知这个消息。,Everyone knows this news.
皇后,皇后住在这座宫殿。,The empress lives in this palace.
皇室,他出身皇室家庭。,He was born into a royal family.
皇宫,游客们排队参观皇宫。,Tourists lined up to visit the imperial palace.
皱,她的衣服皱了。,Her clothes are wrinkled.
盆,她端来一盆水洗脸。,She brought a basin of water to wash her face.
益处,运动对身体有益处。,Exercise has benefits for the body.
盏,桌上点着一盏灯。,A lamp is lit on the table.
监督,工程需要严格监督。,The project needs strict supervision.
监视,摄像头正在监视大门。,The camera is monitoring the gate.
盒,桌上有一个盒子。,There is a box on the table.
盛,春天花开得很盛。,The flowers bloom abundantly in spring.
盛开,春天花朵到处盛开。,"In spring, flowers bloom everywhere."
盛行,这种风格曾经盛行。,This style was once popular.
目光,她的目光十分坚定。,Her gaze was very firm.
盲目,不要盲目相信广告。,Don't blindly trust advertisements.
直,这条路很直。,This road is very straight.
直奔,他下车后直奔机场。,"After getting off, he headed straight to the airport."
直径,这个圆的直径是十米。,The diameter of this circle is ten meters.
直至,他工作直至深夜。,He worked until late at night.
直观,这张图表非常直观。,This chart is very intuitive.
相传,相传这座桥有百年历史。,Legend has it that this bridge is a hundred years old.
相伴,他们一生相伴。,They accompanied each other for a lifetime.
相声,他从小就喜欢听相声。,He has loved listening to comic dialogue since childhood.
相差,两人的年龄相差不大。,The two of them are close in age.
相应,请采取相应的措施。,Please take corresponding measures.
相当,这道题相当难。,This question is quite difficult.
相当于,一公里相当于两里。,One kilometer is equivalent to two li.
相比之下,相比之下这个更便宜。,"By comparison, this one is cheaper."
相等,两条边的长度相等。,The two sides are equal in length.
相约,我们相约明天见面。,We agreed to meet tomorrow.
相识,我们在大学相识。,We got to know each other in college.
相连,两座城市由铁路相连。,The two cities are connected by railway.
相通,这两条河相通。,These two rivers are connected.
相遇,我们在旅途中相遇。,We met each other during the trip.
省事,网上购物比较省事。,Online shopping is more convenient.
眉开眼笑,听到好消息他眉开眼笑。,"Hearing the good news, he beamed with joy."
看不起,他从不看不起穷人。,He never looks down on poor people.
看中,她看中了一条裙子。,She took a liking to a dress.
看似,这道题看似简单其实很难。,This question seems simple but is actually hard.
看作,大家把他看作英雄。,Everyone regards him as a hero.
看好,妈妈让我看好弟弟。,Mom told me to keep an eye on my little brother.
看成,他把我看成朋友。,He regards me as a friend.
看样子,看样子要下雨了。,It looks like it's going to rain.
看重,老板很看重他的能力。,The boss values his ability highly.
真假,没人分得清真假。,No one could tell what was real or fake.
真挚,他的感情十分真挚。,His feelings are very sincere.
真相,大家想知道真相。,Everyone wants to know the truth.
真诚,他态度真诚地道歉。,He apologized with sincere attitude.
眼下,眼下最重要的是安全。,"Right now, safety is most important."
眼光,她挑选衣服很有眼光。,She has a good eye for picking clothes.
眼界,旅行开阔了我的眼界。,Traveling has broadened my horizons.
眼神,她的眼神充满期待。,Her eyes were full of expectation.
眼色,他给我使了个眼色。,He gave me a meaningful look.
着火,厨房突然着火了。,The kitchen suddenly caught fire.
着眼,我们要着眼未来。,We must focus on the future.
着眼于,计划着眼于长远发展。,The plan focuses on long-term development.
督促,老师督促学生复习。,The teacher urges students to review.
瞧,你瞧那边的风景多美。,"Look, the scenery over there is so beautiful."
瞪,他生气地瞪着我。,He glared at me angrily.
瞬间,那一瞬间他明白了真相。,"In that instant, he understood the truth."
知觉,他的手臂失去知觉。,His arm lost feeling.
短处,每个人都有短处。,Everyone has shortcomings.
短期,这是一个短期计划。,This is a short-term plan.
短缺,这个地区水资源短缺。,This region suffers from a water shortage.
矮小,那棵树长得很矮小。,That tree is short and small.
石油,这个国家出口大量石油。,This country exports a large amount of oil.
矿藏,这里矿藏十分丰富。,The mineral resources here are very rich.
码头,船停靠在码头。,The ship docked at the wharf.
砍,他用斧头砍树。,He chopped the tree with an axe.
研发,公司投入大量资金研发新药。,The company invested heavily in R&D for a new drug.
破产,那家公司已经破产。,That company has already gone bankrupt.
破灭,他的梦想最终破灭了。,His dream was ultimately shattered.
破碎,花瓶掉在地上破碎了。,The vase fell to the ground and shattered.
破裂,双方的谈判最终破裂了。,The negotiations between the two sides ultimately broke down.
砸,他不小心砸碎了花瓶。,He accidentally smashed the vase.
硕果,他的研究结出硕果。,His research bore great fruit.
硬件,这台电脑硬件不错。,This computer has good hardware.
碑,广场上立着一块碑。,There is a stone tablet standing in the square.
碰到,我在路上碰到老师。,I ran into my teacher on the way.
碰撞,两辆车发生了碰撞。,The two cars collided.
碳,钻石是纯碳组成的。,Diamonds are made of pure carbon.
磕,他不小心磕了头。,He accidentally bumped his head.
磨难,他经历过很多磨难。,He has gone through many hardships.
示意,老师示意我坐下。,The teacher gestured for me to sit down.
礼,过年时大家互相送礼。,During Chinese New Year everyone exchanges gifts.
礼品,这是给你的礼品。,This is a gift for you.
礼拜,他们每周做礼拜。,They attend religious service every week.
社,他加入了报社。,He joined the newspaper agency.
祖先,我们要记住祖先的历史。,We should remember our ancestors' history.
祖父,我祖父今年八十岁。,My grandfather is eighty years old this year.
祖籍,他的祖籍在广东。,His ancestral home is in Guangdong.
祝福,送上我最真诚的祝福。,Sending my most sincere blessings.
神仙,传说中神仙住在天上。,Legend says immortals live in the sky.
神圣,婚礼是神圣的时刻。,A wedding is a sacred moment.
神态,他的神态十分镇定。,His demeanor was very calm.
神秘,这个故事非常神秘。,This story is very mysterious.
神经,他的神经太紧张了。,His nerves are too tense.
福,祝你新年有福。,Wishing you good fortune in the new year.
福利,公司为员工提供各种福利。,The company provides various benefits for employees.
福气,能吃能睡是福气。,Being able to eat and sleep well is a blessing.
离奇,这个故事情节离奇。,The plot of this story is bizarre.
离婚,他们去年离婚了。,They got divorced last year.
私自,他私自离开了岗位。,He left his post without permission.
种种,他遇到了种种困难。,He encountered all kinds of difficulties.
科,他学的是理科。,He studies science.
秘诀,成功没有秘诀。,There is no secret to success.
租金,这里的租金很贵。,The rent here is very expensive.
秩序,大家要维护公共秩序。,Everyone should maintain public order.
积,他多年积累了经验。,He accumulated experience over many years.
积蓄,他花光了所有积蓄。,He spent all his savings.
称呼,你怎么称呼他？,What do you call him?
移,请把桌子往左移一点。,Please move the table a little to the left.
移植,医生成功完成了器官移植。,The doctor successfully completed an organ transplant.
移民,他们全家移民到了加拿大。,Their whole family immigrated to Canada.
稀少,这个地区人口非常稀少。,This region's population is very sparse.
程序,这个申请程序很复杂。,This application procedure is very complicated.
稍后,我们稍后再谈。,Let's talk again in a little while.
稳,他走路很稳。,He walks steadily.
稳妥,这个方案比较稳妥。,This plan is relatively safe and sound.
穷人,政府帮助穷人脱贫。,The government helps the poor escape poverty.
空地,小区中间有一块空地。,There's a vacant lot in the middle of the neighborhood.
空想,别只顾空想不去行动。,Don't just daydream without taking action.
空虚,她心里感到十分空虚。,She felt utterly empty inside.
空隙,门缝里有一道细小的空隙。,There is a tiny gap in the door crack.
穿着,她今天的穿着很得体。,Her outfit today is very appropriate.
穿越,火车穿越了隧道。,The train passed through the tunnel.
穿过,我们穿过一片森林。,We passed through a forest.
突如其来,突如其来的暴雨打湿了衣服。,The sudden downpour soaked our clothes.
窗子,请把窗子打开。,Please open the window.
窘迫,他的处境十分窘迫。,His situation was very awkward and difficult.
窝,小鸟在树上筑了一个窝。,A bird built a nest in the tree.
立场,他坚持自己的立场。,He stuck to his own position.
立方,这是一个立方体。,This is a cube.
竖,请把木牌竖起来。,Please stand the wooden sign up.
站立,病人已经能够独自站立了。,The patient is now able to stand up on his own.
竞技,这是一项竞技运动。,This is a competitive sport.
竞赛,学生们参加数学竞赛。,The students took part in a math competition.
竟敢,他竟敢当面撒谎。,He actually dared to lie to my face.
