hanzi,sentence,en
再也,他再也不迟到了。,He is never late again.
再现,这部电影再现了历史场景。,This movie recreates historical scenes.
再生,这种材料可以再生利用。,This material can be recycled and reused.
冒,锅里冒出阵阵热气。,Steam kept rising from the pot.
军事,这是一次军事演习。,This is a military exercise.
军人,他的父亲是一名军人。,His father is a serviceman.
军队,军队正在边境驻守。,The army is stationed at the border.
农产品,市场上卖新鲜的农产品。,The market sells fresh agricultural produce.
冰雪,山顶终年覆盖着冰雪。,The mountaintop is covered with ice and snow year-round.
冲击,疫情给经济带来了冲击。,The pandemic dealt a blow to the economy.
冲突,两人因意见不同发生冲突。,The two had a conflict due to differing opinions.
决心,他下定决心要成功。,He made up his mind to succeed.
决策,公司做出了重要决策。,The company made an important decision.
况且,外面下雨，况且天也黑了。,"It's raining outside, and besides, it's already dark."
冷气,房间里的冷气很足。,The air conditioning in the room is very strong.
冷水,他每天早上用冷水洗脸。,He washes his face with cold water every morning.
冷淡,她对这个提议很冷淡。,She was quite indifferent to this proposal.
冷漠,他对陌生人很冷漠。,He is very cold toward strangers.
冷酷,他表现得十分冷酷。,He appeared extremely cold-hearted.
冷酷无情,那个反派角色冷酷无情。,That villain is cold-blooded and merciless.
冻,河水已经冻成了冰。,The river water has already frozen into ice.
净,请把桌子擦干净。,Please wipe the table clean.
净化,这台机器可以净化空气。,This machine can purify the air.
准,他说得很准。,What he said is very accurate.
准则,诚实是做人的准则。,Honesty is a principle for being a good person.
凉爽,秋天的天气很凉爽。,The autumn weather is cool and refreshing.
减压,运动是很好的减压方式。,Exercise is a great way to relieve stress.
减弱,风势逐渐减弱了。,The wind gradually weakened.
凝固,水在零度以下会凝固。,Water solidifies below zero degrees.
凝聚,团队凝聚着大家的心血。,The team embodies everyone's hard work.
凭,他凭实力赢得比赛。,He won the match on sheer ability.
凭借,他凭借努力考上了大学。,He got into university through hard work.
凭着,她凭着毅力坚持下来。,She persisted by relying on willpower.
凶,那只狗看起来很凶。,That dog looks very fierce.
凶手,警察终于抓住了凶手。,The police finally caught the murderer.
凶猛,老虎的攻势非常凶猛。,The tiger's attack was extremely fierce.
出人意料,比赛结果出人意料。,The result of the match was unexpected.
出入,这栋楼只有一个出入口。,This building has only one entrance and exit.
出厂,这批产品今天出厂。,This batch of products ships from the factory today.
出口,出口在前面。,The exit is ahead.
出土,这些文物是刚出土的。,These relics were just excavated.
出息,父母都希望孩子有出息。,Parents all hope their children will have a bright future.
出手,他很快就把旧车出手了。,He quickly sold off his old car.
出游,假期我们全家出游。,"During the holiday, our whole family went on a trip."
出版,这本书明年出版。,This book will be published next year.
出版社,这本书由知名出版社出版。,This book is published by a famous publisher.
出示,请出示您的护照。,Please show your passport.
出自,这句话出自一首古诗。,This line comes from an ancient poem.
出血,他的手指出血了。,His finger is bleeding.
出行,春节期间出行的人很多。,Many people travel during Spring Festival.
出身,他出身于一个普通家庭。,He comes from an ordinary family.
分外,今天的月亮分外圆。,Today's moon is especially round.
分寸,说话要懂得分寸。,You should know the right measure when speaking.
分工,团队成员分工明确。,The team members have clearly divided tasks.
分开,他们在车站分开了。,They parted ways at the station.
分成,大家把利润分成三份。,They split the profit into three shares.
分担,我们应该分担家务。,We should share the housework.
分散,请大家不要分散注意力。,Please don't let your attention scatter.
分数,他这次考试分数很高。,He scored very high on this exam.
分明,他的态度分明变了。,His attitude has clearly changed.
分歧,他们在这个问题上有分歧。,They have differences of opinion on this issue.
分离,战争让一家人分离了。,War separated the family.
分类,请把垃圾分类放好。,Please sort the garbage by category.
分辨,我很难分辨真假。,I find it hard to tell true from false.
分配,老师分配了打扫任务。,The teacher assigned the cleaning tasks.
分量,这份礼物很有分量。,This gift carries a lot of weight.
