hanzi,sentence,en
原有,保持原有的样子。,Keep it as it originally was.
原材料,工厂缺乏原材料生产。,The factory lacks raw materials for production.
去向,没人知道他的去向。,No one knows his whereabouts.
去处,这附近有很多好去处。,There are many great places nearby.
去除,这种方法能去除污渍。,This method can remove stains.
参赛,他决定参赛。,He decided to compete.
叉,桌上放着一把叉。,There is a fork on the table.
叉子,请给我一把叉子。,Please give me a fork.
及其,他研究语言及其起源。,He studies language and its origins.
及早,发现问题应及早解决。,Problems should be solved as early as possible.
友人,他收到一位友人的来信。,He received a letter from a friend.
双向,这条路是双向车道。,This road has two-way lanes.
双手,她用双手捧着花。,She held the flower with both hands.
双胞胎,这对双胞胎长得一模一样。,These twins look exactly alike.
双重,他承受着双重压力。,He is bearing a double burden of pressure.
反倒,批评反倒让他更努力。,The criticism instead made him work harder.
反差,两地生活水平反差很大。,There is a big contrast in living standards between the two places.
反常,今年冬天的气温十分反常。,This winter's temperature is very abnormal.
反思,我们应该反思这次失败。,We should reflect on this failure.
反感,大家对他的态度很反感。,Everyone is disgusted with his attitude.
反过来,反过来想问题就简单了。,Thinking about it the other way makes the problem simple.
反面,请在纸的反面写下姓名。,Please write your name on the back of the paper.
反馈,请给我们一些反馈。,Please give us some feedback.
发动,司机发动了汽车引擎。,The driver started the car's engine.
发射,火箭马上就要发射了。,The rocket is about to launch.
发怒,老板因迟到而发怒。,The boss got angry because of the lateness.
发愁,他正为学费发愁。,He is worried about tuition.
发扬,我们要发扬这种精神。,We should carry forward this spirit.
发扬光大,这门手艺被发扬光大。,This craft has been further developed and promoted.
发抖,他冷得浑身发抖。,He was shivering all over from the cold.
发掘,考古队发掘出古代文物。,The archaeological team excavated ancient artifacts.
发放,公司按时发放工资。,The company pays wages on time.
发源地,这里是中华文明的发源地。,This is the birthplace of Chinese civilization.
发电,这座水坝用于发电。,This dam is used to generate electricity.
发病,这种病秋季容易发病。,This disease tends to occur in autumn.
发育,孩子正处在发育阶段。,The child is currently in a growth stage.
发行,新专辑将于下月发行。,The new album will be released next month.
发觉,他发觉钱包不见了。,He noticed his wallet was missing.
发言,会议上他第一个发言。,He was the first to speak at the meeting.
发誓,他发誓永远不再说谎。,He vowed never to lie again.
发财,他梦想有一天能发财。,He dreams of getting rich someday.
发起,学生们发起一场募捐活动。,The students initiated a fundraising campaign.
发酵,面团需要发酵两小时。,The dough needs to ferment for two hours.
取代,机器逐渐取代了人工。,Machines have gradually replaced manual labor.
取决于,成功取决于个人的努力。,Success hinges on one's own effort.
取经,他去外地企业取经学习。,He went to companies elsewhere to learn from their experience.
取而代之,旧制度被新的取而代之。,The old system was replaced by a new one.
取胜,我们队最终取胜。,Our team finally won.
