hanzi,sentence,en
开设,学校新开设了一门课程。,The school newly offered a course.
开辟,政府计划开辟新航线。,The government plans to open a new route.
开通,这条地铁线刚开通。,This subway line just opened.
异常,这次考试成绩异常出色。,This exam result was exceptionally outstanding.
异性,青春期孩子开始关注异性。,Teenagers begin to notice the opposite sex.
弊端,这项制度存在不少弊端。,This system has quite a few flaws.
式,这是一种新式设计。,This is a new type of design.
引,他引起了大家的注意。,He attracted everyone's attention.
引人注目,她的裙子十分引人注目。,Her dress is very eye-catching.
引入,学校引入了新的教材。,The school introduced new textbooks.
引发,这句话引发了争议。,This remark triggered controversy.
引用,他在文章里引用了名言。,He quoted a famous saying in his article.
引领,他引领着队伍向前走。,He leads the team forward.
弟子,他收了三个弟子。,He took on three disciples.
弥漫,浓雾弥漫在山谷之中。,Thick fog fills the valley.
弥补,他努力弥补自己的过错。,He worked hard to make up for his mistake.
弯,这条路突然转了个弯。,This road suddenly took a turn.
弯曲,这条山路十分弯曲。,This mountain road is very winding.
弱点,每个人都有自己的弱点。,Everyone has their own weaknesses.
弹,士兵带着子弹。,The soldier carries bullets.
强制,学校强制要求穿校服。,The school mandates wearing uniforms.
强劲,这台发动机动力强劲。,This engine has powerful strength.
强化,我们需要强化训练。,We need to intensify our training.
归,他终于回归故乡。,He finally returned to his hometown.
归根到底,归根到底还是钱的问题。,"In the final analysis, it is still a matter of money."
归纳,老师帮我们归纳重点。,The teacher helped us summarize the key points.
归还,请把借的书按时归还。,Please return the borrowed book on time.
当下,他当下就答应了请求。,He agreed to the request right then.
当中,他站在人群当中。,He stood among the crowd.
当代,他是当代著名的作家。,He is a famous contemporary writer.
当场,小偷被当场抓住了。,The thief was caught on the spot.
当天,我们当天就出发了。,We set off that very day.
当年,他常常回忆当年的往事。,He often recalls the events of those years.
当成,大家把他当成了自己人。,Everyone regarded him as one of their own.
录,请把会议内容录下来。,Please record the content of the meeting.
录制,这首歌是昨天录制的。,This song was recorded yesterday.
录音,老师让我们听一段录音。,The teacher had us listen to a recording.
录音机,他买了一台旧录音机。,He bought an old tape recorder.
形态,这种植物形态奇特。,This plant has a peculiar shape.
彩票,他中了一张彩票大奖。,He won a big lottery ticket prize.
彩色,他画了一幅彩色的画。,He painted a colorful picture.
影星,这位影星非常受欢迎。,This film star is very popular.
影片,这部影片很受欢迎。,This film is very popular.
彼此,大家应该彼此帮助。,Everyone should help each other.
往事,他常常想起童年往事。,He often recalls childhood memories.
往后,往后你要多加小心。,From now on you must be more careful.
往来,两国之间往来密切。,The two countries have close dealings with each other.
征,他决定踏上征途。,He decided to set out on his journey.
征服,登山者征服了这座高峰。,The climbers conquered this high peak.
征求,公司正在征求员工意见。,The company is seeking employees' opinions.
征集,公司正在征集新方案。,The company is collecting new proposals.
待,他打算在这里多待几天。,He plans to stay here a few more days.
很难说,结果还很难说。,The outcome is still hard to say.
徐徐,晚风徐徐吹进窗户。,The evening breeze blows slowly through the window.
得以,问题终于得以解决。,The problem was finally able to be resolved.
得分,他在比赛中连续得分。,He scored points repeatedly in the game.
得知,他得知了这个好消息。,He learned this good news.
循序渐进,学习应该循序渐进。,Learning should proceed step by step.
循环,血液在体内循环。,Blood circulates within the body.
微不足道,这点困难微不足道。,This bit of difficulty is negligible.
微妙,两人关系变得微妙起来。,The relationship between the two became subtle.
心事,她好像有什么心事。,She seems to have something on her mind.
心声,这首歌唱出了我的心声。,This song expresses my innermost feelings.
心思,他猜不透她的心思。,He couldn't figure out what she was thinking.
心愿,他终于实现了心愿。,He finally fulfilled his cherished wish.
心爱,这是他最心爱的礼物。,This is his most beloved gift.
心疼,妈妈看着我很心疼。,Mom looked at me with heartfelt concern.
心目,他在我心目中很伟大。,In my mind he is truly great.
心胸,他的心胸十分宽广。,He has a very broad-minded heart.
心脏病,爷爷患有严重的心脏病。,Grandpa suffers from serious heart disease.
心酸,听完故事，大家都感到心酸。,"After hearing the story, everyone felt sad."
心里,她心里一直想着家人。,She has been thinking of her family in her heart.
心里话,他终于说出了心里话。,He finally spoke his true feelings.
必不可少,水是生活必不可少的。,Water is indispensable to life.
必将,这个计划必将成功。,This plan will inevitably succeed.
必然,失败是成功的必然过程。,Failure is an inevitable part of success.
必要,没有必要为此担心。,There is no need to worry about this.
忍受,她默默忍受着痛苦。,She silently endures the pain.
忘掉,他很快就忘掉了。,He quickly forgot about it.
忙碌,他每天都很忙碌。,He is busy every day.
忠实,他是一位忠实的读者。,He is a loyal reader.
忧虑,她对未来感到忧虑。,She feels anxious about the future.
忧郁,他最近情绪十分忧郁。,He has been feeling very depressed lately.
快递,我的快递今天到了。,My package arrived today.
快速,他快速跑了过去。,He ran over quickly.
快餐,中午我们简单吃点快餐。,At noon we simply had some fast food.
念念不忘,他对故乡念念不忘。,He can never forget his hometown.
忽然,天忽然下起雨来。,Suddenly it started to rain.
怀念,我很怀念童年的生活。,I fondly miss my childhood life.
怀抱,母亲把孩子搂进怀抱。,The mother pulled the child into her embrace.
怀着,她怀着喜悦回到家乡。,She returned to her hometown filled with joy.
思念,她十分思念远方的家人。,She deeply misses her family far away.
思索,他坐在窗前静静思索。,He sat by the window pondering quietly.
怠慢,请不要怠慢了客人。,Please don't neglect the guests.
急于,他急于知道考试结果。,He was eager to know the exam results.
急忙,他急忙跑出教室。,He hurried out of the classroom.
急性,医生说这是急性肠胃炎。,The doctor said it is acute gastroenteritis.
急需,灾区急需大量物资。,The disaster area urgently needs a large amount of supplies.
性价比,这款手机性价比很高。,This phone has a very good cost-performance ratio.
性命,医生救了他的性命。,The doctor saved his life.
性能,这辆车的性能十分出色。,This car's performance is outstanding.
性质,这两件事性质不同。,These two matters are different in nature.
怨言,他从来没有过怨言。,He has never had any complaints.
怪,这件事真奇怪。,This matter is really strange.
怪异,他的行为十分怪异。,His behavior is very strange.
总裁,他是这家公司的总裁。,He is the CEO of this company.
恋爱,他们已经恋爱三年了。,They have been in love for three years.
恍然大悟,听他解释后，我恍然大悟。,"After his explanation, I suddenly understood."
恐怖,这部电影十分恐怖。,This movie is very frightening.
恐慌,消息引发了市场恐慌。,The news triggered panic in the market.
恐龙,博物馆展出了恐龙化石。,The museum is exhibiting dinosaur fossils.
恭维,他不喜欢别人恭维自己。,He doesn't like others flattering him.
息息相关,健康与饮食息息相关。,Health is closely related to diet.
恰巧,我出门时恰巧遇见了她。,I happened to run into her when I went out.
恰恰,这恰恰是我想要的答案。,This is exactly the answer I wanted.
恳求,他恳求老师再给一次机会。,He begged the teacher for one more chance.
恶劣,今天天气非常恶劣。,The weather is very bad today.
恶化,病情忽然开始恶化。,The condition suddenly began to worsen.
悠久,中国有着悠久的历史。,China has a long history.
悠闲,老人们过着悠闲的生活。,The elderly live a leisurely life.
悬,墙上悬着一幅古画。,An ancient painting hangs on the wall.
悲剧,这是一场人生的悲剧。,This is a tragedy of life.
悲哀,这个结局让人悲哀。,This ending makes people feel sorrowful.
悲痛,全家都感到十分悲痛。,The whole family felt deeply grieved.
情不自禁,看到美景他情不自禁地笑了。,"Seeing the beautiful scene, he couldn't help but smile."
情侣,公园里坐着不少情侣。,Quite a few couples are sitting in the park.
情愿,他情愿加班也不愿迟到。,He would rather work overtime than be late.
惊,这个消息让大家很惊讶。,This news startled everyone.
惊人,这个消息真是惊人。,This news is truly astonishing.
惊叹,大家都为美景惊叹。,Everyone marveled at the beautiful scenery.
惊喜,生日礼物给了她一个惊喜。,The birthday gift gave her a pleasant surprise.
惊奇,孩子们惊奇地看着魔术。,The children watched the magic trick in amazement.
惊慌,火灾发生时大家很惊慌。,Everyone panicked when the fire broke out.
惊慌失措,他吓得惊慌失措。,He was scared out of his wits.
惊醒,一声巨响把我惊醒了。,A loud noise startled me awake.
惩罚,犯错就应该受到惩罚。,"If you make a mistake, you should be punished."
惯,他已经习惯了早起。,He has already gotten used to getting up early.
惯性,汽车靠惯性继续前进。,The car continues moving forward due to inertia.
想不到,真想不到你会来。,I really didn't expect you to come.
想念,我非常想念家乡的味道。,I miss the taste of my hometown very much.
想方设法,他想方设法解决难题。,He tried every possible way to solve the problem.
愁眉苦脸,他整天愁眉苦脸的。,He looks gloomy all day long.
愈合,他的伤口正在愈合。,His wound is healing.
意向,公司表达了合作意向。,The company expressed its intention to cooperate.
意想不到,结果让人意想不到。,The result was completely unexpected.
意愿,请尊重孩子自己的意愿。,Please respect the child's own wishes.
愚蠢,这个决定实在愚蠢。,This decision is really foolish.
感叹,大家都感叹时间过得快。,Everyone sighed at how fast time passes.
感性,她做事比较感性。,She tends to act on emotion.
感恩,我们应该学会感恩。,We should learn to be grateful.
感想,说说你的读后感想。,Tell me your thoughts after reading.
感慨,老人感慨地说起往事。,The old man spoke with deep feeling about the past.
感染,伤口不小心感染了。,The wound got infected by accident.
感触,这部电影让我很有感触。,This movie left me with deep feelings.
愣,他听完愣住了。,He froze after hearing it.
慌乱,她慌乱地找着钥匙。,She searched frantically for her keys.
慢性,他患有慢性咳嗽的毛病。,He suffers from a chronic cough.
慷慨,他对朋友非常慷慨。,He is very generous to his friends.
戏曲,奶奶特别喜欢看戏曲。,Grandma especially loves watching Chinese opera.
成人,这部电影只限成人观看。,This movie is for adult viewing only.
成型,这批产品还没有成型。,This batch of products has not yet taken shape.
成年,他已经成年可以工作了。,He is already an adult and can work.
成效,这项改革已初见成效。,This reform has already begun to show results.
成本,这个项目成本很高。,This project's cost is very high.
成果,这是大家努力的成果。,This is the result of everyone's hard work.
或许,或许明天会下雨。,Perhaps it will rain tomorrow.
战争,没有人喜欢战争。,No one likes war.
战场,士兵们奔赴战场。,The soldiers rushed to the battlefield.
战斗,士兵们英勇地战斗着。,The soldiers fought bravely.
截止,报名将于明天截止。,Registration will close tomorrow.
戳,他不小心戳破了气球。,He accidentally poked the balloon and burst it.
户,这个村子只有几十户人家。,This village has only a few dozen households.
房价,这个城市的房价很高。,House prices in this city are very high.
房地产,叔叔从事房地产工作。,My uncle works in real estate.
所在,请告诉我车站的所在。,Please tell me where the station is located.
扁,这个盒子被压扁了。,This box got crushed flat.
扇,她拿起扇子扇了扇风。,She picked up a fan and fanned herself.
扇子,奶奶手里拿着一把扇子。,Grandma is holding a fan in her hand.
手势,他用手势告诉我方向。,He used a gesture to tell me the direction.
手套,冬天我戴上手套出门。,I put on gloves before going out in winter.
手工,这些饼干是手工做的。,These cookies are handmade.
手帕,她用手帕擦干眼泪。,She wiped away her tears with a handkerchief.
手术,他明天要做手术。,He will have surgery tomorrow.
手续,办护照手续很麻烦。,Processing a passport is troublesome.
手臂,医生检查了他的手臂。,The doctor examined his arm.
才华,她的才华令人佩服。,Her talent is admirable.
扎,小心别被针扎到手。,Be careful not to prick your hand with the needle.
扎根,这种植物容易扎根生长。,This kind of plant takes root and grows easily.
扑,小猫扑向了那只蝴蝶。,The kitten pounced at the butterfly.
打交道,他经常跟外国人打交道。,He often deals with foreigners.
打仗,士兵们勇敢地打仗。,The soldiers fought bravely.
打倒,人民打倒了暴君。,The people overthrew the tyrant.
打击,失败给了他很大打击。,The failure was a huge blow to him.
打动,这个故事打动了我。,This story moved me.
打印机,打印机没墨了。,The printer is out of ink.
打听,他向路人打听方向。,He asked a passerby for directions.
打工,她假期在餐厅打工。,She works part-time at a restaurant during vacation.
打招呼,他向我打招呼。,He greeted me.
打断,请不要打断我说话。,Please don't interrupt me while I'm talking.
打架,他们在操场上打架了。,They got into a fight on the playground.
