hanzi,sentence,en
生活,我喜欢现在的生活。,I like my current life.
广告,电视上有很多广告。,There are many commercials on TV.
不管,不管天气怎么样，我们都要去。,"No matter what the weather is like, we'll still go."
与,我与朋友一起去公园。,I went to the park together with my friend.
坚持,他每天坚持锻炼身体。,He persists in exercising every day.
加油站,前面有一个加油站。,There's a gas station up ahead.
上下班,我每天开车上下班。,I drive to and from work every day.
缺点,每个人都有缺点。,Everyone has faults.
桥,这座桥很长很高。,This bridge is long and tall.
有趣,这本书很有趣。,This book is very interesting.
推迟,会议推迟到明天了。,The meeting was postponed to tomorrow.
发展,这个城市发展很快。,This city is developing quickly.
经验,他做菜很有经验。,He has a lot of experience cooking.
交流,我们经常交流学习方法。,We often exchange study methods.
成功,他终于成功了。,He finally succeeded.
原因,请告诉我原因。,Please tell me the reason.
尊重,我们应该尊重老师。,We should respect our teachers.
幽默,他说话很幽默。,He speaks in a humorous way.
骄傲,妈妈为我感到骄傲。,Mom feels proud of me.
减少,工厂减少了污染。,The factory reduced pollution.
改变,生活改变了很多。,Life has changed a lot.
却,他很累，却不休息。,"He's very tired, yet he won't rest."
表扬,老师表扬了他。,The teacher praised him.
改,请改一下时间。,Please change the time.
陪,我陪妈妈去医院。,I accompanied my mom to the hospital.
失败,这次比赛他失败了。,He lost this competition.
往往,他往往很晚回家。,He usually comes home late.
当,当他到家时，天黑了。,"When he got home, it was already dark."
批评,老师批评了他。,The teacher criticized him.
可是,我想去，可是没时间。,"I want to go, but I have no time."
活泼,这个孩子很活泼。,This child is very lively.
浪费,不要浪费时间。,Don't waste time.
放弃,他没有放弃希望。,He didn't give up hope.
减肥,她每天运动减肥。,She exercises every day to lose weight.
方法,这个方法很有用。,This method is very useful.
幸福,他们一家很幸福。,Their family is very happy.
害羞,小女孩很害羞。,The little girl is very shy.
温度,今天的温度很高。,Today's temperature is very high.
许多,公园里有许多花。,There are many flowers in the park.
平时,平时他很少运动。,He rarely exercises normally.
马虎,做作业不能马虎。,You can't be careless doing homework.
烦恼,这件事让他很烦恼。,This matter troubles him a lot.
活动,吃完饭去外面活动一下。,"After eating, go outside and move around a bit."
其中,我有三本书，其中一本很好。,"I have three books, one of which is very good."
好像,他好像不高兴。,He seems unhappy.
压力,工作压力很大。,Work pressure is very high.
拿到,我拿到了新护照。,I got my new passport.
满,杯子里的水满了。,The water in the cup is full.
原谅,请原谅我的错误。,Please forgive my mistake.
并,我同意并支持这个计划。,I agree with and support this plan.
紧张,考试前我很紧张。,I was very nervous before the exam.
谈,我们谈了很久。,We talked for a long time.
性格,他的性格很开朗。,His personality is very cheerful.
社会,这是一个社会问题。,This is a social problem.
父母,我父母都很健康。,My parents are both healthy.
复印,请帮我复印文件。,Please help me photocopy the document.
耐心,老师对学生很耐心。,The teacher is very patient with the students.
重视,公司很重视质量。,The company attaches great importance to quality.
鼓励,老师鼓励我们努力。,The teacher encourages us to work hard.
密码,请输入你的密码。,Please enter your password.
拒绝,他拒绝了我的请求。,He refused my request.
语言,汉语是一种语言。,Chinese is a language.
十分,我十分喜欢这里。,I like it here very much.
适应,他很快适应了新工作。,He quickly adapted to the new job.
能力,他有很强的能力。,He has strong ability.
材料,这些材料很有用。,These materials are very useful.
看法,你对这件事有什么看法？,What's your view on this matter?
通过,他通过了考试。,He passed the exam.
顾客,这家店的顾客很多。,This shop has a lot of customers.
理想,他的理想是当医生。,His dream is to become a doctor.
年龄,请问你的年龄是多少？,May I ask how old you are?
乒乓球,我喜欢打乒乓球。,I like playing table tennis.
打乒乓球,他每天打乒乓球。,He plays table tennis every day.
浪漫,这个晚上很浪漫。,This evening is very romantic.
京剧,爷爷喜欢看京剧。,Grandpa likes watching Beijing opera.
经济,这个国家经济发展快。,This country's economy is developing fast.
质量,这个产品质量很好。,The quality of this product is very good.
地球,地球是我们的家。,Earth is our home.
加油,他去加油站给车加油。,He went to the gas station to fill up the car.
发给,老师把作业发给学生。,The teacher handed out the homework to the students.
打开,请打开窗户。,Please open the window.
友谊,我们的友谊很深。,Our friendship is deep.
标准,这是最新的标准。,This is the latest standard.
警察,警察正在抓小偷。,The police are catching a thief.
后悔,他后悔没听妈妈的话。,He regrets not listening to his mom.
支持,我们都支持你的决定。,We all support your decision.
收拾,请收拾一下房间。,Please tidy up the room.
丢,我把钥匙丢了。,I lost my keys.
情况,现在的情况很复杂。,The current situation is very complicated.
使用,请正确使用这个工具。,Please use this tool correctly.
引起,这个消息引起了大家注意。,This news drew everyone's attention.
成熟,这个西瓜已经成熟了。,This watermelon is already ripe.
按时,请按时完成作业。,Please finish the homework on time.
感情,他们之间的感情很深。,Their feelings for each other run deep.
教育,父母应该教育孩子。,Parents should educate their children.
正确,你的答案完全正确。,Your answer is completely correct.
今天下午,今天下午我要去医院。,This afternoon I need to go to the hospital.
去一趟,我得去一趟银行。,I need to make a trip to the bank.
油,这道菜用了很多油。,This dish uses a lot of oil.
电视广告,这个电视广告很有意思。,This TV commercial is quite interesting.
吃惊,这个消息让我很吃惊。,This news really shocked me.
失望,考试结果让他很失望。,The exam result disappointed him.
总结,老师总结了这节课。,The teacher summed up this lesson.
完全,我完全同意你的看法。,I completely agree with your view.
经历,他经历了很多困难。,He has gone through many difficulties.
计划,我们的旅行计划变了。,Our travel plan has changed.
误会,你误会我的意思了。,You misunderstood what I meant.
份,请给我一份报纸。,Please give me a copy of the newspaper.
意见,大家对这个计划有意见。,Everyone has opinions about this plan.
流行,这首歌现在很流行。,This song is very popular now.
缺少,这个房间缺少阳光。,This room lacks sunlight.
观众,观众都很喜欢这场表演。,The audience loved this performance.
赢,我们队今天赢了比赛。,Our team won the game today.
吸引,这个故事吸引了很多人。,This story attracted many people.
过程,学习是一个漫长的过程。,Learning is a long process.
适合,这件衣服很适合你。,This piece of clothing suits you well.
植物,她每天都给植物浇水。,She waters the plants every day.
最高,这是全班最高的学生。,This is the tallest student in the class.
礼貌,对人要有礼貌。,One should be polite to others.
轻松,周末我想轻松一下。,I want to relax a bit this weekend.
导游,我们的导游很热情。,Our tour guide is very warm and friendly.
粗心,他做题总是很粗心。,He is always careless when doing problems.
道歉,他向老师道歉了。,He apologized to the teacher.
养成,她养成了早起的习惯。,She has cultivated the habit of getting up early.
教授,这位教授很有名。,This professor is very famous.
不仅,他不仅聪明还很努力。,He is not only smart but also hardworking.
主动,他主动帮我拿行李。,He took the initiative to help me carry the luggage.
安全,过马路要注意安全。,Be mindful of safety when crossing the street.
打折,这家商店正在打折。,This store is having a discount sale.
演员,她是一位有名的演员。,She is a famous actress.
熟悉,我对这个城市很熟悉。,I am very familiar with this city.
得到,他得到了老师的表扬。,He got praised by the teacher.
讨厌,我很讨厌下雨天。,I really dislike rainy days.
小说,我最近在看一本小说。,I've been reading a novel recently.
知识,读书能增加知识。,Reading can increase knowledge.
出发,我们明天早上出发。,We are setting off tomorrow morning.
热闹,春节的时候街上很热闹。,During Spring Festival the streets are very lively.
友好,这里的人都很友好。,The people here are all very friendly.
信心,我对这次考试有信心。,I have confidence in this exam.
提供,学校提供免费午餐。,The school provides free lunch.
永远,我们永远是好朋友。,We will be friends forever.
沙发,猫在沙发上睡觉。,The cat is sleeping on the sofa.
规定,学校规定不能迟到。,The school stipulates that being late is not allowed.
讨论,我们正在讨论这个问题。,We are discussing this problem.
值,这本书值一百块。,This book is worth a hundred yuan.
勇敢,这个孩子非常勇敢。,This child is very brave.
感觉,我感觉今天很累。,I feel very tired today.
杂志,她喜欢看时尚杂志。,She likes reading fashion magazines.
答案,这道题的答案是错的。,The answer to this question is wrong.
精彩,这场比赛非常精彩。,This match was very wonderful.
提前,我们提前到了机场。,We arrived at the airport ahead of schedule.
理解,我完全理解你的感受。,I completely understand your feelings.
内容,这本书的内容很丰富。,This book's content is very rich.
父亲,我父亲是一名医生。,My father is a doctor.
心情,今天我的心情很好。,My mood is very good today.
森林,森林里有很多动物。,There are many animals in the forest.
民族,中国有五十六个民族。,China has fifty-six ethnic groups.
加班,他今晚要加班。,He has to work overtime tonight.
得意,他考了第一名很得意。,He got first place and is very pleased with himself.
感动,这个故事让我很感动。,This story moved me deeply.
抽烟,医生说抽烟不好。,The doctor says smoking is bad.
积累,学习需要慢慢积累。,Learning requires gradual accumulation.
