hanzi,sentence,en,th_final
病毒,这台电脑中了病毒。,This computer got a virus.,คอมพิวเตอร์เครื่องนี้ติดไวรัส
真实,这是一个真实的故事。,This is a true story.,นี่เป็นเรื่องจริง
矛盾,他们俩之间有矛盾。,There is a conflict between the two of them.,เขาทั้งสองมีความขัดแย้งกัน
称,大家称他为老师。,Everyone calls him teacher.,ทุกคนเรียกเขาว่าอาจารย์
称为,北京被称为中国的首都。,Beijing is called the capital of China.,ปักกิ่งถูกเรียกว่าเป็นเมืองหลวงของจีน
糊涂,他今天做事很糊涂。,He's been muddleheaded today.,วันนี้เขาทำอะไรงงๆ ไม่ค่อยได้เรื่อง
糟糕,今天天气真糟糕。,The weather is really terrible today.,วันนี้อากาศแย่จริงๆ
给予,老师给予我们很大帮助。,The teacher gave us great help.,อาจารย์ให้ความช่วยเหลือเราอย่างมาก
绝对,这件事绝对不能马虎。,This matter absolutely cannot be handled carelessly.,เรื่องนี้ประมาทไม่ได้เด็ดขาด
胜利,我们队获得了胜利。,Our team achieved victory.,ทีมเราได้รับชัยชนะ
著作,他写了不少著作。,He has written quite a few literary works.,เขาเขียนผลงานไว้ไม่น้อย
转,前面路口向左转。,Turn left at the intersection ahead.,เลี้ยวซ้ายตรงสี่แยกข้างหน้า
辞职,他决定辞职回家。,He decided to resign and go home.,เขาตัดสินใจลาออกกลับบ้าน
退步,他的成绩退步了不少。,His grades have declined quite a bit.,ผลการเรียนของเขาแย่ลงไปเยอะ
适当,请选择适当的时间见面。,Please choose an appropriate time to meet.,ช่วยเลือกเวลาที่เหมาะสมมาเจอกันนะ
逐步,公司逐步扩大了规模。,The company gradually expanded its scale.,บริษัทค่อยๆ ขยายกิจการให้ใหญ่ขึ้น
遗憾,没能参加比赛，他很遗憾。,He deeply regrets not being able to join the competition.,เขาเสียดายมากที่ไม่ได้เข้าร่วมการแข่งขัน
避免,我们要避免犯同样的错误。,We must avoid making the same mistake.,เราต้องหลีกเลี่ยงไม่ทำผิดพลาดแบบเดิม
销售,这家公司销售电子产品。,This company sells electronic products.,บริษัทนี้ขายสินค้าอิเล็กทรอนิกส์
问道,他问道你叫什么名字？,"He asked, 'What is your name?'",เขาถามว่าคุณชื่ออะไร?
阳台,妈妈在阳台上种花。,Mom grows flowers on the balcony.,แม่ปลูกดอกไม้ที่ระเบียง
