hanzi,sentence,en,th_final
速度,这辆车的速度很快。,This car's speed is very fast.,ความเร็วของรถคันนี้สูงมาก
专业,我的专业是经济学。,My major is economics.,วิชาเอกของฉันคือเศรษฐศาสตร์
表达,他不太会表达自己的感情。,He isn't very good at expressing his feelings.,เขาไม่ค่อยเก่งเรื่องการแสดงความรู้สึกของตัวเอง
仔细,请你仔细检查一下。,Please check it carefully.,ช่วยตรวจดูให้ละเอียดหน่อยนะ
冷静,遇到问题要冷静思考。,"When you run into a problem, think about it calmly.",เวลาเจอปัญหาต้องคิดอย่างใจเย็น
大使馆,他去大使馆办签证。,He went to the embassy to apply for a visa.,เขาไปสถานทูตเพื่อทำวีซ่า
护士,她的妈妈是护士。,Her mother is a nurse.,แม่ของเธอเป็นพยาบาล
签证,我正在办理签证。,I am applying for a visa.,ฉันกำลังทำวีซ่าอยู่
购物,周末我们一起去购物。,Let's go shopping together this weekend.,สุดสัปดาห์นี้เราไปซื้อของกันเถอะ
重点,这是这节课的重点。,This is the main point of this lesson.,นี่คือจุดสำคัญของบทเรียนนี้
任务,老师给我们布置了任务。,The teacher assigned us a task.,ครูมอบหมายงานให้เรา
伤心,听到这个消息她很伤心。,"Hearing this news, she was heartbroken.",พอได้ยินข่าวนี้เธอก็เสียใจมาก
凉快,秋天的晚上很凉快。,Autumn evenings are pleasantly cool.,ตอนกลางคืนของฤดูใบไม้ร่วงเย็นสบาย
毕业,他今年夏天从大学毕业。,He is graduating from university this summer.,หน้าร้อนปีนี้เขาจะเรียนจบมหาวิทยาลัย
激动,看到老朋友，他很激动。,"Seeing his old friend, he was very excited.",พอเห็นเพื่อนเก่าเขาก็ตื่นเต้นมาก
窗户,请把窗户打开。,Please open the window.,ช่วยเปิดหน้าต่างหน่อย
艺术,她非常喜欢艺术。,She really likes art.,เธอชอบศิลปะมาก
辛苦,这份工作很辛苦。,This job is very exhausting.,งานนี้เหนื่อยมาก
