hanzi,sentence,en,th_final
根源,找到问题的根源很重要。,It's important to find the root of the problem.,การหาต้นตอของปัญหาเป็นเรื่องสำคัญ
格局,这场比赛的格局变了。,The pattern of this match has changed.,รูปแบบของการแข่งขันนัดนี้เปลี่ยนไปแล้ว
格式,请按照要求调整格式。,Please adjust the format as required.,ช่วยปรับรูปแบบให้ตรงตามที่กำหนดด้วย
栽,爷爷在院子里栽了一棵树。,Grandpa planted a tree in the yard.,ปู่ปลูกต้นไม้ไว้ต้นหนึ่งในสวน
栽培,农民精心栽培果树。,The farmer carefully cultivates fruit trees.,ชาวนาเพาะปลูกดูแลต้นไม้ผลอย่างพิถีพิถัน
框,这幅画配了木框。,This painting has a wooden frame.,ภาพวาดนี้ใส่กรอบไม้
桩,这是一桩大事。,This is a major matter.,นี่เป็นเรื่องใหญ่เรื่องหนึ่ง
桶,他提着一桶水走来。,He walked over carrying a bucket of water.,เขาถือน้ำถังหนึ่งเดินเข้ามา
梦想,每个人都有自己的梦想。,Everyone has their own dream.,ทุกคนต่างก็มีความฝันของตัวเอง
梦见,昨晚我梦见了你。,Last night I dreamed about you.,เมื่อคืนฉันฝันถึงเธอ
梯子,他爬上梯子修屋顶。,He climbed up the ladder to fix the roof.,เขาปีนบันไดขึ้นไปซ่อมหลังคา
梳,她用梳子梳头发。,She combs her hair with a comb.,เธอใช้หวีหวีผม
检讨,他写了一份检讨。,He wrote a self-criticism.,เขาเขียนคำวิจารณ์ตัวเองมาฉบับหนึ่ง
检验,产品出厂前要检验。,Products must be inspected before leaving the factory.,สินค้าต้องผ่านการตรวจสอบก่อนออกจากโรงงาน
棉花,这床被子用棉花做成。,This quilt is made of cotton.,ผ้าห่มผืนนี้ทำจากฝ้าย
棍,他手里拿着一根棍子。,He was holding a stick in his hand.,เขาถือไม้ท่อนหนึ่งอยู่ในมือ
棒,你打得真棒。,You played really well.,เธอเล่นได้เก่งจริงๆ เลย
椰子,海边长满了高大的椰子树。,Tall coconut palms grow all along the beach.,ชายหาดเต็มไปด้วยต้นมะพร้าวสูงใหญ่
楼,我家住在五楼。,My family lives on the fifth floor.,บ้านฉันอยู่ชั้นห้า
楼房,这里新建了很多楼房。,Many new buildings have been built here.,ที่นี่สร้างตึกใหม่ขึ้นมาหลายหลัง
概括,请用一句话概括内容。,Please summarize the content in one sentence.,ช่วยสรุปเนื้อหาด้วยประโยคเดียว
概率,这件事发生的概率很低。,The probability of this happening is very low.,โอกาสที่เรื่องนี้จะเกิดขึ้นมีน้อยมาก
榜样,他是我们学习的榜样。,He is a role model for us to learn from.,เขาเป็นแบบอย่างให้พวกเราเรียนรู้
榨,妈妈用橙子榨果汁。,Mom presses oranges to make juice.,แม่ใช้ส้มคั้นเป็นน้ำผลไม้
模式,这种教学模式很有效。,This teaching model is very effective.,รูปแบบการสอนแบบนี้ได้ผลดีมาก
模样,她小时候的模样很可爱。,She looked very cute when she was little.,หน้าตาตอนเด็กๆ ของเธอน่ารักมาก
横,请画一条横线。,Please draw a horizontal line.,ช่วยลากเส้นแนวนอนเส้นหนึ่ง
橘子,我喜欢吃橘子。,I like eating tangerines.,ฉันชอบกินส้ม
欠,他还欠我一百块钱。,He still owes me a hundred yuan.,เขายังติดเงินฉันอยู่ร้อยหนึ่ง
次数,他迟到的次数太多了。,He has been late too many times.,เขามาสายหลายครั้งเกินไปแล้ว
欢乐,节日充满了欢乐气氛。,The festival is full of joyful atmosphere.,เทศกาลเต็มไปด้วยบรรยากาศรื่นเริงยินดี
欣慰,看到孩子成功，他感到欣慰。,"Seeing his child succeed, he felt gratified.",เห็นลูกประสบความสำเร็จ เขาก็รู้สึกปลื้มใจ
欣欣向荣,这座城市欣欣向荣。,This city is thriving.,เมืองนี้เจริญรุ่งเรือง
欲望,他对成功充满欲望。,He is full of desire for success.,เขาเต็มไปด้วยความปรารถนาที่จะประสบความสำเร็จ
款式,这件衣服的款式很新。,This piece of clothing has a very new style.,ดีไซน์ของเสื้อตัวนี้ใหม่มาก
歇,我们走累了歇一会儿。,"We're tired from walking, let's rest a while.",เราเดินจนเหนื่อยแล้ว พักสักครู่กันเถอะ
歌唱,孩子们在舞台上歌唱。,The children are singing on stage.,เด็กๆ ร้องเพลงอยู่บนเวที
歌声,她的歌声非常动听。,Her singing voice is very lovely.,เสียงร้องเพลงของเธอไพเราะมาก
歌手,她是一位有名的歌手。,She is a famous singer.,เธอเป็นนักร้องที่มีชื่อเสียง
歌曲,这首歌曲很好听。,This song sounds very nice.,เพลงนี้เพราะมาก
歌颂,这首诗歌颂了母爱。,This poem praises a mother's love.,บทกวีนี้สรรเสริญความรักของแม่
止,医生让他停止吸烟。,The doctor told him to stop smoking.,หมอให้เขาหยุดสูบบุหรี่
止步,请游客止步。,"Please, visitors go no further.",ขอให้นักท่องเที่ยวหยุดแค่ตรงนี้
正义,法律代表着社会正义。,The law represents social justice.,กฎหมายเป็นตัวแทนของความยุติธรรมในสังคม
正如,正如老师所说的那样。,Just as the teacher said.,เป็นอย่างที่คุณครูพูดไว้เลย
正宗,这家店的川菜很正宗。,This restaurant's Sichuan food is very authentic.,อาหารเสฉวนของร้านนี้รสชาติต้นตำรับมาก
正当,这是正当的要求。,This is a legitimate request.,นี่เป็นข้อเรียกร้องที่ชอบธรรม
正规,这是一家正规医院。,This is a properly licensed hospital.,นี่เป็นโรงพยาบาลที่ได้มาตรฐานถูกต้องตามกฎหมาย
正视,我们必须正视问题。,We must face the problem squarely.,เราต้องกล้าเผชิญหน้ากับปัญหาอย่างตรงไปตรงมา
正面,请从正面拍照。,Please take the photo from the front.,ช่วยถ่ายรูปจากด้านหน้าด้วย
此前,此前他从未去过中国。,"Before this, he had never been to China.",ก่อนหน้านี้เขาไม่เคยไปเมืองจีนมาก่อน
此后,此后他再也没回来。,"After that, he never came back.",หลังจากนั้นเขาก็ไม่เคยกลับมาอีกเลย
此处,此处禁止停车。,Parking is prohibited here.,ห้ามจอดรถตรงนี้
此时,此时窗外正下着大雨。,"At this moment, it's raining heavily outside.",ตอนนี้ข้างนอกหน้าต่างฝนกำลังตกหนัก
此次,此次旅行很愉快。,This trip was very pleasant.,การเดินทางครั้งนี้สนุกมาก
步骤,请按步骤操作机器。,Please operate the machine according to the steps.,กรุณาใช้งานเครื่องตามขั้นตอน
武器,士兵放下了武器。,The soldier put down his weapon.,ทหารวางอาวุธลง
武术,他从小学习中国武术。,He has practiced Chinese martial arts since childhood.,เขาเรียนศิลปะการต่อสู้ของจีนมาตั้งแต่เด็ก
歪,这幅画挂歪了。,This painting is hung crooked.,ภาพนี้แขวนเอียง
歪曲,媒体歪曲了事实。,The media distorted the facts.,สื่อบิดเบือนข้อเท็จจริง
死亡,车祸导致三人死亡。,The car accident caused three deaths.,อุบัติเหตุรถชนทำให้มีคนเสียชีวิตสามคน
歼灭,军队歼灭了敌军。,The army wiped out the enemy troops.,กองทัพกวาดล้างกองกำลังของศัตรูจนหมด
殷勤,服务员对客人十分殷勤。,The waiter was very attentive to the guests.,พนักงานเสิร์ฟดูแลเอาใจใส่ลูกค้าเป็นอย่างดี
殿堂,这座殿堂十分庄严。,This hall is very solemn.,ห้องโถงแห่งนี้ดูสง่างามมาก
毁,大火毁了整栋房子。,The fire destroyed the entire house.,ไฟไหม้ทำลายบ้านทั้งหลัง
毅力,学好中文需要毅力。,Learning Chinese well requires perseverance.,การเรียนภาษาจีนให้เก่งต้องใช้ความมานะอดทน
毅然,他毅然辞去了工作。,He resolutely quit his job.,เขาตัดสินใจลาออกจากงานอย่างเด็ดเดี่ยว
母子,母子俩相处融洽。,The mother and child get along harmoniously.,สองแม่ลูกอยู่ด้วยกันอย่างกลมเกลียว
毒,这种蘑菇有毒。,This kind of mushroom is poisonous.,เห็ดชนิดนี้มีพิษ
比不上,我的水平比不上他。,My level can't compare with his.,ระดับฝีมือของฉันสู้เขาไม่ได้
比分,现在比分是二比一。,The score is now two to one.,ตอนนี้สกอร์เป็นสองต่อหนึ่ง
比比皆是,这种错误比比皆是。,This kind of mistake can be found everywhere.,ความผิดพลาดแบบนี้มีให้เห็นเต็มไปหมด
比起,比起以前，他进步很大。,"Compared to before, he has made great progress.",เทียบกับเมื่อก่อน เขาก้าวหน้าขึ้นมาก
毕业生,今年的毕业生很多。,There are many graduates this year.,บัณฑิตจบใหม่ปีนี้มีเยอะมาก
毛,这只猫毛很软。,This cat's fur is very soft.,ขนของแมวตัวนี้นุ่มมาก
毛衣,妈妈织了一件毛衣。,Mom knitted a sweater.,แม่ถักเสื้อไหมพรมให้ตัวหนึ่ง
毫不,他毫不犹豫地答应了。,He agreed without the slightest hesitation.,เขาตอบตกลงโดยไม่ลังเลเลยสักนิด
毫不犹豫,他毫不犹豫地答应了。,He agreed without any hesitation.,เขาตอบตกลงโดยไม่ลังเลเลย
毫升,这瓶水有五百毫升。,This bottle of water is five hundred milliliters.,น้ำขวดนี้มีห้าร้อยมิลลิลิตร
毫无,他对此事毫无兴趣。,He has no interest in this at all.,เขาไม่มีความสนใจในเรื่องนี้เลยแม้แต่น้อย
毫米,这块手表的厚度只有几毫米。,This watch is only a few millimeters thick.,นาฬิกาเรือนนี้หนาแค่ไม่กี่มิลลิเมตร
民歌,奶奶会唱很多民歌。,Grandma can sing many folk songs.,คุณยายร้องเพลงพื้นบ้านได้หลายเพลง
气体,这种气体没有颜色。,This gas is colorless.,ก๊าซชนิดนี้ไม่มีสี
气势,这座建筑气势宏伟。,This building has a grand and imposing air.,อาคารหลังนี้ดูยิ่งใหญ่อลังการ
