hanzi,sentence,en,th_final
节,春节是重要节日。,Spring Festival is an important holiday.,ตรุษจีนเป็นเทศกาลสำคัญ
蝴蝶,蝴蝶在花园飞舞。,The butterfly flutters in the garden.,ผีเสื้อบินอยู่ในสวน
诊断,医生诊断他得了感冒。,The doctor diagnosed him with a cold.,หมอวินิจฉัยว่าเขาเป็นหวัด
井水,村民喝井水长大。,The villagers grew up drinking well water.,ชาวบ้านโตมากับการดื่มน้ำบ่อ
助,朋友帮助我搬家。,My friend helped me move house.,เพื่อนช่วยฉันย้ายบ้าน
向阳,这间房子向阳。,This room faces the sun.,ห้องนี้หันหน้ารับแดด
民间,这是民间流传的故事。,This is a story circulated among the people.,นี่เป็นเรื่องเล่าที่เล่าต่อกันมาในหมู่ชาวบ้าน
等待,他在车站等待朋友。,He is waiting for his friend at the station.,เขากำลังรอเพื่อนอยู่ที่สถานี
精致,这个盒子非常精致。,This box is very delicate.,กล่องใบนี้ประณีตมาก
充足,睡眠充足对身体好。,Sufficient sleep is good for your body.,นอนหลับให้เพียงพอดีต่อร่างกาย
在于,成功在于坚持不懈。,Success lies in persistence.,ความสำเร็จอยู่ที่ความพยายามไม่ลดละ
均匀,他把颜色涂得均匀。,He spread the color evenly.,เขาทาสีได้อย่างสม่ำเสมอ
技巧,她游泳技巧很好。,Her swimming technique is very good.,เทคนิคการว่ายน้ำของเธอดีมาก
气质,她气质非常优雅。,She has a very elegant air about her.,เธอมีบุคลิกสง่างามมาก
起到,运动起到锻炼作用。,Exercise has a training effect.,การออกกำลังกายมีผลช่วยฝึกร่างกาย
降,气温明天下降。,The temperature will drop tomorrow.,พรุ่งนี้อุณหภูมิจะลดลง
习俗,这是当地习俗。,This is a local custom.,นี่เป็นธรรมเนียมของท้องถิ่น
传播,新闻迅速传播开来。,The news spread quickly.,ข่าวแพร่กระจายออกไปอย่างรวดเร็ว
供应,工厂供应新鲜蔬菜。,The factory supplies fresh vegetables.,โรงงานส่งผักสดให้
加快,他加快了脚步。,He quickened his pace.,เขาเร่งฝีเท้าให้เร็วขึ้น
原料,这是做面包的原料。,This is the raw material for making bread.,นี่คือวัตถุดิบสำหรับทำขนมปัง
对象,他是我的研究对象。,He is my subject of research.,เขาเป็นเป้าหมายการวิจัยของฉัน
形,月亮渐渐变成圆形。,The moon gradually became round in shape.,พระจันทร์ค่อยๆ กลายเป็นรูปกลม
视觉,这幅画视觉效果好。,This painting has a good visual effect.,ภาพวาดนี้ให้ผลทางการมองเห็นที่ดี
饮食,健康饮食很重要。,A healthy diet is very important.,การกินอาหารเพื่อสุขภาพสำคัญมาก
作,他作了详细计划。,He made a detailed plan.,เขาวางแผนไว้อย่างละเอียด
培训,公司提供员工培训。,The company provides staff training.,บริษัทจัดอบรมให้พนักงาน
提出,他提出一个建议。,He raised a suggestion.,เขาเสนอคำแนะนำหนึ่งข้อ
精确,这个数据非常精确。,This piece of data is very precise.,ข้อมูลชุดนี้แม่นยำมาก
维生素,水果含有丰富维生素。,Fruits contain abundant vitamins.,ผลไม้อุดมไปด้วยวิตามิน
列,士兵们列队前进。,The soldiers lined up and marched forward.,เหล่าทหารเข้าแถวเดินไปข้างหน้า
地下,老鼠住在地下。,Mice live underground.,หนูอาศัยอยู่ใต้ดิน
氧,植物释放氧气。,Plants release oxygen.,พืชปล่อยออกซิเจน
高度,飞机保持一定高度。,The plane maintains a certain altitude.,เครื่องบินรักษาระดับความสูงไว้คงที่
煮,妈妈正在煮面条。,Mom is cooking noodles.,แม่กำลังต้มบะหมี่
祝,祝你生日快乐。,I wish you a happy birthday.,ขอให้สุขสันต์วันเกิดนะ
伤痕,他手臂上有伤痕。,He has a scar on his arm.,เขามีแผลเป็นที่แขน
