hanzi,sentence,en
钻,工人用机器钻孔。,The worker drills a hole with a machine.
钻研,他刻苦钻研技术。,He studies the technology diligently.
铁路,这条铁路连接两座城市。,This railway connects two cities.
铃声,手机铃声突然响了。,The phone's ringtone suddenly rang.
铝,这个水壶是铝做的。,This kettle is made of aluminum.
铭记,我会永远铭记这份恩情。,I will always remember this kindness.
银行卡,他用银行卡付款。,He paid with his bank card.
铺,街角有一家小铺子。,There's a small shop on the corner.
销,这款产品十分畅销。,This product sells very well.
错觉,这只是一种错觉。,This is just an illusion.
键,请按下这个键。,Please press this key.
镇定,面对危险他很镇定。,He remained calm in the face of danger.
镜头,摄影师调整了镜头。,The photographer adjusted the lens.
长处,每个人都有自己的长处。,Everyone has their own strengths.
长度,请测量绳子长度。,Please measure the length of the rope.
长期以来,长期以来他一直坚持锻炼。,"For a long time, he has kept exercising."
长跑,他擅长长跑比赛。,He excels at long-distance races.
长远,我们要考虑长远利益。,We must consider long-term interests.
门槛,他不小心绊到门槛。,He accidentally tripped over the threshold.
门诊,医院今天不设门诊。,The hospital has no outpatient service today.
门铃,门铃响了，快开门。,"The doorbell rang, hurry and open the door."
闪,远处的天空突然闪了一下。,The sky in the distance suddenly flashed.
闪烁,夜空中星星在闪烁。,The stars were twinkling in the night sky.
闭幕,运动会明天晚上闭幕。,The sports meet closes tomorrow evening.
闭幕式,运动会闭幕式很精彩。,The sports meet's closing ceremony was wonderful.
问世,这本书终于问世了。,This book has finally been published.
闯,他勇敢地闯进了火场救人。,He bravely rushed into the fire to save people.
间隔,两次考试间隔一周。,The two exams are a week apart.
闹,街上非常热闹。,The street is very lively.
闻名,这座古城闻名世界。,This ancient city is world-famous.
阅览室,学生们安静地坐在阅览室。,The students sit quietly in the reading room.
队,学校组织了一支足球队。,The school organized a football team.
队伍,游行的队伍走过广场。,The parade procession walked across the square.
防,大家一起防止火灾。,Everyone works together to prevent fires.
防御,这支球队的防御很强。,This team's defense is very strong.
防治,医院负责防治疾病。,The hospital is responsible for disease prevention.
防疫,社区加强了防疫措施。,The community strengthened epidemic prevention measures.
阴影,大树的阴影很凉快。,The shadow of the big tree is cool.
阴暗,这条巷子十分阴暗。,This alley is very dim.
阵,突然刮起一阵大风。,Suddenly a gust of strong wind blew up.
阶层,社会阶层各不相同。,Social classes differ from one another.
阻力,改革遇到不小阻力。,The reform met with considerable resistance.
阻拦,没人能阻拦他的决心。,No one could stop his determination.
阻挡,大雨阻挡了我们前进。,The heavy rain blocked our way forward.
陈列,展馆陈列着古董。,Antiques are displayed in the exhibition hall.
陈述,他陈述了事情经过。,He stated how the matter happened.
降临,夜幕渐渐降临了。,Night gradually fell.
限,这次考试时间有限。,The exam time this time is limited.
院,他家有一个大院。,His home has a big courtyard.
除,他努力去除心中疑虑。,He worked hard to remove the doubts in his heart.
除非,除非你去，我才愿意去。,I'll only go if you go too.
陨石,昨晚有一颗陨石坠落。,A meteorite fell last night.
险,这条路很危险，要小心。,"This road is dangerous, be careful."
陪伴,狗一直陪伴着他。,The dog has always accompanied him.
陪同,老师陪同学生参观。,The teacher accompanied the students on the visit.
陷,这是一个精心设计的陷阱。,This is a carefully designed trap.
隆重,婚礼办得非常隆重。,The wedding was held very grandly.
随处可见,这种植物随处可见。,This plant can be seen everywhere.
随心所欲,他做事总是随心所欲。,He always does things however he pleases.
随手,请随手关灯节约用电。,Please turn off the light conveniently to save electricity.
随时随地,他随时随地都在学习。,He studies anytime and anywhere.
随身,请随身携带证件。,Please carry your ID with you.
隐蔽,士兵找地方隐蔽起来。,The soldier found a place to hide.
隐藏,他隐藏了真实想法。,He hid his true thoughts.
隔离,病人被隔离观察了。,The patient was isolated for observation.
隔阂,两人之间有些隔阂。,There is some estrangement between the two of them.
难以,这件事难以解决。,This matter is hard to resolve.
难以想象,这个结果真难以想象。,This result is truly hard to imagine.
难听,这首歌很难听。,This song sounds terrible.
难怪,难怪他这么开心。,No wonder he's so happy.
难看,这件衣服很难看。,This piece of clothing looks ugly.
雄伟,这座建筑十分雄伟。,This building is very grand.
集,这些邮票都是他多年收集的。,These stamps are all ones he collected over many years.
集团,他就职于一家集团。,He works for a corporate group.
雇,老板又雇了两个人。,The boss hired two more people.
雪上加霜,这场大雨真是雪上加霜。,This heavy rain really made things worse.
雪山,远处有一座雪山。,There is a snow-capped mountain in the distance.
零下,今晚气温降到零下十度。,Tonight the temperature dropped to minus ten degrees.
零件,工人正在更换零件。,The worker is replacing parts.
零食,她喜欢吃各种零食。,She likes eating all kinds of snacks.
雾,今天早上雾很大。,There was thick fog this morning.
震,大地突然震动了。,The earth suddenly shook.
震动,这条新闻在网上引起了震动。,This news caused a stir online.
震惊,这个消息令人震惊。,This news is shocking.
霜,早晨草地上结了霜。,Frost formed on the grass this morning.
露,他脸上露出笑容。,A smile appeared on his face.
青,山上长满了青翠的竹子。,The mountain is covered with lush green bamboo.
青少年,这本书很受青少年欢迎。,This book is very popular among teenagers.
青春,青春是美好的时光。,Youth is a beautiful time.
青春期,孩子进入青春期后变化很大。,Children change a lot after entering puberty.
青蛙,池塘里有几只青蛙。,There are a few frogs in the pond.
静,请大家保持安静。,Please everyone keep quiet.
静止,车辆已经完全静止。,The vehicle has come to a complete stop.
非凡,他表现出非凡才能。,He showed extraordinary talent.
面向,这个课程面向初学者。,This course is geared toward beginners.
面貌,这座城市的面貌变了。,This city's appearance has changed.
面部,她的面部表情很生动。,Her facial expressions are very vivid.
革命,这是一场伟大革命。,This is a great revolution.
革新,公司决定对生产技术进行革新。,The company decided to innovate its production technology.
鞭策,老师的话鞭策着我前进。,The teacher's words spurred me to keep moving forward.
韧性,这种材料很有韧性。,This material has great toughness.
音乐会,今晚有一场音乐会。,There is a concert tonight.
音像,他收藏了很多音像制品。,He collects many audio and video products.
顶级,这是顶级的餐厅。,This is a top-notch restaurant.
项,这项工作十分重要。,This task is very important.
项链,她戴着一条项链。,She is wearing a necklace.
顺其自然,事情不顺利就顺其自然吧。,"If things aren't going well, just let nature take its course."
顺手,他顺手关上了门。,He closed the door on his way out.
顺理成章,这个结果顺理成章。,This result follows naturally.
顺畅,今天交通很顺畅。,Traffic is very smooth today.
顺着,顺着这条路一直走。,Follow this road straight ahead.
须,出门必须带伞。,You must bring an umbrella when going out.
顽强,他有顽强的意志。,He has a tenacious will.
