hanzi,sentence,en,th_final
巧妙,他的方法很巧妙。,His method is very clever.,วิธีของเขาแยบยลมาก
市中心,我们住在市中心。,We live downtown.,เราอยู่ใจกลางเมือง
广大,沙漠面积十分广大。,The desert's area is extremely vast.,ทะเลทรายมีพื้นที่กว้างใหญ่มาก
应付,他很会应付困难。,He is good at dealing with difficulties.,เขาเก่งเรื่องรับมือกับความยากลำบาก
当今世界,当今世界变化很快。,Today's world changes very fast.,โลกทุกวันนี้เปลี่ยนแปลงเร็วมาก
形势,现在形势很复杂。,The situation now is very complicated.,ตอนนี้สถานการณ์ซับซ้อนมาก
形象,他很注重自己的形象。,He pays much attention to his own image.,เขาใส่ใจภาพลักษณ์ของตัวเองมาก
思路,他的思路很清楚。,His train of thought is very clear.,แนวความคิดของเขาชัดเจนมาก
总共,这些东西总共多少钱？,How much do these things cost altogether?,ของพวกนี้ทั้งหมดราคาเท่าไหร่?
总算,他总算考上了大学。,He finally got into university.,ในที่สุดเขาก็สอบติดมหาวิทยาลัย
惭愧,他为自己的错误感到惭愧。,He felt ashamed of his mistake.,เขารู้สึกละอายใจกับความผิดของตัวเอง
意外,路上发生了意外。,An accident happened on the road.,เกิดอุบัติเหตุขึ้นบนถนน
意识,他渐渐失去了意识。,He gradually lost consciousness.,เขาค่อยๆ หมดสติไป
感受,说说你的感受吧。,Tell us your feelings.,เล่าความรู้สึกของเธอให้ฟังหน่อยสิ
或是,你可以坐车或是走路。,You can take the bus or walk.,เธอจะนั่งรถหรือเดินไปก็ได้
所谓,所谓成功需要努力。,So-called success requires effort.,ที่เรียกว่าความสำเร็จนั้นต้องใช้ความพยายาม
打喷嚏,他突然打喷嚏了。,He suddenly sneezed.,จู่ๆ เขาก็จาม
打败,我们打败了对手。,We defeated our opponent.,เราเอาชนะคู่แข่งได้
持续,雨持续下了三天。,The rain continued for three days.,ฝนตกต่อเนื่องสามวัน
指出,老师指出了错误。,The teacher pointed out the mistake.,ครูชี้ให้เห็นข้อผิดพลาด
指导,老师指导我们写作。,The teacher guides us in writing.,ครูชี้แนะการเขียนให้พวกเรา
挡住,大树挡住了阳光。,The big tree blocked the sunlight.,ต้นไม้ใหญ่บังแสงแดด
损失,这场火灾损失很大。,This fire caused great losses.,ไฟไหม้ครั้งนี้สร้างความเสียหายมาก
捡,他捡起地上的钱包。,He picked up the wallet on the ground.,เขาเก็บกระเป๋าเงินที่ตกอยู่บนพื้น
据说,据说他明天回国。,It is said that he is returning to his country tomorrow.,ได้ยินว่าพรุ่งนี้เขาจะกลับประเทศ
摄影,他对摄影很感兴趣。,He is very interested in photography.,เขาสนใจการถ่ายภาพมาก
撞,他不小心撞到了门。,He accidentally bumped into the door.,เขาเผลอชนประตู
擅长,她擅长画画。,She is good at drawing.,เธอถนัดวาดรูป
敌人,士兵们打败了敌人。,The soldiers defeated the enemy.,เหล่าทหารเอาชนะศัตรูได้
整条,整条街都很安静。,The entire street is very quiet.,ถนนทั้งสายเงียบมาก
早已,他早已离开这里。,He left here long ago.,เขาจากที่นี่ไปนานแล้ว
有害,吸烟对身体有害。,Smoking is harmful to the body.,การสูบบุหรี่เป็นอันตรายต่อร่างกาย
服务态度,这家店服务态度很好。,This shop's service attitude is very good.,ร้านนี้บริการด้วยท่าทีที่ดีมาก
本领,他有很大的本领。,He has great abilities.,เขามีความสามารถมาก
某个,他住在某个城市。,He lives in a certain city.,เขาอยู่ในเมืองแห่งหนึ่ง
核心,这是问题的核心。,This is the core of the problem.,นี่คือแก่นของปัญหา
模仿,弟弟喜欢模仿爸爸说话。,My younger brother likes to imitate the way dad talks.,น้องชายชอบเลียนแบบวิธีพูดของพ่อ
此,此事非常重要，请大家注意。,This matter is very important; please everyone pay attention.,เรื่องนี้สำคัญมาก ขอให้ทุกคนใส่ใจ
毕竟,他毕竟是个孩子，还不懂事。,"After all, he's just a child and doesn't understand yet.",ยังไงเขาก็เป็นแค่เด็ก ยังไม่รู้ความ
毛病,这台电脑有点毛病。,This computer has a bit of a problem.,คอมพิวเตอร์เครื่องนี้มีปัญหานิดหน่อย
毛笔,爷爷用毛笔写字。,Grandpa writes with a writing brush.,ปู่เขียนหนังสือด้วยพู่กัน
气,车胎没气了。,The tire is out of air.,ยางรถหมดลมแล้ว
浇水,我每天给花浇水。,I water the flowers every day.,ฉันรดน้ำดอกไม้ทุกวัน
海鲜,这家餐厅的海鲜很新鲜。,This restaurant's seafood is very fresh.,อาหารทะเลของร้านนี้สดมาก
清淡,医生让我吃清淡的食物。,The doctor told me to eat light food.,หมอให้ฉันกินอาหารรสจืด
热烈,大家热烈鼓掌欢迎他。,Everyone applauded warmly to welcome him.,ทุกคนปรบมือต้อนรับเขาอย่างอบอุ่น
照常,明天商店照常营业。,Tomorrow the store will open as usual.,พรุ่งนี้ร้านเปิดตามปกติ
特殊,今天是个特殊的日子。,Today is a special day.,วันนี้เป็นวันพิเศษ
特色,这道菜很有特色。,This dish has a lot of character.,อาหารจานนี้มีเอกลักษณ์มาก
狡猾,那只狐狸非常狡猾。,That fox is very cunning.,เจ้าจิ้งจอกตัวนั้นเจ้าเล่ห์มาก
独立,孩子应该学会独立。,Children should learn to be independent.,เด็กควรหัดพึ่งพาตัวเอง
理由,他没有理由拒绝。,He has no reason to refuse.,เขาไม่มีเหตุผลที่จะปฏิเสธ
电池,这个手电筒需要电池。,This flashlight needs batteries.,ไฟฉายอันนี้ต้องใช้ถ่าน
看望,周末我去看望奶奶。,On the weekend I'll go visit grandma.,สุดสัปดาห์ฉันจะไปเยี่ยมย่า
短暂,假期总是很短暂。,Vacations are always very brief.,วันหยุดมักจะสั้นเสมอ
