hanzi,sentence,en,th_final
打猎,爷爷年轻时常打猎。,Grandpa often went hunting when he was young.,ตอนหนุ่มๆ ปู่ชอบไปล่าสัตว์บ่อยๆ
打通,我终于打通了电话。,I finally got through on the phone.,ในที่สุดฉันก็โทรติด
打造,公司努力打造品牌。,The company is working hard to build its brand.,บริษัทตั้งใจสร้างแบรนด์ของตัวเอง
打雷,外面又刮风又打雷。,It's windy and thundering outside.,ข้างนอกทั้งลมแรงทั้งฟ้าร้อง
托,她把脸托在手心上。,She rested her chin in her palm.,เธอเอามือรองหน้าไว้
执照,他终于拿到了驾驶执照。,He finally got his driver's license.,ในที่สุดเขาก็ได้ใบขับขี่
执着,他对梦想十分执着。,He is very dedicated to his dream.,เขามุ่งมั่นกับความฝันมาก
执行,我们必须严格执行规定。,We must strictly implement the regulations.,เราต้องปฏิบัติตามกฎอย่างเคร่งครัด
扩张,公司正在扩张海外市场。,The company is expanding its overseas market.,บริษัทกำลังขยายตลาดต่างประเทศ
扭,她笑着扭过头去。,"She turned her head away, smiling.",เธอหันหน้าหนีพร้อมกับยิ้ม
扭头,他听见喊声立刻扭头。,He immediately turned his head when he heard the shout.,พอได้ยินเสียงตะโกน เขาก็หันหัวทันที
扶,他扶着奶奶慢慢走路。,He supported his grandmother as she walked slowly.,เขาพยุงคุณย่าเดินช้าๆ
扶持,政府大力扶持小企业。,The government strongly supports small businesses.,รัฐบาลสนับสนุนธุรกิจเล็กๆ อย่างเต็มที่
批,校长批准了这个计划。,The principal approved this plan.,ครูใหญ่อนุมัติแผนนี้
批判,他批判了这种做法。,He criticized this practice.,เขาวิจารณ์วิธีทำแบบนี้
找出,警察终于找出了真相。,The police finally found out the truth.,ในที่สุดตำรวจก็หาความจริงเจอ
承包,他承包了这片鱼塘。,He contracted this fish pond.,เขารับเหมาบ่อปลานี้
承载,这座桥能承载很大重量。,This bridge can bear a very heavy load.,สะพานนี้รับน้ำหนักได้มาก
技艺,老师傅的技艺非常精湛。,The old master's craftsmanship is superb.,ฝีมือของช่างเก่าเยี่ยมมาก
抄写,学生认真抄写课文。,The student carefully copies the text.,นักเรียนตั้งใจคัดลอกบทเรียน
把手,门上的把手坏了。,The handle on the door is broken.,มือจับประตูพังแล้ว
抑郁,他最近心情十分抑郁。,He has been feeling very depressed recently.,ช่วงนี้เขารู้สึกหดหู่มาก
抑郁症,医生诊断她患了抑郁症。,The doctor diagnosed her with clinical depression.,หมอวินิจฉัยว่าเธอเป็นโรคซึมเศร้า
抓住,他一把抓住了绳子。,He grabbed the rope with one hand.,เขาคว้าเชือกไว้ได้ในมือเดียว
投,他用力把球投进篮筐。,He threw the ball hard into the basket.,เขาโยนลูกบอลลงห่วงอย่างแรง
投入,他把全部精力投入工作。,He devoted all his energy to work.,เขาทุ่มเทพลังทั้งหมดให้กับงาน
投机,他觉得两人很投机。,He feels the two of them get along very well.,เขารู้สึกว่าสองคนนี้เข้ากันได้ดีมาก
投票,大家举手投票表决。,Everyone raised their hands to vote.,ทุกคนยกมือโหวตลงคะแนน
抗争,他们勇敢地抗争到底。,They bravely fought to the end.,พวกเขาต่อสู้อย่างกล้าหาญจนถึงที่สุด
折叠,这张桌子可以折叠。,This table can be folded up.,โต๊ะตัวนี้พับได้
抚摸,她轻轻抚摸小猫的背。,She gently strokes the kitten's back.,เธอลูบหลังลูกแมวเบาๆ
抛,他把球抛向空中。,He threw the ball into the air.,เขาโยนลูกบอลขึ้นไปในอากาศ
抢,小偷抢了她的手机。,The thief snatched her phone.,ขโมยฉวยมือถือของเธอไป
抢救,医生正在全力抢救病人。,The doctors are working hard to save the patient.,หมอกำลังช่วยชีวิตคนไข้อย่างสุดกำลัง
护,母亲用心呵护孩子。,The mother lovingly cares for her child.,แม่ดูแลลูกอย่างเอาใจใส่
报告,他向老板报告了情况。,He reported the situation to his boss.,เขารายงานสถานการณ์ให้เจ้านายฟัง
报废,这辆旧车已经报废了。,This old car has already been scrapped.,รถเก่าคันนี้กลายเป็นซากรถไปแล้ว
报社,他在报社工作多年。,He has worked at the newspaper for many years.,เขาทำงานที่สำนักงานหนังสือพิมพ์มาหลายปี
抱负,他从小就有远大抱负。,He has had great ambitions since childhood.,เขามีความใฝ่ฝันอันยิ่งใหญ่มาตั้งแต่เด็ก
抵御,城墙能抵御敌人进攻。,The city wall can withstand enemy attacks.,กำแพงเมืองต้านทานการโจมตีของศัตรูได้
抵达,飞机准时抵达机场。,The plane arrived at the airport on time.,เครื่องบินมาถึงสนามบินตรงเวลา
抹,她用毛巾抹干桌子。,She wiped the table dry with a towel.,เธอใช้ผ้าเช็ดโต๊ะให้แห้ง
押,他把手表押给了当铺。,He pawned his watch at the pawnshop.,เขาเอานาฬิกาไปจำนำที่โรงรับจำนำ
押金,租房需要交押金。,Renting an apartment requires a deposit.,การเช่าบ้านต้องวางเงินมัดจำ
抽屉,钥匙放在抽屉里。,The key is in the drawer.,กุญแจอยู่ในลิ้นชัก
抽象,这幅画很抽象。,This painting is very abstract.,ภาพวาดนี้เป็นนามธรรมมาก
拄,老人拄着拐杖慢慢走。,"The old man walks slowly, leaning on a cane.",คนแก่ค่อยๆ เดินโดยใช้ไม้เท้ายัน
担保,朋友愿意为他担保贷款。,A friend is willing to guarantee his loan.,เพื่อนยินดีค้ำประกันเงินกู้ให้เขา
担忧,父母为他的健康担忧。,His parents worry about his health.,พ่อแม่เป็นห่วงสุขภาพของเขา
担负,他担负着一家人的生计。,He shoulders the livelihood of the whole family.,เขาแบกรับภาระเลี้ยงดูคนทั้งบ้าน
拆,工人正在拆旧房子。,Workers are demolishing the old house.,คนงานกำลังรื้อบ้านเก่า
拉,他用力拉门。,He pulled the door hard.,เขาดึงประตูอย่างแรง
拍照,游客们纷纷拍照留念。,The tourists took photos as souvenirs one after another.,นักท่องเที่ยวพากันถ่ายรูปไว้เป็นที่ระลึก
拐杖,爷爷走路要用拐杖。,Grandpa needs a crutch to walk.,ปู่ต้องใช้ไม้เท้าเวลาเดิน
拓展,公司想拓展海外市场。,The company wants to expand into overseas markets.,บริษัทอยากขยายตลาดต่างประเทศ
拔,他用力拔出了那颗钉子。,He pulled the nail out forcefully.,เขาออกแรงถอนตะปูตัวนั้นออกมา
拖延,他做事总是喜欢拖延。,He always likes to procrastinate when doing things.,เขาชอบผัดวันประกันพรุ่งเวลาทำอะไร
拘束,第一次见面她有点拘束。,She felt a bit reserved at their first meeting.,ครั้งแรกที่เจอกันเธอรู้สึกเกร็งๆ นิดหน่อย
招,公司正在招新员工。,The company is recruiting new employees.,บริษัทกำลังรับสมัครพนักงานใหม่
招待,主人热情招待客人。,The host warmly entertained the guests.,เจ้าบ้านต้อนรับแขกอย่างอบอุ่น
招收,学校今年招收新生。,The school is recruiting new students this year.,ปีนี้โรงเรียนรับนักเรียนใหม่
招牌,那家店的招牌很显眼。,That shop's sign is very eye-catching.,ป้ายร้านนั้นสะดุดตามาก
