hanzi,sentence,en
速度,这辆车的速度很快。,This car's speed is very fast.
专业,我的专业是经济学。,My major is economics.
表达,他不太会表达自己的感情。,He isn't very good at expressing his feelings.
仔细,请你仔细检查一下。,Please check it carefully.
冷静,遇到问题要冷静思考。,"When you run into a problem, think about it calmly."
大使馆,他去大使馆办签证。,He went to the embassy to apply for a visa.
护士,她的妈妈是护士。,Her mother is a nurse.
签证,我正在办理签证。,I am applying for a visa.
购物,周末我们一起去购物。,Let's go shopping together this weekend.
重点,这是这节课的重点。,This is the main point of this lesson.
任务,老师给我们布置了任务。,The teacher assigned us a task.
伤心,听到这个消息她很伤心。,"Hearing this news, she was heartbroken."
凉快,秋天的晚上很凉快。,Autumn evenings are pleasantly cool.
毕业,他今年夏天从大学毕业。,He is graduating from university this summer.
激动,看到老朋友，他很激动。,"Seeing his old friend, he was very excited."
窗户,请把窗户打开。,Please open the window.
艺术,她非常喜欢艺术。,She really likes art.
辛苦,这份工作很辛苦。,This job is very exhausting.
辣,这个菜太辣了。,This dish is too spicy.
首先,首先，我们要买机票。,"First of all, we need to buy plane tickets."
麻烦,对不起，给你添麻烦了。,Sorry for causing you trouble.
另外,另外，我还想问一个问题。,"In addition, I want to ask one more question."
感谢,非常感谢你的帮助。,Thank you very much for your help.
打扮,她打扮得很漂亮。,She dressed herself up very beautifully.
羡慕,我很羡慕你的生活。,I really envy your life.
详细,请详细介绍一下情况。,Please introduce the situation in detail.
调查,警察正在调查这件事。,The police are investigating this matter.
交通,这个城市交通很方便。,Traffic in this city is very convenient.
堵车,现在路上正在堵车。,The road is jammed with traffic right now.
塑料袋,商店不再免费提供塑料袋。,The store no longer gives out plastic bags for free.
增加,公司决定增加工资。,The company decided to increase wages.
甚至,他很忙，甚至没时间吃饭。,He's so busy he doesn't even have time to eat.
超过,今天的气温超过三十度。,Today's temperature exceeds thirty degrees.
距离,学校距离我家不远。,The school is not far from my home.
及时,医生及时赶到了医院。,The doctor arrived at the hospital in time.
优点,诚实是他最大的优点。,Honesty is his greatest merit.
严重,这个问题非常严重。,This problem is very serious.
出差,他这个月要去北京出差。,He has to go to Beijing on a business trip this month.
力气,这个箱子太重，我没力气搬。,"This box is too heavy, I don't have the strength to carry it."
售货员,售货员对顾客很热情。,The sales clerk is very warm to customers.
开玩笑,别生气，我只是开玩笑。,"Don't be angry, I was just joking."
数量,这里苹果的数量很多。,The quantity of apples here is large.
暂时,这个问题暂时不能解决。,This problem can't be solved for now.
由于,由于下大雨，比赛取消了。,"Due to the heavy rain, the match was cancelled."
继续,请大家继续努力工作。,Please everyone continue working hard.
骗,他骗了我的钱。,He cheated me out of my money.
价格,这件衣服的价格不贵。,The price of this piece of clothing isn't expensive.
优秀,她是一个优秀的学生。,She is an outstanding student.
俩,我们俩是好朋友。,The two of us are good friends.
做生意,他在中国做生意。,He does business in China.
允许,老师不允许我们迟到。,The teacher doesn't allow us to be late.
取,我去银行取钱。,I'm going to the bank to withdraw money.
工资,这个月的工资涨了。,This month's wages went up.
怀疑,我怀疑他说的是假话。,I suspect what he said is a lie.
抱歉,来晚了，我很抱歉。,I'm sorry for coming late.
按照,请按照要求填写表格。,Please fill out the form according to the requirements.
接受,他接受了这份工作。,He accepted this job.
条件,这里的工作条件很好。,The working conditions here are good.
污染,工厂污染了这条河。,The factory polluted this river.
演出,今晚有一场精彩演出。,Tonight there is a wonderful performance.
生命,我们要珍惜自己的生命。,We should cherish our own lives.
动作,他的动作非常快。,His movements are very fast.
危险,开车太快很危险。,Driving too fast is dangerous.
笑话,他给我们讲了一个笑话。,He told us a joke.
输,我们这场比赛输了。,We lost this match.
之间,他们两个人之间有误会。,There is a misunderstanding between the two of them.
增长,今年公司的收入增长了。,This year the company's income has increased.
巧克力,妹妹最喜欢吃巧克力。,My little sister likes eating chocolate the most.
数字,这个数字太大了。,This number is too big.
方向,我们走错方向了。,We went the wrong direction.
真正,他是我真正的朋友。,He is my true friend.
风景,这里的风景很美。,The scenery here is very beautiful.
将来,我将来想当医生。,I want to be a doctor in the future.
感到,我感到很高兴。,I feel very happy.
活,这只小猫还活着。,This little cat is still alive.
博士,他是数学博士。,He is a PhD in mathematics.
参观,我们去参观博物馆。,We went to visit the museum.
地址,请告诉我你的地址。,Please tell me your address.
孤单,一个人在家很孤单。,Being home alone is very lonely.
家具,这些家具很漂亮。,This furniture is very beautiful.
差不多,我们差不多到了。,We are almost there.
广播,我每天听新闻广播。,I listen to the news broadcast every day.
散步,晚饭后我们去散步。,After dinner we go for a walk.
整理,我在整理房间。,I am tidying up the room.
普遍,这个问题很普遍。,This problem is very common.
暖和,今天天气很暖和。,The weather is very warm today.
正式,明天开始正式上班。,Tomorrow I officially start work.
翻译,他帮我翻译这句话。,He helped me translate this sentence.
证明,这能证明他是对的。,This can prove that he is right.
乘坐,我们乘坐火车去北京。,We took the train to Beijing.
合格,他考试合格了。,He passed the exam (met the required standard).
合适,这件衣服很合适。,This piece of clothing is very suitable.
味道,这个菜味道很好。,This dish tastes very good.
愉快,祝你旅途愉快。,Wish you a pleasant trip.
所有,所有学生都到了。,All the students have arrived.
打针,医生给他打针。,The doctor gave him an injection.
报名,我想给孩子报名。,I want to sign my child up.
挂,墙上挂着一张照片。,A photo hangs on the wall.
擦,她在擦桌子。,She is wiping the table.
法律,我们要遵守法律。,We must obey the law.
相反,结果和我想的相反。,The result is the opposite of what I thought.
解释,老师给我们解释语法。,The teacher explained the grammar to us.
语法,这个语法很难懂。,This grammar is hard to understand.
赚,他每月赚很多钱。,He earns a lot of money every month.
长城,我们爬上了长城。,We climbed the Great Wall.
随着,随着年龄增长他变胖了。,"As he grew older, he gained weight."
原来,这是他原来的房子。,This is his original house.
同情,我很同情他。,I sympathize with him a lot.
奖金,公司发了奖金。,The company gave out bonuses.
懒,他今天很懒。,He is very lazy today.
方面,这方面我不太懂。,I don't understand much about this aspect.
皮肤,她的皮肤很白。,Her skin is very fair.
通知,老师通知我们放假。,The teacher notified us of the holiday.
重新,这篇文章要重新写。,This article needs to be rewritten.
食品,超市卖很多食品。,The supermarket sells a lot of food.
信任,我很信任我的朋友。,I trust my friend a lot.
气温,今天气温很低。,The air temperature is very low today.
西红柿,妈妈买了西红柿。,Mom bought tomatoes.
富人,那个富人住大房子。,That rich person lives in a big house.
丰富,这里的水果很丰富。,The fruit here is very abundant.
受欢迎,这个歌手很受欢迎。,This singer is very popular.
帅,他长得很帅。,He looks very handsome.
文章,我写了一篇文章。,I wrote an article.
消息,我听到一个好消息。,I heard a piece of good news.
精神,他今天精神很好。,He is in very good spirits today.
肚子,我肚子有点疼。,My stomach hurts a little.
袜子,这双袜子很暖和。,These socks are very warm.
顺利,考试进行得很顺利。,The exam went very smoothly.
也许,他也许不知道这件事。,Maybe he doesn't know about this.
仍然,他仍然每天跑步。,He still runs every day.
