hanzi,sentence,en,th_final
估计,我估计他明天会来。,I estimate he'll come tomorrow.,ฉันคาดว่าพรุ่งนี้เขาจะมา
保证,我保证按时完成作业。,I guarantee I'll finish the homework on time.,ฉันรับรองว่าจะทำการบ้านเสร็จตรงเวลา
写日记,她每天晚上写日记。,She writes in her diary every evening.,เธอเขียนไดอารี่ทุกคืน
咳嗽,他感冒了，一直咳嗽。,He has a cold and keeps coughing.,เขาเป็นหวัด ไอไม่หยุดเลย
商量,我们商量一下这件事。,Let's discuss this matter.,เรามาคุยเรื่องนี้กันหน่อย
垃圾,请把垃圾放进桶里。,Please put the trash in the bin.,ช่วยทิ้งขยะลงถังหน่อย
基础,打好基础很重要。,Building a good foundation is important.,วางพื้นฐานให้ดีสำคัญมาก
大概,他大概八点会到。,He'll probably arrive around eight.,เขาน่าจะมาถึงประมาณแปดโมง
尽管,尽管下雨，他还是来了。,"Although it rained, he still came.",ถึงแม้ฝนจะตก เขาก็ยังมา
放暑假,学校下周放暑假了。,School goes on summer vacation next week.,สัปดาห์หน้าโรงเรียนปิดเทอมฤดูร้อนแล้ว
汤,妈妈做了一碗汤。,Mom made a bowl of soup.,แม่ทำซุปมาหนึ่งชาม
然而,他很努力，然而没考好。,"He worked hard, however he didn't do well on the exam.",เขาพยายามมาก แต่กลับสอบได้ไม่ดี
特点,这个城市有很多特点。,This city has many characteristics.,เมืองนี้มีจุดเด่นหลายอย่าง
睡醒,他早上七点睡醒了。,He woke up at seven in the morning.,เขาตื่นนอนตอนเจ็ดโมงเช้า
研究生,我姐姐是研究生。,My sister is a graduate student.,พี่สาวฉันเป็นนักศึกษาปริญญาโท
究竟,你究竟想说什么？,What exactly do you want to say?,ตกลงเธอจะพูดอะไรกันแน่
符合,这个答案符合要求。,This answer meets the requirements.,คำตอบนี้ตรงตามที่กำหนด
请客,今天我请客，你随便点。,"I'm treating today, order whatever you like.",วันนี้ฉันเลี้ยงเอง สั่งอะไรก็ได้ตามใจ
负责,这件事由他负责。,He is responsible for this matter.,เรื่องนี้เขาเป็นคนรับผิดชอบ
难受,他肚子疼，很难受。,"His stomach hurts, he feels very unwell.",เขาปวดท้อง รู้สึกไม่สบายมากเลย
饺子,过年时我们吃饺子。,We eat dumplings during New Year.,ช่วงปีใหม่เรากินเกี๊ยว
他人,请不要打扰他人。,Please don't disturb others.,กรุณาอย่ารบกวนคนอื่น
制造,这家工厂制造汽车。,This factory manufactures cars.,โรงงานนี้ผลิตรถยนต์
挺,这部电影挺有意思。,This movie is quite interesting.,หนังเรื่องนี้น่าสนใจดีทีเดียว
春节,春节的时候很热闹。,Spring Festival is very lively.,ช่วงตรุษจีนคึกคักมาก
申请,他正在申请这所大学。,He is applying to this university.,เขากำลังสมัครเข้ามหาวิทยาลัยแห่งนี้
确实,这道题确实很难。,This question is indeed very difficult.,ข้อนี้ยากจริงๆ
竟然,他竟然忘了我的名字。,He unexpectedly forgot my name.,เขาลืมชื่อฉันซะได้
进行,会议正在进行中。,The meeting is currently underway.,การประชุมกำลังดำเนินอยู่
千万,这个城市有千万人口。,This city has a population of ten million.,เมืองนี้มีประชากรสิบล้านคน
少数民族,中国有很多少数民族。,China has many ethnic minorities.,จีนมีชนกลุ่มน้อยหลายกลุ่ม
电话号码,请告诉我电话号码。,Please tell me your phone number.,ช่วยบอกเบอร์โทรศัพท์ให้ฉันหน่อย
离不开,生活离不开水和空气。,Life cannot do without water and air.,ชีวิตขาดน้ำและอากาศไม่ได้
连,连小孩都懂这个道理。,Even children understand this principle.,ขนาดเด็กยังเข้าใจเรื่องนี้เลย
发脾气,他生气地发脾气了。,He got angry and lost his temper.,เขาโกรธจนอารมณ์เสีย
可惜,可惜他没能来参加。,It's a pity he couldn't come to participate.,น่าเสียดายที่เขามาร่วมไม่ได้
心,她的心跳得很快。,Her heart is beating fast.,หัวใจเธอเต้นเร็วมาก
握手,他们见面就握手。,They shook hands when they met.,พอเจอกันพวกเขาก็จับมือกัน
猜,你猜他今年多大？,Guess how old he is this year?,เธอเดาซิว่าปีนี้เขาอายุเท่าไหร่
生,他生在一个普通家庭。,He was born into an ordinary family.,เขาเกิดในครอบครัวธรรมดา
能够,他能够解决问题。,He is capable of solving problems.,เขาสามารถแก้ปัญหาได้
做梦,我昨晚做梦了。,I dreamed last night.,เมื่อคืนฉันฝัน
一名,他是一名医生。,He is a doctor.,เขาเป็นหมอคนหนึ่ง
不得不,他不得不接受结果。,He had no choice but to accept the result.,เขาจำเป็นต้องยอมรับผลลัพธ์
主意,这是个好主意。,This is a good idea.,นี่เป็นความคิดที่ดี
偶尔,我偶尔会去游泳。,I occasionally go swimming.,ฉันไปว่ายน้ำเป็นบางครั้ง
到底,你到底想去哪里？,Where exactly do you want to go?,ตกลงเธออยากไปไหนกันแน่
加,三加五等于八。,Three plus five equals eight.,สามบวกห้าเท่ากับแปด
印象,他给我留下好印象。,He left me with a good impression.,เขาทำให้ฉันประทับใจมาก
号码,请写下你的号码。,Please write down your number.,ช่วยเขียนหมายเลขของเธอลงไปหน่อย
吵,他们俩又吵起来了。,The two of them started quarreling again.,สองคนนั้นทะเลาะกันอีกแล้ว
孙子,爷爷很爱他的孙子。,Grandpa loves his grandson very much.,ปู่รักหลานชายมาก
对面,他坐在我的对面。,He sits across from me.,เขานั่งตรงข้ามฉัน
干燥,这里的天气很干燥。,The weather here is very dry.,อากาศที่นี่แห้งมาก
性别,表格上要填性别。,You need to fill in gender on the form.,ในแบบฟอร์มต้องกรอกเพศด้วย
恐怕,恐怕明天会下雨。,I'm afraid it will rain tomorrow.,เกรงว่าพรุ่งนี้ฝนจะตก
打网球,我们周末一起打网球。,We play tennis together on weekends.,สุดสัปดาห์เราเล่นเทนนิสด้วยกัน
扩大,公司决定扩大规模。,The company decided to expand its scale.,บริษัทตัดสินใจขยายขนาดกิจการ
母亲,我的母亲是老师。,My mother is a teacher.,แม่ของฉันเป็นครู
毛巾,请把毛巾递给我。,Please hand me the towel.,ช่วยส่งผ้าเช็ดตัวให้ฉันหน่อย
羽毛球,他每天打羽毛球。,He plays badminton every day.,เขาเล่นแบดมินตันทุกวัน
责任心,她工作很有责任心。,She has a strong sense of responsibility at work.,เธอทำงานด้วยความรับผิดชอบสูงมาก
从来,这里从来都很安静。,It has always been very quiet here.,ที่นี่เงียบมาตลอด
内,三天内完成。,Finish within three days.,ทำให้เสร็จภายในสามวัน
实际上,实际上这个问题不难。,"In fact, this problem isn't difficult.",จริงๆ แล้วปัญหานี้ไม่ยาก
干,你在干什么？,What are you doing?,เธอกำลังทำอะไรอยู่
当时,当时我还是学生。,At that time I was still a student.,ตอนนั้นฉันยังเป็นนักเรียนอยู่
收到,我收到了你的信。,I received your letter.,ฉันได้รับจดหมายของเธอแล้ว
旅行,我们打算去旅行。,We plan to go traveling.,เราวางแผนจะไปเที่ยว
