hanzi,sentence,en,th_final
圈套,小心，这是一个圈套。,"Be careful, this is a trap.",ระวังนะ นี่คือกับดัก
土,花盆里装满了土。,The flowerpot was filled with soil.,ในกระถางเต็มไปด้วยดิน
土地,这片土地非常肥沃。,This land is extremely fertile.,ผืนดินนี้อุดมสมบูรณ์มาก
土豆,妈妈买了一袋土豆。,Mom bought a bag of potatoes.,แม่ซื้อมันฝรั่งมาถุงหนึ่ง
在场,事故发生时他不在场。,He was not present when the accident happened.,ตอนเกิดอุบัติเหตุเขาไม่ได้อยู่ในเหตุการณ์
在线,老师在线回答同学问题。,The teacher answers students' questions online.,คุณครูตอบคำถามนักเรียนออนไลน์
在职,他目前仍在职工作。,He is still currently employed.,ตอนนี้เขายังทำงานประจำอยู่
地下水,这个地区地下水很丰富。,This area has abundant groundwater.,พื้นที่นี้มีน้ำใต้ดินอุดมสมบูรณ์
地名,这个地名很难记。,This place name is hard to remember.,ชื่อสถานที่นี้จำยากมาก
地形,这里的地形十分复杂。,The terrain here is very complex.,ภูมิประเทศแถวนี้ซับซ้อนมาก
地步,事情严重到这个地步。,The situation has become this serious.,เรื่องมันร้ายแรงถึงขนาดนี้
地毯,客厅铺着一块地毯。,A rug is laid out in the living room.,ในห้องนั่งเล่นปูพรมไว้ผืนหนึ่ง
地狱,他形容那段经历如地狱。,He described that experience as hellish.,เขาบอกว่าประสบการณ์ครั้งนั้นเหมือนนรก
地理,我对中国地理很感兴趣。,I'm very interested in China's geography.,ฉันสนใจภูมิศาสตร์จีนมาก
地道,工人正在挖掘地道。,Workers are digging a tunnel.,คนงานกำลังขุดอุโมงค์
场地,比赛场地已经准备好。,The competition venue is already prepared.,สนามแข่งเตรียมพร้อมแล้ว
场景,这个场景令人感动。,This scene is deeply moving.,ฉากนี้ทำให้ซาบซึ้งใจ
坏事,他没做过坏事。,He has never done anything bad.,เขาไม่เคยทำเรื่องเลวร้าย
坏人,警察抓住了那个坏人。,The police caught the villain.,ตำรวจจับคนร้ายคนนั้นได้แล้ว
坏处,吃太多糖有坏处。,Eating too much sugar is harmful.,กินน้ำตาลมากเกินไปมีผลเสีย
坐落,学校坐落在山脚下。,The school is situated at the foot of the mountain.,โรงเรียนตั้งอยู่ที่เชิงเขา
坚信,我坚信努力会有回报。,I firmly believe hard work will pay off.,ฉันเชื่อมั่นว่าความพยายามจะได้ผลตอบแทน
坚决,他坚决反对这个计划。,He firmly opposes this plan.,เขาคัดค้านแผนนี้อย่างเด็ดขาด
坚固,这座桥梁十分坚固。,This bridge is very sturdy.,สะพานนี้แข็งแรงมาก
坚守,士兵坚守自己的岗位。,The soldier holds fast to his post.,ทหารยืนหยัดรักษาตำแหน่งของตัวเอง
坚实,这打下了坚实的基础。,This laid a solid foundation.,สิ่งนี้วางรากฐานที่มั่นคง
坚持不懈,他坚持不懈地训练。,He trains unremittingly without ever giving up.,เขาฝึกซ้อมอย่างไม่ย่อท้อ
坚硬,这块石头非常坚硬。,This stone is extremely hard.,หินก้อนนี้แข็งมาก
坚韧,她拥有坚韧的意志。,She has an unyielding will.,เธอมีจิตใจที่เข้มแข็งเหนียวแน่น
坛,他在文坛上很有名气。,He is well-known in the literary world.,เขามีชื่อเสียงมากในวงการวรรณกรรม
坟墓,村外有一座古老坟墓。,There's an ancient tomb outside the village.,นอกหมู่บ้านมีหลุมศพเก่าแก่อยู่แห่งหนึ่ง
坦然,他坦然面对了失败。,He faced the failure calmly.,เขาเผชิญหน้ากับความล้มเหลวอย่างสงบใจ
坦率,她坦率地说出真相。,She frankly spoke the truth.,เธอพูดความจริงออกมาอย่างตรงไปตรงมา
垂,柳枝垂在水面上。,The willow branches hang over the water's surface.,กิ่งหลิวห้อยลงเหนือผิวน้ำ
垂头丧气,他考试没考好，垂头丧气。,He did poorly on the exam and felt dejected.,เขาสอบได้ไม่ดี เลยหน้าเศร้าคอตก
型号,这台手机型号很新。,This phone's model is very new.,มือถือรุ่นนี้ใหม่มาก
垫,椅子上放着一个垫子。,A cushion is placed on the chair.,บนเก้าอี้มีเบาะวางอยู่ใบหนึ่ง
埋,他把宝藏埋在地下。,He buried the treasure underground.,เขาฝังสมบัติไว้ใต้ดิน
埋怨,他总是埋怨天气。,He always complains about the weather.,เขาชอบบ่นเรื่องอากาศอยู่เรื่อย
城里,他搬到城里工作。,He moved downtown to work.,เขาย้ายเข้าไปทำงานในเมือง
城镇,他从城镇搬到了乡下。,He moved from town to the countryside.,เขาย้ายจากในเมืองไปอยู่ชนบท
培育,农场培育出新品种。,The farm cultivated a new variety.,ฟาร์มเพาะพันธุ์ใหม่ขึ้นมา
基于,这个决定基于事实。,This decision is based on facts.,การตัดสินใจนี้อยู่บนพื้นฐานของข้อเท็จจริง
基因,这种疾病与基因有关。,This disease is related to genes.,โรคนี้เกี่ยวข้องกับยีน
基地,这里是空军训练基地。,This is an air force training base.,ที่นี่คือฐานฝึกของกองทัพอากาศ
基本上,任务基本上完成了。,The task is basically finished.,ภารกิจเสร็จไปเกือบหมดแล้ว
基金,他捐款设立了教育基金。,He donated money to set up an education fund.,เขาบริจาคเงินตั้งกองทุนการศึกษา
堂,学生们走进了礼堂。,The students walked into the auditorium.,นักเรียนเดินเข้าไปในหอประชุม
堆,院子里堆着一堆木材。,There's a pile of wood stacked in the yard.,ในลานบ้านมีไม้กองอยู่กองหนึ่ง
堕落,他渐渐变得堕落了。,He gradually became degenerate.,เขาค่อยๆ เสื่อมทรามลง
堪称,这部电影堪称经典。,This film can be rated as a classic.,หนังเรื่องนี้เรียกได้ว่าเป็นคลาสสิก
塑料,这个杯子是塑料的。,This cup is made of plastic.,แก้วใบนี้ทำจากพลาสติก
塑造,小说塑造了一个英雄形象。,The novel portrayed a heroic figure.,นวนิยายสร้างภาพของวีรบุรุษขึ้นมา
填充,玩偶里填充着棉花。,The doll is stuffed with cotton.,ในตุ๊กตายัดไส้ด้วยนุ่น
填写,请填写这张表格。,Please fill out this form.,กรุณากรอกแบบฟอร์มนี้
填空,请完成这道填空题。,Please complete this fill-in-the-blank question.,กรุณาทำข้อเติมคำในช่องว่างนี้ให้เสร็จ
境内,长江流经中国境内。,The Yangtze River flows within China's borders.,แม่น้ำแยงซีไหลผ่านภายในเขตแดนจีน
墓,他们去扫墓祭祖。,They went to sweep the tomb and honor their ancestors.,พวกเขาไปทำความสะอาดหลุมศพเซ่นไหว้บรรพบุรุษ
墙,墙上挂着一幅画。,A painting hangs on the wall.,บนกำแพงแขวนรูปภาพไว้รูปหนึ่ง
增多,城市的人口逐渐增多。,The city's population is gradually increasing.,ประชากรในเมืองเพิ่มขึ้นเรื่อยๆ
