hanzi,sentence,en,th_final
纤维,这种布料富含天然纤维。,This fabric is rich in natural fiber.,ผ้าชนิดนี้มีเส้นใยธรรมชาติอยู่เยอะ
约定,我们约定明天见面。,We agreed to meet tomorrow.,เรานัดกันว่าพรุ่งนี้จะเจอกัน
约束,规则约束着大家的行为。,Rules constrain everyone's behavior.,กฎช่วยควบคุมพฤติกรรมของทุกคน
级别,这个职位级别很高。,This position has a high rank.,ตำแหน่งนี้มีระดับสูงมาก
纪录,他打破了世界纪录。,He broke the world record.,เขาทำลายสถิติโลก
纪念,我们要纪念这个日子。,We should commemorate this day.,เราควรระลึกถึงวันนี้
纪念日,今天是他们的结婚纪念日。,Today is their wedding anniversary.,วันนี้เป็นวันครบรอบแต่งงานของพวกเขา
纯,这条项链是纯金的。,This necklace is pure gold.,สร้อยเส้นนี้เป็นทองคำบริสุทธิ์
纯洁,孩子的心灵十分纯洁。,A child's heart is very pure.,จิตใจของเด็กบริสุทธิ์มาก
纳入,这个项目已纳入计划。,This project has been included in the plan.,โครงการนี้ถูกรวมเข้าไปในแผนแล้ว
纳闷儿,他心里十分纳闷儿。,He felt very puzzled inside.,ในใจเขางงมาก
线条,这幅画线条流畅。,The lines in this painting are smooth.,เส้นสายในภาพวาดนี้ลื่นไหล
组,老师把学生分成四组。,The teacher divided the students into four groups.,คุณครูแบ่งนักเรียนออกเป็นสี่กลุ่ม
组合,这两种颜色组合得很好。,These two colors combine really well.,สีสองสีนี้เข้ากันได้ดีมาก
组长,他被选为小组长。,He was elected group leader.,เขาได้รับเลือกเป็นหัวหน้ากลุ่ม
细微,他注意到了对方细微的变化。,He noticed the subtle change in the other person.,เขาสังเกตเห็นความเปลี่ยนแปลงเล็กๆ น้อยๆ ของอีกฝ่าย
细心,护士照顾得很细心。,The nurse took care of them meticulously.,พยาบาลดูแลอย่างละเอียดรอบคอบ
细胞,人体由许多细胞组成。,The human body is made up of many cells.,ร่างกายมนุษย์ประกอบด้วยเซลล์มากมาย
细腻,她的皮肤十分细腻。,Her skin is very smooth and delicate.,ผิวของเธอเนียนละเอียดมาก
终止,双方终止了合作。,Both sides ended the cooperation.,ทั้งสองฝ่ายยุติความร่วมมือ
终点,他第一个跑到终点。,He was the first to reach the finish line.,เขาวิ่งถึงเส้นชัยเป็นคนแรก
终生,他终生从事教育事业。,He devoted his whole life to education.,เขาทำงานด้านการศึกษามาทั้งชีวิต
经典,这本书是文学经典。,This book is a literary classic.,หนังสือเล่มนี้เป็นวรรณกรรมคลาสสิก
经商,他很早就开始经商。,He started doing business very early.,เขาเริ่มทำธุรกิจตั้งแต่เนิ่นๆ
经度,这里的经度是多少？,What is the longitude here?,ที่นี่เส้นแวงเท่าไหร่?
经费,学校经费十分有限。,The school's funds are very limited.,งบประมาณของโรงเรียนมีจำกัดมาก
绑,他把绳子绑紧了。,He tied the rope tightly.,เขามัดเชือกให้แน่น
结,会议终于结束了。,The meeting has finally concluded.,ในที่สุดการประชุมก็จบลง
结冰,湖面已经结冰了。,The lake has already frozen over.,ผิวน้ำในทะเลสาบจับตัวเป็นน้ำแข็งแล้ว
结合,理论要和实践结合。,Theory should be combined with practice.,ทฤษฎีต้องผสานเข้ากับการปฏิบัติ
结局,电影的结局很感人。,The movie's ending was very moving.,ตอนจบของหนังซึ้งมาก
绕,我们绕道回家了。,We took a detour home.,เราอ้อมทางกลับบ้าน
络绎不绝,游客络绎不绝地到来。,Tourists arrived in an endless stream.,นักท่องเที่ยวเดินทางมากันไม่ขาดสาย
绝,这种动物已经绝种。,This animal has already gone extinct.,สัตว์ชนิดนี้สูญพันธุ์ไปแล้ว
绝大多数,绝大多数人支持这个决定。,The vast majority of people support this decision.,คนส่วนใหญ่อย่างท่วมท้นสนับสนุนการตัดสินใจนี้
绝缘,这种材料能绝缘。,This material can insulate.,วัสดุชนิดนี้เป็นฉนวนได้
绞,绳子绞在了一起。,The ropes got twisted together.,เชือกพันกันยุ่งไปหมด
统计,老师统计了学生人数。,The teacher counted the number of students.,คุณครูนับจำนวนนักเรียน
绣,奶奶擅长绣花。,Grandma is good at embroidery.,คุณย่าเก่งเรื่องปักผ้า
继,儿子继父业开了工厂。,The son carried on his father's business and opened a factory.,ลูกชายสานต่อกิจการของพ่อและเปิดโรงงาน
续,服务员给我们续了一壶茶。,The waiter refilled our pot of tea.,พนักงานเติมชาให้เราอีกกา
维护,我们要维护公共秩序。,We must maintain public order.,เราต้องรักษาความเป็นระเบียบของส่วนรวม
维持,他努力维持家庭生活。,He works hard to maintain the family's livelihood.,เขาพยายามประคับประคองครอบครัวไว้
绽放,樱花在春天绽放。,Cherry blossoms bloom in spring.,ดอกซากุระบานในฤดูใบไม้ผลิ
绿地,小区新增一片绿地。,The neighborhood added a green area.,หมู่บ้านเพิ่มพื้นที่สีเขียวขึ้นมาใหม่
缓,老人走路的步伐很缓。,The old man's walking pace is slow.,ก้าวเดินของคุณตาช้ามาก
缓和,两人的关系逐渐缓和。,The relationship between the two gradually eased.,ความสัมพันธ์ของทั้งสองค่อยๆ ผ่อนคลายลง
缓慢,老人走路速度缓慢。,The old man walks slowly.,คุณตาเดินช้าๆ
编写,他负责编写教材。,He is responsible for compiling the textbook.,เขารับผิดชอบเรียบเรียงหนังสือเรียน
缘故,因为天气的缘故延期了。,It was postponed due to the weather.,ต้องเลื่อนออกไปเพราะสาเหตุเรื่องอากาศ
