hanzi,sentence,en,th_final
一连串,他遇到了一连串的麻烦。,He ran into a string of troubles.,เขาเจอปัญหาต่อเนื่องกันหลายเรื่อง
一阵,窗外突然刮起一阵大风。,A gust of wind suddenly blew up outside.,จู่ๆ นอกหน้าต่างก็มีลมแรงพัดมาวูบหนึ่ง
一面,每个人都有软弱的一面。,Everyone has a weak side to them.,ทุกคนต่างก็มีด้านที่อ่อนแอของตัวเอง
万一,万一下雨，记得带伞。,In case it rains,เผื่อฝนตก อย่าลืมเอาร่มไปด้วย
万分,听到消息她万分激动。,"Hearing the news, she was extremely excited.",พอได้ยินข่าว เธอก็ตื่นเต้นสุดๆ
万能,世上没有万能的方法。,There's no all-purpose method in the world.,ในโลกนี้ไม่มีวิธีที่ใช้ได้กับทุกเรื่อง
三维,这款软件可以制作三维模型。,This software can create 3D models.,ซอฟต์แวร์ตัวนี้สร้างโมเดลสามมิติได้
上升,气温正在慢慢上升。,The temperature is slowly rising.,อุณหภูมิกำลังค่อยๆ สูงขึ้น
上去,你快上去吧。,Go on up quickly.,เธอรีบขึ้นไปเลย
上学,弟弟每天走路上学。,My little brother walks to school every day.,น้องชายเดินไปโรงเรียนทุกวัน
上岗,新员工培训后正式上岗。,After training,พนักงานใหม่เข้าประจำตำแหน่งอย่างเป็นทางการหลังฝึกอบรมเสร็จ
上市,新款手机下周上市。,The new phone hits the market next week.,มือถือรุ่นใหม่จะวางตลาดสัปดาห์หน้า
上当,他因为轻信而上当了。,He was fooled because he trusted too easily.,เขาเชื่อคนง่ายเลยโดนหลอก
上方,黑板的上方挂着一幅地图。,A map hangs above the blackboard.,เหนือกระดานดำมีแผนที่แขวนอยู่
上来,快上来喝杯茶吧。,Come on up and have a cup of tea.,รีบขึ้นมาดื่มชาสักถ้วยสิ
上游,这条河的上游污染严重。,The upper reaches of this river are heavily polluted.,ต้นน้ำของแม่น้ำสายนี้ปนเปื้อนมลพิษหนักมาก
上车,火车马上开了，快上车吧。,The train is about to leave,รถไฟจะออกแล้ว รีบขึ้นรถเลย
上述,上述问题需要尽快解决。,The aforementioned issues need to be resolved soon.,ปัญหาที่กล่าวมาข้างต้นต้องรีบแก้ไขโดยเร็ว
下令,司令下令全军立刻撤退。,The commander ordered the whole army to retreat immediately.,ผู้บัญชาการออกคำสั่งให้ทั้งกองทัพถอยทัพทันที
下意识,他下意识地摸了摸口袋。,He subconsciously touched his pocket.,เขาเผลอคลำกระเป๋าโดยไม่รู้ตัว
下旬,他打算下旬回国。,He plans to return home in late month.,เขาตั้งใจจะกลับประเทศช่วงปลายเดือน
下游,工厂建在河流的下游。,The factory is built downstream on the river.,โรงงานตั้งอยู่ปลายน้ำของแม่น้ำ
下调,银行下调了存款利率。,The bank lowered the deposit interest rate.,ธนาคารปรับลดอัตราดอกเบี้ยเงินฝากลง
不一会儿,不一会儿他就回来了。,"In a little while, he came back.",แป๊บเดียวเขาก็กลับมา
不予,对此事公司不予置评。,The company declined to comment on this matter.,บริษัทไม่ขอแสดงความเห็นต่อเรื่องนี้
不以为然,他对此不以为然。,He took a dim view of this.,เขาไม่เห็นด้วยกับเรื่องนี้เท่าไร
不值,这件事根本不值一提。,This matter isn't even worth mentioning.,เรื่องนี้ไม่คุ้มจะเอ่ยถึงเลยด้วยซ้ำ
不假思索,他不假思索地答应了。,He agreed without a moment's hesitation.,เขาตอบตกลงโดยไม่ต้องคิดเลย
不免,第一次演讲不免紧张。,One's first speech is inevitably nerve-wracking.,การพูดครั้งแรกย่อมอดตื่นเต้นไม่ได้
不准,这里不准抽烟。,Smoking is not allowed here.,ที่นี่ห้ามสูบบุหรี่
不利,天气对比赛不利。,The weather is unfavorable for the match.,อากาศไม่เป็นผลดีต่อการแข่งขัน
不可思议,这件事真不可思议。,This is truly inconceivable.,เรื่องนี้เหลือเชื่อจริงๆ
不在乎,他根本不在乎别人的看法。,He simply doesn't care what others think.,เขาไม่แคร์เลยว่าคนอื่นจะคิดยังไง
不妨,你不妨试一试。,You might as well give it a try.,เธอจะลองดูสักหน่อยก็ไม่เสียหาย
不屑,他对这个提议很不屑。,He is quite disdainful of this proposal.,เขาไม่เห็นข้อเสนอนี้อยู่ในสายตาเลย
不已,听到消息他激动不已。,On hearing the news he was endlessly excited.,พอได้ยินข่าว เขาก็ตื่นเต้นไม่หาย
不得了,这件事闹得不得了。,This matter has blown up into something serious.,เรื่องนี้ลุกลามใหญ่โตจนไม่ได้การ
