hanzi,sentence,en
扑灭,消防员扑灭了大火。,Firefighters extinguished the big fire.
故,电脑忽然出故障了。,The computer suddenly malfunctioned.
术,这位医生医术高明。,This doctor's medical skill is excellent.
根,这棵树的根很深。,This tree's root is very deep.
泉水,山上流出清澈泉水。,Clear spring water flows down the mountain.
洞,山上有一个大洞。,There is a big cave on the mountain.
深处,森林深处非常安静。,Deep in the forest it is very quiet.
空中,飞机正在空中飞行。,The plane is flying in the sky.
肠胃,他最近肠胃不太好。,His digestive system hasn't been very good lately.
肺,吸烟对肺不好。,Smoking is bad for the lungs.
薄,这本书非常薄。,This book is very thin.
蛋壳,蛋壳很容易破碎。,Eggshells break very easily.
赏,老板赏了他一百元。,The boss rewarded him with a hundred yuan.
逐,他逐个检查了房间。,He checked the rooms one by one.
镁,镁是一种轻金属。,Magnesium is a lightweight metal.
兑换,他去银行兑换外币。,He went to the bank to exchange foreign currency.
剁,妈妈在厨房剁肉。,Mom is chopping meat in the kitchen.
化妆师,她想成为化妆师。,She wants to become a make-up artist.
印刷术,他研究印刷术的历史。,He studies the history of printing technology.
吃零食,小孩喜欢吃零食。,Children like to eat snacks.
喷发,火山突然喷发了。,The volcano suddenly erupted.
山西人,他是山西人。,He is a person from Shanxi.
开凿,工人开凿了一条隧道。,Workers cut through and dug a tunnel.
拱桥,河上有一座拱桥。,There is an arch bridge over the river.
播放,电视正在播放新闻。,The TV is broadcasting the news.
星星,晚上能看见星星。,You can see the stars at night.
有无,他检查货物有无损坏。,He checked whether the goods were damaged.
有色,这是一种有色玻璃。,This is a kind of colored glass.
桥梁,这座桥梁很长。,This bridge is very long.
椒,这道菜放了很多辣椒。,This dish has a lot of pepper in it.
水利,政府重视水利建设。,The government values water conservancy projects.
求学,他去国外求学。,He went abroad to pursue his studies.
秒,还有十秒就开始了。,There are ten seconds left before it starts.
米缸,米缸里没有米了。,There is no rice left in the rice jar.
红楼,山顶上有一座红楼。,There is a red mansion on top of the hill.
羊群,草原上有很多羊群。,There are many flocks of sheep on the grassland.
老爷爷,老爷爷坐在门口。,The elderly grandpa is sitting at the doorway.
茧,蚕吐丝结成茧。,The silkworm spins silk into a cocoon.
虎,老虎是森林之王。,The tiger is the king of the forest.
蜈蚣,地上爬着一只蜈蚣。,A centipede is crawling on the ground.
裂,杯子摔裂了。,The cup cracked when it fell.
诱饵,渔夫用诱饵钓鱼。,The fisherman uses bait to catch fish.
调,他被调去北京工作。,He was transferred to work in Beijing.
轨道,火车行驶在轨道上。,The train runs on the track.
转基因,这是转基因食品。,This is genetically modified food.
韧,这种绳子很韧。,This kind of rope is very tough.
鱼头,妈妈煮了鱼头汤。,Mom cooked fish head soup.
三类,这些书分为三类。,These books are divided into three kinds.
不安,他心里感到不安。,He felt uneasy inside.
人人,人人都喜欢这首歌。,Everyone likes this song.
今后,今后我会更努力。,From now on I will work harder.
众多,公园里有众多游客。,There are numerous visitors in the park.
依赖,孩子依赖父母。,Children depend on their parents.
倘若,倘若下雨，我们就取消。,"If it rains, we will cancel."
全新,他买了一辆全新的车。,He bought a brand new car.
凸显,这个问题凸显了矛盾。,This issue highlights the conflict.
分解,垃圾需要时间分解。,Garbage needs time to decompose.
初,起初我不认识他。,"At first, I didn't know him."
半途而废,他从不半途而废。,He never gives up halfway.
华丽,这件裙子很华丽。,This dress is very gorgeous.
历史悠久,这座城市历史悠久。,This city has a long and established history.
参与,参与讨论很有意义。,Participating in the discussion is meaningful.
响,电话响了很久。,The phone rang for a long time.
喜悦,她心里充满喜悦。,Her heart was filled with joy.
图画,墙上挂着一幅图画。,A picture hangs on the wall.
场合,这种场合要穿正装。,You should wear formal clothes on such occasions.
场所,图书馆是安静的场所。,The library is a quiet place.
场面,婚礼场面十分热闹。,The wedding scene was very lively.
境界,他达到了新的境界。,He reached a new realm.
头脑,他头脑很清醒。,His mind is very clear.
奇,他的想法十分奇特。,His idea is quite peculiar.
套,我买了一套衣服。,I bought a set of clothes.
尽快,请尽快回复邮件。,Please reply to the email as soon as possible.
尽量,我们尽量准时到达。,We will try our best to arrive on time.
居住,他们居住在乡下。,They reside in the countryside.
工作人员,工作人员正在检查设备。,The staff members are checking the equipment.
年间,那几年间发生了很多事。,Many things happened during those years.
弱,他身体很弱。,His body is weak.
强大,这个国家很强大。,This country is very powerful.
得天独厚,这里条件得天独厚。,The conditions here are uniquely favorable.
忽略,不要忽略细节。,Don't overlook the details.
急于求成,他做事急于求成。,He is impatient for quick results in his work.
总之,总之，我们成功了。,"In short, we succeeded."
承受,他能承受压力。,He can bear the pressure.
挣扎,他在水中挣扎。,He struggled in the water.
操作,请按说明操作机器。,Please operate the machine according to the instructions.
支配,时间由你自己支配。,Time is controlled by yourself.
改进,我们需要改进方法。,We need to improve the method.
放慢,请放慢说话速度。,Please slow down your speaking pace.
敏感,她皮肤很敏感。,Her skin is very sensitive.
整整,他整整等了一天。,He waited for a whole day.
文学,她喜欢古典文学。,She likes classical literature.
新颖,这个设计很新颖。,This design is very novel.
无数,天上有无数星星。,There are countless stars in the sky.
时刻,这是关键时刻。,This is a critical moment.
望,我望你早日康复。,I hope you recover soon.
来自,他来自法国。,He comes from France.
格外,今天天气格外冷。,Today the weather is especially cold.
消耗,运动消耗体力。,Exercise consumes physical energy.
深受,他深受大家欢迎。,He is very popular with everyone.
