hanzi,sentence,en
南风,今天刮南风。,There's a south wind blowing today.
海底,海底有很多鱼。,There are many fish at the bottom of the sea.
一份,我要一份炒饭。,I'd like one order of fried rice.
不仅仅,他不仅仅是老师。,He isn't just a teacher.
互相理解,夫妻要互相理解。,Husband and wife need to understand each other.
借钱,我想跟你借钱。,I want to borrow money from you.
停车,这里不能停车。,You can't park here.
停车场,商场旁边有停车场。,There's a parking lot next to the mall.
全世界,他去过全世界。,He has traveled all over the world.
其他人,别管其他人怎么想。,Don't worry about what other people think.
其次,"首先洗菜,其次切肉。","First wash the vegetables, then cut the meat."
冷静下来,请大家冷静下来。,Please everyone calm down.
动,"风一吹,树叶动了。",The wind blew and the leaves moved.
半小时,我等了半小时。,I waited for half an hour.
发传真,请帮我发传真。,Please send a fax for me.
受不了,这个味道我受不了。,I can't stand this smell.
各位,各位请注意安全。,Everyone please pay attention to safety.
垃圾桶,垃圾桶在门口。,The trash can is by the door.
复印机,复印机坏了。,The photocopier is broken.
多喝水,感冒了要多喝水。,"When you have a cold, drink more water."
天黑,"天黑了,快回家。","It's getting dark, hurry home."
姓名,请写下你的姓名。,Please write down your full name.
我会,我会说汉语。,I can speak Chinese.
戴,她戴着一顶帽子。,She is wearing a hat.
房东,我的房东人很好。,My landlord is very nice.
所有人,所有人都到了。,Everyone has arrived.
排队,大家都在排队。,Everyone is lining up.
接受批评,他不能接受批评。,He can't accept criticism.
散散步,吃完饭去散散步。,Let's go for a stroll after eating.
日记,我每天写日记。,I write in my diary every day.
照相,我们在这里照相。,Let's take a photo here.
环境保护,环境保护很重要。,Environmental protection is very important.
环境污染,环境污染很严重。,Environmental pollution is very serious.
现代人,现代人压力很大。,Modern people have a lot of stress.
相比,跟以前相比，现在更好。,"Compared to before, things are better now."
笔记,我上课认真做笔记。,I take notes carefully in class.
第一印象,他给我的第一印象很好。,He gave me a very good first impression.
算,你帮我算一下多少钱。,Please help me calculate how much money it is.
篇文章,他写了一篇文章。,He wrote an article.
组成,这些字组成一个词。,These characters form a word.
组织,学校组织了一次旅行。,The school organized a trip.
考虑一下,这个问题我要考虑一下。,I need to think this problem over.
自信,他说话很自信。,He speaks very confidently.
说明书,请你看一下说明书。,Please take a look at the instruction manual.
调查结果,调查结果让大家很意外。,The survey results surprised everyone.
责任,这是我的责任。,This is my responsibility.
身上,他身上没有钱。,He has no money on him.
身边,她一直在我身边。,She has always been by my side.
速度快,这辆车速度快。,This car is fast.
邮局,邮局在银行旁边。,The post office is next to the bank.
顺便,你出去时顺便买牛奶。,"When you go out, buy some milk on the way."
鼓掌,大家都为他鼓掌。,Everyone applauded for him.
一生,他一生都很努力。,He worked hard his whole life.
一门,汉语是一门有趣的课。,Chinese is an interesting course.
交给,请把作业交给老师。,Please hand the homework to the teacher.
假,这是一个假消息。,This is a fake piece of news.
假话,他从不说假话。,He never tells lies.
刚刚,他刚刚离开这里。,He just left here a moment ago.
功夫,他的功夫非常厉害。,His skill is extremely impressive.
发现自己,我发现自己爱上了她。,I found myself falling in love with her.
同样,我们有同样的想法。,We have the same idea.
周围环境,这里的周围环境很安静。,The surrounding environment here is quiet.
大学生,她是一名大学生。,She is a university student.
大小,这双鞋大小合适。,This pair of shoes is the right size.
抱,妈妈抱着孩子。,The mother is holding the child.
提,他提着一个包。,He is carrying a bag.
故意,他不是故意的。,He didn't do it on purpose.
有效,这个方法很有效。,This method is very effective.
现代汉语,我在学习现代汉语。,I am studying modern Chinese.
美食,这座城市有很多美食。,This city has a lot of delicious food.
聊,我们聊了很久。,We chatted for a long time.
葡萄酒,他喜欢喝葡萄酒。,He likes to drink wine.
这时,这时门突然开了。,"At this moment, the door suddenly opened."
这本,这本书很有意思。,This book is very interesting.
进入,他进入了教室。,He entered the classroom.
郊区,他们住在郊区。,They live in the suburbs.
骗人,他从来不骗人。,He never cheats anyone.
十几岁,她今年十几岁。,She is in her teens this year.
步入,他慢慢步入房间。,He slowly stepped into the room.
演,他在电影里演警察。,He plays a police officer in the movie.
生活习惯,早睡是好的生活习惯。,Going to bed early is a good lifestyle habit.
目的地,我们终于到达目的地。,We finally arrived at our destination.
睡觉时间,现在是睡觉时间了。,It's bedtime now.
矿泉水,请给我一瓶矿泉水。,Please give me a bottle of mineral water.
网球,他每周打网球。,He plays tennis every week.
难题,这是一个难题。,This is a difficult problem.
女孩子,那个女孩子很漂亮。,That girl is very pretty.
小名,他的小名叫小虎。,His childhood nickname is Xiaohu.
高大,那棵树非常高大。,That tree is very tall.
一张,我买了一张票。,I bought a ticket.
一本,我借了一本书。,I borrowed a book.
一般来说,一般来说，他很准时。,"Generally speaking, he is very punctual."
一遍,请你再说一遍。,Please say it one more time.
下列,请看下列内容。,Please look at the following content.
不知,我不知这件事是真是假。,I don't know whether this matter is true or false.
不礼貌,那样做很不礼貌。,Doing that is very impolite.
不符,这与事实不符。,This does not agree with the facts.
不起作用,这个药不起作用。,This medicine has no effect.
之,父母之爱最伟大。,Parents' love is the greatest.
二层,我的教室在二层。,My classroom is on the second floor.
从来不,我从来不迟到。,I am never late.
以上,十八岁以上才能进。,Only those eighteen or above can enter.
以外,除了他以外都来了。,Everyone came except him.
作家,她是一位有名的作家。,She is a famous author.
信任别人,我们要学会信任别人。,We should learn to trust others.
信封,她把信放进信封。,She put the letter into the envelope.
