hanzi,sentence,en,th_final
统一,国家实现了统一。,The country achieved unification.,ประเทศรวมเป็นหนึ่งเดียวแล้ว
装修,他们在装修房子。,They are renovating the house.,พวกเขากำลังตกแต่งบ้านอยู่
询问,我向老师询问问题。,I asked the teacher a question.,ฉันสอบถามคำถามกับครู
退休,爷爷去年退休了。,Grandpa retired last year.,ปู่เกษียณเมื่อปีที่แล้ว
风格,这幅画风格独特。,This painting has a unique style.,ภาพวาดนี้มีสไตล์ที่เป็นเอกลักษณ์
一座,那是一座大桥。,That is a bridge.,นั่นคือสะพานใหญ่แห่งหนึ่ง
一项,这是一项新任务。,This is a new task.,นี่คือภารกิจใหม่อย่างหนึ่ง
产品,这家公司的产品很好。,This company's products are great.,สินค้าของบริษัทนี้ดีมาก
从不,他从不迟到。,He is never late.,เขาไม่เคยมาสายเลย
令人,这个消息令人高兴。,This news is delightful.,ข่าวนี้ทำให้คนดีใจ
保存,请保存好这份文件。,Please save this document properly.,ช่วยเก็บเอกสารนี้ไว้ให้ดี
充分,他做了充分准备。,He made ample preparations.,เขาเตรียมตัวมาอย่างเต็มที่
出色,她表现得很出色。,She performed outstandingly.,เธอทำได้ยอดเยี่ยมมาก
可怕,那场火灾很可怕。,That fire was terrifying.,ไฟไหม้ครั้งนั้นน่ากลัวมาก
善良,她心地善良。,She is kindhearted.,เธอเป็นคนใจดี
属于,这本书属于我。,This book belongs to me.,หนังสือเล่มนี้เป็นของฉัน
常常,我常常去公园。,I often go to the park.,ฉันไปสวนสาธารณะบ่อยๆ
平静,海面很平静。,The sea is very calm.,ทะเลสงบนิ่งมาก
想象,你能想象吗？,Can you imagine that?,เธอจินตนาการออกไหม?
感激,我非常感激你。,I am very grateful to you.,ฉันซาบซึ้งใจเธอมากๆ
成语,这个成语很有名。,This idiom is very famous.,สำนวนนี้มีชื่อเสียงมาก
承认,他承认自己错了。,He admitted he was wrong.,เขายอมรับว่าตัวเองผิด
摇,他摇了摇头。,He shook his head.,เขาส่ายหัวไปมา
救,医生救了他的命。,The doctor saved his life.,หมอช่วยชีวิตเขาไว้
渐渐,天渐渐黑了。,It gradually got dark.,ท้องฟ้าค่อยๆ มืดลง
粮食,农民种植粮食。,Farmers grow grain.,ชาวนาปลูกธัญพืช
规律,生活要有规律。,Life should have a regular routine.,ชีวิตต้องมีระเบียบสม่ำเสมอ
评价,老师评价了他的作文。,The teacher evaluated his essay.,ครูประเมินเรียงความของเขา
资金,公司缺少资金。,The company lacks funds.,บริษัทขาดเงินทุน
运气,他今天运气很好。,He has good luck today.,วันนี้เขาโชคดีมาก
亲人,他和亲人团聚了。,He reunited with his family.,เขาได้กลับมาพบหน้าคนในครอบครัวอีกครั้ง
吸收,植物吸收阳光。,Plants absorb sunlight.,พืชดูดซับแสงแดด
形式,这是一种新形式。,This is a new form.,นี่คือรูปแบบใหม่แบบหนึ่ง
心理学家,他是一位心理学家。,He is a psychologist.,เขาเป็นนักจิตวิทยา
拥有,他拥有很多书。,He owns many books.,เขามีหนังสือมากมาย
虽,他虽穷，却很快乐。,"Although he is poor, he is very happy.",แม้เขาจะยากจน แต่ก็มีความสุขมาก
命令,将军下达了命令。,The general issued an order.,นายพลออกคำสั่ง
大脑,大脑需要休息。,The brain needs rest.,สมองต้องการพักผ่อน
挤,他挤进了人群。,He squeezed into the crowd.,เขาเบียดเข้าไปในฝูงชน
村民,村民们很热情。,The villagers are very friendly.,ชาวบ้านเป็นมิตรมาก
法官,法官很公正。,The judge is very fair.,ผู้พิพากษายุติธรรมมาก
狐狸,狐狸很聪明。,The fox is very clever.,สุนัขจิ้งจอกฉลาดมาก
