hanzi,sentence,en
圈套,小心，这是一个圈套。,"Be careful, this is a trap."
土,花盆里装满了土。,The flowerpot was filled with soil.
土地,这片土地非常肥沃。,This land is extremely fertile.
土豆,妈妈买了一袋土豆。,Mom bought a bag of potatoes.
在场,事故发生时他不在场。,He was not present when the accident happened.
在线,老师在线回答同学问题。,The teacher answers students' questions online.
在职,他目前仍在职工作。,He is still currently employed.
地下水,这个地区地下水很丰富。,This area has abundant groundwater.
地名,这个地名很难记。,This place name is hard to remember.
地形,这里的地形十分复杂。,The terrain here is very complex.
地步,事情严重到这个地步。,The situation has become this serious.
地毯,客厅铺着一块地毯。,A rug is laid out in the living room.
地狱,他形容那段经历如地狱。,He described that experience as hellish.
地理,我对中国地理很感兴趣。,I'm very interested in China's geography.
地道,工人正在挖掘地道。,Workers are digging a tunnel.
场地,比赛场地已经准备好。,The competition venue is already prepared.
场景,这个场景令人感动。,This scene is deeply moving.
坏事,他没做过坏事。,He has never done anything bad.
坏人,警察抓住了那个坏人。,The police caught the villain.
坏处,吃太多糖有坏处。,Eating too much sugar is harmful.
坐落,学校坐落在山脚下。,The school is situated at the foot of the mountain.
坚信,我坚信努力会有回报。,I firmly believe hard work will pay off.
坚决,他坚决反对这个计划。,He firmly opposes this plan.
坚固,这座桥梁十分坚固。,This bridge is very sturdy.
坚守,士兵坚守自己的岗位。,The soldier holds fast to his post.
坚实,这打下了坚实的基础。,This laid a solid foundation.
坚持不懈,他坚持不懈地训练。,He trains unremittingly without ever giving up.
坚硬,这块石头非常坚硬。,This stone is extremely hard.
坚韧,她拥有坚韧的意志。,She has an unyielding will.
坛,他在文坛上很有名气。,He is well-known in the literary world.
坟墓,村外有一座古老坟墓。,There's an ancient tomb outside the village.
坦然,他坦然面对了失败。,He faced the failure calmly.
坦率,她坦率地说出真相。,She frankly spoke the truth.
垂,柳枝垂在水面上。,The willow branches hang over the water's surface.
垂头丧气,他考试没考好，垂头丧气。,He did poorly on the exam and felt dejected.
型号,这台手机型号很新。,This phone's model is very new.
垫,椅子上放着一个垫子。,A cushion is placed on the chair.
埋,他把宝藏埋在地下。,He buried the treasure underground.
埋怨,他总是埋怨天气。,He always complains about the weather.
城里,他搬到城里工作。,He moved downtown to work.
城镇,他从城镇搬到了乡下。,He moved from town to the countryside.
培育,农场培育出新品种。,The farm cultivated a new variety.
基于,这个决定基于事实。,This decision is based on facts.
基因,这种疾病与基因有关。,This disease is related to genes.
基地,这里是空军训练基地。,This is an air force training base.
基本上,任务基本上完成了。,The task is basically finished.
基金,他捐款设立了教育基金。,He donated money to set up an education fund.
堂,学生们走进了礼堂。,The students walked into the auditorium.
堆,院子里堆着一堆木材。,There's a pile of wood stacked in the yard.
堕落,他渐渐变得堕落了。,He gradually became degenerate.
堪称,这部电影堪称经典。,This film can be rated as a classic.
塑料,这个杯子是塑料的。,This cup is made of plastic.
塑造,小说塑造了一个英雄形象。,The novel portrayed a heroic figure.
填充,玩偶里填充着棉花。,The doll is stuffed with cotton.
填写,请填写这张表格。,Please fill out this form.
填空,请完成这道填空题。,Please complete this fill-in-the-blank question.
境内,长江流经中国境内。,The Yangtze River flows within China's borders.
墓,他们去扫墓祭祖。,They went to sweep the tomb and honor their ancestors.
墙,墙上挂着一幅画。,A painting hangs on the wall.
增多,城市的人口逐渐增多。,The city's population is gradually increasing.
增大,压力使风险增大。,The pressure increases the risk.
增添,这盏灯增添了不少情调。,This lamp added quite a bit of ambiance.
增进,旅行能增进彼此感情。,Traveling can strengthen mutual affection.
墨水,钢笔里没有墨水了。,The fountain pen has run out of ink.
壁画,墙上画着古老的壁画。,An ancient mural is painted on the wall.
壮观,日出的景象十分壮观。,The sunrise is a spectacular sight.
声明,公司发表了一份声明。,The company issued a statement.
声望,这位医生声望很高。,This doctor has a very high reputation.
声誉,这家公司很注重声誉。,This company values its reputation highly.
壳,鸡蛋壳很容易碎。,Eggshells break very easily.
处在,公司正处在困难时期。,The company is currently in a difficult period.
备受,这项政策备受关注。,This policy has received a great deal of attention.
复活,春天万物复活。,All things come back to life in spring.
外交,两国建立外交关系。,The two countries established diplomatic relations.
外婆,外婆做的饭菜真香。,The food my grandma makes is delicious.
外形,这辆车的外形很时尚。,This car has a very stylish shape.
外衣,他脱下厚厚的外衣。,He took off his thick outer coat.
外表,别只看外表判断一个人。,Don't judge a person just by their appearance.
外观,这栋楼的外观很独特。,This building's exterior looks very unique.
外貌,不要只看一个人的外貌。,Don't judge a person only by their appearance.
外部,问题来自外部环境。,The problem comes from the external environment.
多云,明天天气多云转晴。,Tomorrow will be cloudy turning to clear.
多余,这些话完全是多余的。,Those words were completely unnecessary.
多元,这个城市文化十分多元。,This city's culture is very diverse.
多功能,这是一款多功能手机。,This is a multifunctional phone.
多样,这里的文化多样。,The culture here is diverse.
夜,昨夜下了一场大雪。,It snowed heavily last night.
夜班,他今晚要上夜班。,He has to work the night shift tonight.
大于,十大于九是常识。,That ten is greater than nine is common sense.
大众,这首歌深受大众喜爱。,This song is deeply loved by the public.
大体上,计划大体上已经完成。,The plan is basically complete overall.
大厦,这座大厦有五十层。,This building has fifty floors.
大吃一惊,消息让大家大吃一惊。,The news left everyone utterly astonished.
大名鼎鼎,他是大名鼎鼎的作家。,He is a renowned writer.
大多,学生大多很努力。,Most students work hard.
大大,效率大大提高了。,Efficiency has been greatly improved.
大夫,大夫给他开了药。,The doctor prescribed medicine for him.
大意,请说说文章大意。,Please describe the main idea of the article.
大批,工厂进口了大批原料。,The factory imported a large batch of raw materials.
大方,她出手非常大方。,She is extremely generous with her spending.
大楼,这栋大楼有三十层。,This building has thirty floors.
大片,窗外是大片的稻田。,Outside the window is a vast expanse of rice fields.
大胆,他提出了一个大胆的计划。,He proposed a bold plan.
大致,我大致了解了情况。,I roughly understood the situation.
大街,大街上车水马龙。,The main street was bustling with traffic.
大规模,工厂进行了大规模改造。,The factory underwent large-scale renovation.
大象,动物园里有一头大象。,There is an elephant at the zoo.
大赛,他赢得了这次大赛。,He won this grand competition.
大门,他推开学校大门。,He pushed open the school's front gate.
天上,天上有很多星星。,There are many stars in the sky.
天分,她在音乐上很有天分。,She has great talent in music.
天地,年轻人应该闯出一片天地。,Young people should carve out their own world.
天堂,这里简直就是天堂。,This place is simply paradise.
天性,好奇是孩子的天性。,Curiosity is a child's innate nature.
天文,他对天文很感兴趣。,He is very interested in astronomy.
天桥,行人从天桥上过马路。,Pedestrians cross the road via the overpass.
天然气,这栋楼使用天然气取暖。,This building uses natural gas for heating.
天真,别再那么天真了。,Don't be so naive anymore.
天赋,她在音乐上很有天赋。,She has great talent in music.
太阳能,这栋房子靠太阳能供电。,This house is powered by solar energy.
夫妇,这对夫妇结婚十年了。,This couple has been married for ten years.
失业,疫情导致大量人失业。,The pandemic caused a large number of people to lose their jobs.
失传,这项手艺几乎失传了。,This craft has almost died out.
失利,球队在决赛中失利。,The team suffered defeat in the final.
失控,汽车突然失控撞墙。,The car suddenly went out of control and hit the wall.
失落,考试没考好，他很失落。,He felt down after doing poorly on the exam.
失误,这次失误代价很大。,This mistake came at a great cost.
头晕,她突然感到头晕。,She suddenly felt dizzy.
头顶,小鸟落在他的头顶上。,A little bird landed on top of his head.
夸,老师夸他进步很快。,The teacher praised him for progressing quickly.
夸大,请不要夸大事实。,Please don't exaggerate the facts.
夸张,他说话有点夸张。,He exaggerates a bit when he talks.
夹,她用夹子夹住头发。,She used a clip to hold her hair.
夺,选手奋力夺得冠军。,The athlete fought hard to seize the championship.
奇特,这座建筑造型奇特。,This building has a peculiar shape.
奉献,他为教育事业默默奉献。,He silently devoted himself to education.
奋力,他奋力游向岸边。,He swam toward the shore with all his might.
奋斗,他一直为梦想奋斗。,He has always striven for his dream.
奏效,这个方法终于奏效了。,This method finally worked.
契机,这是转型的契机。,This is an opportunity for transformation.
奔,他奔向远方的家乡。,He rushed toward his distant hometown.
奖励,老师奖励了优秀的学生。,The teacher rewarded the outstanding students.
奖品,冠军可以得到奖品。,The champion gets a prize.
奖项,她获得了最佳奖项。,She won the top award.
奠定,这次会议奠定了合作基础。,This meeting laid the foundation for cooperation.
奢侈,出国旅游曾是奢侈的事。,Traveling abroad used to be a luxury.
奥运会,中国将举办下一届奥运会。,China will host the next Olympic Games.
奶,早上喝一杯牛奶。,Drink a glass of milk in the morning.
好事,帮助别人是好事。,Helping others is a good thing.
好人,他一直是个好人。,He has always been a good person.
好似,夜空好似一幅画。,The night sky seems like a painting.
好坏,这件事的好坏很难说。,It's hard to say whether this is good or bad.
好学,这个孩子从小就好学。,This child has been eager to learn since childhood.
好心人,一位好心人帮了我们。,A kind-hearted person helped us.
好意,我们感谢你的好意。,We appreciate your kind intention.
好感,他对她很有好感。,He has a favorable impression of her.
好比,时间好比流水一去不返。,"Time is like flowing water, never to return."
好转,他的病情正在好转。,His condition is improving.
