hanzi,sentence,en,th_final
政策,新政策鼓励年轻人创业。,The new policy encourages young people to start businesses.,นโยบายใหม่สนับสนุนให้คนหนุ่มสาวเริ่มทำธุรกิจ
效应,这个决定产生了连锁效应。,This decision triggered a chain reaction.,การตัดสินใจนี้ทำให้เกิดผลกระทบต่อเนื่องเป็นลูกโซ่
效益,公司今年经济效益很好。,The company had good economic returns this year.,ปีนี้บริษัทมีผลตอบแทนทางเศรษฐกิจดีมาก
敏捷,猴子的动作十分敏捷。,The monkey's movements are very agile.,ลิงเคลื่อนไหวคล่องแคล่วว่องไวมาก
敏锐,他有一双敏锐的眼睛。,He has a pair of sharp eyes.,เขามีดวงตาที่เฉียบคม
救援,消防队及时进行救援。,The fire brigade carried out the rescue in time.,หน่วยดับเพลิงเข้าช่วยเหลือได้ทันเวลา
教养,这个孩子很有教养。,This child is very well-mannered.,เด็กคนนี้มีมารยาทและได้รับการอบรมมาดี
教练,教练教我们打篮球。,The coach teaches us to play basketball.,โค้ชสอนพวกเราเล่นบาสเกตบอล
散,花瓣散落在地上。,The flower petals scattered on the ground.,กลีบดอกไม้ร่วงกระจายอยู่บนพื้น
散布,有人在网上散布谣言。,Someone spread rumors online.,มีคนกระจายข่าวลือทางอินเทอร์เน็ต
散文,这本书收录了他的散文。,This book collects his prose writings.,หนังสือเล่มนี้รวบรวมงานเขียนร้อยแก้วของเขา
敬,我们应该敬老爱幼。,We should respect the old and cherish the young.,เราควรเคารพผู้สูงอายุและรักเด็ก
敬业,她工作起来非常敬业。,She is very dedicated when she works.,เธอทำงานอย่างทุ่มเทมาก
敬礼,士兵向国旗敬礼。,The soldier saluted the flag.,ทหารทำความเคารพธงชาติ
敬而远之,大家对他敬而远之。,Everyone keeps a respectful distance from him.,ทุกคนต่างพากันหลีกห่างเขาด้วยความเกรงใจ
敬请,敬请各位准时到场。,Please kindly arrive on time.,ขอเรียนเชิญทุกท่านมาถึงตรงเวลา
敬酒,新郎向客人敬酒。,The groom toasted the guests.,เจ้าบ่าวยกแก้วดื่มอวยพรแขก
敬重,学生们都很敬重老师。,The students deeply respect their teacher.,นักเรียนทุกคนเคารพนับถือครูมาก
数目,参加人数的数目不小。,The number of participants isn't small.,จำนวนคนที่เข้าร่วมนั้นไม่น้อยเลย
敲门,有人在敲门。,Someone is knocking on the door.,มีคนเคาะประตูอยู่
整,他整整等了一个小时。,He waited for a whole hour.,เขารอตั้งหนึ่งชั่วโมงเต็มๆ
整体,这个方案整体上不错。,This plan is pretty good overall.,โดยรวมแล้วแผนนี้ใช้ได้เลย
整合,公司决定整合各部门资源。,The company decided to integrate resources across departments.,บริษัทตัดสินใจรวมทรัพยากรของแต่ละแผนกเข้าด้วยกัน
整天,他整天坐在电脑前。,He sits in front of the computer all day.,เขานั่งอยู่หน้าคอมพิวเตอร์ทั้งวัน
整洁,她的房间总是很整洁。,Her room is always very tidy.,ห้องของเธอสะอาดเป็นระเบียบเสมอ
整顿,学校决定整顿纪律。,The school decided to tighten up discipline.,โรงเรียนตัดสินใจจัดระเบียบวินัยเสียใหม่
整齐,桌上的书摆放得很整齐。,The books on the desk are arranged neatly.,หนังสือบนโต๊ะวางเรียงกันอย่างเป็นระเบียบ
