hanzi,sentence,en
路况,今天路况不太好。,Traffic conditions aren't great today.
路段,前方路段正在施工。,The road ahead is under construction.
路程,这段路程很遥远。,This journey is very long.
路线,请选择最短路线。,Please choose the shortest route.
路过,我路过这里顺便看看。,I was passing by here so I stopped to take a look.
路面,下雨后路面很滑。,The road surface is slippery after rain.
跳动,他的心脏剧烈跳动。,His heart was pounding violently.
跳远,他擅长跳远项目。,He excels at the long jump event.
踊跃,大家踊跃发言。,Everyone spoke enthusiastically.
踏上,他终于踏上了故乡的土地。,He finally set foot on his hometown's soil.
踏实,他做事一向很踏实。,He always does things steadily and reliably.
蹦,孩子们高兴地蹦跳。,The children jumped happily.
蹭,猫在腿边蹭来蹭去。,The cat rubbed against his leg.
蹲,他蹲下身系鞋带。,He crouched down to tie his shoelaces.
身份,请出示您的身份证明。,Please show your identification.
身子,她的身子很虚弱。,Her body is very weak.
身影,我看到了他的身影。,I saw his silhouette.
身心,运动有益身心健康。,Exercise benefits both body and mind.
身躯,他的身躯十分强壮。,His body is very strong.
身高,他的身高一米八。,His height is 1.8 meters.
躲藏,小猫躲藏在沙发下面。,The kitten hid under the sofa.
躲避,他躲避着记者的追问。,He avoided the reporter's questions.
车厢,火车车厢里坐满了人。,The train carriage was full of people.
车票,他去窗口买车票。,He went to the window to buy a ticket.
车轮,车轮陷进了泥地里。,The wheel got stuck in the mud.
车辆,路上的车辆越来越多。,There are more and more vehicles on the road.
车速,请注意控制车速。,Please pay attention to controlling your speed.
车间,工人们在车间加班。,The workers are working overtime in the workshop.
转化,压力可以转化为动力。,Pressure can be transformed into motivation.
转变,他的态度发生转变。,His attitude changed.
转向,汽车突然转向左边。,The car suddenly turned left.
转换,请把文件转换格式。,Please convert the file format.
转移,医院把病人转移到别处。,The hospital transferred the patient elsewhere.
转让,他把店铺转让给别人。,He transferred the shop to someone else.
转身,他转身离开了房间。,He turned around and left the room.
轮,今晚有一轮满月。,There's a full moon tonight.
轮子,自行车的轮子坏了。,The bicycle's wheel is broken.
轮流,大家轮流照顾病人。,Everyone takes turns caring for the patient.
轰动,这个消息引起了轰动。,This news caused a sensation.
轻微,他受了轻微擦伤。,He suffered a minor scrape.
轻而易举,这件事对他轻而易举。,This matter is effortless for him.
载体,语言是文化的载体。,Language is the carrier of culture.
较量,两位选手正在较量。,The two contestants are competing.
输入,请输入你的密码。,Please enter your password.
输送,管道负责输送石油。,The pipeline is responsible for transporting oil.
辛勤,农民辛勤地劳动着。,The farmers work diligently.
辞,他决定辞去这份工作。,He decided to resign from this job.
辞去,他辞去了现在的工作。,He resigned from his current job.
辨别,他能辨别真假货币。,He can distinguish real from fake currency.
辨认,我很难辨认他的字迹。,I find it hard to recognize his handwriting.
辩解,他不停地为自己辩解。,He kept justifying himself.
辩论,双方展开激烈辩论。,Both sides engaged in a fierce debate.
边界,两国边界十分漫长。,The border between the two countries is very long.
边缘,他站在悬崖边缘。,He stood at the edge of the cliff.
达成,双方终于达成协议。,Both sides finally reached an agreement.
迄今为止,迄今为止一切顺利。,"So far, everything has gone smoothly."
过不去,他总跟自己过不去。,He is always hard on himself.
过分,他的要求实在有点过分。,His request is really a bit excessive.
过半,工程进度已经过半。,The project progress is already over halfway.
过后,雨过后天空放晴。,"After the rain, the sky cleared up."
过失,这是他工作上的过失。,This is a fault in his work.
过头,玩笑开得有点过头。,The joke went a bit too far.
过奖,您真是过奖了。,You're really flattering me.
过度,过度使用手机对眼睛不好。,Excessive phone use is bad for the eyes.
过往,他不愿提起过往的事。,He doesn't want to bring up past events.
过时,这种手机已经过时了。,This kind of phone is already out of date.
过滤,这台机器可以过滤空气。,This machine can filter the air.
过瘾,这场比赛看得过瘾。,This match was thrilling to watch.
过硬,他的技术十分过硬。,His skills are truly solid.
过错,这不是你的过错。,This is not your fault.
迈,他迈出了第一步。,He took the first step.
迎,全家人出门迎接远方的客人。,The whole family went out to welcome the guest from afar.
迎合,商家迎合顾客口味。,Merchants cater to customers' tastes.
迎接,大家去机场迎接他。,Everyone went to the airport to welcome him.
迎来,城市迎来了新春。,The city welcomed the new spring.
运作,公司运作十分正常。,The company operates quite normally.
运动会,学校举办了运动会。,The school held a sports meet.
运行,这台机器已经运行了十年。,This machine has been running for ten years.
运输,货物正在运输途中。,The goods are in transit.
近代,这是近代著名建筑。,This is a famous modern-era building.
近年来,近年来物价上涨很快。,"In recent years, prices have risen quickly."
近期,近期天气变化很大。,The weather has changed a lot recently.
近来,近来天气变化很大。,The weather has changed a lot recently.
近视,他从小患有近视。,He has been nearsighted since childhood.
返回,飞机将于晚上返回。,The plane will return in the evening.
这就是说,这就是说他不能来了。,"In other words, he can't come."
进出,大门方便进出。,The gate is convenient for going in and out.
进口,这些水果都是进口的。,These fruits are all imported.
进展,项目进展十分顺利。,The project is progressing very smoothly.
进度,工程进度比较顺利。,The project's progress is going smoothly.
进攻,球队在下半场发起了猛烈进攻。,The team launched a fierce attack in the second half.
进来,请问我可以进来吗？,Excuse me may I come in?
进而,先打好基础，进而提高水平。,"First build a solid foundation, and then raise your level."
远处,远处传来悠扬的歌声。,A melodious song came from a distant place.
