hanzi,sentence,en
纤维,这种布料富含天然纤维。,This fabric is rich in natural fiber.
约定,我们约定明天见面。,We agreed to meet tomorrow.
约束,规则约束着大家的行为。,Rules constrain everyone's behavior.
级别,这个职位级别很高。,This position has a high rank.
纪录,他打破了世界纪录。,He broke the world record.
纪念,我们要纪念这个日子。,We should commemorate this day.
纪念日,今天是他们的结婚纪念日。,Today is their wedding anniversary.
纯,这条项链是纯金的。,This necklace is pure gold.
纯洁,孩子的心灵十分纯洁。,A child's heart is very pure.
纳入,这个项目已纳入计划。,This project has been included in the plan.
纳闷儿,他心里十分纳闷儿。,He felt very puzzled inside.
线条,这幅画线条流畅。,The lines in this painting are smooth.
组,老师把学生分成四组。,The teacher divided the students into four groups.
组合,这两种颜色组合得很好。,These two colors combine really well.
组长,他被选为小组长。,He was elected group leader.
细微,他注意到了对方细微的变化。,He noticed the subtle change in the other person.
细心,护士照顾得很细心。,The nurse took care of them meticulously.
细胞,人体由许多细胞组成。,The human body is made up of many cells.
细腻,她的皮肤十分细腻。,Her skin is very smooth and delicate.
终止,双方终止了合作。,Both sides ended the cooperation.
终点,他第一个跑到终点。,He was the first to reach the finish line.
终生,他终生从事教育事业。,He devoted his whole life to education.
经典,这本书是文学经典。,This book is a literary classic.
经商,他很早就开始经商。,He started doing business very early.
经度,这里的经度是多少？,What is the longitude here?
经费,学校经费十分有限。,The school's funds are very limited.
绑,他把绳子绑紧了。,He tied the rope tightly.
结,会议终于结束了。,The meeting has finally concluded.
结冰,湖面已经结冰了。,The lake has already frozen over.
结合,理论要和实践结合。,Theory should be combined with practice.
结局,电影的结局很感人。,The movie's ending was very moving.
绕,我们绕道回家了。,We took a detour home.
络绎不绝,游客络绎不绝地到来。,Tourists arrived in an endless stream.
绝,这种动物已经绝种。,This animal has already gone extinct.
绝大多数,绝大多数人支持这个决定。,The vast majority of people support this decision.
绝缘,这种材料能绝缘。,This material can insulate.
绞,绳子绞在了一起。,The ropes got twisted together.
统计,老师统计了学生人数。,The teacher counted the number of students.
